guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
59bcd790-b397-4d12-9438-19fbb9d1d654,2176229784,W_GunLance_300_Name,カムラノ武銃鎗,Kamura Warrior Gunlance,Lancecanon guerrier Kamura,L-fucile guerriero Kamura,KamuraKriegerGewhrlnze,L. pist. guerrero Kamura,Копьеп. воина Камуры,Lancopał wojow. Kam.,,,Lançarma Guer. Kamura,카무라무총창,神火武銃槍,炎火武铳枪,,,,,,,,بندقية رماح محارب كامورا,,,,,,,,,,,
770ea2f7-5e69-4b8a-9f64-0c8931d5dcba,526448847,W_GunLance_301_Name,カムラノ武銃鎗改,Kamura Warrior Gunlance+,Lancecanon guerrier Kamura+,L-fucile guerriero Kamura+,KamuraKriegerGewhrlnze+,L. pist. guerrero Kamura+,Копьеп. воина Камуры+,Lancopał wojow. Kam.+,,,Lançarma Guer. Kamura+,카무라무총창+,神火武銃槍改,炎火武铳枪・改,,,,,,,,بندقية رماح محارب كامورا+,,,,,,,,,,,
644f9ac2-a8cb-4157-8ed2-bf70c5f678a4,1169857015,W_GunLance_302_Name,カムラノ傑銃鎗,Fine Kamura Gunlance,Beau lancecanon Kamura,L-fucile Kamura pregiata,FeineKamuraGewehrlanze,L. pist. excelsa Kamura,Отлич. копьеп. Камуры,Dosk. lancopał Kamury,,,Ótima Lançarma Kamura,카무라걸총창,神火傑銃槍,炎火杰铳枪,,,,,,,,بندقية رماح كامورا الرائعة,,,,,,,,,,,
9fbf48a2-0c3c-49ae-9440-131bfaa42600,4211746490,W_GunLance_303_Name,デュークバヨネット,Duke's Bayonet,Baïonnette du Duc,Baionetta del duca,Bajonett des Herzogs,Bayoneta ducal,Штык герцога,Bagnet księcia,,,Baioneta do Duque,듀크바요넷,公爵刺刀,公爵刺刀,,,,,,,,حربة الدوق,,,,,,,,,,,
40073235-f9b5-40c5-ba90-4fcf71b23fc4,540800726,W_GunLance_304_Name,焦熱のシュライエン,Scorched Schleien,Tanche brûlée,Schleien ustionante,Versengte Schleien,Tencas abrasadas,Опаленный Шлайен,Spieczony lin,,,Schleien Chamuscado,초열의 슈라이엔,灼熱之悲鳴,焦灼哀嚎,,,,,,,,شلين المحترق,,,,,,,,,,,
0da27397-6343-43cb-81fa-8ed124aba9bc,553344075,W_GunLance_305_Name,さばへなす荒槍の水守改,Mizumori+,Mizumori+,Mizumori+,Mizumori+,Mizumori+,Мицумори+,Mizumori+,,,Mizumori+,날뛰는 황창의수호+,如蠅荒槍之水守改,夏蝇荒枪之水守・改,,,,,,,,ميزوموري+,,,,,,,,,,,
411feb8a-455a-4806-ab35-40a424d388c2,1775995442,W_GunLance_306_Name,さばへなす荒神祓灯槍,Harae no Toboshi,Harae no Toboshi,Harae no Toboshi,Harae no Toboshi,Harae no Toboshi,Хараи но Тобоши,Harae no Toboshi,,,Harae no Toboshi,날뛰는 황신불등창,如蠅荒神祓燈槍,夏蝇荒神祓灯枪,,,,,,,,هاراي نو توبوشي,,,,,,,,,,,
9cf8d38e-0067-4e7a-8b05-56c5783e9c3a,1795642417,W_GunLance_307_Name,さばへなす荒神祓灯槍改,Harae no Toboshi+,Harae no Toboshi+,Harae no Toboshi+,Harae no Toboshi+,Harae no Toboshi+,Хараи но Тобоши+,Harae no Toboshi+,,,Harae no Toboshi+,날뛰는 황신불등창+,如蠅荒神祓燈槍改,夏蝇荒神祓灯枪・改,,,,,,,,هاراي نو توبوشي+,,,,,,,,,,,
64c00b57-b3d5-4f8d-b4f4-fe8a00704f83,2698472758,W_GunLance_308_Name,破邪之灯槍イヅナトウカ,Pure Gunlance Izuna,Pur lancecanon Izuna,L-fucile Izuna pura,Reine Gewehrlanze Izuna,Lza. pist. pura Izuna,Чистая копьеп. Идзуна,Czysty lancopał Izuna,,,Lançarma Pura Izuna,파사의등창 이즈나토카,破邪之燈槍飯綱燈花,辟邪之灯枪【饭绳灯花】,,,,,,,,بندقية رماح نقية إيزونا,,,,,,,,,,,
06f16688-b6a3-4c03-ae35-5408951ffc26,564298656,W_GunLance_309_Name,オルトリンデ改,Ortlinde+,Ortlinde+,Ortlinde+,Ortlinde+,Ortlinde+,Ортлинда+,Ortlinde+,,,Ortlinde+,올트린데+,奧特琳德改,奥特琳德・改,,,,,,,,أورتليند+,,,,,,,,,,,
b1b36db3-ee6c-4b56-8283-9d8523e5927a,3483182205,W_GunLance_310_Name,ハイオルトリンデ,Great Ortlinde,Grand Ortlinde,Gran Ortlinde,Großartige Ortlinde,Gran Ortlinde,Большая Ортлинда,Wielki Ortlinde,,,Grande Ortlinde,하이올트린데,高貴奧特琳德,究极奥特琳德,,,,,,,,أورتليند العظيم,,,,,,,,,,,
a8fc5df7-2565-4eab-8e0f-9f1bf0d167f0,1717237518,W_GunLance_311_Name,ハイオルトリンデ改,Great Ortlinde+,Grand Ortlinde+,Gran Ortlinde+,Großartige Ortlinde+,Gran Ortlinde+,Большая Ортлинда+,Wielki Ortlinde+,,,Grande Ortlinde+,하이올트린데+,高貴奧特琳德改,究极奥特琳德・改,,,,,,,,أورتليند العظيم+,,,,,,,,,,,
978010a0-542c-4f8f-b298-4a43467ac0eb,3812504676,W_GunLance_312_Name,ローゼンカノーネ,Rosenkanone,Rosenkanone,Rosenkanone,Rosenkanone,Rosenkanone,Розенканоне,Rosenkanone,,,Rosenkanone,로젠카노네,薔薇大砲,蔷薇火炮,,,,,,,,روزينكانون,,,,,,,,,,,
22036d2d-528a-41d2-990c-e64057f42eae,184596522,W_GunLance_313_Name,ローゼンカノーネ改,Rosenkanone+,Rosenkanone+,Rosenkanone+,Rosenkanone+,Rosenkanone+,Розенканоне+,Rosenkanone+,,,Rosenkanone+,로젠카노네+,薔薇大砲改,蔷薇火炮・改,,,,,,,,روزينكانون+,,,,,,,,,,,
7112ee01-0591-4ff3-ab1d-b5a985b99896,3031197801,W_GunLance_314_Name,ローゼンヘルリヒ,Rosenherrlich,Rosenherrlich,Rosenherrlich,Rosenherrlich,Rosenherrlich,Розенхеррлих,Rosenherrlich,,,Rosenherrlich,로젠헤를리히,薔薇壯麗,蔷薇华丽,,,,,,,,روزنهيرليش,,,,,,,,,,,
35e7e0d0-43fd-49f5-894a-69ecfa23fed6,97128649,W_GunLance_315_Name,クリムゾンルーク改,Crimson Rook+,Tour pourpre+,Torre cremisi+,Karmesin-Turm+,Grajo carmesí+,Алая птица+,Karmazynowa Wieża+,,,Bastilhão Rubro+,크림슨루크+,深紅城塔改,深红战车・改,,,,,,,,الرخ القرمزي+,,,,,,,,,,,
1f2155e0-d32f-4cd2-af15-4b4243fae958,4017803223,W_GunLance_316_Name,エタンセチャリオット,Etince Chariot,Char Etince,Carro spietato,Etince-Streitwagen,Cuadriga soberana,Колесница Этинс,Rydwan kusiciela,,,Carruagem Etince,에탕세채리엇,火花戰車,火花战车,,,,,,,,عربة إتينس,,,,,,,,,,,
fabaf49e-3145-48d3-8d18-c81edd161407,2041258810,W_GunLance_317_Name,砂銃槍デルクスボーラ改,Sand Blaster Gunlance+,Lancecanon sablier+,L-fucile sparasabbia+,Sandstrahler-Lanze+,Lzap. chorro de arena+,Пескоструйная копьеп.+,Lancopał Piasku+,,,Lançarma Arenífera+,사총창 델크스보라+,砂銃槍德克斯波拉改,砂铳枪砂鱼穿・改,,,,,,,,بندقية رمح ناسف الرمال+,,,,,,,,,,,
39a96fe4-9f4e-4135-ae71-212b5aa01052,379386017,W_GunLance_318_Name,砂海銃槍デルクハープン,Sandspear,Lance des sables,Asta sabbiosa,Sandspeer,Venablo arenoso,Песочный гарпун,Piaskowłócznia,,,Lançareia,사해총창 델크하픈,砂海銃槍魚叉,沙海铳枪砂鱼叉,,,,,,,,رمح الرمال,,,,,,,,,,,
