guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
f93a7273-525a-4302-8131-d2e159b4f37b,1500295154,HN_EasterEgg_Explain_0,"その地は流れる水が良い　水が良ければ
土も良い　土が良ければ　命が芽吹く
命の奏では　祈りへ繋がる","The water in these lands is pure. Clean
water enriches the soil. From rich soil
sprouts new life. Prayer brings water.","L'eau en ces terres est pure. Elle
enrichit le sol. Du sol riche naît
la vie. Les prières font venir l'eau.","L'acqua qui è pura. L'acqua limpida
nutre il terreno. Il terreno fertile
genera vita. Le preghiere danno acqua.","Das Wasser hierzulande ist rein. Klares
Wasser nährt den Boden, dem neues Leben
entspringt. Gebete schenken Wasser.","El agua de estas tierras es pura.
El agua limpia enriquece el suelo y
crea vida. Las plegarias traen agua.","Вода в этих землях чистая. Чистая вода
обогащает почву. Богатая почва дает
новую жизнь. Молитва дает воду.","Woda jest tu czysta, co wzbogaca glebę.
Z żyznej gleby powstaje życie. Modlitwa
przynosi wodę. ",,,"A água nessas terras é pura. Água limpa
enriquece o solo. Do solo rico brota uma
nova vida. A oração traz água.","그 땅의 물은 맑으니 물이 맑으면
흙이 비옥해지며 비옥한 흙에는 생명이
움트고 생명의 노래는 곧 기도가 되리라.","該地有優質水源奔流，好水孕育
肥沃土壤，肥沃土壤孕育生命，
而生命的樂章乃為祈禱而奏起。","那片土地上流淌着清水，
清水滋润着大地，大地哺育了生命，
生命的曲调化为祈祷。",,,,,,,,"المياه في هذه الجزيرة نقية. والمياه النظيفة
تثري التربة. ومن التربة الغنية
تنبت حياة جديدة. كما أن الدعاء يأتي بالماء.",,,,,,,,,,,
5c39abb5-0b7b-4305-be31-a6ee6060eb04,955849511,HN_EasterEgg_Explain_1,"多くの神々が　その地には居た
しかし神々は　人を寄せ付けなかった
人は　遠くから　その地の恵みを　羨んだ","This land was home to many a god.
But they shunned people. Thus the land
was only admired with envy from afar.","Jadis, les dieux vivaient en ces terres.
Ils chassaient les humains, qui ne
pouvaient qu'admirer de loin avec envie.","Questa terra era la dimora di tanti dei,
ma i mortali ne furono esclusi. Perciò,
veniva vista con invidia da fuori.","Dieses Land beherbergte manch eine Gott-
heit. Menschen mieden sie jedoch, und so
ward es neidvoll aus Distanz bewundert.","Esta tierra fue hogar de muchos dioses.
Los humanos, rechazados por estos,
solo podían admirarla con envidia.","На этой земле жило много богов. Но они
остерегались народа. Потому эту землю
видели лишь издали.","Ziemia ta była domem wielu bogów.
Stronili oni jednak od ludzi,
więc podziwiano ją jedynie z daleka.",,,"Esta terra era o lar de muitos deuses.
Mas eles evitavam as pessoas. Assim, ela
era admirada apenas de longe, com inveja.","그 땅에는 많은 신들이 있었다. 하지만
신들은 인간들의 접근을 금했다. 인간은
멀리서 그 땅에 내린 은혜를 시기했다.","諸多神祇皆於該地棲息，
然而祂們卻將人們隔絕於外，
人類只能從遠處欣羨該地的富饒。","有众多神明安居此地，
然而神明拒绝人类的靠近，
人类只能从远方慕望。",,,,,,,,"كانت هذه الأرض موطنًا لكثير من العظماء.
ولكنهم تجنبوا الناس. لذلك كانت الأرض مليئة
بالحقد منذ زمن بعيد.",,,,,,,,,,,
eb746f0a-5f3a-490b-938e-a7626e56e5b0,931890138,HN_EasterEgg_Explain_2,"なんてことはない　ある一夜
ごろんと雷を　誰かが鳴らした
夜が明けたころ　神々は姿を消した","Then, without warning, a bolt of
lightning resounded through the night.
When dawn broke, the gods were gone.","Soudainement, un éclair a fendu
la nuit. À la venue de l'aube,
les dieux avaient disparu.","All'improvviso, un lampo aveva
squarciato il cielo notturno e,
all'alba, gli dei erano scomparsi.","Dann, ohne Vorwarnung, erhellte ein
Blitz die Nacht. Bei Tagesanbruch fehlte
von den Gottheiten jede Spur.","Un súbito trueno hizo retumbar el cielo
en plena noche. Al amanecer,
los dioses ya no estaban.","Вдруг в ночи прогрохотал раскат грома
и ударила молния. Когда забрезжил
рассвет, богов уже не было.","Wtedy, bez ostrzeżenia, noc przeciął
piorun. Gdy nadszedł świt, bogów
już nie było.",,,"Então, sem aviso, um raio ecoou pela
noite. Quando amanheceu, os deuses
haviam desaparecido.","여느 때와 같은 어느 날 밤.
누군가 돌연 천둥을 일으켰다.
날이 밝아올 즈음 신들은 모습을 감췄다.","在某個平凡無奇的夜晚，
天上雷聲大作，不知何方所為。
而黎明破曉之際，諸神已不見蹤影。","平凡无奇的一夜，
突然有谁轰响了雷鸣，
拂晓之时，已不见神明。",,,,,,,,"ثم ومن دون تحذير، دوت صاعقة
البرق في ظلام الليل.
وعند حلول الفجر رحل جميع العظماء.",,,,,,,,,,,
b0f0b058-5a71-44aa-bba6-96c9f749f46c,721526549,HN_EasterEgg_Explain_3,"恵みだけが残った地には　人が集い始めた
やがて　人によって多くの社が建てられ
去りし神々を　崇め　祀った","The people began to gather in this
blessed land, erecting many a shrine
to venerate the departed gods.","Les humains ont commencé à affluer
et ont érigé de nombreux temples
en l'honneur des dieux disparus.","La gente cominciò a insediarsi in
questa terra divina ed eresse tanti
templi per venerare gli dei scomparsi.","Die Menschen versammelten sich in diesem
gesegneten Land und errichteten Schreine
zu Ehren der dahingeschiedenen Götter.","La gente se reunió en esta tierra
bendita y construyeron templos en los
que venerar a los dioses desaparecidos.","На этой благословенной земле стал
селиться народ. Он воздвиг много
святилищ в честь ушедших богов.","Ludzie poczęli się zbierać na tej
błogosławionej ziemi, wznosząc
kapliczki i czcząc nieobecnych bogów.",,,"O povo começou a se reunir nesta terra
abençoada, erguendo muitos santuários
para venerar os deuses que partiram.","은혜만이 남은 땅에는 인간이 모였다.
곧 인간들은 여러 사원을 지었고
사라진 신들을 숭배하며 기렸다.","於是人們開始聚集到那片僅餘富饒的土地。
不久，人們興建了許多神社，
以用來祭祀那些早已離去的神祇。","人们聚集到遗留着神明恩惠的土地上，
最终建造起无数神社，
用以敬拜祭祀早已消失无踪的神明。",,,,,,,,"بدأ الناس يجتمعون على هذه
الأرض المباركة، وأقاموا العديد من الأضرحة
تبجيلًا منهم للعظماء الراحلين.",,,,,,,,,,,
2e836a0a-09c3-4726-bd78-f5bef7679cea,2546982586,HN_EasterEgg_Explain_4,"人は　安寧と恵みを　享受した
日々は穏やかで　脅かされることはなかった
多くの祈りが　その地を満たした","Graced by abundance, the people
lived a bountiful and peaceful life,
filling the land with prayers.","Les humains vivaient dans la paix
et l'abondance, emplissant ces terres
de prières.","Circondato da ricchezze, il popolo
viveva felice e tranquillo, arricchendo
questa terra di preghiere.","Mit Fülle gesegnet lebten die Menschen
ein freigiebiges und friedliches Leben
und erfüllten das Land mit Gebeten.","Vivieron en paz y protegidos por la
benevolencia de los dioses, y llenaron
la tierra de oraciones.","Народ жил в изобилии и мире,
возносил хвалу небесам.","Ludziom nie brakowało niczego. Żyli
w dostatku i pokoju, wypełniając tę
ziemię modlitwą.",,,"Agraciado com a abundância, o povo
viveu uma vida abundante e pacífica,
enchendo a terra com orações.","인간은 안녕과 은혜를 누렸다.
그 어떤 위협도 없는 온화한 나날 속에서
그 땅은 많은 기도로 가득했다.","人類開始享受著那片土地的安寧與富饒，
過著不受任何威脅的平靜日子。
一時之間，處處皆能見到祈禱者的身影。","人们享受着安宁和恩惠，
岁月静好，无物干扰，
大地上充满了各种祈祷。",,,,,,,,"وفي رخاء وازدهار، عاش الناس
في حياة كريمة وهادئة
وملؤوا الأرض بالدعاء.",,,,,,,,,,,
765e6001-1822-4807-9320-b5691bc8c374,2887088427,HN_EasterEgg_Explain_5,"月日が経ち　代が変わるにつれ
人は　驕りを覚え　恵みを　軽んじた
次第に　その地は　穢れ　荒れ果てた","Moons passed; times changed. The people
became arrogant and thankless. As they
did so, the land fell into desolation.","Au fil du temps, les humains sont
devenus arrogants et ingrats, et les
terres sont tombées dans la désolation.","Con il trascorrere del tempo, però, la
gente divenne arrogante e ingrata. Di
conseguenza, la terra cadde in rovina.","Monde vergingen, Zeiten wandelten sich.
Die Menschen wurden arrogant und un-
dankbar, und das Land verkam zur Einöde.","El tiempo pasó, y la gente se volvió
cada vez más arrogante e ingrata,
trayendo con ello la desolación.","Луна сменяла луну, времена менялись.
Народ стал заносчивым и неблагодарным.
Постепенно земли пришли в запустение.","Wiele księżyców upłynęło, czasy się
zmieniły. Ludzie stali się niewdzięczni
i aroganccy, a ziemia opustoszała.",,,"Luas se passaram, os tempos mudaram.
O povo se tornou arrogante e ingrato.
E assim, a terra caiu em desolação.","세월이 지나고 세대가 변하면서
인간은 교만해지고 은혜를 업신여겼다.
서서히 땅은 더럽혀지고 황폐해졌다.","然而，隨著時光飛逝、世代更迭，
人們開始傲慢起來，不珍惜所受的恩惠，
漸漸地，土地受到汙染，大地一片荒蕪。","光阴如织，日月如梭，
人类骄矜日盛，轻视神明恩惠，
神明故地逐渐荒废败落。",,,,,,,,"ومرت السنوات؛ وتغير الزمان. وأصبح الناس
متعجرفين وجاحدين للنعم. وبسبب فعلتهم،
غمر الأرض الخراب التام.",,,,,,,,,,,
fc867f9a-0f62-4e61-b1c3-686cdca23eeb,1724919617,HN_EasterEgg_Explain_6,"なんてことはない　ある一夜
ひゅるりと風を　誰かが吹いた
終わりは突然、舞い降りた","Then, one night, a gale swept the land
before halting abruptly, as though
it were the breath of a divine being.","Une nuit, un vent violent,
tel le souffle d'un dieu, est venu,
puis s'est arrêté brutalement.","Poi, una notte, una tempesta simile al
respiro di una divinità si abbatté sulla
terra, per poi fermarsi bruscamente.","Dann, eines Nachts, fegte ein Sturm über
das Land und kam jäh zum Erliegen, als
sei er der Atem eines göttlichen Wesens.","Entonces, una noche, un vendaval barrió
la tierra y se detuvo abruptamente,
como si de un aliento divino se tratase.","Однажды ночью по тем землям пронесся
шторм — и резко прекратился, будто
на землю дыхнуло божество.","Wtedy, pewnej nocy, wicher przeszedł
nad ziemią i ustał gwałtownie jak
oddech boskiej istoty.",,,"Então, uma noite, um vendaval varreu
a terra antes de parar abruptamente,
como se fosse o sopro de um ser divino.","평소와 다를 것 없던 어느 날 밤.
누군가 일으킨 듯 불던 바람이
멎을 즈음 무언가 나타났다.","而就在某個平凡無奇的夜晚，
空中狂風怒號，不知何方所為。
只見風去雲消，末日便突然降臨。","平凡无奇的一夜，
突然有谁刮起了飓风，
终结时刻，悄然降临。",,,,,,,,"وفي ليلة ما، اجتاحت الأرض
رياح قوية فجأة، كما لو أنها
أنفاس مقدسة.",,,,,,,,,,,
d9867438-bb18-4c4c-927f-b89ddd2a9407,4242485939,HN_EasterEgg_Explain_7,"そこに現れた　去ったはずの神々たち
怯え溢れる目を　血走らせ
その地へ　我先にと　なだれこんだ","In its wake appeared the gods, thought
to have vanished. Terrified, the people
fled from their ire.","Dans son sillage, les dieux oubliés
sont apparus, et les humains
terrifiés ont fui devant leur colère.","Sulla sua scia si palesarono gli dei che
sembravano essere scomparsi. Impauriti,
i mortali scapparono dalla loro ira.","Nach dem Sturm erschienen die verschwun-
den geglaubten Götter. Entsetzt flohen
die Menschen vor ihrer Wut.","De su estela aparecieron los dioses,
a quienes se creían desaparecidos.
La gente quiso huir de su ira.","После появились боги, которых считали
исчезнувшими. Испуганный народ бежал
от их гнева.","W ślad za nim pojawili się bogowie,
którzy zniknęli przed laty. Ludzie
uciekali w popłochu przed ich gniewem.",,,"Em seu rastro, apareceram os deuses,
que acreditava-se terem desaparecido.
Aterrorizado, o povo fugiu de sua ira.","그것은 사라진 신들이었다.
겁에 질린 듯 핏발 선 눈을 한 채
그 땅을 향해 앞다퉈 들이닥쳤다.","眼前出現的，是理應早已離去的諸神。
祂們充滿恐懼的雙眼變得血紅，
朝著那片土地，爭先恐後地蜂擁而至。","重现的众神，
皆面露惧色，失魂落魄，
争先恐后涌入此地。",,,,,,,,"وفي أعقابها ظهر العظماء،
ويُعتقد أنهم اختفوا. وفي ذعر شديد،
فر الناس من الخوف.",,,,,,,,,,,
c2c14d25-5724-467d-937e-fd3335953564,3497215297,HN_EasterEgg_Explain_8,"どうか神々よ　鎮め　鎮めと　人は祈ったが
神々の暴威は鎮まらず　人はその地を去った
繁栄の跡だけが　そこに　虚しく遺された","The people begged for clemency,
but the deities raged regardless,
chasing the mortals away.","Les humains ont demandé pitié, mais
les dieux sont restés sourds à leurs
prières et les ont chassés.","Gli umani implorarono pietà, ma la furia
divina si abbatté comunque su di loro,
cacciandoli via.","Die Menschen flehten um Gnade, aber die
Gottheiten wüteten unerbittlich weiter
und jagten die Sterblichen fort.","Suplicaron clemencia, pero los dioses
hicieron oídos sordos y los persiguieron
llenos de rabia.","Народ молил о милосердии, но боги все
равно гневались и изгнали смертных.","Ludzie błagali o łaskę, ale bóstwa
pozostały niewzruszone i przegnały
przerażonych śmiertelników.",,,"O povo implorava por clemência, mas as
divindades se enfureceram mesmo assim,
afugentando os mortais.","인간들은 신들이 잠잠해지기를 빌었지만
신은 계속 날뛰었고 인간은 떠나고 말았다.
번영의 흔적만이 덧없이 그곳에 남았다.","人們雖不斷祈求諸神平息怒火，
仍無法阻止諸神的暴虐。
最後只得離去，徒留曾經繁榮的遺跡。","众人祈求，神明暴威却无法平息，
于是人类离开了那片土地，
彼处只留下曾经繁荣的痕迹。",,,,,,,,"توسل الناس راجين العفو،
ولكن غضب العظماء قد فاق الحد
وطردوا البشر بعيدًا.",,,,,,,,,,,
052022b4-1fab-41d8-8153-e8243426f0d5,124008855,HN_EasterEgg_Explain_9,"時は流れ経ち　社も　祈りも朽ち果てた
やがて　清らかな水と土が　またもたらされ
新たな命が　その地に豊かに芽吹きだす","Time devoured the peoples' shrines and
prayers; but eventually, pure water and
rich soil returned to nurture new life.","Le temps a dévoré les temples et les
prières, mais l'eau pure a fini par
revenir pour ramener la vie.","Il tempo consumò le preghiere e i
templi. Ma alla fine, l'acqua limpida e
il suolo fertile generarono nuova vita.","Die Zeit tilgte die Schreine und Gebete;
schließlich jedoch schufen reines Wasser
und fruchtbare Böden wieder neues Leben.","Los templos y las plegarias acabaron por
desaparecer, pero el tiempo devolvió la
pureza al agua y la fertilidad al suelo.","Время поглотило святилища, были забыты
молитвы, но потом снова появились чистая
вода и богатая почва. Возродилась жизнь.","Z czasem kapliczki popadły w ruinę,
a modlitwy ucichły. Lecz czysta woda i
żyzna gleba dały początek nowemu życiu.",,,"O tempo devorou os santuários e orações
das pessoas; mas, um dia, a água pura e
o solo rico tornaram a nutrir nova vida.","시간은 흘러 사원도 기도도 명맥이
끊겼으니. 곧 물과 땅은 정화되고
새 생명이 움터 풍요로워질 것이다.","隨著時間流逝，神社與祈禱皆已成為歷史。
不久，該地又重獲清澈的水源與土壤，
許多全新的生命也即將在此萌芽。","岁月流逝，神社朽烂，
最终再次化为清水和泥土，
崭新的生命，在那片土地上萌发。",,,,,,,,"أتى الزمن على أَضرحة الناس وأدعيتهم فأفناها؛
ولكن في نهاية الأمر، أعادت المياه النقية
والتربة الغنية الحياة إلى ما كانت عليه.",,,,,,,,,,,
