guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
a5824d0c-07e0-4e0f-9f6c-a2e0002256e0,3065295072,HN_EasterEgg_Explain_36_MR,"この建物には覚えがある…ここも、ここも…
どうりで見つからなかったわけだ…何もかも
砂に埋まり覆い隠されてしまったのだから","This building was familiar; he knew it
too well... But no wonder he couldn't
find it—it'd been buried under the sand.","Il ne connaissait que trop bien
cette maison... qui était totalement
enfouie sous le sable.","La casa era familiare, la conosceva fin
troppo bene... e capì anche perché non
la trovava: era sepolta sotto la sabbia.","Dieses Gebäude war vertraut; er kannte
es gut... Kein Wunder, dass er es nicht
gefunden hatte – begraben unter Sand.","Conocía el lugar muy bien. Ahora pudo
entender por qué no lo encontraba:
la arena lo había enterrado.","Дом был знаком ему, он сразу его узнал.
Но неудивительно, что он не мог найти
его — он был занесен песком.","Ten budynek wyglądał znajomo. Nie mógł
się mylić... Nic dziwnego, że go nie
znalazł – był zagrzebany w piachu.",,,"Reconheceu bem aquele prédio... Mas não
era à toa que ele não conseguia
encontrá-lo: estava enterrado na areia.","이 건물은 눈에 익다… 이것도, 이것도…
죄다 모래에 뒤덮여버렸으니
못 보고 지나칠 만했다…","他還記得這棟建築物……還有這些地方……
怪不得他之前都沒有發現……
因為所有東西都被沙子給掩埋了。","建筑依稀留有印象……一处，又一处。
怪不得百般寻找而不得其所……
一切都已经被黄沙掩埋。",,,,,,,,"كان ذلك البناء مألوفًا؛ وهو يعرفه 
جيدًا... ولكن لا عجب من أنه لم يتمكن من 
العثور عليه لأنه مدفون تحت الرمال.",,,,,,,,,,,
fbbf7121-1735-4c3b-a91c-061fdc6b2e9a,3445359994,HN_EasterEgg_Explain_100_MR,"湿度と度重なるスコールに辟易しつつ、
やっとの思いで遺跡を発見。
さて、調査任務を開始だ。","After fighting through the humidity and
countless squalls, I finally found the
ruins. Now it's time to get to work.","Après avoir lutté contre les intempéries,
j'ai enfin trouvé les ruines.
Il est temps de se mettre au travail.","Dopo aver affrontato umidità e
acquazzoni, ho finalmente trovato le
rovine. Ora posso mettermi al lavoro.","Nachdem ich mich durch Feuchtigkeit und
unzählige Böen gekämpft hatte, fand ich
endlich die Ruine. Zeit, loszulegen.","Tras pelearme con la humedad y múltiples
aguaceros, por fin he hallado las ruinas.
Ahora es momento de ponerse a trabajar.","Преодолев высокую влажность и
бесчисленные шквалы, я наконец нашел
руины. Пора приступить к работе.","Po walce z wilgotnością i ulewami udało
mi się dojść do ruin. Czas
wziąć się do roboty.",,,"Depois de lutar pela umidade e ventanias
incontáveis, finalmente encontrei as
ruínas. Agora, mãos à obra.","습도와 몇 차례의 스콜을 피하면서
드디어 유적을 발견했다.
자. 이제 조사 임무를 시작한다.","歷經潮濕的環境與接二連三的狂風暴雨，
費盡千辛萬苦後終於發現了遺跡。
該開始進行調查任務了。","历经过潮湿的环境与多场狂风后，千辛万苦
终于发现了遗迹。调查任务就此开始。",,,,,,,,"بعد القتال من خلال الرطوبة و
نوبات لا حصر لها ، لقد وجدت أخيرًا
أثار. حان الوقت الآن للذهاب إلى العمل .",,,,,,,,,,,
591ddb48-d5cd-406b-a772-4d35defc6984,3447954379,HN_EasterEgg_Explain_101_MR,"その遺跡の中心部は広場になっていた。
明らかに人工的に造られており、
周囲には壁画のような物も見える。","There's a large square at the center
of the ruins. It's obviously man-made,
as it's surrounded by murals.","Un grand parc se trouve au centre
des ruines. Sûrement artificiel,
puisqu'entouré de fresques.","Al centro delle rovine c'è un grande
spiazzo. Poiché è circondato da murali,
è chiaro che è opera dell'uomo.","In der Mitte der Ruinen ist ein großer
Platz. Offensichtlich nicht natürlich,
denn er ist von Wandbildern umgeben.","Hay una plaza enorme en medio de las
ruinas. Debe ser obra de humanos, puesto
que está rodeada de murales.","В центре руин есть большая площадь.
Она явно рукотворная, поскольку
окружена фресками.","W centrum ruin znajduje się duży plac.
Jest ozdobiony muralami, więc nie ma
wątpliwości, że wybudowali go ludzie.",,,"Tem uma praça grande no centro das
ruínas. Foi claramente feita por
pessoas, pois está cercada de murais.","그 유적의 중심부에는 광장이 있었다.
한눈에 봐도 인공적으로 만들어졌으며
주변에는 벽화 같은 것도 보인다.","遺跡的中心有一個廣場，
明顯為人工修建而成，
周圍可以看到類似壁畫的裝飾。","遗迹中心部分是一个广场，明显是人工建造
而成，周围还有壁画一样的东西。",,,,,,,,"توجد ساحة كبيرة في وسط
الأطلال. ومن الواضح أنها صناعية؛
لأنها محاطة بالجداريات.",,,,,,,,,,,
d2295a11-123e-4925-afde-fb461a4e5026,2996959186,HN_EasterEgg_Explain_102_MR,"しかし、この湿気と気温で
状態が維持されているのは奇跡だな。
と感心しつつ、ひとつひとつ鑑賞していく。","It's a miracle that these murals survived
this heat and humidity. I should observe
them carefully.","C'est un miracle que ces fresques aient
survécu à ces conditions.
Je dois les observer avec soin.","È un miracolo che questi murali abbiano
resistito a calore e umidità. Devo
osservarli più attentamente.","Es ist ein Wunder, dass diese Wandbilder
diese Hitze und Feuchtigkeit überstanden
haben. Ich sollte sie genau betrachten.","Es un milagro que estos murales hayan
resistido al calor y a la humedad.
Más me vale observarlos con cuidado.","Удивительно, что эти фрески сохранились
в таком жарком и влажном климате. Надо
осторожно их изучить.","To cud, że murale się zachowały w takiej
temperaturze i wilgotności. Muszę je
bacznie obserwować.",,,"É um milagre que estes murais tenham
sobrevivido ao calor e umidade.
Vou observá-los atentamente.","그러나 이 습기와 기온 속에서
보존된 것이 기적이라 감탄하며
하나하나 감상했다.","不過壁畫在這樣的濕氣和氣溫下
還能維持這個狀態，簡直是奇蹟。
我一邊如此感嘆，一邊逐個鑑賞。","然而在这样的湿气和温度下，保存成这个
状态实属个奇迹。我一边在心中感叹，一边
逐个鉴赏。",,,,,,,,"إنها معجزة أن نجت هذه اللوحات الجدارية
 من هذه الحرارة والرطوبة. يجب أن 
أعاينهم بحذر.",,,,,,,,,,,
2dc8c832-32ff-4b8d-bbb5-1754af1de39d,707215093,HN_EasterEgg_Explain_103_MR,"遺跡の深部にある壁面には、鋼色の翼を
はためかせながら、雄大に宙を舞っている
大きな龍が描かれていた。","One of the murals depicts a large dragon,
soaring through the sky on steel-colored
wings.","Une d'elles représente un dragon
transperçant le ciel de ses ailes
acier.","Uno dei murali ritrae un enorme drago,
che solca i cieli con le sue ali metalliche.","Eines der Wandbilder zeigt einen großen
Drachen, der auf stahlfarbenen Flügeln
durch den Himmel schwebt.","En uno de los murales puede verse a un
enorme dragón que, con sus alas de color
acerado, se alza en el cielo.","На одной из фресок изображен крупный
дракон, парящий в небесах на крыльях
цвета стальной.","Jeden z nich przedstawia dużego,
lecącego smoka ze skrzydłami
o stalowym kolorze.",,,"Um dos murais retrata um enorme dragão,
voando pelo céu com asas
cor de aço.","유적 깊은 곳의 벽에는 검푸른
날개를 퍼덕이며 웅장하게 하늘을
나는 거대한 용이 그려져 있었다.","遺跡深處的牆面上，
畫有一隻揮舞著鋼銀色翅膀，
在空中雄偉飛舞的巨龍。","遗迹深处的一处墙面，描绘着展开
铁青色双翼翱翔于天的雄伟巨龙。",,,,,,,,"توضح إحدى اللوحات الجدارية تنينًا
ضخمًا يحلق في السماء بأجنحة
فولاذية اللون.",,,,,,,,,,,
fa42f76e-8575-4b2e-8f25-bd4632a0e1f2,245069282,HN_EasterEgg_Explain_104_MR,"その隣には、鋼色の翼から発せられる強靭な
風と共に、膝をつき首を垂れる人間らしき
図も描かれている。","Next to it is a picture of humans bowing
and kneeling before the mighty gales
its wings produce.","À côté, on voit des humains se
prosternant face aux rafales
produites par ses ailes.","Accanto sono raffigurati degli umani
inchinati e inginocchiati dinanzi al
potente vento creato dalle sue ali.","Daneben ist ein Bild von Menschen zu
sehen, die sich vor den mächtigen Stürmen,
die seine Flügel erzeugen, verneigen.","Junto a él, se puede ver dibujados a
varios humanos postrados ante el potente
vendaval que desatan sus alas.","На соседнем изображении люди склоняются
пред могучими ветрами, поднятыми его
крыльями.","Obok niego jest obraz człowieka
klęczącego przed wichrami
wywołanymi przez te skrzydła.",,,"Ao lado, há uma imagem de seres humanos
se curvando e se ajoelhando diante da
forte ventania que as asas produzem.","그 옆에는 검푸른 날개가 만들어 낸
강한 바람과 함께 무릎을 꿇고
고개를 숙인 인간도 그려져 있다.","而旁邊的壁畫上，
描繪著鋼銀色翅膀拍打出強勁的烈風，
以及像是一群人類磕頭跪拜的圖。","旁边则画有铁青色双翼掀起的劲风，
以及在风下跪地俯首的人类。",,,,,,,,"بجانبه صورة لبشر ينحنون ويجثون
امام العواصف العاتية التي
تنتجها أجنحته.",,,,,,,,,,,
95515705-f46f-4c86-8e02-1b83a4785952,882110229,HN_EasterEgg_Explain_105_MR,"もしかすると、その龍を鎮める
儀式を行うために造られた神殿
だったのかもしれない。","Perhaps this used to be a shrine where
they performed rituals to placate the
dragon.","Il s'agit peut-être d'un sanctuaire où
ils pratiquaient des rites pour apaiser
le dragon.","Forse questo era un tempio dove venivano
praticati rituali per placare il drago.","Vielleicht war dies früher ein Schrein,
in dem Rituale durchgeführt wurden,
um den Drachen zu besänftigen.","Puede que esto fuese un santuario en
el que se llevasen a cabo rituales para
aplacar la ira del dragón.","Возможно, раньше это было святилище,
где люди проводили ритуалы, чтобы
умиротворить дракона.","Może to była świątynia, gdzie
wykonywano rytuały, aby
udobruchać smoka.",,,"Talvez este fosse um templo onde eles
faziam rituais para acalmar o dragão.","어쩌면 이곳은 용을 진정시킬
의식을 치르기 위해 만들어진
신전일지도 모른다.","說不定這個神殿，就是為了進行
平定那隻巨龍的儀式而修建的。","这座建筑或许是神殿，为了举行镇压那巨龙
的仪式而建造。",,,,,,,,"ربما كان هذا مزارًا حيث
أدوا طقوسًا لتهدئة
التنين.",,,,,,,,,,,
2b08c60a-7935-4e17-9ba7-a5bf6128e441,1563544729,HN_EasterEgg_Explain_106_MR,"よく見ると、その壁画には続きがあった。
強大な龍に立ち向かうかのように
槍を手に持つ人々の図だ。","The mural continues. There are people
grabbing spears as if to stand up
against this humongous monster.","La fresque continue. Des gens
brandissent des lances comme
pour affronter ce colosse.","Il murale prosegue. Vi sono persone che
brandiscono lance come per insorgere
contro questo enorme mostro.","Das Wandbild geht weiter. Es gibt Leute,
die nach Speeren greifen, als wollten sie
sich gegen dieses riesige Monster stellen.","El mural se extiende aún más. Hay gente
aferrada a sus lanzas, como si quisiesen
hacer frente al descomunal monstruo.","Есть еще фрески. На них люди берутся
за копья, словно собираются противо-
стоять этому огромному монстру.","Dalej. Ludzie chwytają za
włócznie, aby przeciwstawić
się temu potworowi.",,,"O mural continua. Há pessoas pegando
lanças como se fossem enfrentar o
monstro imenso.","자세히 보니 벽화는 이어져 있었다.
크고 강한 용에 맞서 싸울 것처럼
창을 든 사람들 그림이었다.","仔細一看，那面壁畫的內容還沒結束。
畫中有一群手持長矛的人，
像是在對抗強大的巨龍一樣。","仔细再看，壁画还有后续。
画面上的人们手中持矛，
仿佛是在对抗巨龙。",,,,,,,,"الجدارية مستمرة. هناك أناس
يمسكون الرماح وكأنهم يقفون
ضد هذا الوحش الضخم.",,,,,,,,,,,
12844d53-1d5b-4037-a36f-e9917e6056ee,2803799884,HN_EasterEgg_Explain_107_MR,"この遺跡を造った民族は、
いつからか、強大な相手に伏すだけでなく
対抗する術を身に付けていったのだ。","The tribe that created this shrine must've
found a way to rebel against the creature,
rather than remain subservient to it.","Cette tribu a dû trouver un moyen
de se rebeller contre la créature plutôt
que d'être asservie.","La tribù che aveva creato questo tempio
doveva aver trovato il modo di ribellarsi
alla creatura e di non servirla più.","Der Stamm, der diesen Schrein gebaut hat,
muss einen Weg gefunden haben, gegen die
Kreatur zu rebellieren, statt ihr zu dienen.","La tribu que levantó el santuario tuvo
que hallar el modo de rebelarse ante el
monstruo, en lugar de rendirle pleitesía.","Видимо, племя, создавшее это святилище,
нашло способ восстать против этого
существа и освободиться от его гнета.","Plemię, które zbudowało świątynię,
znalazło sposób, jak walczyć z bestią
zamiast się jej podporządkować.",,,"A tribo que criou este templo deve ter
achado um jeito de se rebelar contra a
criatura, e não ser subserviente.","이 유적을 만든 민족은 어느샌가
강력한 상대에게 굴복하지 않고 대항할
기술을 익히기 시작한 것이다.","當初建起這個遺跡的民族，
不知從何時開始，面對強大的敵人時
不再只是俯首稱臣，而是學會對抗。","建造这处遗迹的民族不知从何时起，不再仅是
屈服于强大的对手，还学会了与其对抗。",,,,,,,,"لابد أن القبيلة التي أنشأت هذا الضريح قد
وجدت طريقة للتمرد على هذا المخلوق،
بدلا من أن تظل خاضعة له.",,,,,,,,,,,
0814606e-35c7-430f-8887-3028806e93c3,2732662840,HN_EasterEgg_Explain_108_MR,"記録をとりながら、これは我々
ハンターのルーツを紐解く発見では？
と、仮説を立てる。","As I take notes, it strikes me that
I may be witnessing the birth of
us hunters.","Prenant des notes, je réalise que je suis
peut-être en train d'assister à la
naissance des chasseurs que nous sommes.","Mentre prendo appunti, mi colpisce 
il fatto che potrei stare assistendo 
all'origine di noi cacciatori.","Während ich schreibe, wird mir
klar, dass ich vermutlich Zeuge
der Geburt von uns Jägern bin.","Tomo notas y, al mismo tiempo, percibo
que podría hallarme ante el nacimiento
de nuestra estirpe, los cazadores.","Пока я делаю записи, мне приходит
в голову, что я наблюдаю зарождение
охотников.","Robiąc notatki, zdaję sobie sprawę,
że być może jestem świadkiem narodzin
łowców.",,,"Enquanto tomo notas, penso
que posso estar vendo o
nascimento dos caçadores.","기록하면서 어쩌면 이것은 우리들
헌터 기원의 실마리를 풀 중요한
발견이 아닐까 하는 가설을 세웠다.","我一邊記錄，一邊在腦海中構思起假說：
這次在遺跡中的發現，
或許能夠解釋我們獵人的起源。","我记录所见并提出了假设。
这一发现或许能够
解明我等猎人的起源？",,,,,,,,"أثناء تدوين الملاحظات، يذهلني
أنني ربما أشهد ولادة
بعض الصيادين.",,,,,,,,,,,
