guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
db4eb55c-61f2-4cc4-8f0b-c4cb07d06203,1042884435,HN_EasterEgg_Name_0,大社跡の手記・其ノ壱,Shrine Ruins Message I,Message Temple oublié,Nota Rovine sacre I,Heilige-Ruinen-Botschaft I,Templo olvidado I,Записка из Руин святилища I,Wiadomość z Ruin Świątynnych I,,,Mensagem Ruínas do Templo I,사원 폐허의 일지 1,大社遺跡筆記･壹,废神社手记之壹,,,,,,,,رسالة أطلال الضريح 1,,,,,,,,,,,
2c5afa69-5cae-4d24-b912-72484290a739,3888592267,HN_EasterEgg_Name_1,大社跡の手記・其ノ弐,Shrine Ruins Message II,Message Temple oublié II,Nota Rovine sacre II,Heilige-Ruinen-Botschaft II,Templo olvidado II,Записка из Руин святилища II,Wiadom. z Ruin Świątynnych II,,,Mensagem Ruínas do Templo II,사원 폐허의 일지 2,大社遺跡筆記･貳,废神社手记之贰,,,,,,,,رسالة أطلال الضريح 2,,,,,,,,,,,
4d1cdcc0-049a-4c48-a69c-5eeae882ef3b,3977194124,HN_EasterEgg_Name_2,大社跡の手記・其ノ参,Shrine Ruins Message III,Message Temple oublié III,Nota Rovine sacre III,Heilige-Ruinen-Botschaft III,Templo olvidado III,Записка из Руин святилища III,Wiadom. z Ruin Świątynnych III,,,Mensagem Ruínas do Templo III,사원 폐허의 일지 3,大社遺跡筆記･參,废神社手记之叁,,,,,,,,رسالة أطلال الضريح 3,,,,,,,,,,,
be765a8b-22ab-4eb5-aba5-bc767a89ab3e,459869769,HN_EasterEgg_Name_3,大社跡の手記・其ノ肆,Shrine Ruins Message IV,Message Temple oublié IV,Nota Rovine sacre IV,Heilige-Ruinen-Botschaft IV,Templo olvidado IV,Записка из Руин святилища IV,Wiadom. z Ruin Świątynnych IV,,,Mensagem Ruínas do Templo IV,사원 폐허의 일지 4,大社遺跡筆記･肆,废神社手记之肆,,,,,,,,رسالة أطلال الضريح 4,,,,,,,,,,,
a2e4229c-40c2-43dd-8f38-d3c01367a9aa,3669307644,HN_EasterEgg_Name_4,大社跡の手記・其ノ伍,Shrine Ruins Message V,Message Temple oublié V,Nota Rovine sacre V,Heilige-Ruinen-Botschaft V,Templo olvidado V,Записка из Руин святилища V,Wiadomość z Ruin Świątynnych V,,,Mensagem Ruínas do Templo V,사원 폐허의 일지 5,大社遺跡筆記･伍,废神社手记之伍,,,,,,,,رسالة أطلال الضريح 5,,,,,,,,,,,
332bbd63-cd44-43f8-a0d5-a5ad54c8c357,1001251607,HN_EasterEgg_Name_5,大社跡の手記・其ノ陸,Shrine Ruins Message VI,Message Temple oublié VI,Nota Rovine sacre VI,Heilige-Ruinen-Botschaft VI,Templo olvidado VI,Записка из Руин святилища VI,Wiadom. z Ruin Świątynnych VI,,,Mensagem Ruínas do Templo VI,사원 폐허의 일지 6,大社遺跡筆記･陸,废神社手记之陆,,,,,,,,رسالة أطلال الضريح 6,,,,,,,,,,,
0e4c8252-acf6-4b93-97fe-b982fecf1d7d,678689652,HN_EasterEgg_Name_6,大社跡の手記・其ノ漆,Shrine Ruins Message VII,Message Temple oublié VII,Nota Rovine sacre VII,Heilige-Ruinen-Botschaft VII,Templo olvidado VII,Записка из Руин святилища VII,Wiadom. z Ruin Świątynnych VII,,,Mensagem Ruínas do Templo VII,사원 폐허의 일지 7,大社遺跡筆記･柒,废神社手记之柒,,,,,,,,رسالة أطلال الضريح 7,,,,,,,,,,,
cdb0ec72-44b9-481e-86aa-611ff993a960,2158751125,HN_EasterEgg_Name_7,大社跡の手記・其ノ捌,Shrine Ruins Message VIII,Message Temple oublié VIII,Nota Rovine sacre VIII,Heilige-Ruinen-Botschaft VIII,Templo olvidado VIII,Записка из Руин святилища VIII,Wiad. z Ruin Świątynnych VIII,,,Mensagem Ruínas do Templo VIII,사원 폐허의 일지 8,大社遺跡筆記･捌,废神社手记之捌,,,,,,,,رسالة أطلال الضريح 8,,,,,,,,,,,
9be31337-d04e-4d03-9c74-bd37611f9964,2516696356,HN_EasterEgg_Name_8,大社跡の手記・其ノ玖,Shrine Ruins Message IX,Message Temple oublié IX,Nota Rovine sacre IX,Heilige-Ruinen-Botschaft IX,Templo olvidado IX,Записка из Руин святилища IX,Wiadom. z Ruin Świątynnych IX,,,Mensagem Ruínas do Templo IX,사원 폐허의 일지 9,大社遺跡筆記･玖,废神社手记之玖,,,,,,,,رسالة أطلال الضريح 9,,,,,,,,,,,
4005bc5f-6f99-425f-a8bf-199ae3505cae,2187168088,HN_EasterEgg_Name_9,大社跡の手記・其ノ拾,Shrine Ruins Message X,Message Temple oublié X,Nota Rovine sacre X,Heilige-Ruinen-Botschaft X,Templo olvidado X,Записка из Руин святилища X,Wiadomość z Ruin Świątynnych X,,,Mensagem Ruínas do Templo X,사원 폐허의 일지 10,大社遺跡筆記･拾,废神社手记之拾,,,,,,,,رسالة أطلال الضريح 10,,,,,,,,,,,
13d6c655-c725-4a4b-8e10-2d8d1cf5fb19,1128651444,HN_EasterEgg_Name_10,寒冷群島の手記・其ノ壱,Frost Islands Message I,Message Archipel de glace,Nota Isole ghiacciate I,Frostinseln-Botschaft I,Islas heladas I,Записка с Мороз. островов I,Wiadomość z Wysp Mroźnych I,,,Mensagem Ilhas Gélidas I,한랭 군도의 일지 1,寒冷群島筆記･壹,冰封群岛手记之壹,,,,,,,,رسالة الجُزر الثلجية 1,,,,,,,,,,,
db93f5ef-4945-454b-be9e-379c62588514,4005957069,HN_EasterEgg_Name_11,寒冷群島の手記・其ノ弐,Frost Islands Message II,Message Archipel de glace II,Nota Isole ghiacciate II,Frostinseln-Botschaft II,Islas heladas II,Записка с Мороз. островов II,Wiadomość z Wysp Mroźnych II,,,Mensagem Ilhas Gélidas II,한랭 군도의 일지 2,寒冷群島筆記･貳,冰封群岛手记之贰,,,,,,,,رسالة الجُزر الثلجية 2,,,,,,,,,,,
2cac20dd-b907-4e05-8a83-8abde2e07e4e,4258799760,HN_EasterEgg_Name_12,寒冷群島の手記・其ノ参,Frost Islands Message III,Message Archipel de glace III,Nota Isole ghiacciate III,Frostinseln-Botschaft III,Islas heladas III,Записка с Мороз. островов III,Wiadomość z Wysp Mroźnych III,,,Mensagem Ilhas Gélidas III,한랭 군도의 일지 3,寒冷群島筆記･參,冰封群岛手记之叁,,,,,,,,رسالة الجُزر الثلجية 3,,,,,,,,,,,
8c2ffb81-1190-49d3-86f2-a53f3ba16d21,3370530206,HN_EasterEgg_Name_13,寒冷群島の手記・其ノ肆,Frost Islands Message IV,Message Archipel de glace IV,Nota Isole ghiacciate IV,Frostinseln-Botschaft IV,Islas heladas IV,Записка с Мороз. островов IV,Wiadomość z Wysp Mroźnych IV,,,Mensagem Ilhas Gélidas IV,한랭 군도의 일지 4,寒冷群島筆記･肆,冰封群岛手记之肆,,,,,,,,رسالة الجُزر الثلجية 4,,,,,,,,,,,
955eb914-ef79-47b3-885e-c3f35a92ed93,1021788176,HN_EasterEgg_Name_14,寒冷群島の手記・其ノ伍,Frost Islands Message V,Message Archipel de glace V,Nota Isole ghiacciate V,Frostinseln-Botschaft V,Islas heladas V,Записка с Мороз. островов V,Wiadomość z Wysp Mroźnych V,,,Mensagem Ilhas Gélidas V,한랭 군도의 일지 5,寒冷群島筆記･伍,冰封群岛手记之伍,,,,,,,,رسالة الجُزر الثلجية 5,,,,,,,,,,,
f3e2f601-dba9-484e-8d82-504ccf0a9671,4253535813,HN_EasterEgg_Name_15,寒冷群島の手記・其ノ陸,Frost Islands Message VI,Message Archipel de glace VI,Nota Isole ghiacciate VI,Frostinseln-Botschaft VI,Islas heladas VI,Записка с Мороз. островов VI,Wiadomość z Wysp Mroźnych VI,,,Mensagem Ilhas Gélidas VI,한랭 군도의 일지 6,寒冷群島筆記･陸,冰封群岛手记之陆,,,,,,,,رسالة الجُزر الثلجية 6,,,,,,,,,,,
f146e499-a9e8-4332-9737-d058a3b2e9ea,542803075,HN_EasterEgg_Name_16,寒冷群島の手記・其ノ漆,Frost Islands Message VII,Message Archipel de glace VII,Nota Isole ghiacciate VII,Frostinseln-Botschaft VII,Islas heladas VII,Записка с Мороз. островов VII,Wiadomość z Wysp Mroźnych VII,,,Mensagem Ilhas Gélidas VII,한랭 군도의 일지 7,寒冷群島筆記･柒,冰封群岛手记之柒,,,,,,,,رسالة الجُزر الثلجية 7,,,,,,,,,,,
da29eda0-7b78-42e6-a19d-80fa579a9141,1679509456,HN_EasterEgg_Name_17,寒冷群島の手記・其ノ捌,Frost Islands Message VIII,Message Archipel de glace VIII,Nota Isole ghiacciate VIII,Frostinseln-Botschaft VIII,Islas heladas VIII,Записка с Мороз. островов VIII,Wiadomość z Wysp Mroźnych VIII,,,Mensagem Ilhas Gélidas VIII,한랭 군도의 일지 8,寒冷群島筆記･捌,冰封群岛手记之捌,,,,,,,,رسالة الجُزر الثلجية 8,,,,,,,,,,,
046c9f41-aa37-44e8-8eff-cec6a8ed06bc,4121751985,HN_EasterEgg_Name_18,寒冷群島の手記・其ノ玖,Frost Islands Message IX,Message Archipel de glace IX,Nota Isole ghiacciate IX,Frostinseln-Botschaft IX,Islas heladas IX,Записка с Мороз. островов IX,Wiadomość z Wysp Mroźnych IX,,,Mensagem Ilhas Gélidas IX,한랭 군도의 일지 9,寒冷群島筆記･玖,冰封群岛手记之玖,,,,,,,,رسالة الجُزر الثلجية 9,,,,,,,,,,,
0a43a46c-d7b1-4abb-9046-7b8e2727da49,2198442377,HN_EasterEgg_Name_19,寒冷群島の手記・其ノ拾,Frost Islands Message X,Message Archipel de glace X,Nota Isole ghiacciate X,Frostinseln-Botschaft X,Islas heladas X,Записка с Мороз. островов X,Wiadomość z Wysp Mroźnych X,,,Mensagem Ilhas Gélidas X,한랭 군도의 일지 10,寒冷群島筆記･拾,冰封群岛手记之拾,,,,,,,,رسالة الجُزر الثلجية 10,,,,,,,,,,,
82c28db4-2420-4705-963c-b549ebe0a508,2613114590,HN_EasterEgg_Name_20,水没林の手記・其ノ壱,Flooded Forest Message I,Message Forêt inondée,Nota Foresta inondata I,Flutwald-Botschaft I,Bosque inundado I,Записка из Затоплен. леса I,Wiadomość z Zatopionego Lasu I,,,Mensagem Selva Inundada I,수몰된 숲의 일지 1,水沒林筆記･壹,水没林手记之壹,,,,,,,,رسالة الغابة الغارقة 1,,,,,,,,,,,
1fce9837-1abb-4f42-9882-f17ba6c81f97,3203023945,HN_EasterEgg_Name_21,水没林の手記・其ノ弐,Flooded Forest Message II,Message Forêt inondée II,Nota Foresta inondata II,Flutwald-Botschaft II,Bosque inundado II,Записка из Затоплен. леса II,Wiadom. z Zatopionego Lasu II,,,Mensagem Selva Inundada II,수몰된 숲의 일지 2,水沒林筆記･貳,水没林手记之贰,,,,,,,,رسالة الغابة الغارقة 2,,,,,,,,,,,
64bb1511-ff51-436a-ba86-34aa21d3f40d,3002571484,HN_EasterEgg_Name_22,水没林の手記・其ノ参,Flooded Forest Message III,Message Forêt inondée III,Nota Foresta inondata III,Flutwald-Botschaft III,Bosque inundado III,Записка из Затоплен. леса III,Wiadom. z Zatopionego Lasu III,,,Mensagem Selva Inundada III,수몰된 숲의 일지 3,水沒林筆記･參,水没林手记之叁,,,,,,,,رسالة الغابة الغارقة 3,,,,,,,,,,,
d812f265-2413-4a61-ade2-92efb18006a0,497412831,HN_EasterEgg_Name_23,水没林の手記・其ノ肆,Flooded Forest Message IV,Message Forêt inondée IV,Nota Foresta inondata IV,Flutwald-Botschaft IV,Bosque inundado IV,Записка из Затоплен. леса IV,Wiadom. z Zatopionego Lasu IV,,,Mensagem Selva Inundada IV,수몰된 숲의 일지 4,水沒林筆記･肆,水没林手记之肆,,,,,,,,رسالة الغابة الغارقة 4,,,,,,,,,,,
49616359-4e1b-4273-acca-53179d39315a,2752731208,HN_EasterEgg_Name_24,水没林の手記・其ノ伍,Flooded Forest Message V,Message Forêt inondée V,Nota Foresta inondata V,Flutwald-Botschaft V,Bosque inundado V,Записка из Затоплен. леса V,Wiadomość z Zatopionego Lasu V,,,Mensagem Selva Inundada V,수몰된 숲의 일지 5,水沒林筆記･伍,水没林手记之伍,,,,,,,,رسالة الغابة الغارقة 5,,,,,,,,,,,
