guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
66ca009b-ed23-40ce-91c3-2382a8e7852f,1229223468,HN_HTM_1_1_0,<COLOR FF0000>#Rejected#</COLOR> HN_HTM_1_1_0,<COLOR FF0000>#Rejected#</COLOR> HN_HTM_1_1_0,<COLOR FF0000>#Rejected#</COLOR> HN_HTM_1_1_0,<COLOR FF0000>#Rejected#</COLOR> HN_HTM_1_1_0,<COLOR FF0000>#Rejected#</COLOR> HN_HTM_1_1_0,<COLOR FF0000>#Rejected#</COLOR> HN_HTM_1_1_0,<COLOR FF0000>#Rejected#</COLOR> HN_HTM_1_1_0,<COLOR FF0000>#Rejected#</COLOR> HN_HTM_1_1_0,<COLOR FF0000>#Rejected#</COLOR> HN_HTM_1_1_0,<COLOR FF0000>#Rejected#</COLOR> HN_HTM_1_1_0,<COLOR FF0000>#Rejected#</COLOR> HN_HTM_1_1_0,<COLOR FF0000>#Rejected#</COLOR> HN_HTM_1_1_0,<COLOR FF0000>#Rejected#</COLOR> HN_HTM_1_1_0,<COLOR FF0000>#Rejected#</COLOR> HN_HTM_1_1_0,<COLOR FF0000>#Rejected#</COLOR> HN_HTM_1_1_0,<COLOR FF0000>#Rejected#</COLOR> HN_HTM_1_1_0,<COLOR FF0000>#Rejected#</COLOR> HN_HTM_1_1_0,<COLOR FF0000>#Rejected#</COLOR> HN_HTM_1_1_0,<COLOR FF0000>#Rejected#</COLOR> HN_HTM_1_1_0,<COLOR FF0000>#Rejected#</COLOR> HN_HTM_1_1_0,<COLOR FF0000>#Rejected#</COLOR> HN_HTM_1_1_0,<COLOR FF0000>#Rejected#</COLOR> HN_HTM_1_1_0,<COLOR FF0000>#Rejected#</COLOR> HN_HTM_1_1_0,<COLOR FF0000>#Rejected#</COLOR> HN_HTM_1_1_0,<COLOR FF0000>#Rejected#</COLOR> HN_HTM_1_1_0,<COLOR FF0000>#Rejected#</COLOR> HN_HTM_1_1_0,<COLOR FF0000>#Rejected#</COLOR> HN_HTM_1_1_0,<COLOR FF0000>#Rejected#</COLOR> HN_HTM_1_1_0,<COLOR FF0000>#Rejected#</COLOR> HN_HTM_1_1_0,<COLOR FF0000>#Rejected#</COLOR> HN_HTM_1_1_0,<COLOR FF0000>#Rejected#</COLOR> HN_HTM_1_1_0,<COLOR FF0000>#Rejected#</COLOR> HN_HTM_1_1_0,<COLOR FF0000>#Rejected#</COLOR> HN_HTM_1_1_0
6883320d-f7c6-4ca3-ad3f-bd24555aba55,1241402915,HN_HTM_CATEGORY_01,画面情報,The Game Screen,Écran de jeu,Schermata di gioco,Der Spielbildschirm,Pantalla de juego,Экран игры,Ekran gry,,,A tela de jogo,화면 정보,畫面資訊,画面信息,,,,,,,,شاشة اللعبة,,,,,,,,,,,
24e23732-90bd-4c68-af28-ba268263af1d,3265831406,HN_HTM_CATEGORY_02,操作情報,Game Controls,Commandes de jeu,Comandi di gioco,Spielsteuerung,Controles del juego,Управление игрой,Sterowanie grą,,,Controles do jogo,조작 정보,操作資訊,操作信息,,,,,,,,عناصر التحكم في اللعبة,,,,,,,,,,,
b168cfdc-8302-4bbe-9907-a5b81b60c1b3,4050169728,HN_HTM_CATEGORY_03,プレイヤー情報,Player Info,Infos joueur,Info giocatore,Spieler-Info,Información de jugador,Информация об игроке,Info o graczu,,,Informação do jogador,플레이어 정보,玩家資訊,玩家信息,,,,,,,,معلومات اللاعب,,,,,,,,,,,
f9d7ec19-6602-45ce-bed1-40c7b50c29fb,1095128172,HN_HTM_CATEGORY_04,各種状態異常,Abnormal Statuses,Afflictions,Alterazioni di stato,Status-Anomalien,Estados alterados,Аномальные статусы,Szkodliwe efekty,,,Status Anormais,각종 상태 이상,各種狀態異常,各种状态异常,,,,,,,,الوضعيات غير الطبيعية,,,,,,,,,,,
ac256b05-22b8-48b5-aca6-22195c1be9c9,3562871874,HN_HTM_CATEGORY_05,装備情報,Equipment,Équipement,Equipaggiamento,Ausrüstung,Equipamiento,Снаряжение,Wyposażenie,,,Equipamento,장비 정보,裝備資訊,装备信息,,,,,,,,المعدات,,,,,,,,,,,
0a5acbf3-35d6-4868-9a14-eea035b4d3a3,3994007480,HN_HTM_CATEGORY_06,アイテム情報,Items,Objets,Oggetti,Objekte,Objetos,Предметы,Przedmioty,,,Itens,아이템 정보,道具資訊,道具信息,,,,,,,,العناصر,,,,,,,,,,,
402848f2-d69d-4b7a-b845-c04a02701e89,3681345863,HN_HTM_CATEGORY_07,オトモ,Buddies,Pilpoils,Compagni,Buddys,Camaradas,Спутники,Kompani,,,Amigos,동반자,隨從,随从,,,,,,,,الأصدقاء,,,,,,,,,,,
848aa74f-f50c-4c4c-8adb-8441b0978b7c,3095440876,HN_HTM_CATEGORY_08,里,Village,Village,Villaggio,Dorf,Aldea,Деревня,Wioska,,,Aldeia,마을,村莊,村庄,,,,,,,,القرية,,,,,,,,,,,
4b669334-e084-4281-9761-574b408e8701,957210457,HN_HTM_CATEGORY_09,カムラの里の人々,People of Kamura Village,Habitants de Kamura,Abitanti di Kamura,Bewohner Kamuras,Gente de Kamura,Жители деревни Камура,Ludzie z wioski Kamura,,,Povo da Aldeia Kamura,카무라 마을 사람들,神火村的人們,炎火村的人们,,,,,,,,شعب قرية كامورا,,,,,,,,,,,
