guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
5c23054f-7ac5-43bf-9eaa-6be29980db27,807317395,HN_HTM_CATEGORY_31_MR,<COLOR FF0000>#Rejected#</COLOR> HN_HTM_CATEGORY_31_MR,<COLOR FF0000>#Rejected#</COLOR> HN_HTM_CATEGORY_31_MR,<COLOR FF0000>#Rejected#</COLOR> HN_HTM_CATEGORY_31_MR,<COLOR FF0000>#Rejected#</COLOR> HN_HTM_CATEGORY_31_MR,<COLOR FF0000>#Rejected#</COLOR> HN_HTM_CATEGORY_31_MR,<COLOR FF0000>#Rejected#</COLOR> HN_HTM_CATEGORY_31_MR,<COLOR FF0000>#Rejected#</COLOR> HN_HTM_CATEGORY_31_MR,<COLOR FF0000>#Rejected#</COLOR> HN_HTM_CATEGORY_31_MR,<COLOR FF0000>#Rejected#</COLOR> HN_HTM_CATEGORY_31_MR,<COLOR FF0000>#Rejected#</COLOR> HN_HTM_CATEGORY_31_MR,<COLOR FF0000>#Rejected#</COLOR> HN_HTM_CATEGORY_31_MR,<COLOR FF0000>#Rejected#</COLOR> HN_HTM_CATEGORY_31_MR,<COLOR FF0000>#Rejected#</COLOR> HN_HTM_CATEGORY_31_MR,<COLOR FF0000>#Rejected#</COLOR> HN_HTM_CATEGORY_31_MR,<COLOR FF0000>#Rejected#</COLOR> HN_HTM_CATEGORY_31_MR,<COLOR FF0000>#Rejected#</COLOR> HN_HTM_CATEGORY_31_MR,<COLOR FF0000>#Rejected#</COLOR> HN_HTM_CATEGORY_31_MR,<COLOR FF0000>#Rejected#</COLOR> HN_HTM_CATEGORY_31_MR,<COLOR FF0000>#Rejected#</COLOR> HN_HTM_CATEGORY_31_MR,<COLOR FF0000>#Rejected#</COLOR> HN_HTM_CATEGORY_31_MR,<COLOR FF0000>#Rejected#</COLOR> HN_HTM_CATEGORY_31_MR,<COLOR FF0000>#Rejected#</COLOR> HN_HTM_CATEGORY_31_MR,<COLOR FF0000>#Rejected#</COLOR> HN_HTM_CATEGORY_31_MR,<COLOR FF0000>#Rejected#</COLOR> HN_HTM_CATEGORY_31_MR,<COLOR FF0000>#Rejected#</COLOR> HN_HTM_CATEGORY_31_MR,<COLOR FF0000>#Rejected#</COLOR> HN_HTM_CATEGORY_31_MR,<COLOR FF0000>#Rejected#</COLOR> HN_HTM_CATEGORY_31_MR,<COLOR FF0000>#Rejected#</COLOR> HN_HTM_CATEGORY_31_MR,<COLOR FF0000>#Rejected#</COLOR> HN_HTM_CATEGORY_31_MR,<COLOR FF0000>#Rejected#</COLOR> HN_HTM_CATEGORY_31_MR,<COLOR FF0000>#Rejected#</COLOR> HN_HTM_CATEGORY_31_MR,<COLOR FF0000>#Rejected#</COLOR> HN_HTM_CATEGORY_31_MR,<COLOR FF0000>#Rejected#</COLOR> HN_HTM_CATEGORY_31_MR
671b3d4f-0da9-4d15-93f7-0193220b6df4,1901455735,HN_HTM_CATEGORY_32_MR,傀異クエスト,Anomaly Quests,Quêtes Anomalie,Missioni anomalia,Anomalie-Quests,Misiones de la anomalía,Аномальные задания,Zadania Anomalii,,,Missões de Anomalia,괴이 퀘스트,傀異任務,怪异任务,,,,,,,,مهام غير عادية,,,,,,,,,,,
6a8d3afe-4c05-4f8f-b4fd-d5663498c970,2264497529,HN_HTM_CATEGORY_33_MR,<COLOR FF0000>#Rejected#</COLOR> HN_HTM_CATEGORY_33_MR,<COLOR FF0000>#Rejected#</COLOR> HN_HTM_CATEGORY_33_MR,<COLOR FF0000>#Rejected#</COLOR> HN_HTM_CATEGORY_33_MR,<COLOR FF0000>#Rejected#</COLOR> HN_HTM_CATEGORY_33_MR,<COLOR FF0000>#Rejected#</COLOR> HN_HTM_CATEGORY_33_MR,<COLOR FF0000>#Rejected#</COLOR> HN_HTM_CATEGORY_33_MR,<COLOR FF0000>#Rejected#</COLOR> HN_HTM_CATEGORY_33_MR,<COLOR FF0000>#Rejected#</COLOR> HN_HTM_CATEGORY_33_MR,<COLOR FF0000>#Rejected#</COLOR> HN_HTM_CATEGORY_33_MR,<COLOR FF0000>#Rejected#</COLOR> HN_HTM_CATEGORY_33_MR,<COLOR FF0000>#Rejected#</COLOR> HN_HTM_CATEGORY_33_MR,<COLOR FF0000>#Rejected#</COLOR> HN_HTM_CATEGORY_33_MR,<COLOR FF0000>#Rejected#</COLOR> HN_HTM_CATEGORY_33_MR,<COLOR FF0000>#Rejected#</COLOR> HN_HTM_CATEGORY_33_MR,<COLOR FF0000>#Rejected#</COLOR> HN_HTM_CATEGORY_33_MR,<COLOR FF0000>#Rejected#</COLOR> HN_HTM_CATEGORY_33_MR,<COLOR FF0000>#Rejected#</COLOR> HN_HTM_CATEGORY_33_MR,<COLOR FF0000>#Rejected#</COLOR> HN_HTM_CATEGORY_33_MR,<COLOR FF0000>#Rejected#</COLOR> HN_HTM_CATEGORY_33_MR,<COLOR FF0000>#Rejected#</COLOR> HN_HTM_CATEGORY_33_MR,<COLOR FF0000>#Rejected#</COLOR> HN_HTM_CATEGORY_33_MR,<COLOR FF0000>#Rejected#</COLOR> HN_HTM_CATEGORY_33_MR,<COLOR FF0000>#Rejected#</COLOR> HN_HTM_CATEGORY_33_MR,<COLOR FF0000>#Rejected#</COLOR> HN_HTM_CATEGORY_33_MR,<COLOR FF0000>#Rejected#</COLOR> HN_HTM_CATEGORY_33_MR,<COLOR FF0000>#Rejected#</COLOR> HN_HTM_CATEGORY_33_MR,<COLOR FF0000>#Rejected#</COLOR> HN_HTM_CATEGORY_33_MR,<COLOR FF0000>#Rejected#</COLOR> HN_HTM_CATEGORY_33_MR,<COLOR FF0000>#Rejected#</COLOR> HN_HTM_CATEGORY_33_MR,<COLOR FF0000>#Rejected#</COLOR> HN_HTM_CATEGORY_33_MR,<COLOR FF0000>#Rejected#</COLOR> HN_HTM_CATEGORY_33_MR,<COLOR FF0000>#Rejected#</COLOR> HN_HTM_CATEGORY_33_MR,<COLOR FF0000>#Rejected#</COLOR> HN_HTM_CATEGORY_33_MR
45111cf4-4752-4e90-a2e3-ac115c22f595,757992372,HN_HTM_CATEGORY_34_MR,観測拠点エルガドの人々,The People of Elgado Outpost,Les habitants d'Elgado,Abitanti avamposto di Elgado,Die Leute vom Außenposten Elgado,La gente de la avanzadilla Elgado,Население аванпоста Элгадо,Ludzie z Posterunku Elgado,,,O Povo do Posto Elgado,관측 거점 엘가도 사람들,觀測據點艾爾卡多的人們,观测据点埃尔迦德的人们,,,,,,,,قوم مخفر إلجادو,,,,,,,,,,,
8e56d11e-f8ed-4594-ac88-3bc16e6938e4,2551078989,HN_HTM_Note400_Title_MR,MONSTER HUNTER RISE: SUNBREAK,MONSTER HUNTER RISE: SUNBREAK,MONSTER HUNTER RISE: SUNBREAK,MONSTER HUNTER RISE: SUNBREAK,MONSTER HUNTER RISE: SUNBREAK,MONSTER HUNTER RISE: SUNBREAK,MONSTER HUNTER RISE: SUNBREAK,MONSTER HUNTER RISE: SUNBREAK,,,MONSTER HUNTER RISE: SUNBREAK,MONSTER HUNTER RISE: SUNBREAK,MONSTER HUNTER RISE: SUNBREAK,MONSTER HUNTER RISE: SUNBREAK,,,,,,,,MONSTER HUNTER RISE: SUNBREAK,,,,,,,,,,,
08b0fe92-999d-4851-9341-6b1d16973ad2,376924720,HN_HTM_Note401_Title_MR,ＭＲ（マスターランク）,Master Rank (MR),Rang Maître (RM),Grado maestro (GM),Meisterrang (MR),Rango maestro (RM),Ранг мастера (РМ),Ranga mistrzowska (RM),,,Ranque Mestre (RM),MR (마스터 랭크),MR（Master Rank）,大师等级,,,,,,,,رتبة القائد,,,,,,,,,,,
a28732b5-7783-4d06-82e8-de6c5aadf025,3147515687,HN_HTM_Note402_Title_MR,拠点移動,Open World Map,Ouvrir la carte du monde,Apri la mappa globale,Weltkarte öffnen,Abrir mapa del mundo,Открыть карту мира,Otwórz mapę świata,,,Abrir Mapa-múndi,거점 이동,據點移動,据点移动,,,,,,,,افتح خريطة العالم,,,,,,,,,,,
4a316f49-0e6f-4c11-8202-36397a4bd5e0,1102413819,HN_HTM_Note403_Title_MR,拠点間の移動,Traveling Between Bases,Déplacement entre les bases,Viaggiare fra le basi,Von Basis zu Basis reisen,Desplazamientos entre bases,Перемещение между базами,Podróż między bazami,,,Viagem entre Bases,거점 간 이동,據點間移動,在据点间移动,,,,,,,,السفر بين القواعد,,,,,,,,,,,
6f5b56e4-728f-4e4f-8ea3-ad54cfad422b,824433812,HN_HTM_Note404_Title_MR,<COLOR FF0000>#Rejected#</COLOR> HN_HTM_Note404_Title_MR,<COLOR FF0000>#Rejected#</COLOR> HN_HTM_Note404_Title_MR,<COLOR FF0000>#Rejected#</COLOR> HN_HTM_Note404_Title_MR,<COLOR FF0000>#Rejected#</COLOR> HN_HTM_Note404_Title_MR,<COLOR FF0000>#Rejected#</COLOR> HN_HTM_Note404_Title_MR,<COLOR FF0000>#Rejected#</COLOR> HN_HTM_Note404_Title_MR,<COLOR FF0000>#Rejected#</COLOR> HN_HTM_Note404_Title_MR,<COLOR FF0000>#Rejected#</COLOR> HN_HTM_Note404_Title_MR,<COLOR FF0000>#Rejected#</COLOR> HN_HTM_Note404_Title_MR,<COLOR FF0000>#Rejected#</COLOR> HN_HTM_Note404_Title_MR,<COLOR FF0000>#Rejected#</COLOR> HN_HTM_Note404_Title_MR,<COLOR FF0000>#Rejected#</COLOR> HN_HTM_Note404_Title_MR,<COLOR FF0000>#Rejected#</COLOR> HN_HTM_Note404_Title_MR,<COLOR FF0000>#Rejected#</COLOR> HN_HTM_Note404_Title_MR,<COLOR FF0000>#Rejected#</COLOR> HN_HTM_Note404_Title_MR,<COLOR FF0000>#Rejected#</COLOR> HN_HTM_Note404_Title_MR,<COLOR FF0000>#Rejected#</COLOR> HN_HTM_Note404_Title_MR,<COLOR FF0000>#Rejected#</COLOR> HN_HTM_Note404_Title_MR,<COLOR FF0000>#Rejected#</COLOR> HN_HTM_Note404_Title_MR,<COLOR FF0000>#Rejected#</COLOR> HN_HTM_Note404_Title_MR,<COLOR FF0000>#Rejected#</COLOR> HN_HTM_Note404_Title_MR,<COLOR FF0000>#Rejected#</COLOR> HN_HTM_Note404_Title_MR,<COLOR FF0000>#Rejected#</COLOR> HN_HTM_Note404_Title_MR,<COLOR FF0000>#Rejected#</COLOR> HN_HTM_Note404_Title_MR,<COLOR FF0000>#Rejected#</COLOR> HN_HTM_Note404_Title_MR,<COLOR FF0000>#Rejected#</COLOR> HN_HTM_Note404_Title_MR,<COLOR FF0000>#Rejected#</COLOR> HN_HTM_Note404_Title_MR,<COLOR FF0000>#Rejected#</COLOR> HN_HTM_Note404_Title_MR,<COLOR FF0000>#Rejected#</COLOR> HN_HTM_Note404_Title_MR,<COLOR FF0000>#Rejected#</COLOR> HN_HTM_Note404_Title_MR,<COLOR FF0000>#Rejected#</COLOR> HN_HTM_Note404_Title_MR,<COLOR FF0000>#Rejected#</COLOR> HN_HTM_Note404_Title_MR,<COLOR FF0000>#Rejected#</COLOR> HN_HTM_Note404_Title_MR
ea0bd005-292e-4b8a-98a0-426319999972,1361864227,HN_HTM_Note405_Title_MR,観測拠点進行,Outpost Progress,Progrès Avant-poste,Progresso avamposto,Außenposten-Fortschritt,Progreso de la avanzadilla,Задания аванпоста,Postępy na Posterunku,,,Progresso de Posto,관측 거점 진행,觀測據點進度,观测据点进度,,,,,,,,تقدم المخفر,,,,,,,,,,,
