guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
a52a7f57-567b-48bc-b962-de0094a1898b,2278444761,HN_Hunternote_ML_Tab_01_Spec_M1_MR,？？？,???,???,???,???,¿¿??,???,???,,,???,???,？？？,？？？,,,,,,,,؟؟؟,,,,,,,,,,,
5bb19f2b-0bc1-41f0-ad67-669a306e00e0,2786301481,HN_Hunternote_ML_Tab_01_StageName01_MR,密林,Jungle,Jungle,Giungla,Dschungel,La Jungla,Джунгли,Dżungla,,,Selva,밀림,密林,密林,,,,,,,,الغابة,,,,,,,,,,,
9bc9d74a-20c9-48e0-af46-6c4298bb256c,2570843246,HN_Hunternote_ML_Tab_01_StageName02_MR,城塞高地,Citadel,Citadelle,Cittadella,Zitadelle,Bastión,Цитадель,Cytadela,,,Forte,요새고원,城塞高地,城塞高地,,,,,,,,القلعة,,,,,,,,,,,
bf72f682-a84b-4d56-9c25-c065bb32b4a8,1081916761,HN_Hunternote_ML_Tab_02_Parts1_MR,ヤド,Shell,Carapace,Corazza,Panzer,Caparazón,Панцирь,Skorupa,,,Casco,껍데기,殼,背壳,,,,,,,,القوقعة,,,,,,,,,,,
ba733374-9da6-4aec-84c4-40e41155fc34,58711090,HN_Hunternote_ML_Tab_02_Parts2_MR,<COLOR FF0000>#Rejected#</COLOR> HN_Hunternote_ML_Tab_02_Parts2_MR,<COLOR FF0000>#Rejected#</COLOR> HN_Hunternote_ML_Tab_02_Parts2_MR,<COLOR FF0000>#Rejected#</COLOR> HN_Hunternote_ML_Tab_02_Parts2_MR,<COLOR FF0000>#Rejected#</COLOR> HN_Hunternote_ML_Tab_02_Parts2_MR,<COLOR FF0000>#Rejected#</COLOR> HN_Hunternote_ML_Tab_02_Parts2_MR,<COLOR FF0000>#Rejected#</COLOR> HN_Hunternote_ML_Tab_02_Parts2_MR,<COLOR FF0000>#Rejected#</COLOR> HN_Hunternote_ML_Tab_02_Parts2_MR,<COLOR FF0000>#Rejected#</COLOR> HN_Hunternote_ML_Tab_02_Parts2_MR,<COLOR FF0000>#Rejected#</COLOR> HN_Hunternote_ML_Tab_02_Parts2_MR,<COLOR FF0000>#Rejected#</COLOR> HN_Hunternote_ML_Tab_02_Parts2_MR,<COLOR FF0000>#Rejected#</COLOR> HN_Hunternote_ML_Tab_02_Parts2_MR,<COLOR FF0000>#Rejected#</COLOR> HN_Hunternote_ML_Tab_02_Parts2_MR,<COLOR FF0000>#Rejected#</COLOR> HN_Hunternote_ML_Tab_02_Parts2_MR,<COLOR FF0000>#Rejected#</COLOR> HN_Hunternote_ML_Tab_02_Parts2_MR,<COLOR FF0000>#Rejected#</COLOR> HN_Hunternote_ML_Tab_02_Parts2_MR,<COLOR FF0000>#Rejected#</COLOR> HN_Hunternote_ML_Tab_02_Parts2_MR,<COLOR FF0000>#Rejected#</COLOR> HN_Hunternote_ML_Tab_02_Parts2_MR,<COLOR FF0000>#Rejected#</COLOR> HN_Hunternote_ML_Tab_02_Parts2_MR,<COLOR FF0000>#Rejected#</COLOR> HN_Hunternote_ML_Tab_02_Parts2_MR,<COLOR FF0000>#Rejected#</COLOR> HN_Hunternote_ML_Tab_02_Parts2_MR,<COLOR FF0000>#Rejected#</COLOR> HN_Hunternote_ML_Tab_02_Parts2_MR,<COLOR FF0000>#Rejected#</COLOR> HN_Hunternote_ML_Tab_02_Parts2_MR,<COLOR FF0000>#Rejected#</COLOR> HN_Hunternote_ML_Tab_02_Parts2_MR,<COLOR FF0000>#Rejected#</COLOR> HN_Hunternote_ML_Tab_02_Parts2_MR,<COLOR FF0000>#Rejected#</COLOR> HN_Hunternote_ML_Tab_02_Parts2_MR,<COLOR FF0000>#Rejected#</COLOR> HN_Hunternote_ML_Tab_02_Parts2_MR,<COLOR FF0000>#Rejected#</COLOR> HN_Hunternote_ML_Tab_02_Parts2_MR,<COLOR FF0000>#Rejected#</COLOR> HN_Hunternote_ML_Tab_02_Parts2_MR,<COLOR FF0000>#Rejected#</COLOR> HN_Hunternote_ML_Tab_02_Parts2_MR,<COLOR FF0000>#Rejected#</COLOR> HN_Hunternote_ML_Tab_02_Parts2_MR,<COLOR FF0000>#Rejected#</COLOR> HN_Hunternote_ML_Tab_02_Parts2_MR,<COLOR FF0000>#Rejected#</COLOR> HN_Hunternote_ML_Tab_02_Parts2_MR,<COLOR FF0000>#Rejected#</COLOR> HN_Hunternote_ML_Tab_02_Parts2_MR
c8dc63cd-26ac-41ff-bafd-c91344e09f6c,2844413985,HN_Hunternote_ML_Tab_02_Parts3_MR,<COLOR FF0000>#Rejected#</COLOR> HN_Hunternote_ML_Tab_02_Parts3_MR,<COLOR FF0000>#Rejected#</COLOR> HN_Hunternote_ML_Tab_02_Parts3_MR,<COLOR FF0000>#Rejected#</COLOR> HN_Hunternote_ML_Tab_02_Parts3_MR,<COLOR FF0000>#Rejected#</COLOR> HN_Hunternote_ML_Tab_02_Parts3_MR,<COLOR FF0000>#Rejected#</COLOR> HN_Hunternote_ML_Tab_02_Parts3_MR,<COLOR FF0000>#Rejected#</COLOR> HN_Hunternote_ML_Tab_02_Parts3_MR,<COLOR FF0000>#Rejected#</COLOR> HN_Hunternote_ML_Tab_02_Parts3_MR,<COLOR FF0000>#Rejected#</COLOR> HN_Hunternote_ML_Tab_02_Parts3_MR,<COLOR FF0000>#Rejected#</COLOR> HN_Hunternote_ML_Tab_02_Parts3_MR,<COLOR FF0000>#Rejected#</COLOR> HN_Hunternote_ML_Tab_02_Parts3_MR,<COLOR FF0000>#Rejected#</COLOR> HN_Hunternote_ML_Tab_02_Parts3_MR,<COLOR FF0000>#Rejected#</COLOR> HN_Hunternote_ML_Tab_02_Parts3_MR,<COLOR FF0000>#Rejected#</COLOR> HN_Hunternote_ML_Tab_02_Parts3_MR,<COLOR FF0000>#Rejected#</COLOR> HN_Hunternote_ML_Tab_02_Parts3_MR,<COLOR FF0000>#Rejected#</COLOR> HN_Hunternote_ML_Tab_02_Parts3_MR,<COLOR FF0000>#Rejected#</COLOR> HN_Hunternote_ML_Tab_02_Parts3_MR,<COLOR FF0000>#Rejected#</COLOR> HN_Hunternote_ML_Tab_02_Parts3_MR,<COLOR FF0000>#Rejected#</COLOR> HN_Hunternote_ML_Tab_02_Parts3_MR,<COLOR FF0000>#Rejected#</COLOR> HN_Hunternote_ML_Tab_02_Parts3_MR,<COLOR FF0000>#Rejected#</COLOR> HN_Hunternote_ML_Tab_02_Parts3_MR,<COLOR FF0000>#Rejected#</COLOR> HN_Hunternote_ML_Tab_02_Parts3_MR,<COLOR FF0000>#Rejected#</COLOR> HN_Hunternote_ML_Tab_02_Parts3_MR,<COLOR FF0000>#Rejected#</COLOR> HN_Hunternote_ML_Tab_02_Parts3_MR,<COLOR FF0000>#Rejected#</COLOR> HN_Hunternote_ML_Tab_02_Parts3_MR,<COLOR FF0000>#Rejected#</COLOR> HN_Hunternote_ML_Tab_02_Parts3_MR,<COLOR FF0000>#Rejected#</COLOR> HN_Hunternote_ML_Tab_02_Parts3_MR,<COLOR FF0000>#Rejected#</COLOR> HN_Hunternote_ML_Tab_02_Parts3_MR,<COLOR FF0000>#Rejected#</COLOR> HN_Hunternote_ML_Tab_02_Parts3_MR,<COLOR FF0000>#Rejected#</COLOR> HN_Hunternote_ML_Tab_02_Parts3_MR,<COLOR FF0000>#Rejected#</COLOR> HN_Hunternote_ML_Tab_02_Parts3_MR,<COLOR FF0000>#Rejected#</COLOR> HN_Hunternote_ML_Tab_02_Parts3_MR,<COLOR FF0000>#Rejected#</COLOR> HN_Hunternote_ML_Tab_02_Parts3_MR,<COLOR FF0000>#Rejected#</COLOR> HN_Hunternote_ML_Tab_02_Parts3_MR
20f8fe35-8a22-4783-a857-640e424d3f23,1145823585,HN_Hunternote_ML_Tab_02_Parts4_MR,上半身,Upper Half,Partie supérieure,Parte superiore,Oberhälfte,Mitad superior,Верх.часть,Górna połowa,,,Metade Superior,상반신,上半身,上半身,,,,,,,,النصف العلوي,,,,,,,,,,,
b07498ec-c068-4d23-85d1-49e3582d0bf7,1324291507,HN_Hunternote_ML_Tab_02_Parts5_MR,下半身,Bottom Half,Partie inférieure,Parte inferiore,Unterhälfte,Mitad infer.,Ниж. часть,Dolna połowa,,,Metade Inferior,하반신,下半身,下半身,,,,,,,,النصف السفلي,,,,,,,,,,,
af155993-1d00-4be7-8787-de8454e81484,1865839307,HN_Hunternote_ML_Tab_02_Parts6_MR,触角,Antenna,Antenne,Antenna,Fühler,Antena,Усик,Czułek,,,Antena,촉각,觸角,触角,,,,,,,,المجس,,,,,,,,,,,
ab0ffda5-e57b-427b-a097-a887709e2639,3637453171,HN_Hunternote_ML_Tab_02_Parts7_MR,<COLOR FF0000>#Rejected#</COLOR> HN_Hunternote_ML_Tab_02_Parts7_MR,<COLOR FF0000>#Rejected#</COLOR> HN_Hunternote_ML_Tab_02_Parts7_MR,<COLOR FF0000>#Rejected#</COLOR> HN_Hunternote_ML_Tab_02_Parts7_MR,<COLOR FF0000>#Rejected#</COLOR> HN_Hunternote_ML_Tab_02_Parts7_MR,<COLOR FF0000>#Rejected#</COLOR> HN_Hunternote_ML_Tab_02_Parts7_MR,<COLOR FF0000>#Rejected#</COLOR> HN_Hunternote_ML_Tab_02_Parts7_MR,<COLOR FF0000>#Rejected#</COLOR> HN_Hunternote_ML_Tab_02_Parts7_MR,<COLOR FF0000>#Rejected#</COLOR> HN_Hunternote_ML_Tab_02_Parts7_MR,<COLOR FF0000>#Rejected#</COLOR> HN_Hunternote_ML_Tab_02_Parts7_MR,<COLOR FF0000>#Rejected#</COLOR> HN_Hunternote_ML_Tab_02_Parts7_MR,<COLOR FF0000>#Rejected#</COLOR> HN_Hunternote_ML_Tab_02_Parts7_MR,<COLOR FF0000>#Rejected#</COLOR> HN_Hunternote_ML_Tab_02_Parts7_MR,<COLOR FF0000>#Rejected#</COLOR> HN_Hunternote_ML_Tab_02_Parts7_MR,<COLOR FF0000>#Rejected#</COLOR> HN_Hunternote_ML_Tab_02_Parts7_MR,<COLOR FF0000>#Rejected#</COLOR> HN_Hunternote_ML_Tab_02_Parts7_MR,<COLOR FF0000>#Rejected#</COLOR> HN_Hunternote_ML_Tab_02_Parts7_MR,<COLOR FF0000>#Rejected#</COLOR> HN_Hunternote_ML_Tab_02_Parts7_MR,<COLOR FF0000>#Rejected#</COLOR> HN_Hunternote_ML_Tab_02_Parts7_MR,<COLOR FF0000>#Rejected#</COLOR> HN_Hunternote_ML_Tab_02_Parts7_MR,<COLOR FF0000>#Rejected#</COLOR> HN_Hunternote_ML_Tab_02_Parts7_MR,<COLOR FF0000>#Rejected#</COLOR> HN_Hunternote_ML_Tab_02_Parts7_MR,<COLOR FF0000>#Rejected#</COLOR> HN_Hunternote_ML_Tab_02_Parts7_MR,<COLOR FF0000>#Rejected#</COLOR> HN_Hunternote_ML_Tab_02_Parts7_MR,<COLOR FF0000>#Rejected#</COLOR> HN_Hunternote_ML_Tab_02_Parts7_MR,<COLOR FF0000>#Rejected#</COLOR> HN_Hunternote_ML_Tab_02_Parts7_MR,<COLOR FF0000>#Rejected#</COLOR> HN_Hunternote_ML_Tab_02_Parts7_MR,<COLOR FF0000>#Rejected#</COLOR> HN_Hunternote_ML_Tab_02_Parts7_MR,<COLOR FF0000>#Rejected#</COLOR> HN_Hunternote_ML_Tab_02_Parts7_MR,<COLOR FF0000>#Rejected#</COLOR> HN_Hunternote_ML_Tab_02_Parts7_MR,<COLOR FF0000>#Rejected#</COLOR> HN_Hunternote_ML_Tab_02_Parts7_MR,<COLOR FF0000>#Rejected#</COLOR> HN_Hunternote_ML_Tab_02_Parts7_MR,<COLOR FF0000>#Rejected#</COLOR> HN_Hunternote_ML_Tab_02_Parts7_MR,<COLOR FF0000>#Rejected#</COLOR> HN_Hunternote_ML_Tab_02_Parts7_MR
