guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
5d595d2b-c2c0-41ce-be27-dfffdf05cd30,2028552868,HN_IN_Manual_000_Title,ご使用になる前に,Before Playing,Avant de jouer,Prima di iniziare,Vor dem Spiel,Antes de jugar,До игры,Przed grą,,,Antes de jogar,사용하기 전에,在您使用本軟體之前,使用本产品前,,,,,,,,قبل اللعب,,,,,,,,,,,
ab07d3ea-4d57-45c0-b758-7ffd882bbb1c,1968699146,HN_IN_Manual_001_Title,この取扱説明書について,About this Manual,Au sujet de ce manuel,Informazioni sul manuale,Über diese Anleitung,Acerca de este manual,Информация о руководстве,O instrukcji gry,,,Sobre este manual,사용설명서,關於本使用說明書,关于本使用说明书,,,,,,,,حول هذا الدليل,,,,,,,,,,,
7fd96f5c-2b38-4743-ab00-212946cf7b44,200184097,HN_IN_Manual_002_Title,ゲームの始め方,How to Start the Game,Comment lancer le jeu,Come avviare il gioco,Spielbeginn,Comenzar el juego,Как начать играть,Jak rozpocząć grę,,,Como iniciar o jogo,게임 시작 방법,開始遊戲的方式,开始游戏的方法,,,,,,,,كيف تبدأ اللعبة,,,,,,,,,,,
7df50932-80b3-4de3-9732-fcceff35a258,1120328388,HN_IN_Manual_003_Title,セーブデータについて,Save Data,Données de sauvegarde,Salvataggio dati,Speicherdaten,Datos de guardado,Сохранить данные,Zapisywanie danych,,,Salvar dados,저장 데이터,關於儲存資料,关于保存数据,,,,,,,,حفظ البيانات,,,,,,,,,,,
515fdbeb-53fe-4fc3-82f4-7b4b3f0ff995,2192474665,HN_IN_Manual_004_Title,無線通信機能について,Wireless Data Access,Accès aux données multijoueur,Accesso wireless ai dati,Drahtloser Datenzugriff,Acceso a la información de red,Беспроводный режим,Dostęp bezprzewodowy,,,Acesso a dados por com. sem fio,무선 통신 기능,關於無線通訊機能,关于无线连接功能,,,,,,,,الوصول إلى البيانات اللاسلكية,,,,,,,,,,,
9871695f-97a2-42b3-be60-41f4709b3ef5,3537737854,HN_IN_Manual_005_Title,通信機能のご利用に関するご注意,Wireless Communication Security,Sécurité communication sans fil,Comunicazione wireless sicura,Drahtlose Verbindung: Sicherheit,Seg. comunicación inalámbrica,Безопасность сетевого общения,Bezpieczeń. komunik. bezprzew.,,,Segurança de com. sem fio,통신 기능에 대한 주의 사항,關於使用通訊機能時的注意事項,使用连接功能时的注意事项,,,,,,,,تأمين الاتصالات اللاسلكية,,,,,,,,,,,
69bfe7e1-b97b-4bf4-906f-ab1e035e3b97,2994024743,HN_IN_Manual_006_Title,インターネットでできること,Online Features,Fonctionnalités en ligne,Funzionalità online,Online-Funktionen,Funciones online,Сетевые настройки,Funkcje sieciowe,,,Recursos online,인터넷으로 할 수 있는 것,連接網路後能進行的功能,连接互联网后可使用的功能,,,,,,,,الميزات عبر الإنترنت,,,,,,,,,,,
e374c845-0d23-4449-a81a-4cc3dfd82afe,3251754070,HN_IN_Manual_007_Title,ゲーム中の基本操作,Basic Controls: In-Game,Commandes de base : en jeu,Comandi di base in gioco,Steuerung: Im Spiel,Controles básicos: en el juego,Основное управление: в игре,Sterowanie podstaw.: rozgrywka,,,Controles básicos: No jogo,게임 중 기본 조작,遊戲中的基本操作,游戏中的基本操作,,,,,,,,عناصر تحكم أساسية: داخل اللعبة,,,,,,,,,,,
32eb7106-925d-4331-a33d-3b153205100c,1261807629,HN_IN_Manual_008_Title,クエスト中の基本操作,Basic Controls: During Quests,Commandes de base : quêtes,Comandi di base in missione,Steuerung: Während Quests,Controles básicos: en misiones,Основное управление: задания,Sterowanie podstaw.: zadania,,,Controles básicos: Em missões,퀘스트 중 기본 조작,任務中的基本操作,任务中的基本操作,,,,,,,,عناصر التحكم: أثناء المهام,,,,,,,,,,,
964d10fa-470a-46a6-91a3-606a04f59b03,3839995944,HN_IN_Manual_009_Title,納刀状態での基本操作,Basic Controls: Weapon Sheathed,Comm. de base : arme rengainée,Comandi base: arma rinfoderata,Steuerung: Weggesteckte Waffe,Contr. básicos: arma enfundada,Управление: оружие в ножнах,Sterow. podst.: schowana broń,,,Cont. básicos: Arma embainhada,납도 상태 기본 조작,收刀狀態時的基本操作,纳刀状态下的基本操作,,,,,,,,عناصر التحكم: غمد الأسلحة,,,,,,,,,,,
