guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
db321fd4-22ee-4922-a2c4-805a8258c80d,1907561619,HN_NormalControlsMsg_None_Name,<COLOR FF0000>#Rejected#</COLOR> HN_NormalControlsMsg_None_Name,<COLOR FF0000>#Rejected#</COLOR> HN_NormalControlsMsg_None_Name,<COLOR FF0000>#Rejected#</COLOR> HN_NormalControlsMsg_None_Name,<COLOR FF0000>#Rejected#</COLOR> HN_NormalControlsMsg_None_Name,<COLOR FF0000>#Rejected#</COLOR> HN_NormalControlsMsg_None_Name,<COLOR FF0000>#Rejected#</COLOR> HN_NormalControlsMsg_None_Name,<COLOR FF0000>#Rejected#</COLOR> HN_NormalControlsMsg_None_Name,<COLOR FF0000>#Rejected#</COLOR> HN_NormalControlsMsg_None_Name,<COLOR FF0000>#Rejected#</COLOR> HN_NormalControlsMsg_None_Name,<COLOR FF0000>#Rejected#</COLOR> HN_NormalControlsMsg_None_Name,<COLOR FF0000>#Rejected#</COLOR> HN_NormalControlsMsg_None_Name,<COLOR FF0000>#Rejected#</COLOR> HN_NormalControlsMsg_None_Name,<COLOR FF0000>#Rejected#</COLOR> HN_NormalControlsMsg_None_Name,<COLOR FF0000>#Rejected#</COLOR> HN_NormalControlsMsg_None_Name,<COLOR FF0000>#Rejected#</COLOR> HN_NormalControlsMsg_None_Name,<COLOR FF0000>#Rejected#</COLOR> HN_NormalControlsMsg_None_Name,<COLOR FF0000>#Rejected#</COLOR> HN_NormalControlsMsg_None_Name,<COLOR FF0000>#Rejected#</COLOR> HN_NormalControlsMsg_None_Name,<COLOR FF0000>#Rejected#</COLOR> HN_NormalControlsMsg_None_Name,<COLOR FF0000>#Rejected#</COLOR> HN_NormalControlsMsg_None_Name,<COLOR FF0000>#Rejected#</COLOR> HN_NormalControlsMsg_None_Name,<COLOR FF0000>#Rejected#</COLOR> HN_NormalControlsMsg_None_Name,<COLOR FF0000>#Rejected#</COLOR> HN_NormalControlsMsg_None_Name,<COLOR FF0000>#Rejected#</COLOR> HN_NormalControlsMsg_None_Name,<COLOR FF0000>#Rejected#</COLOR> HN_NormalControlsMsg_None_Name,<COLOR FF0000>#Rejected#</COLOR> HN_NormalControlsMsg_None_Name,<COLOR FF0000>#Rejected#</COLOR> HN_NormalControlsMsg_None_Name,<COLOR FF0000>#Rejected#</COLOR> HN_NormalControlsMsg_None_Name,<COLOR FF0000>#Rejected#</COLOR> HN_NormalControlsMsg_None_Name,<COLOR FF0000>#Rejected#</COLOR> HN_NormalControlsMsg_None_Name,<COLOR FF0000>#Rejected#</COLOR> HN_NormalControlsMsg_None_Name,<COLOR FF0000>#Rejected#</COLOR> HN_NormalControlsMsg_None_Name,<COLOR FF0000>#Rejected#</COLOR> HN_NormalControlsMsg_None_Name
69cf5698-7efd-4495-adb9-63958c32ba1f,2438523192,HN_NormalControlsMsg_middle_01,ダッシュ,Dashing,Courir,Scattare,Sprinten,Esprintar,Рывок,Zryw,,,Acelerando,대시,衝刺,冲刺,,,,,,,,انطلاق,,,,,,,,,,,
8c9c6d0d-b320-4128-826b-4eaff23e152e,1919425602,HN_NormalControlsMsg_middle_02,回避,Evading,Esquiver,Schivare,Ausweichen,Esquivar,Уклонение,Uniki,,,Evadindo,회피,迴避,回避,,,,,,,,تفادٍ,,,,,,,,,,,
55d1eeb4-d5e2-42be-9882-4e358c0a80d8,1379330620,HN_NormalControlsMsg_middle_03,スライディング,Sliding,Glisse,Scivolare,Schlittern,Deslizarse,Скольжение,Wślizgi,,,Deslizando,슬라이딩,滑行,滑行,,,,,,,,انزلاق,,,,,,,,,,,
60666a1f-6af7-46c3-bf0c-bbd811396e6a,2621504031,HN_NormalControlsMsg_middle_04,起き上がり,Recovering From Attacks,Se relever,Riprendersi da attacchi,Von Angriffen erholen,Recuperarse,Восстановление от атак,Odzyskiwanie sił po atakach,,,Recuperação de Ataques,일어나기,起身,起身,,,,,,,,التعافي من الهجمات,,,,,,,,,,,
f9b9f056-4671-475b-bd80-2848e2947936,368642844,HN_NormalControlsMsg_middle_05,攻撃,Attacking,Attaquer,Attaccare,Angreifen,Atacar,Атака,Atakowanie,,,Atacando,공격,攻擊,攻击,,,,,,,,هجوم,,,,,,,,,,,
722e23fb-d569-4780-8cc6-8d581e8a25c8,188332158,HN_NormalControlsMsg_middle_06,ジャンプ攻撃,Attacking while Jumping,Attaquer en sautant,Attaccare durante un salto,Aus dem Sprung heraus angreifen,Ataque en salto,Атака в прыжке,Atakowanie podczas skoku,,,Atacando durante o pulo,점프 공격,跳躍攻擊,跳跃攻击,,,,,,,,الهجوم أثناء القفز,,,,,,,,,,,
2f56152f-57d9-49ba-812c-5e164aea8bcd,1610884489,HN_NormalControlsMsg_middle_07,アイテムの使用,Using Items,Utiliser des objets,Uso degli oggetti,Objekte benutzen,Usar objetos,Использование предметов,Używanie przedmiotów,,,Usando itens,아이템 사용,使用道具,使用道具,,,,,,,,استخدام عناصر,,,,,,,,,,,
f2630031-711b-4cec-9553-6d75c893748c,3554498802,HN_NormalControlsMsg_middle_08,猟具生物カゴ,Helper Cage,Cage à gadgets,Gabbia portatile,Helferkäfig,Jaula portátil,Клетка помощника,Klatka przenośna,,,Jaula Portátil,사냥보조생물채집함,獵具生物籠,猎具生物笼,,,,,,,,قفص المساعد,,,,,,,,,,,
c61c5bbf-2186-4c13-b3aa-b168f7fee960,2925902556,HN_NormalControlsMsg_middle_09,カスタムショートカット,Custom Radial Menu,Menu radial personnalisé,Scelta rapida,Angepasstes Tortenmenü,Menú radial personalizado,Пользовательское круговое меню,Własne menu kołowe,,,Menu Radial Personalizado,커스텀 숏컷,自訂捷徑,自定义快捷栏,,,,,,,,قائمة الاختصارات المخصصة,,,,,,,,,,,
fdf5951a-e5fd-43d4-9c8f-2bdbb1a37773,1144038717,HN_NormalControlsMsg_middle_10,斬れ味,Sharpness,Tranchant,Acutezza,Schärfe,Afilado,Острота,Ostrość,,,Fio,예리도,銳利度,锋利度,,,,,,,,الحدّة,,,,,,,,,,,
