guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
57b6b6b9-ac5c-4465-a6e4-31491021c4fe,4194711488,HN_NormalControlsMsg_command_01_MR,<OPT MELEE_ZL>+<MR MELEE_PL_ACTION_X_ATTACK>+<MR MELEE_PL_ACTION_A_ATTACK>,<OPT MELEE_ZL>+<MR MELEE_PL_ACTION_X_ATTACK>+<MR MELEE_PL_ACTION_A_ATTACK>,<OPT MELEE_ZL>+<MR MELEE_PL_ACTION_X_ATTACK>+<MR MELEE_PL_ACTION_A_ATTACK>,<OPT MELEE_ZL>+<MR MELEE_PL_ACTION_X_ATTACK>+<MR MELEE_PL_ACTION_A_ATTACK>,<OPT MELEE_ZL>+<MR MELEE_PL_ACTION_X_ATTACK>+<MR MELEE_PL_ACTION_A_ATTACK>,<OPT MELEE_ZL>+<MR MELEE_PL_ACTION_X_ATTACK>+<MR MELEE_PL_ACTION_A_ATTACK>,<OPT MELEE_ZL>+<MR MELEE_PL_ACTION_X_ATTACK>+<MR MELEE_PL_ACTION_A_ATTACK>,<OPT MELEE_ZL> + <MR MELEE_PL_ACTION_X_ATTACK> + <MR MELEE_PL_ACTION_A_ATTACK>,,,<OPT MELEE_ZL>+<MR MELEE_PL_ACTION_X_ATTACK>+<MR MELEE_PL_ACTION_A_ATTACK>,<OPT MELEE_ZL>+<MR MELEE_PL_ACTION_X_ATTACK>+<MR MELEE_PL_ACTION_A_ATTACK>,<OPT MELEE_ZL>+<MR MELEE_PL_ACTION_X_ATTACK>+<MR MELEE_PL_ACTION_A_ATTACK>,<OPT MELEE_ZL>+<MR MELEE_PL_ACTION_X_ATTACK>+<MR MELEE_PL_ACTION_A_ATTACK>,,,,,,,,<OPT MELEE_ZL>+<MR MELEE_PL_ACTION_X_ATTACK>+<MR MELEE_PL_ACTION_A_ATTACK>,,,,,,,,,,,
b277aca2-1198-48fc-b572-95131dd5c388,3085342167,HN_NormalControlsMsg_command_02_MR,<OPT RANGE_Gunner_RT>+<MR RANGE_PL_ACTION_X_ATTACK>+<MR RANGE_PL_ACTION_A_ATTACK>,<OPT RANGE_Gunner_RT>+<MR RANGE_PL_ACTION_X_ATTACK>+<MR RANGE_PL_ACTION_A_ATTACK>,<OPT RANGE_Gunner_RT>+<MR RANGE_PL_ACTION_X_ATTACK>+<MR RANGE_PL_ACTION_A_ATTACK>,<OPT RANGE_Gunner_RT>+<MR RANGE_PL_ACTION_X_ATTACK>+<MR RANGE_PL_ACTION_A_ATTACK>,<OPT RANGE_Gunner_RT>+<MR RANGE_PL_ACTION_X_ATTACK>+<MR RANGE_PL_ACTION_A_ATTACK>,<OPT RANGE_Gunner_RT>+<MR RANGE_PL_ACTION_X_ATTACK>+<MR RANGE_PL_ACTION_A_ATTACK>,<OPT RANGE_Gunner_RT>+<MR RANGE_PL_ACTION_X_ATTACK>+<MR RANGE_PL_ACTION_A_ATTACK>,<OPT RANGE_Gunner_RT> + <MR RANGE_PL_ACTION_X_ATTACK> + <MR RANGE_PL_ACTION_A_ATTACK>,,,<OPT RANGE_Gunner_RT>+<MR RANGE_PL_ACTION_X_ATTACK>+<MR RANGE_PL_ACTION_A_ATTACK>,<OPT RANGE_Gunner_RT>+<MR RANGE_PL_ACTION_X_ATTACK>+<MR RANGE_PL_ACTION_A_ATTACK>,<OPT RANGE_Gunner_RT>+<MR RANGE_PL_ACTION_X_ATTACK>+<MR RANGE_PL_ACTION_A_ATTACK>,<OPT RANGE_Gunner_RT>+<MR RANGE_PL_ACTION_X_ATTACK>+<MR RANGE_PL_ACTION_A_ATTACK>,,,,,,,,<OPT RANGE_Gunner_RT>+<MR RANGE_PL_ACTION_X_ATTACK>+<MR RANGE_PL_ACTION_A_ATTACK>,,,,,,,,,,,
4907129a-d74a-44a2-9636-23b5327e9fe7,1441862171,HN_NormalControlsMsg_command_03_MR,疾替え後、<ICON PAD_B>,"After Switch Skill Swap, <ICON PAD_B>","Après Transfert Talent de substitution, <ICON PAD_B>","Dopo inversione abilità scambio, <ICON PAD_B>",Nach Wechselkunst-Tausch <ICON PAD_B>,"Tras intercambiar habilidades, <ICON PAD_B>",После смены заместительного навыка <ICON PAD_B>,Po zmianie przełącz. umiejętności: <ICON PAD_B>,,,"Depois de mudança de Hab. de Troca, <ICON PAD_B>","신속 교체 후, <ICON PAD_B>",高速更換後<ICON PAD_B>,迅速切换后，<ICON PAD_B>,,,,,,,,بعد مبادلة مهارة التبديل، <ICON PAD_B>,,,,,,,,,,,
800c0486-f0ad-4630-8db1-c17d747c20f5,1670374839,HN_NormalControlsMsg_commandE_01_MR,剣士：疾替え,Blademaster: Switch Skill Swap,Épéiste : Transfert Talent de subst.,Spadaccino: inversione abilità scambio,Klingenmeister: Wechselkunst-Tausch,Espadachín: intercambiar habilidades,Мастер клинка: смена заместит. навыка,Mistrz ostrza: Zmiana przeł. umiejętności,,,Mestre de Lâminas: Mudança Hab. de Troca,검사: 신속 교체,劍士：高速更換,剑士：迅速切换,,,,,,,,سيد النصال: مبادلة مهارة التبديل,,,,,,,,,,,
4075b16f-abab-4038-927f-8b8f1c76ab56,314600635,HN_NormalControlsMsg_commandE_02_MR,ガンナー：疾替え,Gunner: Switch Skill Swap,Artilleur : Transfert Talent de subst.,Artigliere: inversione abilità scambio,Schütze: Wechselkunst-Tausch,Artillero: intercambiar habilidades,Стрелок: смена заместительного навыка,Strzelec: Zmiana przełącz. umiejętności,,,Atirador: Mudar Hab. de Troca,건너: 신속 교체,槍手：高速更換,枪手：迅速切换,,,,,,,,صياد: مبادلة مهارة التبديل,,,,,,,,,,,
541c1a82-f3ac-4d6c-8a5a-58bfa80857eb,1040084528,HN_NormalControlsMsg_commandE_03_MR,先駆け,Swap Evade,Transfert esquive,Scambio schivata,Tausch-Ausweichen,Evasión con intercambio,Замена-уклонение,Unik przy zmianie,,,Trocar Esquiva,돌진,衝鋒,冲锋,,,,,,,,مبادلة التفادي,,,,,,,,,,,
3c406b81-a5aa-4dc4-b7c4-27fb27b7154c,1546506405,HN_NormalControlsMsg_middle_01_MR,疾替え,Switch Skill Swap,Transfert Talent de substitution,Inv. abilità scambio,Wechselkunst ändern,Intercambio de habilidades,Смена заместительного навыка,Zmiana przełącz. umiejętności,,,Mudar Hab. de Troca,신속 교체,高速更換,迅速切换,,,,,,,,مبادلة مهارة التبديل,,,,,,,,,,,
d9662e1b-3932-4947-b755-078bc9b773a0,317136675,HN_NormalControlsMsg_middle_02_MR,先駆け,Swap Evade,Transfert esquive,Scambio schivata,Tausch-Ausweichen,Evasión con intercambio,Замена-уклонение,Unik przy zmianie,,,Trocar Esquiva,돌진,衝鋒,冲锋,,,,,,,,مبادلة التفادي,,,,,,,,,,,
97c18226-18bf-4e65-a9a4-3ef17e231b12,1892971197,HN_NormalControlsMsg_small_01_MR,"疾替えの書を切り替え、
<COL RED>使用する入れ替え技を変更することが
できます</COL>。
（納刀、抜刀状態ともに使用可能）","Toggling between the two scrolls allows
you to use different <COL RED>Switch Skill loadouts</COL>.

Note: Switch Skill Swap can be used with
your weapon sheathed or unsheathed.","Alterner entre les deux Parchemins vous
permet d'utiliser différents sets de
<COL RED>Talents de substitution</COL>.
Le Transfert Talent de substitution peut
être utilisé avec l'arme rengainée ou dégainée.","Passando da un rotolo a un altro, potrai
usare diversi <COL RED>set di abilità scambio</COL>.

Nota: Disponibile con l'arma
rinfoderata o sguainata.","Wenn du zwischen den beiden Rollen um-
schaltest, kannst du verschiedene
<COL RED>Wechselkunst-Sets</COL> benutzen.
Hinweis: Kann mit weggesteckter oder
gezogener Waffe verwendet werden.","Al alternar kakejikus puedes usar varios
<COL RED>sets de habilidades intercambiables</COL>.

Nota: puedes intercambiar habilidades tanto
con el arma enfundada como desenfundada.","Переключаясь между двумя свитками, можно
использовать разные <COL RED>комплекты
заместительных навыков</COL>.

Внимание: можно использовать как
с убранным, так и с не убранным оружием.","Przełączanie między dwoma zwojami
pozwala na użycie różnych <COL RED>zestawów
przełączanych umiejętności</COL>.

Można używać z dobytą i schowaną bronią.",,,"Ao alternar entre os 2 pergaminhos você
pode usar <COL RED>configs. de Hab. de Troca</COL>.

Obs: Pode ser usado com arma embainhada
ou desembainhada.","신속 교체의 서를 전환하여
<COL RED>사용하는 교체 기술을
변경할 수 있습니다</COL>.
(납도, 발도 상태 모두 사용 가능)","能夠切換速換之書，
並<COL RED>變更要使用的交換技</COL>。
（收刀及拔刀狀態下皆可使用）","可以切换迅速切换之书，
<COL RED>变更要使用的替换技</COL>。
（纳刀、拔刀状态皆可使用）",,,,,,,,"يتيح لك التبادل بين اللفافتين
استخدام <COL RED>إمدادات مهارة التبديل</COL> مختلفة.

ملاحظة: يمكن استخدامها
مع سلاحك سواءً كان مغمدًا أو غير مغمد.",,,,,,,,,,,
ea459ac1-01ad-4c4b-8d82-ad033935051d,604029166,HN_NormalControlsMsg_small_02_MR,"疾替えをおこなった後に<ICON PAD_B>を押すことで
派生する専用の回避アクションです。

前後左右に出すことができ、
使用する際にはスタミナを消費します。","A special dodging action performed by
pressing <ICON PAD_B> after a Switch Skill Swap.

Can be performed forward, backward, left
or right. Using it requires stamina.","Manœuvre d'esquive spéciale effectuée en
appuyant sur <ICON PAD_B> après un Transfert Talent
de substitution.
Peut être effectuée à l'arrière, en avant, à
gauche ou à droite. Nécessite de l'endurance.","Schivata speciale eseguita premendo <ICON PAD_B>
dopo un'inversione delle abilità scambio.

Può essere eseguita a sinistra, a destra,
in avanti o all'indietro. Per usarla,
avrai bisogno di resistenza.","Besondere Ausweich-Aktion, die durch
Drücken von <ICON PAD_B> nach einem Wechselkunst-
Tausch ausgeführt wird. Kann vorwärts,
rückwärts, nach links oder nach rechts
ausgeführt werden. Verbraucht Ausdauer.","Acción evasiva especial al pulsar <ICON PAD_B>
tras un intercambio de habilidades.
Se puede hacer hacia delante, hacia
atrás, hacia la izquierda o hacia la
derecha. Consume resistencia.","Особое уклонение, выполняемое нажатием
<ICON PAD_B> после смены заместительного навыка.

Можно выполнять вперед, назад, влево
или вправо. Восстанавливает
выносливость.","Naciśnij <ICON PAD_B>, aby wykonać specjalny unik
po zmianie przełączanej umiejętności.

Można go wykonać do przodu, do tyłu, w
lewo i w prawo. Wymaga wytrzymałości.",,,"Ação de esquiva especial executada ao
pressionar <ICON PAD_B> depois de uma mudança de
Hab. de Troca.

Pode ser feito para frente, para trás,
esquerda e direita. Requer Vigor.","신속 교체를 한 후에 <ICON PAD_B>를 누르면 파생되는
전용 회피 액션입니다.

전후좌우로 사용할 수 있으며
사용 시 스태미나를 소비합니다.","在高速更換後，按下<ICON PAD_B>
可接續施展專屬的迴避動作。

可向前後左右任意移動，
但使用需要消耗耐力。","迅速切换后，按<ICON PAD_B>衍生的专用回避动作。

可以朝前后左右回避，使用时会消耗耐力。",,,,,,,,"حركة مراوغة خاصة يتم إجراؤها
بالضغط على <ICON PAD_B> بعد مبادلة مهارة التبديل.

يمكنك إجراؤها للأمام، أو للخلف، أو لليسار، أو لليمين.
استخدامها يتطلب قوة تحمل.",,,,,,,,,,,
