guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
bc066a40-b52b-4e2b-ba5f-458c804e343a,502654936,HN_WCM_GreatSword_01,<COLOR FF0000>#Rejected#</COLOR> HN_WCM_GreatSword_01,<COLOR FF0000>#Rejected#</COLOR> HN_WCM_GreatSword_01,<COLOR FF0000>#Rejected#</COLOR> HN_WCM_GreatSword_01,<COLOR FF0000>#Rejected#</COLOR> HN_WCM_GreatSword_01,<COLOR FF0000>#Rejected#</COLOR> HN_WCM_GreatSword_01,<COLOR FF0000>#Rejected#</COLOR> HN_WCM_GreatSword_01,<COLOR FF0000>#Rejected#</COLOR> HN_WCM_GreatSword_01,<COLOR FF0000>#Rejected#</COLOR> HN_WCM_GreatSword_01,<COLOR FF0000>#Rejected#</COLOR> HN_WCM_GreatSword_01,<COLOR FF0000>#Rejected#</COLOR> HN_WCM_GreatSword_01,<COLOR FF0000>#Rejected#</COLOR> HN_WCM_GreatSword_01,<COLOR FF0000>#Rejected#</COLOR> HN_WCM_GreatSword_01,<COLOR FF0000>#Rejected#</COLOR> HN_WCM_GreatSword_01,<COLOR FF0000>#Rejected#</COLOR> HN_WCM_GreatSword_01,<COLOR FF0000>#Rejected#</COLOR> HN_WCM_GreatSword_01,<COLOR FF0000>#Rejected#</COLOR> HN_WCM_GreatSword_01,<COLOR FF0000>#Rejected#</COLOR> HN_WCM_GreatSword_01,<COLOR FF0000>#Rejected#</COLOR> HN_WCM_GreatSword_01,<COLOR FF0000>#Rejected#</COLOR> HN_WCM_GreatSword_01,<COLOR FF0000>#Rejected#</COLOR> HN_WCM_GreatSword_01,<COLOR FF0000>#Rejected#</COLOR> HN_WCM_GreatSword_01,<COLOR FF0000>#Rejected#</COLOR> HN_WCM_GreatSword_01,<COLOR FF0000>#Rejected#</COLOR> HN_WCM_GreatSword_01,<COLOR FF0000>#Rejected#</COLOR> HN_WCM_GreatSword_01,<COLOR FF0000>#Rejected#</COLOR> HN_WCM_GreatSword_01,<COLOR FF0000>#Rejected#</COLOR> HN_WCM_GreatSword_01,<COLOR FF0000>#Rejected#</COLOR> HN_WCM_GreatSword_01,<COLOR FF0000>#Rejected#</COLOR> HN_WCM_GreatSword_01,<COLOR FF0000>#Rejected#</COLOR> HN_WCM_GreatSword_01,<COLOR FF0000>#Rejected#</COLOR> HN_WCM_GreatSword_01,<COLOR FF0000>#Rejected#</COLOR> HN_WCM_GreatSword_01,<COLOR FF0000>#Rejected#</COLOR> HN_WCM_GreatSword_01,<COLOR FF0000>#Rejected#</COLOR> HN_WCM_GreatSword_01
56f6103b-55b0-48a9-a1ec-95db544367f5,764031788,HN_WeaponControlsMsg_Major_01,ボタンの役割,Controls,Commandes,Comandi,Steuerung,Controles,Управление,Sterowanie,,,Controles,버튼 역할,按鍵用途,按键用途,,,,,,,,عناصر التحكم,,,,,,,,,,,
0c57bb07-d438-44b5-b42a-5b825a5d7e65,1538198534,HN_WeaponControlsMsg_Major_02,ボタンの役割（斧）,Controls (Axe),Commandes (hache),Comandi (ascia),Steuerung (Axt),Controles (hacha),Управление (топор),Sterowanie (topór),,,Controles (Machado),버튼 역할(도끼),按鍵用途（斧）,按键用途（斧）,,,,,,,,عناصر التحكم (الفأس),,,,,,,,,,,
3a446ed2-c0da-4259-a1c4-25e8737b7f45,708106815,HN_WeaponControlsMsg_Major_03,ボタンの役割（剣）,Controls (Sword),Commandes (épée),Comandi (spada),Steuerung (Schwert),Controles (espada),Управление (меч),Sterowanie (miecz),,,Controles (Espada),버튼 역할(검),按鍵用途（劍）,按键用途（剑）,,,,,,,,عناصر التحكم (السيف),,,,,,,,,,,
cd5051d0-823e-4eb0-af04-b52792ac6190,4195561137,HN_WeaponControlsMsg_Major_04,旋律効果,Melody Effects,Effets de mélodie,Effetti melodia,Melodie-Effekte,Efectos de melodía,Эффекты мелодии,Efekty melodii,,,Efeitos de Melodia,선율 효과,旋律效果,旋律效果,,,,,,,,تأثيرات اللحن,,,,,,,,,,,
a1efbda2-cce4-4411-aea0-a79da2365c72,3017640391,HN_WeaponControlsMsg_Major_05,オススメコンボ,Useful Combos,Combos,Combo,Nützliche Kombos,Combos útiles,Полезные комбо,Przydatne kombinacje,,,Combos úteis,추천 콤보,推薦連擊,推荐连击,,,,,,,,ضربات متواصلة مفيدة,,,,,,,,,,,
78d677e6-63bd-4ecc-a8e0-acbcf4bad4db,223062923,HN_WeaponControlsMsg_command_01,<ICON PAD_X>,<ICON PAD_X>,<ICON PAD_X>,<ICON PAD_X>,<ICON PAD_X>,<ICON PAD_X>,<ICON PAD_X>,<ICON PAD_X>,,,<ICON PAD_X>,<ICON PAD_X>,<ICON PAD_X>,<ICON PAD_X>,,,,,,,,<ICON PAD_X>,,,,,,,,,,,
f95071eb-dc1d-4d5a-8535-f0d7a1241819,4228638337,HN_WeaponControlsMsg_command_01_Bow,<OPT Bow_X>,<OPT Bow_X>,<OPT Bow_X>,<OPT Bow_X>,<OPT Bow_X>,<OPT Bow_X>,<OPT Bow_X>,<OPT Bow_X>,,,<OPT Bow_X>,<OPT Bow_X>,<OPT Bow_X>,<OPT Bow_X>,,,,,,,,<OPT Bow_X>,,,,,,,,,,,
26b2521d-7b73-4b1e-9eed-b4ecfa728e02,3476334110,HN_WeaponControlsMsg_command_02,<ICON PAD_A>,<ICON PAD_A>,<ICON PAD_A>,<ICON PAD_A>,<ICON PAD_A>,<ICON PAD_A>,<ICON PAD_A>,<ICON PAD_A>,,,<ICON PAD_A>,<ICON PAD_A>,<ICON PAD_A>,<ICON PAD_A>,,,,,,,,<ICON PAD_A>,,,,,,,,,,,
d07fa6ee-5512-4528-af38-cf9782461d52,1892136835,HN_WeaponControlsMsg_command_02_Bowgun,<OPT Bowgun_A>,<OPT Bowgun_A>,<OPT Bowgun_A>,<OPT Bowgun_A>,<OPT Bowgun_A>,<OPT Bowgun_A>,<OPT Bowgun_A>,<OPT Bowgun_A>,,,<OPT Bowgun_A>,<OPT Bowgun_A>,<OPT Bowgun_A>,<OPT Bowgun_A>,,,,,,,,<OPT Bowgun_A>,,,,,,,,,,,
