guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
60b1269c-6e8f-4c5b-8a55-5c05397a2267,2263302264,HN_WeaponControlsMsg_command_86_MR,<OPT ZL>+<ICON PAD_X>+<ICON PAD_A>,<OPT ZL>+<ICON PAD_X>+<ICON PAD_A>,<OPT ZL>+<ICON PAD_X>+<ICON PAD_A>,<OPT ZL> + <ICON PAD_X> + <ICON PAD_A>,<OPT ZL>+<ICON PAD_X>+<ICON PAD_A>,<OPT ZL>+<ICON PAD_X>+<ICON PAD_A>,<OPT ZL>+<ICON PAD_X>+<ICON PAD_A>,<OPT ZL> + <ICON PAD_X> + <ICON PAD_A>,,,<OPT ZL>+<ICON PAD_X>+<ICON PAD_A>,<OPT ZL>+<ICON PAD_X>+<ICON PAD_A>,<OPT ZL>+<ICON PAD_X>+<ICON PAD_A>,<OPT ZL>+<ICON PAD_X>+<ICON PAD_A>,,,,,,,,<OPT ZL>+<ICON PAD_X>+<ICON PAD_A>,,,,,,,,,,,
470c249a-7ce7-4027-840c-61a6b0365d97,4273480371,HN_WeaponControlsMsg_command_87_MR,<OPT Gunner_RT>+<ICON PAD_X>+<ICON PAD_A>,<OPT Gunner_RT>+<ICON PAD_X>+<ICON PAD_A>,<OPT Gunner_RT>+<ICON PAD_X>+<ICON PAD_A>,<OPT Gunner_RT> + <ICON PAD_X> + <ICON PAD_A>,<OPT Gunner_RT>+<ICON PAD_X>+<ICON PAD_A>,<OPT Gunner_RT>+<ICON PAD_X>+<ICON PAD_A>,<OPT Gunner_RT>+<ICON PAD_X>+<ICON PAD_A>,<OPT Gunner_RT> + <ICON PAD_X> + <ICON PAD_A>,,,<OPT Gunner_RT>+<ICON PAD_X>+<ICON PAD_A>,<OPT Gunner_RT>+<ICON PAD_X>+<ICON PAD_A>,<OPT Gunner_RT>+<ICON PAD_X>+<ICON PAD_A>,<OPT Gunner_RT>+<ICON PAD_X>+<ICON PAD_A>,,,,,,,,<OPT Gunner_RT>+<ICON PAD_X>+<ICON PAD_A>,,,,,,,,,,,
4f6a42fc-c87d-46b1-b4d6-b58b88508b5d,4273240082,HN_WeaponControlsMsg_command_88_MR,<OPT ZL>+<ICON ANALOG_LS>+<ICON PAD_X>,<OPT ZL>+<ICON ANALOG_LS>+<ICON PAD_X>,<OPT ZL>+<ICON ANALOG_LS>+<ICON PAD_X>,<OPT ZL> + <ICON ANALOG_LS> + <ICON PAD_X>,<OPT ZL>+<ICON ANALOG_LS>+<ICON PAD_X>,<OPT ZL> + <ICON ANALOG_LS> + <ICON PAD_X>,<OPT ZL>+<ICON ANALOG_LS>+<ICON PAD_X>,<OPT ZL> + <ICON ANALOG_LS> + <ICON PAD_X>,,,<OPT ZL>+<ICON ANALOG_LS>+<ICON PAD_X>,<OPT ZL>+<ICON ANALOG_LS>+<ICON PAD_X>,<OPT ZL>+<ICON ANALOG_LS>+<ICON PAD_X>,<OPT ZL>+<ICON ANALOG_LS>+<ICON PAD_X>,,,,,,,,<OPT ZL>+<ICON ANALOG_LS>+<ICON PAD_X>,,,,,,,,,,,
419ae20f-27e9-4433-a24d-795980238f15,3326681100,HN_WeaponControlsMsg_command89_MR,<OPT ZL><ICON PAD_Release>,<OPT ZL><ICON PAD_Release>,<OPT ZL><ICON PAD_Release>,<OPT ZL><ICON PAD_Release>,<OPT ZL><ICON PAD_Release>,<OPT ZL><ICON PAD_Release>,<OPT ZL><ICON PAD_Release>,<OPT ZL><ICON PAD_Release>,,,<OPT ZL><ICON PAD_Release>,<OPT ZL><ICON PAD_Release>,<OPT ZL><ICON PAD_Release>,<OPT ZL><ICON PAD_Release>,,,,,,,,<OPT ZL><ICON PAD_Release>,,,,,,,,,,,
bc028f7b-28e9-4002-aaf5-e764553c11bc,2233692173,HN_WeaponControlsMsg_command90_MR,<OPT Blader_ZR>+<ICON ANALOG_LS>,<OPT Blader_ZR>+<ICON ANALOG_LS>,<OPT Blader_ZR>+<ICON ANALOG_LS>,<OPT Blader_ZR> + <ICON ANALOG_LS>,<OPT Blader_ZR>+<ICON ANALOG_LS>,<OPT Blader_ZR> + <ICON ANALOG_LS>,<OPT Blader_ZR>+<ICON ANALOG_LS>,<OPT Blader_ZR> + <ICON ANALOG_LS>,,,<OPT Blader_ZR>+<ICON ANALOG_LS>,<OPT Blader_ZR>+<ICON ANALOG_LS>,<OPT Blader_ZR>+<ICON ANALOG_LS>,<OPT Blader_ZR>+<ICON ANALOG_LS>,,,,,,,,<OPT Blader_ZR>+<ICON ANALOG_LS>,,,,,,,,,,,
6d5cc7cf-017f-4b47-8198-466fb378905a,1616834197,HN_WeaponControlsMsg_skill_common_01_MR,疾替え,Switch Skill Swap,Transfert Talent de substitution,Inv. abilità scambio,Wechselkunst ändern,Intercambio de habilidades,Смена замест. навыка,Zmiana przełącz. umiejętn.,,,Mudar Hab. de Troca,신속 교체,高速更換,迅速切换,,,,,,,,مبادلة مهارة التبديل,,,,,,,,,,,
7c5c29a7-7924-4f0c-b8b2-d10f387af1fd,2043895992,HN_WeaponControlsMsg_skill_common_02_MR,先駆け,Swap Evade,Transfert esquive,Scambio schivata,Tausch-Ausweichen,Evasión con intercambio,Замена-уклонение,Unik przy zmianie,,,Trocar Esquiva,돌진,衝鋒,冲锋,,,,,,,,مبادلة التفادي,,,,,,,,,,,
af7b0fc4-2341-4337-84bf-87d18e59dac0,3496945310,HN_WeaponControlsMsg_skill_GreatSword_50_MR,流斬り連携,Surge Slash Combo,Combo Attaque débordante,Combo fendente esteso,Wellenhieb-Kombo,Combo de tajo prominente,Комбо всплеска с разрезом,Komb. napierających cięć,,,Combo Corte de Surto,수류베기 연계,流水風格連續技,流斩连段,,,,,,,,مزيج ضربة الاندفاع,,,,,,,,,,,
fbda7b44-5df0-44a1-9114-5cb2ed604906,706076239,HN_WeaponControlsMsg_skill_GreatSword_51_MR,降流斬りⅠ,Falling Slash I,Attaque plongeante I,Fendente in caduta I,Fallhieb I,Tajo en caída I,Падающий удар 1,Spadające cięcie I,,,Corte Descendente I,강류베기Ⅰ,降流斬Ⅰ,降流斩Ⅰ,,,,,,,,ضربة السقوط 1,,,,,,,,,,,
2a6e5101-a5a6-4511-a9fa-7c3103e890ca,1343057371,HN_WeaponControlsMsg_skill_GreatSword_52_MR,降流斬りⅡ,Falling Slash II,Attaque plongeante II,Fendente in caduta II,Fallhieb II,Tajo en caída II,Падающий удар 2,Spadające cięcie II,,,Corte Descendente II,강류베기Ⅱ,降流斬Ⅱ,降流斩Ⅱ,,,,,,,,ضربة السقوط 2,,,,,,,,,,,
fb433b25-c225-4dad-b7e3-5fc6123777a6,1207279622,HN_WeaponControlsMsg_skill_GreatSword_53_MR,降流斬りⅢ,Falling Slash III,Attaque plongeante III,Fendente in caduta III,Fallhieb III,Tajo en caída III,Падающий удар 3,Spadające cięcie III,,,Corte Descendente III,강류베기Ⅲ,降流斬Ⅲ,降流斩Ⅲ,,,,,,,,ضربة السقوط 3,,,,,,,,,,,
773678db-a3cc-43f9-a7be-cb50fa41b6ba,1877316452,HN_WeaponControlsMsg_skill_GreatSword_54_MR,渦流斬りⅠ,Vortex Slash I,Attaque vortex I,Fendente vorticante I,Strudelhieb I,Tajo torbellino I,Удар-вихрь 1,Spiralne cięcie I,,,Corte Vórtice I,와류베기Ⅰ,渦流斬Ⅰ,涡流斩Ⅰ,,,,,,,,ضربة الدوامة 1,,,,,,,,,,,
761e1232-cde8-4bab-924b-3d76059bd0f3,449296620,HN_WeaponControlsMsg_skill_GreatSword_55_MR,渦流斬りⅡ,Vortex Slash II,Attaque vortex II,Fendente vorticante II,Strudelhieb II,Tajo torbellino II,Удар-вихрь 2,Spiralne cięcie II,,,Corte Vórtice II,와류베기Ⅱ,渦流斬Ⅱ,涡流斩Ⅱ,,,,,,,,ضربة الدوامة 2,,,,,,,,,,,
80d8b01e-1a6c-4b13-9039-4b47ba1e3664,1697839390,HN_WeaponControlsMsg_skill_GreatSword_56_MR,渦流斬りⅢ,Vortex Slash III,Attaque vortex III,Fendente vorticante III,Strudelhieb III,Tajo torbellino III,Удар-вихрь 3,Spiralne cięcie III,,,Corte Vórtice III,와류베기Ⅲ,渦流斬Ⅲ,涡流斩Ⅲ,,,,,,,,ضربة الدوامة 3,,,,,,,,,,,
85d37601-b0c0-471f-b350-0173bd9e1176,2567648233,HN_WeaponControlsMsg_skill_GreatSword_57_MR,昇流斬りⅠ,Rising Slash I,Attaque montante I,Montante I,Aufwärtshieb I,Tajo ascendente I,Восходящий удар 1,Cięcie w górę I,,,Corte Ascendente I,승류베기Ⅰ,昇流斬Ⅰ,升流斩Ⅰ,,,,,,,,ضربة قاطعة من الأرض 1,,,,,,,,,,,
ed6123f4-8f02-47b2-b2b8-58feacdb75b0,319879489,HN_WeaponControlsMsg_skill_GreatSword_58_MR,昇流斬りⅡ,Rising Slash II,Attaque montante II,Montante II,Aufwärtshieb II,Tajo ascendente II,Восходящий удар 2,Cięcie w górę II,,,Corte Ascendente II,승류베기Ⅱ,昇流斬Ⅱ,升流斩Ⅱ,,,,,,,,ضربة قاطعة من الأرض 2,,,,,,,,,,,
bae9033c-7836-4b2e-be29-4c37f77bfca6,2565007421,HN_WeaponControlsMsg_skill_GreatSword_59_MR,昇流斬りⅢ,Rising Slash III,Attaque montante III,Montante III,Aufwärtshieb III,Tajo ascendente III,Восходящий удар 3,Cięcie w górę III,,,Corte Ascendente III,승류베기Ⅲ,昇流斬Ⅲ,升流斩Ⅲ,,,,,,,,ضربة قاطعة من الأرض 3,,,,,,,,,,,
db85435b-f60c-49bc-b590-c231fd3a264a,1624758572,HN_WeaponControlsMsg_skill_GreatSword_60_MR,溜め斬り連携,Charged Slash Combo,Combo Attaque chargée,Combo fendente caricato,Aufgeladener-Hieb-Kombo,Combo de tajo cargado,Комбо Заряженного удара,Komb. naładowanych cięć,,,Combo de Corte Energizado,모아베기 연계,蓄力風格連續技,蓄力斩连段,,,,,,,,ضربات متتالية من الضربة القاطعة المشحونة,,,,,,,,,,,
e612dd04-30e3-42f3-b614-7c6c5960eaf9,1027903319,HN_WeaponControlsMsg_skill_GreatSword_61_MR,威糸呵成の構え,Strongarm Stance,Position de l'intrépide,Isteria,Raufbold-Stand,Guardia forzuda,Стойка «Штык-нож»,Mocna równowaga,,,Postura Braço Forte,위사가성의 자세,一絲呵成之型,一丝呵成架势,,,,,,,,وضعية الذراع القوية,,,,,,,,,,,
d589f976-97cd-447f-9ad3-a5c10eb346a3,595926948,HN_WeaponControlsMsg_skill_GreatSword_62_MR,バックスライド,Backslide,Glissade arrière,Scivolata all'indietro,Rückfall,Escurrimiento atrás,Скольжение назад,Tyłoślizg,,,Retrodeslizamento,백 슬라이드,後撤滑步,后退滑步,,,,,,,,انزلاق خلفي,,,,,,,,,,,
c6dd9949-f28a-478e-93a3-9e4728cb79f7,3288136723,HN_WeaponControlsMsg_skill_LongSword_50_MR,威合,Sacred Sheathe Combo,Combo avec Rengainage sacré,Combo rinfodero sacro,Heiligscheiden-Kombo,Combo de envainado sagrado,Свящ. комбо с убир. оружия,Kombin. świętego chowania,,,Combo Embainhada Sagrada,위합,威合,神威居合,,,,,,,,الضربات المتتالية لغمد السلاح المقدس,,,,,,,,,,,
98c16718-ce14-4861-b69f-7589cc51908f,868470811,HN_WeaponControlsMsg_skill_LongSword_51_MR,威合受け流し,Sacred Sheathe Counter,Contre avec Rengainage sacré,Contrattacco rinfodero sacro,Heiligscheiden-Konter,Contraataque env. sagrado,Св. контрат. с уб. оружия,Kontra świętego chowania,,,Contra-ataque Emb. Sagrada,위합 받아넘기기,威合招架,神威居合化解,,,,,,,,مقاومة غمد السلاح المقدس,,,,,,,,,,,
