guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
447efa0a-9c2a-4a33-a64d-09a37f8ff025,3435568417,W_Hammer_000_Explain,"ハンマーがまだ一般化する前、
一人の老ハンターが愛用した
武器。無骨なデザイン。","The trusty weapon of an old
hunter before hammers were
""in."" Looks rather crude...","Arme fidèle d'un vieux
chasseur, avant la mode des
marteaux. Aspect grossier.","L'arma di un cacciatore
prima che i martelli fossero
""in"". Sembra un po' rozza...","Die treue Waffe eines alten
Jägers, bevor Hämmer in
Mode kamen. Eher plump.","La fiel arma de un viejo
cazador antes de que usar
martillos estuviera de moda.","Верное оружие старого
охотника до популярности
молотов. Выглядит грубо...","Sprawdzony młot łowcy
z dawnych czasów.
Wygląda prymitywnie...",,,"Arma fiel de velho caçador,
antes de martelos estarem na
moda. Bem grosseira...","해머가 대중적이지 않을 때
한 노인 헌터가 애용했다는
무기. 수수한 디자인.","在大錘尚未普及之前，
一名老獵人喜歡使用的武器。
設計風格粗獷不羈。","在大锤尚未普及之前，
一名老猎人喜欢使用的武器。
设计风格粗犷不羁。",,,,,,,,"كان مظهر السلاح القديم لصياد
وحوش كبير قبل ""استخدام""
المطارق أوليًا إلى حدٍ ما...",,,,,,,,,,,
16b71318-53fc-491f-84e2-902007f9bd79,3340371786,W_Hammer_001_Explain,"オニノクロガネと称される、
アイアンハンマーの強化型。
鬼の拳の如き威力を誇る。","A stronger iron hammer.
Strikes with demonic
strength and hellish fury.","La fureur et la puissance de
ses coups sont redoutables.
Base : Marteau de fer","Potenziamento del martello
di ferro. Colpisce con forza
demoniaca e furia infernale.","Ein stärkerer Eisenhammer.
Trifft mit dämonischer Kraft
und dem Zorn der Hölle.","Martillo de hierro mejorado.
Golpea con fuerza demoníaca
y furia infernal.","Более мощный железный молот.
Он бьет с демонической
силой и адской яростью.","Mocniejszy żelazny młot.
Uderza z demoniczną siłą
i piekielną furią.",,,"Martelo de ferro mais forte.
Golpeia com força demoníaca
e fúria infernal.","오니노쿠로가네라 불리는
강화형 아이언해머. 도깨비의
주먹 같은 위력을 자랑한다.","鐵錘的強化型態，
人稱鬼之黑鐵。
擁有鬼拳般的傲人威力。","铁锤的强化型，
人称鬼之黑铁。
拥有傲人的鬼拳般威力。",,,,,,,,"مطرقة حديدية قوية.
تضرب بقوة شيطانية
وغضب رهيب.",,,,,,,,,,,
d913c2ca-f69d-4ebc-8734-3abacd099831,1691757002,W_Hammer_002_Explain,"先端を尖らせた鉄製ハンマー。
シンプルな構造だが、
扱い次第で強力な威力を得る。","A hammer with a sharp tip.
Its simple design belies the
sheer power of its blows.","Marteau de fer au bec acéré.
Son apparence rudimentaire
dissimule une arme mortelle.","Martello con punta affilata.
Il suo stile spartano cela
una potenza devastante.","Hammer mit scharfer Spitze.
Das einfache Design verrät
seine enorme Kraft nicht.","Martillo con una punta
afilada. Su sencillez oculta
la potencia de sus golpes.","Молот с острым концом.
С виду простой, но
очень мощный.","Młot z ostrą głową.
Jego prosta konstrukcja
maskuje siłę uderzeń.",,,"Martelo com ponta afiada.
Seu formato simples esconde
o poder de seus golpes.","끝부분을 뾰족하게 만든 철제
해머. 심플한 구조지만 잘
쓰면 강력한 위력을 발휘한다.","頂端銳利的鐵制大錘。
構造簡單，但用法得當
就可發揮出強大的威力。","顶端锐利的铁制大锤。
构造简单，但用法得当
就可发挥出强大的威力。",,,,,,,,"مطرقة ذات طرف حاد.
لا يوحي تصميمها البسيط
بالقوة الهائلة لضربتها.",,,,,,,,,,,
3db13c6d-0b9b-411c-824b-4ee650256a96,3583752640,W_Hammer_003_Explain,"先端を尖らせることで飛躍的に
殺傷力を高めた鉄製の鎚。
手軽に手に入ることも魅力。","An iron hammer with a sharp
tip to increase deadliness.
An easy weapon to obtain.","Un marteau facile à obtenir
au bec affûté et mortel.
Base : Marteau de guerre","Martello di ferro con una
letale punta affilata.
Facile da reperire.","Ein Eisenhammer mit tödlich
scharfer Spitze, der leicht
zu bekommen ist.","Martillo de hierro con una
punta afilada mortal.
Fácil de conseguir.","Железный молот с острым
концом для большей смерто-
носности. Его легко получить.","Żelazny młot z ostrą głową
wzmacniającą uderzenia.
Łatwa do zdobycia broń.",,,"Martelo de ferro com ponta
afiada, ainda mais letal.
Arma fácil de obter.","끝부분을 뾰족하게 만들어
살상력을 높인 철제 해머.
쉽게 구할 수 있는 게 매력.","透過將前端磨至銳利，
來大幅提升殺傷力的鐵錘。
易於取得這點也非常有魅力。","通过磨利尖头，
大幅增强杀伤力的铁制锤。
容易获取也是亮点之一。",,,,,,,,"مطرقة حديدية ذات طرف حاد
لزيادة الفتك. سلاح
يمكن الحصول عليه بسهولة.",,,,,,,,,,,
86377029-6265-429a-b1be-87ff0ce79c17,3281905793,W_Hammer_004_Explain,"回転する弾倉に仕込まれた爆薬
が打撃と共に爆発する機械鎚。
工房最高技術の結晶である。","A testament to modern tech.
Powder in a revolving
magazine explodes on impact.","Un éloge de la modernité. La
poudre dans le magasin
rotatif explose à l'impact.","Un gioiello tecnologico con
un caricatore di polvere
che esplode all'impatto.","Verkörpert moderne Technik.
Pulver in einem Dreh-Magazin
explodiert beim Aufprall.","Prueba de los avances de
la tecnología. Lleva pólvora
que explota al impactar.","Результат новой технологии.
Порох во вращающейся
обойме взрывается при ударе.","Wytwór nowej technologii.
Proch w obrotowym magazynku
eksploduje przy uderzeniu.",,,"Um exemplo de tecnologia
moderna. Pólvora em tambor;
gira e explode ao contato.","회전하는 탄창에 담긴 탄약이
타격과 동시에 폭발하는 해머.
공방 최고 기술의 결정체.","打擊時會同時引爆旋轉彈匣中
裝填的炸藥。這機械錘
是工房最頂尖的技術結晶。","爆炸锤旋转弹仓中填充的炸药
会随着打击一起爆炸。
这是工坊最高技术的结晶。",,,,,,,,"دليل على التكنولوجيا الحديثة
. مسحوق في مخزن ذخيرة دوّار
ينفجر عند الاصطدام.",,,,,,,,,,,
f3b90a6f-4980-4f7b-af62-128d1f90beac,3490699113,W_Hammer_005_Explain,"回転する弾倉に仕込まれた爆薬
が打撃と共に爆発する機械鎚。
工房最高技術の結晶である。","A testament to modern tech.
Powder in a revolving
magazine explodes on impact.","Un éloge de la modernité. La
poudre dans le magasin
rotatif explose à l'impact.","Un gioiello tecnologico con
un caricatore di polvere
che esplode all'impatto.","Verkörpert moderne Technik.
Pulver in einem Dreh-Magazin
explodiert beim Aufprall.","Prueba de los avances de
la tecnología. Lleva pólvora
que explota al impactar.","Результат новой технологии.
Порох во вращающейся
обойме взрывается при ударе.","Wytwór nowej technologii.
Proch w obrotowym magazynku
eksploduje przy uderzeniu.",,,"Um exemplo de tecnologia
moderna. Pólvora em tambor;
gira e explode ao contato.","회전하는 탄창에 담긴 탄약이
타격과 동시에 폭발하는 해머.
공방 최고 기술의 결정체.","打擊時會同時引爆旋轉彈匣中
裝填的炸藥。這機械錘
是工房最頂尖的技術結晶。","爆炸锤旋转弹仓中填充的炸药
会随着打击一起爆炸。
这是工坊最高技术的结晶。",,,,,,,,"دليل على التكنولوجيا الحديثة
. مسحوق في مخزن ذخيرة دوّار
ينفجر عند الاصطدام.",,,,,,,,,,,
c18c0628-044f-406c-ba72-a3b8bfce21e3,3709057047,W_Hammer_006_Explain,"何者にも屈せず自由を求めた男
が使用した撃滅の破壊鎚。立ち
塞がる全ての壁を打ち砕く。","The Gun Hammer's enhanced
form. Perfect for the
wanderer who bows to no one.","Pour les épris de liberté
qui ne reculent devant rien.
Base : Marteau fusil","Martello esplosivo
potenziato. Per anime libere
che rifiutano di inchinarsi.","Verstärkter Schusshammer.
Ideal für all jene, die vor
niemandem das Knie beugen.","Martillo pistola mejorado.
Ideal para hombres sin dueño
en busca de libertad.","Улучшенное Ружье-молот.
Идеально для странника,
который никому не кланяется.","Ulepszony strzelający młot.
Idealny dla wędrowca,
który nikomu się nie kłania.",,,"Martelarma aprimorado.
Perfeito para andarilhos que
não servem a ninguém.","자유를 추구한 남자가 사용한
격멸의 파괴추. 막아서는
모든 벽을 때려 부순다.","曾有位從不屈服、追尋自由的
男性用過這破壞力強大的毀滅
之錘。能夠打破眼前一切阻礙。","昂首面对一切、追寻自由的男子
用过这把歼灭性的破坏锤。
会击碎所有阻挡前路的墙壁。",,,,,,,,"الشكل المُحسن لزناد
البندقية. مثالية للرحالة
الذي لا ينحني لأحد.",,,,,,,,,,,
b996b071-07e6-4c24-99dc-e5fe00722d9d,3117203962,W_Hammer_007_Explain,"超硬度の結晶を集めて作られた
武器。本来は天文学的価格
だが、ギルドの厚意で提供。","Made of the hardest of
crystals. Absurdly priced,
it is offered by the Guild.","À base de cristaux.
D'ordinaire hors de prix,
mais proposée par la Guilde.","Fatta con il più duro dei
cristalli. Costosissima,
viene offerta dalla Gilda.","Aus härtestem Kristall. Wird
für einen absurd hohen Preis
von der Gilde angeboten.","Hecho con el más duro de
los cristales y muy caro.
Disponible en el gremio.","Изготовлена из самых твердых
кристаллов. Гильдия
выставляет абсурдные цены.","Z najtwardszych kryształów.
Absurdalnie wyceniony,
w ofercie Gildii.",,,"Feito com os cristais mais
duros. Com preço absurdo,
é oferecido pela Guilda.","단단한 결정을 모아서 만든
무기. 천문학적인 가격이지만
길드의 호의로 제공된다.","收集高硬度的結晶製成的武器。
此錘的價格原為天文數字，
但公會將盛情供應。","收集高硬度的结晶制成的武器。
此锤的价格原为天文数字，
但公会将盛情提供。",,,,,,,,"مصنوعة من أصلب
البلورات. تقدمها النقابة
بسعر غير معقول.",,,,,,,,,,,
f59ad1f9-2dd1-4fd6-9282-9072c0a0141d,2767496164,W_Hammer_008_Explain,"超硬度の結晶を集めて作られた
武器。本来は天文学的価格
だが、ギルドの厚意で提供。","Made of the hardest of
crystals. Absurdly priced,
it is offered by the Guild.","À base de cristaux.
D'ordinaire hors de prix,
mais proposée par la Guilde.","Fatta con il più duro dei
cristalli. Costosissima,
viene offerta dalla Gilda.","Aus härtestem Kristall. Wird
für einen absurd hohen Preis
von der Gilde angeboten.","Hecho con el más duro de
los cristales y muy caro.
Disponible en el gremio.","Изготовлена из самых твердых
кристаллов. Гильдия
выставляет абсурдные цены.","Z najtwardszych kryształów.
Absurdalnie wyceniony,
w ofercie Gildii.",,,"Feito com os cristais mais
duros. Com preço absurdo,
é oferecido pela Guilda.","단단한 결정을 모아서 만든
무기. 천문학적인 가격이지만
길드의 호의로 제공된다.","收集高硬度的結晶製成的武器。
此錘的價格原為天文數字，
但公會將盛情供應。","收集高硬度的结晶制成的武器。
此锤的价格原为天文数字，
但公会将盛情提供。",,,,,,,,"مصنوعة من أصلب
البلورات. تقدمها النقابة
بسعر غير معقول.",,,,,,,,,,,
483341d9-ebe4-4700-8c97-069fd1cebd81,2003857539,W_Hammer_009_Explain,"数多の鉱石を用いて加工された
グレートノヴァ強化版。新星を
思わせる輝きを鎚頭から放つ。","Great Nova's enhanced form.
Made from various ores and
shines like a brilliant star.","Composée de minerais variés,
elle luit telle une étoile.
Base : Grande nova","Grande Nova potenziata.
È composta di vari minerali
e brilla come una stella.","Verbesserte Große Nova.
Aus verschiedenen Metallen
gefertigt. Hell wie ein Stern.","Gran Nova finalizado.
Hecho con varios minerales,
brilla como una estrella.","Улучшенная форма Большой
новой звезды. Сделана из
руд, сияющих как звезда.","Ulepszenie Wielkiej Gwiazdy.
Wykonany z różnych rud,
świeci jak gwiazda.",,,"Forma melhorada do Grande
nova. Feito de minérios que
brilham como uma estrela.","무수한 광석을 사용해 가공한
강화판 그레이트노바. 머리에
별이 연상되는 빛이 난다.","以眾多礦石加工而成的
超新星的強化版。
錘頭閃耀的光芒仿若新星。","使用众多矿石加工而成的
超级新星强化版。
锤头闪耀的光芒仿若新星。",,,,,,,,"الشكل المُحسن للنجم المستعر
العظيم. مصنوعة من خامات
مختلفة و تضيء كنجم لامع.",,,,,,,,,,,
