guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
0c8983ab-464f-4168-9964-e7ad5f27b951,1199172198,W_Hammer_300_Explain,"この鎚に潰された獲物は骨一つ
残さず闇に溶ける。カムラの
里の職人が生んだまさに傑作。","A true Kamura masterpiece.
It's lights out for anything
that gets struck by this.","Un chef-d'œuvre de Kamura.
C'est la mort assurée pour
ses victimes.","Capolavoro dell'artigianato
di Kamura. Non lascia scampo
a niente e nessuno.","Ein echtes Meisterstück aus
Kamura. Wo er aufschlägt,
wächst kein Gras mehr.","Una verdadera obra maestra.
Es el fin de cuanto reciba
uno de sus golpes.","Настоящий шедевр из деревни
Камура. Смертоносен для
всех, кого поражает.","Arcydzieło z Kamury.
Rozbłyska przy każdym
uderzeniu w cel.",,,"Uma obra-prima de Kamura.
Ele apaga qualquer coisa
que cruze seu caminho.","해머에 깔린 사냥감은 뼛조각
하나 남기지 않는다. 카무라
마을의 장인이 만들어낸 걸작.","遭此錘擊中的獵物將屍骨無存，
淹沒在黑暗當中。
神火村工匠打造而成的傑作。","此锤砸扁的猎物会归于黑暗，
不留半点尸骸。村中工匠的
巧手杰作。",,,,,,,,"تحفة فنية حقيقية من كامورا.
تقتل أي شيء تصطدم
به.",,,,,,,,,,,
d318e9e7-53d4-45a3-ad33-a06b09538206,1923368958,W_Hammer_301_Explain,"この鎚に潰された獲物は骨一つ
残さず闇に溶ける。カムラの
里の職人が生んだまさに傑作。","A true Kamura masterpiece.
It's lights out for anything
that gets struck by this.","Un chef-d'œuvre de Kamura.
C'est la mort assurée pour
ses victimes.","Capolavoro dell'artigianato
di Kamura. Non lascia scampo
a niente e nessuno.","Ein echtes Meisterstück aus
Kamura. Wo er aufschlägt,
wächst kein Gras mehr.","Una verdadera obra maestra.
Es el fin de cuanto reciba
uno de sus golpes.","Настоящий шедевр из деревни
Камура. Смертоносен для
всех, кого поражает.","Arcydzieło z Kamury.
Rozbłyska przy każdym
uderzeniu w cel.",,,"Uma obra-prima de Kamura.
Ele apaga qualquer coisa
que cruze seu caminho.","해머에 깔린 사냥감은 뼛조각
하나 남기지 않는다. 카무라
마을의 장인이 만들어낸 걸작.","遭此錘擊中的獵物將屍骨無存，
淹沒在黑暗當中。
神火村工匠打造而成的傑作。","此锤砸扁的猎物会归于黑暗，
不留半点尸骸。
村中工匠的巧手杰作。",,,,,,,,"تحفة فنية حقيقية من كامورا.
تقتل أي شيء تصطدم
به.",,,,,,,,,,,
91bb6b61-a386-4679-a67f-d0e2c658658c,4204584558,W_Hammer_302_Explain,"猛き炎と呼ばれる英雄のために
里の思いが詰め込まれた鎚。
全ての災禍を残さず叩き潰す。","Made for the ""Saving Flame
of Kamura,"" a hammer to
stomp out all calamity.","Conçu pour la Flamme salvatrice
de Kamura, ce marteau vise à
écraser toutes les calamités.","Martello creato per la
""fiamma salvifica di Kamura"".
Pone fine a ogni calamità.","Ein Hammer für die Rettende
Flamme Kamuras, der alles
Unglück zermalmt.","Hecho para la ""Llama salvadora
de Kamura"", y destinado
a erradicar la maldad.","Создан для ""Спасительного
пламени Камуры"". Этот молот
сокрушит любое бедствие.","Wykonany dla „Zbawczego
Płomienia Kamury”. Ten młot
odstraszy każdy kataklizm.",,,"Feito para ""Chama Salvadora
de Kamura"", martelo que
esmaga toda calamidade.","맹렬한 불꽃 같은 영웅을 위해
마을의 마음을 담은 해머.
재앙을 남김없이 물리친다.","為了擁有烈火之名的英雄而製，
注入了村莊思念的大錘。
它將徹底擊碎所有災禍。","为了号称烈焰的英雄而制成
的锤，倾注了全村的心意。
将一切灾祸都锤得四分五裂。",,,,,,,,"مطرقة صنعت من أجل ""إنقاذ
شعلة كامورا""، وهدفها القضاء
على كل الكوارث.",,,,,,,,,,,
ebfd84a5-60d6-4c44-90e5-f93cbd30f37e,3659120455,W_Hammer_303_Explain,"爵銀龍の鎚。殺傷力を高める
ために先端が尖っており、
獲物を骨の髄まで砕き散らす。","A Malzeno hammer, made more
lethal through a tapered tip that
crushes to the marrow.","Marteau Malzeno, sa pointe
plus léthale broie l'os
jusqu'à la moelle.","Martello di Malzeno, reso più
letale dalla punta affusolata
che distrugge fino al midollo.","Ein Malzeno-Hammer mit
tödlicher Spitze, die bis
ins Mark dringt.","Martillo de Malzeno con una
punta más afilada y más letal,
que se clava hasta la médula.","Молот Малзено. Его
заостренный край с легкостью
пробивает кости.","Młot z Malzeno ze stożkowym
końcem jest jeszcze
bardziej niebezpieczny.",,,"Martelo Malzeno, mais letal
com a ponta fina que esmaga
até o tutano.","은작룡의 해머. 살상력을
높이기 위해 끝이 뾰족하며
사냥감의 뼈를 으스러뜨린다.","爵銀龍之錘。為了提高殺傷力，
末端做成了尖銳的形狀，能將
獵物從血肉至骨髓完全粉碎。","爵银龙之锤。为提高杀伤力，
前端做得十分尖锐，甚至可以
将猎物的骨髓都打得稀烂。",,,,,,,,"مطرقة مالزينو، صنعت لتكون
أكثر فتكًا بطرفها المدبب
الذي يسحق الضحية حتى النخاع.",,,,,,,,,,,
80ac636c-ce2e-4e97-8c38-1fb2734f2115,1470984572,W_Hammer_304_Explain,"脅威の殺傷力を持つ鎚。
獲物がいくら泣き喚こうが、
振り下ろす手は止まらない。","A hammer of menacing lethality.
Keep bringing the pain, no
matter how much they scream.","Marteau très menaçant.
Assène des coups malgré
les cris de douleur.","Martello dalla temibile
letalità. Per quanto si urli,
continua a dispensare dolore.","Ein unglaublich tödlicher
Hammer. Füge weiter Schmerzen
zu, egal, wie die Opfer schreien.","Martillo que deja patente su
letalidad. Tú sigue golpeando,
por mucho que bramen.","Этот невероятно смертоносный
молот не знает пощады.","Wyjątkowo niebezpieczny
młot. Zadaje ogromne ilości
bólu wrogom.",,,"Martelo ameaçadoramente
letal. Não para de ferir,
mesmo com todos os gritos.","위협적인 살상력의 해머.
사냥감이 아무리 울부짖어도
내리치는 손은 멈추지 않는다.","具備極高殺傷力的大錘。
無論獵物如何哀號，
揮動大錘的手臂也不會停止。","此锤的杀伤力极为危险。
无论猎物如何哭号，挥下
巨锤的手都不会停住。",,,,,,,,"مطرقة ذات خطورة مميتة.
تظل تسبب الألم، غير
مبالية بصراخ الأعداء.",,,,,,,,,,,
a2d930de-2510-4243-9dba-3618fa450676,3184768142,W_Hammer_305_Explain,"宵月の導きにより雅なる鎚は
妄執を払う現世の光となる。
狐鎚ツキヲイザナイ強化型。","The Purity Hammer's enhanced
form is a guiding light for
a world lost in darkness.","Incarne la lueur qui guide
et perce les ténèbres.
Base : Marteau de pureté","Potenziamento del martello
di purezza. Luce guida per i
mondi persi nel buio.","Stärkerer Reinheitshammer.
Ein Licht, das der Welt den
Weg aus dem Dunkel zeigt.","Martillo de pureza mejorado.
Sirve de faro para un mundo
sumido en la oscuridad.","Улучшенная форма Молота
чистоты — путеводный свет в
мире, потерянном во мраке.","Ulepszony Młot Czystości
jest światłem przewodnim
dla świata w ciemności.",,,"Martelo da Pureza melhorado.
Traz luz a um mundo
perdido na escuridão.","초저녁 달을 따라 그 해머는
망집을 정화해 현세에 빛나리.
츠키오이자나이의 강화형.","遵循新月的指引，風雅大錘
化為驅散妄執的現世之光。
狐錘月落棄塵世的強化型。","遵循新月的指引，风雅大锤
化为驱散妄执的现世之光。
狐锤【玉落弃尘世】强化型。",,,,,,,,"يُعد الشكل المُحسن لمطرقة
النقاء هو الضوء الذي يهدي
إلى لعالم الضائع في الظلام.",,,,,,,,,,,
cca5e274-0321-45a5-85e6-1823ae005f76,3928338257,W_Hammer_306_Explain,"愛し君が世に迷わぬよう、我、
光明の鎚高く掲げ、照らさん。
願わくは生々世々に灯れ。","Burn forevermore, my friend!
May loved ones ne'er be
lost with such a beacon!","Brûle à jamais, mon ami !
Que les êtres chers illuminent
le chemin d'un tel flambeau !","Brucia in eterno, mio fedele
amico. Che il faro guidi per
sempre i nostri cari.","Brenne ewig, mein Freund!
Mögen Geliebte niemals in
solch einem Feuer vergehen!","¡Arde eternamente, amigo mío!
¡Guía a tus seres queridos
actuando como un faro sin igual!","Гори вечно, мой друг!
Будь путеводной звездой
для родных и близких!","Płoń na wieki, przyjacielu!
Oby ukochani nigdy nie
zginęli z tą światłością!",,,"Queime para sempre, amigo!
Que os seres amados nunca
se percam com tal farol!","사랑하는 그대가 헤매지 않게
광명의 해머로 비추리라.
부디 영원히 비추소서.","為使深愛之人永不迷惘，
我將高舉光明之錘指引明路。
願光芒照耀你生生世世。","为心爱之人不在世间迷路，我将
高举光明之锤，照亮前路。
愿生生世世永明。",,,,,,,,"تحترق إلى الأبد يا صديقي!
أدعو ألا يضيع الأحباء
بمثل هذه المنارة!",,,,,,,,,,,
a1b7dcae-982b-4d5f-be3e-7a2310cd2dc8,3694335893,W_Hammer_307_Explain,"愛し君が世に迷わぬよう、我、
光明の鎚高く掲げ、照らさん。
願わくは生々世々に灯れ。","Burn forevermore, my friend!
May loved ones ne'er be
lost with such a beacon!","Brûle à jamais, mon ami !
Que les êtres chers illuminent
le chemin d'un tel flambeau !","Brucia in eterno, mio fedele
amico. Che il faro guidi per
sempre i nostri cari.","Brenne ewig, mein Freund!
Mögen Geliebte niemals in
solch einem Feuer vergehen!","¡Arde eternamente, amigo mío!
¡Guía a tus seres queridos
actuando como un faro sin igual!","Гори вечно, мой друг!
Будь путеводной звездой
для родных и близких!","Płoń na wieki, przyjacielu!
Oby ukochani nigdy nie
zginęli z tą światłością!",,,"Queime para sempre, amigo!
Que os seres amados nunca
se percam com tal farol!","사랑하는 그대가 헤매지 않게
광명의 해머로 비추리라.
부디 영원히 비추소서.","為使深愛之人永不迷惘，
我將高舉光明之錘指引明路。
願光芒照耀你生生世世。","为心爱之人不在世间迷路，我将
高举光明之锤，照亮前路。
愿生生世世永明。",,,,,,,,"تحترق إلى الأبد يا صديقي!
أدعو ألا يضيع الأحباء
بمثل هذه المنارة!",,,,,,,,,,,
4858e284-8851-4b5c-af52-2d05c028c4bc,592555730,W_Hammer_308_Explain,"古の退魔師は己が鎚に御霊を
籠めた。打ち候え、焔を纏う
白魂が大地の穢れを払い除く。","The pure chunk of spiritual
energy beats enemies until
they are purified or paste.","Cette masse d'énergie
spirituelle frappe les ennemis
jusqu'à purification ou trépas.","Un frammento di pura energia
che colpisce il nemico fino
a purificarlo o spezzarlo.","Dieser Brocken pure spiritu-
elle Energie läutert Feinde
oder schlägt sie zu Brei.","Un auténtico pedazo de energía
espiritual que, o purifica a sus
enemigos, o los hace trizas.","Чистый сгусток духовной
энергии либо очищает,
либо уничтожает.","Czysta doza duchowej energii
atakuje wrogów aż do
oczyszczenia lub zmiażdżenia.",,,"O puro naco de energia
espiritual surra o inimigo
até purificá-lo ou detoná-lo.","옛 퇴마사는 자신의 해머에
영혼을 담았다. 불꽃을 두른
백귀가 대지를 정화한다.","遠古驅魔師將自身靈魂封入
此錘。敲擊此錘吧，散發火焰
的白魂將會驅除大地的邪穢。","古时的除魔师将灵魂放入自己的
锤中。击打吧，带着火焰的白魂
将祛除大地的污秽。",,,,,,,,"قطعة نقية من الطاقة
الروحية تهزم الأعداء
حتى تتم تنقيتهم أو إبادتهم.",,,,,,,,,,,
8cbfae7c-3054-4cf1-b3fd-94608c4c37f8,2820384931,W_Hammer_309_Explain,"バインドバウンド強化型。
麻痺液の濃度を飛躍的に高めた
凶悪極まりない大鎚。","Binding Bludgeon's enhanced
form. Its paralytic agent is
even more concentrated.","Son agent actif est encore
plus concentré.
Base : Matraque paralysante","Clava paralizzante
potenziata con un agente
tossico più concentrato.","Ein verbesserter Bindungs-
knüppel mit noch konzen-
trierterem Lähmungsgift.","Cachiporra cegadora mejorada
cuyo líquido paralizante está
aún más concentrado.","Улучшенная форма Связующей
палицы. Ее парализующий
агент более насыщенный.","Ulepszona wiążąca pałka.
Jej środek paraliżujący
ma większe stężenie.",,,"Espancador Paralisante
aprimorado. Sua paralisia
está ainda mais concentrada.","강화형 바인드바운드.
마비액의 농도를 비약적으로
높인 극악무도한 해머.","束縛之力的強化型。
麻痺液濃度獲得了飛躍性提升，
性能極為凶惡的大錘。","束缚之力的强化型。
此款大锤极为凶恶，
麻痹液浓度飞跃性提升。",,,,,,,,"الشكل المُحسَّن من النبوت
المقيد. تُعد المادة المسببة
للشلل فيه أكثر تركيزًا.",,,,,,,,,,,
