guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
a1d7f8ee-77b2-4f1b-898e-ccc415799dcd,1554597107,W_HeavyBowgun_000_Explain,"初心者でも手軽に扱えるよう、
平易な構造で造られた重弩。
重弩デビューに最適の良品。","Its simplicity makes this
bowgun fit for a first foray
into the land of artillery.","Un fusarbalète d'une telle
simplicité, qu'il en est
parfait pour les débutants.","Rudimentale balestra
di ferro, ideale per
i novellini.","Seine Einfachheit macht
dieses Bogengewehr zur
idealen ersten Schusswaffe.","Idónea para un primer
acercamiento a la artillería
por su simplicidad.","Это простое лукорудие
подходит для знакомства
с миром артиллерии.","Prosta broń. Na
początek zabawy z
ciężką artylerią.",,,"Fuzilarco simples, ideal
para uma primeira incursão
no mundo da artilharia.","초보자도 사용할 수 있도록
쉬운 구조로 만든 헤비보우건.
초보가 배우면서 쓰기 좋다.","為使初學者也能容易使用，
以單純的構造製成的重弩。
是最適合入門的重弩。","普通结构制造的重弩，
连新手都能简单操作。
最适合刚接触重弩的你。",,,,,,,,"إن بساطة بندقية القوس
هذه تجعلها مناسبة لشن أول
غارة على أرض المدفعية.",,,,,,,,,,,
6b179719-3c41-4939-925b-c9f724404c14,2745200050,W_HeavyBowgun_001_Explain,"初心者でも手軽に扱えるよう、
平易な構造で造られた重弩。
重弩デビューに最適の良品。","Its simplicity makes this
bowgun fit for a first foray
into the land of artillery.","Un fusarbalète d'une telle
simplicité, qu'il en est
parfait pour les débutants.","Rudimentale balestra
di ferro, ideale per
i novellini.","Seine Einfachheit macht
dieses Bogengewehr zur
idealen ersten Schusswaffe.","Idónea para un primer
acercamiento a la artillería
por su simplicidad.","Это простое лукорудие
подходит для знакомства
с миром артиллерии.","Prosta broń. Na
początek zabawy z
ciężką artylerią.",,,"Fuzilarco simples, ideal
para uma primeira incursão
no mundo da artilharia.","초보자도 사용할 수 있도록
쉬운 구조로 만든 헤비보우건.
초보가 배우면서 쓰기 좋다.","為使初學者也能容易使用，
以單純的構造製成的重弩。
是最適合入門的重弩。","普通结构制造的重弩，
连新手都能简单操作。
最适合刚接触重弩的你。",,,,,,,,"إن بساطة بندقية القوس
هذه تجعلها مناسبة لشن أول
غارة على أرض المدفعية.",,,,,,,,,,,
03f17231-f2da-4a59-a740-eb1683d7454a,935290901,W_HeavyBowgun_002_Explain,"平易な鉄製の重弩が、職人の
ひと手間で驚きの威力に。
外見は簡素だが機能的な逸品。","It may look like a simple
bowgun, but in the hands
of an expert, watch out!","Entre des mains expertes, sa
simplicité devient mortelle.
Base : Arbalète en fer","Balestra molto semplice, ma
nelle mani di un esperto
diventa un'arma letale.","Das Bogengewehr sieht simpel
aus, doch in den richtigen
Händen ist es tödlich!","Parece una ballesta simple,
¡pero ojo cuando la maneja
un experto!","Оно может выглядеть просто,
но стать смертоносным
в руках специалиста.","Wygląda na zwykłe
łukodziałko, ale w rękach
mistrza... uważaj!",,,"Pode parecer um fuzilarco
simples, mas, nas mãos de
um especialista, é letal!","평범한 철제 헤비보우건이
장인의 솜씨로 강화되었다.
수수하지만 기능은 훌륭하다.","構造單純的鐵製重弩，經過
工匠的巧手，創造出驚人威力。
外觀簡樸但頗具功能性的逸品。","简单的铁制重弩，经工匠稍加
改良就获得了强大的威力。
外观朴素，但性能可不简单。",,,,,,,,"قد تبدو كبندقية قوس
بسيطة، لكن راقبها إذا
وقعت في أيدي متمرس!",,,,,,,,,,,
2c096041-27c1-4937-96de-541038faad71,1849001591,W_HeavyBowgun_003_Explain,"大口径のヘビィボウガン。
高威力を追求した結果、極めて
シンプルな構造となった。","This large caliber heavy
bowgun has been simplified
to maximize its damage.","Fusarbalète lourd de gros
calibre, simplifié pour
infliger de sérieux dégâts.","Balestra di grosso calibro.
Ha una struttura essenziale
per massimizzare i danni.","Großkalibriges Schweres
Bogengewehr. Simpler Bau –
für maximalen Schaden.","Ballesta pesada de gran
calibre, simplificada para
maximizar el daño.","Это тяжелое лукорудие
большого калибра упрощено
для максимизации урона.","Ciężkie łukodziałko dużego
kalibru, uproszczone, aby
zmaksymalizować obrażenia.",,,"Fuzilarco pesado de alto
calibre simplificado para
maximizar os danos.","대구경 헤비보우건.
위력을 추구한 결과 굉장히
심플한 구조가 되었다.","大口徑的重弩槍。
為了能發揮出高威力，
使用了極其簡單的結構。","大口径的重弩炮。
为了能发挥出高威力，
使用了极其简单的结构。",,,,,,,,"تم تبسيط بندقية القوس
الثقيلة ذات الفوهة الكبيرة
هذه لزيادة ضررها.",,,,,,,,,,,
77baaf73-e5fd-48f2-861c-cd17484f229f,1462598012,W_HeavyBowgun_004_Explain,"大口径のヘビィボウガン。
高威力を追求した結果、極めて
シンプルな構造となった。","This large caliber heavy
bowgun has been simplified
to maximize its damage.","Fusarbalète lourd de gros
calibre, simplifié pour
infliger de sérieux dégâts.","Balestra di grosso calibro.
Ha una struttura essenziale
per massimizzare i danni.","Großkalibriges Schweres
Bogengewehr. Simpler Bau –
für maximalen Schaden.","Ballesta pesada de gran
calibre, simplificada para
maximizar el daño.","Это тяжелое лукорудие
большого калибра упрощено
для максимизации урона.","Ciężkie łukodziałko dużego
kalibru, uproszczone, aby
zmaksymalizować obrażenia.",,,"Fuzilarco pesado de alto
calibre simplificado para
maximizar os danos.","대구경 헤비보우건.
위력을 추구한 결과 굉장히
심플한 구조가 되었다.","大口徑的重弩槍。
為了能發揮出高威力，
使用了極其簡單的結構。","大口径的重弩炮。
为了能发挥出高威力，
使用了极其简单的结构。",,,,,,,,"تم تبسيط بندقية القوس
الثقيلة ذات الفوهة الكبيرة
هذه لزيادة ضررها.",,,,,,,,,,,
512ca418-4797-454a-9fd7-70fd086bae12,3592191409,W_HeavyBowgun_005_Explain,"強化型メテオバズーカ。
内部構造の再改良により、威力
を限界まで引き上げた重弩。","Upgraded form of the Meteor
Bazooka. It's been revamped
to deliver maximum damage.","Entièrement repensé pour
un maximum de dégâts.
Base : Bazooka météore","Potenziamento del bazooka
meteora. Riprogettato per
infliggere danni maggiori.","Verbesserte Meteor-Bazooka.
Wurde überarbeitet, um
mehr Schaden anzurichten.","Mejora del bazuca meteoro.
Recalibrado para maximizar
el daño.","Улучшенная форма Базуки
Метеор. Обновлена для
для максимизации урона.","Udoskonalona wersja
meteorowej bazooki. Teraz
jeszcze mocniej razi wroga.",,,"Forma aprimorada da Bazuca
Meteoro. Foi reformulada
para causar muito dano.","강화형 메테오바주카.
내부 구조를 개량하여
위력을 한계까지 끌어올렸다.","強化型的隕石火箭筒。
對內部結構進行了再次改良，
將威力提升至了極限。","强化型陨石火箭炮。
对内部结构进行了再次改良，
将威力提升至了极限。",,,,,,,,"الشكل الذي تمت ترقيته من
بازوكا النيزك. تم تجديدها
لإلحاق أقصى قدر من الضرر.",,,,,,,,,,,
4859d0f5-8b2c-4f6b-bbcd-bc6afa3bb7bc,1339762923,W_HeavyBowgun_006_Explain,"豪快な射撃をコンセプトに
造られた重弩。充実した性能
から使用者も数多い。","A bowgun built for dynamic
performance. It boasts a
rich assortment of features.","Fusarbalète basé sur une
technologie dynamique aux
nombreuses fonctionnalités.","Balestra dalle prestazioni
dinamiche. Include una vasta
gamma di funzionalità.","Auf dynamische Leistung
ausgerichtete Konstruktion
mit vielfältigen Funktionen.","Hecha para un rendimiento
dinámico. Cuenta con muchas
funciones.","Лукорудие, созданное для
динамической работы. Имеет
множество функций.","Łukodziałko stworzone do
dynamicznej pracy. Bogaty
repertuar możliwości.",,,"Uma arma projetada para ser
dinâmica. Possui uma rica
variedade de recursos.","호쾌한 사격을 콘셉트로
만든 헤비보우건. 충실한
성능 덕에 사용자가 많다.","此款重弩的製造理念為
強力的射擊。因為有著全面的
良好性能，使用者也為數眾多。","此款重弩的制造理念为
强力射击。性能充实，
因此使用者也为数不少。",,,,,,,,"بندقية قوس صُممت
لتقديم أداء فعال. إنها تعزز
تشكيلة زاخرة من الميزات.",,,,,,,,,,,
4db53d00-f68f-42c6-8f61-64d1e8252724,1422137363,W_HeavyBowgun_007_Explain,"豪快な射撃をコンセプトに
造られた重弩。充実した性能
から使用者も数多い。","A bowgun built for dynamic
performance. It boasts a
rich assortment of features.","Fusarbalète basé sur une
technologie dynamique aux
nombreuses fonctionnalités.","Balestra dalle prestazioni
dinamiche. Include una vasta
gamma di funzionalità.","Auf dynamische Leistung
ausgerichtete Konstruktion
mit vielfältigen Funktionen.","Hecha para un rendimiento
dinámico. Cuenta con muchas
funciones.","Лукорудие, созданное для
динамической работы. Имеет
множество функций.","Łukodziałko stworzone do
dynamicznej pracy. Bogaty
repertuar możliwości.",,,"Uma arma projetada para ser
dinâmica. Possui uma rica
variedade de recursos.","호쾌한 사격을 콘셉트로
만든 헤비보우건. 충실한
성능 덕에 사용자가 많다.","此款重弩的製造理念為
強力的射擊。因為有著全面的
良好性能，使用者也為數眾多。","此款重弩的制造理念为
强力射击。性能充实，
因此使用者也为数不少。",,,,,,,,"بندقية قوس صُممت
لتقديم أداء فعال. إنها تعزز
تشكيلة زاخرة من الميزات.",,,,,,,,,,,
d16c0847-9d68-460b-abd7-99466ce87192,1754581014,W_HeavyBowgun_008_Explain,"討伐隊正式重砲の強化型。
超重量の砲身から放つ射撃は、
壮絶な威力で獲物を討つ。","A Striker's Bowgun upgrade.
Its heavy barrel fires with
terrific speed and power.","Ses salves sont aussi
rapides que puissantes.
Base : Fusarbalète acier","Balestra assalto potenziata.
La grossa canna assicura
potenza e velocità.","Verbessertes Schläger-Bogen-
gewehr mit schwerem Lauf.
Schnell und schlagkräftig.","Ballesta de ariete mejorada.
Su pesado cañón dispara con
gran potencia y velocidad.","Лучшее Лукорудие ударника.
Тяжелый ствол обеспечивает
скорость и мощность.","Lepsza wersja szturmowego
łukodziałka. Duża lufa, moc
i prędkość wylotowa.",,,"O barril pesado desta arma
dispara com velocidade e
potência fantásticas.","토벌대정식중포의 강화형.
묵직한 포신이 쏘는 탄환은
뛰어난 위력을 자랑한다.","討伐隊正式重砲的強化型。
超重量級的砲身中射出的砲彈，
將以超絕的威力討伐獵物。","讨伐队正式重炮的强化型。
超重量级的炮身中射出的炮弹
可用超绝的威力讨伐猎物。",,,,,,,,"ترقية بندقية قوس المهاجم.
تُطلق ماسورتها الثقيلة
النيران بسرعة وقوة مرعبة.",,,,,,,,,,,
e06ad6a4-ce80-474f-ac01-cafd827f97b7,3281190328,W_HeavyBowgun_009_Explain,"安価ながらも安定した性能を保
つ信頼できる一丁。更なる強化
のための基礎としても優秀。","A cheap, reliable weapon
with solid performance.
A good base for enhancement.","Arme bon marché et fiable.
Bonnes performances. Idéale
pour débuter.","Arma economica e affidabile,
ottima base per ulteriori
potenziamenti.","Günstige, zuverlässige Waffe
mit guter Leistung. Gute
Basis für Verbesserungen.","Arma barata y fiable de buen
rendimiento. Base ideal para
futuras mejoras.","Дешевое, надежное оружие
с хорошими характеристиками.
Отличная база для развития.","Tania, skuteczna broń.
Świetnie wykonana. Punkt
wyjścia do ulepszeń.",,,"Uma arma barata e resistente
com ótimo desempenho. Uma
boa base para aprimoramento.","값싸면서도 안정된 성능을
자랑하는 무기. 더 강력한
강화를 위한 초석이 된다.","價格低廉但性能穩定，
值得信賴。為更進一步強化
打下了紮實的基礎。","价格低廉，性能稳定，
值得信赖。更为进一步强化
打下了坚实的基础。",,,,,,,,"سلاح رخيص وموثوق
أداؤه قوي. يُشكل أساسًا
جيدًا للتحسين.",,,,,,,,,,,
