guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
cbcfc291-4d91-45fd-b972-eac0117e5392,2901066354,W_HeavyBowgun_300_Explain,"山を越え迫り来る獣たちを、
山ごとぶち抜く高火力。里を
守る忍重弩は災厄を蹴散らす。","The hordes of beasts come
cresting over the hills, but
this bowgun is waiting.","Ce fusarbalète reste stoïque
face aux hordes ennemies.
Base : Fusarbalète Kamura","Orde di bestie raggiungono
le colline, ma la balestra
è già pronta a colpire.","Horden von Bestien kommen
angestürmt, doch dieses
Bogengewehr wartet schon.","Esta ballesta aguarda a las
hordas de bestias que se
abalanzan desde las colinas.","Орды зверей наступают
из-за холмов, но это
лукорудие не дремлет.","Hordy bestii ruszyły
ze wzgórz na żer. Ale to
łukodziałko już czeka.",,,"As hordas de feras vêm lotar
o topo das colinas, mas este
fuzilarco está esperando.","산을 넘어오는 야수들을 산과
함께 날려 버릴 만큼 고화력.
마을을 지키는 헤비보우건.","具有將拔山倒樹而來的野獸，
連同山頭一起轟飛的強大火力。
保護村莊的忍重弩能驅除災厄。","如果有野兽翻过山来捣乱，
就把它们连同山头一起粉碎。
守护村子的忍重弩将铲除灾厄。",,,,,,,,"تحتشد جموع الوحوش فوق
التلال؛ لتجد بندقية القوس
هذه في انتظارهم.",,,,,,,,,,,
69543b00-de36-4b0a-b5fa-708cfdd80107,4056620121,W_HeavyBowgun_301_Explain,"山を越え迫り来る獣たちを、
山ごとぶち抜く高火力。里を
守る忍重弩は災厄を蹴散らす。","The hordes of beasts come
cresting over the hills, but
this bowgun is waiting.","Ce fusarbalète reste stoïque
face aux hordes ennemies.
Base : Fusarbalète Kamura","Orde di bestie raggiungono
le colline, ma la balestra
è già pronta a colpire.","Horden von Bestien kommen
angestürmt, doch dieses
Bogengewehr wartet schon.","Esta ballesta aguarda a las
hordas de bestias que se
abalanzan desde las colinas.","Орды зверей наступают
из-за холмов, но это
лукорудие не дремлет.","Hordy bestii ruszyły
ze wzgórz na żer. Ale to
łukodziałko już czeka.",,,"As hordas de feras vêm lotar
o topo das colinas, mas este
fuzilarco está esperando.","산을 넘어오는 야수들을 산과
함께 날려 버릴 만큼 고화력.
마을을 지키는 헤비보우건.","具有將拔山倒樹而來的野獸，
連同山頭一起轟飛的強大火力。
保護村莊的忍重弩能驅除災厄。","如果有野兽翻过山来捣乱，
就把它们连同山头一起粉碎。
守护村子的忍重弩将铲除灾厄。",,,,,,,,"تحتشد جموع الوحوش فوق
التلال؛ لتجد بندقية القوس
هذه في انتظارهم.",,,,,,,,,,,
06a0be68-9fe9-447d-9e38-fad137d63c08,3057351985,W_HeavyBowgun_302_Explain,"里の製鉄技術の粋を集めた
重弩。英雄への感謝の思いは、
轟弾となって大海をも裂く。","Their hero's gratitude in every
payload, this pith of village
forging wit will part oceans.","Cette production du village
est pleine de bons sentiments
et redoutablement efficace.","Capolavoro del villaggio che,
con colpi pieni della gratitudine
di un eroe, dividerà le acque.","Mit der Dankbarkeit des Helden
kann dieses Herz der Dorf-
schmiedekunst Meere teilen.","Devoción al héroe con cada
disparo; un ejemplo para la
aldea capaz de partir mares.","Мощь, способная разделить
океаны, чувствуется в каждом
выстреле этого оружия.","Wdzięczność bohatera jest jej
nabojem. Kunszt kuźnictwa
wioski, rozstępuje oceany.",,,"A gratidão do herói em cada
carga, esse núcleo da forja
da aldeia fende oceanos.","제철 기술의 정수를 모은 헤비
보우건. 영웅을 위하는 마음은
탄환이 되어 대해를 가른다.","集村莊鍛鐵技術之大成打造的
重弩。對英雄的感謝之情將化
為轟彈，威力足以令大海裂開。","集村庄的制铁技术之大成的
重弩。对英雄的感激之情化
作响弹，甚至可分开海洋。",,,,,,,,"يغمر بطلهم الامتنان مع كل حمولة،
فقوة هذه القرية الذكية
سوف تشق المحيطات.",,,,,,,,,,,
0630c767-6eab-430d-bbdc-ce374bf612a8,2583526620,W_HeavyBowgun_303_Explain,"絢爛な造形が目を引く爵銀龍の
重弩。重い深紅の弾丸は、
獲物に確実な死をもたらす。","A bowgun with an eye-catching
design. Its heavy crimson shots
guarantee death to its prey.","Fusarbalète élégant. Ses tirs
écarlates puissants garantissent
la mort de ses proies.","Balestra dalla struttura
vistosa. I pesanti colpi rossi
condannano a morte la preda.","Ein auffälliges Bogengewehr.
Seine karmesinroten Schüsse
bringen Opfern den Tod.","Con un diseño atrayente.
Sus potentísimos disparos
carmesíes son letales.","Лукорудие необычного вида.
Его алые выстрелы несут
верную смерть добыче.","Łukodziałko o atrakcyjnym
wyglądzie. Jego krwawe
pociski gwarantują śmierć.",,,"Fuzilarco com belo design.
Tiros rubros pesados
garantem a morte da presa.","현란한 조형이 튀는 은작룡의
헤비보우건. 진홍빛 탄환은
사냥감을 확실히 죽인다.","爵銀龍重弩，擁有引人注目
的絢爛造型。沉重的深紅子彈
將確實為獵物帶來死亡。","爵银龙重弩的造型华丽，引人
注目。沉重的深红弹丸无疑将
赐予猎物死亡。",,,,,,,,"بندقية قوس بتصميم ملفت
للنظر. تضمن طلقاتها القرمزية الثقيلة
موت فريستها.",,,,,,,,,,,
d223725e-4fdd-42a5-a2fb-5c5731c667c9,807817648,W_HeavyBowgun_304_Explain,"数え切れぬ死をもたらした
果てに、その銃口が自分に
向けられていることに気づく。","After causing countless deaths,
it now finds the muzzle of this
gun aimed at itself.","Après avoir causé des morts
innombrables, son canon est
désormais tourné vers lui.","Dopo aver causato innumerevoli
morti, ora la canna è rivolta
verso se stessa.","Nach unzähligen Opfern
richtet sich die Mündung des
Gewehrs auf sich selbst.","Ha provocado innumerables
muertes y ahora está en el
punto de mira.","Безжалостный убийца обнару-
жил, что дуло этого лукору-
дия направлено на него.","Po zabiciu nieskończonej
liczby ofiar nagle widzi lufę
broni skierowaną w siebie.",,,"Depois de causar mortes sem
conta, agora o cano da arma
aponta para si mesma.","셀 수 없을 정도로 많은 죽음을
초래한 끝에서야 그 총구가
자신을 향한 것임을 깨닫는다.","在經歷無數次殺戮之後，
看著手上所持之弩，
才發覺槍口竟對準了自己。","造成不计其数的死亡后，
才意识到那重弩的枪口
已经对准了自己。",,,,,,,,"بعد أن تسببت في عدد لا يحصى من الوفيات،
ستجد فوهة هذه البندقية
موجهة نحو نفسها الآن.",,,,,,,,,,,
6ecb4408-6df6-4c21-aae7-ad6cd2379dfc,2192493026,W_HeavyBowgun_305_Explain,"轟竜の強靭な素材を使用した、
レックスハウル強化型。
撃つ度に竜の咆哮が響き渡る。","A Tigrex Howl upgrade. Built
from Tigrex parts, it emits
a loud roar with each blast.","Forgé avec des ossements de
Tigrex. Rugit à chaque tir.
Base : Hurlement Tigrex","Potenziamento dell'urlo di
Tigrex. Ogni colpo esploso è
accompagnato da un ruggito.","Verbessertes Tigrex-Geheul.
Begleitet jeden Schuss
mit lautem Brüllen.","Aullido de Tigrex mejorado.
De restos duros de Tigrex,
ruge con cada ráfaga.","Улучшение Воя Тигрекса.
Создано из останков Тигрекса
и громко ревет при взрыве.","Ulepszony Skowyt Tigrexa.
Każdy strzał rozbrzmiewa
potężnym rykiem bestii.",,,"Uivo de Tigrex aprimorado.
Feito com partes de Tigrex,
sua explosão é um rugido.","굉룡의 강인한 소재로 만든
렉스하울의 강화형. 쏠 때마다
용의 포효가 울려 퍼진다.","轟龍咆哮的強化型，使用了
轟龍的強韌素材。每次開砲，
轟龍的咆哮聲都會響徹天地。","轰龙咆哮的强化型，使用了
轰龙的强韧素材。每次开炮，
都可听到轰龙的咆哮响彻天地。",,,,,,,,"ترقية صياح تجريكس. تُصدر تلك
المصنوعة من أجزاء تجريكس
دويًّا مرتفعًا مع كل انفجار.",,,,,,,,,,,
e7b11fb8-e534-428e-8f46-721591d4e0e5,246205514,W_HeavyBowgun_306_Explain,"轟竜の息吹を感じる意匠。その
砲身が放つ爆発的な咆哮は、
射線上の全てを破砕する。","The barrel of this Tigrex-
inspired gun roars as all
in its path is razed to dust.","Le canon aux allures de
Tigrex rugit et réduit tout
en poussière sur son passage.","La canna di questa balestra
ispirata al Tigrex ruggisce
mentre rade tutto al suolo.","Der Lauf dieses Tigrex-
Gewehrs vernichtet dröhnend
alles in seinem Weg.","La munición de esta arma
inspirada en el Tigrex ruge
al pulverizarlo todo a su paso.","Ствол этого ружья напоминает
череп Тигрекса. Разнесет
все в пух и прах.","Lufa tego podobnego do
Tigrexa łukodziałka grzmi,
zmieniając wszystko w pył.",,,"O cano desta arma inspirada
num Tigrex ruge e transforma
tudo em pó.","굉룡의 숨결이 느껴지는 포신
이 내뿜는 폭발적인 포효는
사선상의 모든 것을 파괴한다.","能使人感受到轟龍氣息的設計。
砲身會發出爆發性的咆嘯，
能夠粉碎射線上的一切。","匠心独具，仿佛能感受到轰龙的
气息。炮身射出的炸裂的咆哮，
将沿途粉碎一切阻碍。",,,,,,,,"تزأر فوهة المسدس
المستوحى من تجريكس، وتحول
كل شيء في طريقها إلى غبار.",,,,,,,,,,,
709a8105-91fd-43b6-937a-d41c48fb4821,2274619780,W_HeavyBowgun_307_Explain,"轟竜の息吹を感じる意匠。その
砲身が放つ爆発的な咆哮は、
射線上の全てを破砕する。","The barrel of this Tigrex-
inspired gun roars as all
in its path is razed to dust.","Le canon aux allures de
Tigrex rugit et réduit tout
en poussière sur son passage.","La canna di questa balestra
ispirata al Tigrex ruggisce
mentre rade tutto al suolo.","Der Lauf dieses Tigrex-
Gewehrs vernichtet dröhnend
alles in seinem Weg.","La munición de esta arma
inspirada en el Tigrex ruge
al pulverizarlo todo a su paso.","Ствол этого ружья напоминает
череп Тигрекса. Разнесет
все в пух и прах.","Lufa tego podobnego do
Tigrexa łukodziałka grzmi,
zmieniając wszystko w pył.",,,"O cano desta arma inspirada
num Tigrex ruge e transforma
tudo em pó.","굉룡의 숨결이 느껴지는 포신
이 내뿜는 폭발적인 포효는
사선상의 모든 것을 파괴한다.","能使人感受到轟龍氣息的設計。
砲身會發出爆發性的咆嘯，
能夠粉碎射線上的一切。","匠心独具，仿佛能感受到轰龙的
气息。炮身射出的炸裂的咆哮，
将沿途粉碎一切阻碍。",,,,,,,,"تزأر فوهة المسدس
المستوحى من تجريكس، وتحول
كل شيء في طريقها إلى غبار.",,,,,,,,,,,
ce86068f-84a2-4b67-a943-24fedf498d09,2878332501,W_HeavyBowgun_308_Explain,"雅なる重砲から放つ水沫の軌跡
は遥か遠き明月まで伸びゆく。
狐重砲ハライニケリナ強化型。","A Cirrus Blaster upgrade.
Its shots leave behind a
watery trail.","Laisse derrière lui une
traînée d'eau à chaque tir.
Base : Exploseur cirrus","Cannone cirro potenziato.
I suoi colpi producono una
scia d'acqua.","Verbesserter Zirrussprenger.
Hinterlässt eine Wasserspur,
die bis zum Mond reicht.","Ráfaga de cirrus mejorada.
Sus disparos dejan un rastro
de agua.","Улучшение Облачной пушки.
Ее выстрелы оставляют за
собой водяную дорожку.","Ulepszony Blaster Cirrus.
Strzały pozostawiają za
sobą wodny ślad.",,,"Detonador Cirrus melhorado.
Seus tiros deixam para
trás um rastro de água.","멋진 중포가 쏘는 물보라의
궤적은 머나먼 달까지 닿는다.
하라이니케리나의 강화형.","風雅重砲射出水沫，
其軌跡延伸至遙遠的明月。
狐重砲風清雲霧散的強化型態。","风雅重炮射出水沫，
其轨迹将蔓延至遥远的明月。
狐重炮【风过云雾散】强化型。",,,,,,,,"ترقية ناسفة السُحب
الخفيفة. تترك طلقاتها
أثرًا مائيًّا.",,,,,,,,,,,
aef8aca9-1cb8-4a5f-a9a6-17ef9cf7e6c5,2823724384,W_HeavyBowgun_309_Explain,"山の如く泰然とした心で重弩を
用い、愛し君を厄より護らん。
願わくは往古来今、頼り給へ。","With rock-like surety and
longevity, loved ones are
kept safe by this ballista.","La sécurité et la longévité
de pierre de cette baliste
protègent les êtres chers.","La balista tiene al sicuro
le persone amate con
fermezza e longevità.","Mit eherner Sicherheit und
Langlebigkeit schützt diese
Balliste geliebte Menschen.","Balista de seguridad y
durabilidad férreas que
protege a los seres queridos.","Эта баллиста не подведет в
бою и прослужит очень долго.
Близкие в безопасности.","Mocna i trwała jak skała,
balista ta chroni
twych bliskich.",,,"Esta balista mantém seus
queridos seguros com sua
certeza firme e longevidade.","의연한 마음으로 헤비보우건을
들어 사랑하는 그대를 지킨다.
부디 왕고내금 의지하소서.","以不動如山的泰然心境使此
重弩，保護深愛之人遠離厄運。
願你古往今來，皆有所依。","内心稳如泰山，以重弩守护心爱
之人远离灾祸。愿古往今来，有
依有靠。",,,,,,,,"يحمي هذا المنجنيق 
الأحبَّة بضمان كالصخر
وطول العمر.",,,,,,,,,,,
