guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
19a10a62-c498-43e1-98f4-af907b95d6b0,2143251695,W_HeavyBowgun_000_Name,アイアンアサルトⅠ,Iron Assault I,Arbalète en fer,Assalto di ferro I,Eisen-Überfall I,Asalto Férreo I,Железный штурмовик 1,Żelazna nawała I,,,Assalto Férreo I,아이언어썰트Ⅰ,鐵製突擊弩Ⅰ,铁制突击弩Ⅰ,,,,,,,,البطش الحديدي 1,,,,,,,,,,,
e9106ead-3d1b-43e9-8b2e-e7c053748d1f,107191563,W_HeavyBowgun_001_Name,アイアンアサルトⅡ,Iron Assault II,Arbalète en fer II,Assalto di ferro II,Eisen-Überfall II,Asalto Férreo II,Железный штурмовик 2,Żelazna nawała II,,,Assalto Férreo II,아이언어썰트Ⅱ,鐵製突擊弩Ⅱ,铁制突击弩Ⅱ,,,,,,,,البطش الحديدي 2,,,,,,,,,,,
d12c05b7-1917-4abe-9322-c7ce3b5c4b05,2780617112,W_HeavyBowgun_002_Name,スティールアサルト,Steel Assault,Arbalète d'acier,Assalto d'acciaio,Stahl-Überfall,Asalto Acerado,Стальной штурм,Stalowa nawała,,,Assalto de Aço,스틸어썰트,鋼鐵突擊弩,钢铁突击弩,,,,,,,,بطش فولاذي,,,,,,,,,,,
f68571ef-678a-4f11-8828-3f15444a941b,3241513796,W_HeavyBowgun_003_Name,メテオバズーカⅠ,Meteor Bazooka I,Bazooka météore,Bazooka meteora I,Meteor-Bazooka I,Bazuca meteoro I,Базука Метеор 1,Meteorowa bazooka I,,,Bazuca Meteoro I,메테오바주카Ⅰ,隕石火箭筒Ⅰ,陨石火箭炮Ⅰ,,,,,,,,بازوكا النيزك 1,,,,,,,,,,,
6fd9a6b4-2e73-4975-89da-da47c81e06dd,1557287315,W_HeavyBowgun_004_Name,メテオバズーカⅡ,Meteor Bazooka II,Bazooka météore II,Bazooka meteora II,Meteor-Bazooka II,Bazuca meteoro II,Базука Метеор 2,Meteorowa bazooka II,,,Bazuca Meteoro II,메테오바주카Ⅱ,隕石火箭筒Ⅱ,陨石火箭炮Ⅱ,,,,,,,,بازوكا النيزك 2,,,,,,,,,,,
30b9eafd-95e8-4f4c-b88e-4d6444176891,3491241411,W_HeavyBowgun_005_Name,メテオキャノン,Meteor Cannon,Canon météore,Cannone meteora,Meteor-Kanone,Cañón meteoro,Пушка Метеор,Meteorowe działo,,,Canhão Meteoro,메테오캐논,隕石加農,陨石加农炮,,,,,,,,مِدفع النيزك,,,,,,,,,,,
93c47f53-368f-4481-be7c-04c519f8c491,3796239377,W_HeavyBowgun_006_Name,討伐隊正式重砲Ⅰ,Striker's Bowgun I,Fusarbalète acier,Balestra assalto I,Schläger-Bogengewehr I,Ballesta de ariete I,Лукорудие ударника 1,Szturm. łukodziałko I,,,Fuzilarco Atacante I,토벌대정식중포Ⅰ,討伐隊正式重砲Ⅰ,讨伐队正式重炮Ⅰ,,,,,,,,بندقية قوس المهاجم 1,,,,,,,,,,,
1fb20270-a64b-44ca-855a-ed70ce58bdbb,3361456157,W_HeavyBowgun_007_Name,討伐隊正式重砲Ⅱ,Striker's Bowgun II,Fusarbalète acier II,Balestra assalto II,Schläger-BogengewehrII,Ballesta de ariete II,Лукорудие ударника 2,Szturm. łukodziałko II,,,Fuzilarco Atacante II,토벌대정식중포Ⅱ,討伐隊正式重砲Ⅱ,讨伐队正式重炮Ⅱ,,,,,,,,بندقية قوس المهاجم 2,,,,,,,,,,,
ec846c11-178d-4449-9b65-d3d196303e33,1609314076,W_HeavyBowgun_008_Name,近衛隊正式重砲,Elite Bowgun,Fusarbalète d'élite,Balestra d'élite,Elite-Bogengewehr,Ballesta de élite,Элитное лукорудие,Elitarne łukodziałko,,,Fuzilarco de Elite,근위대정식중포,近衛隊正式重砲,近卫队正式重炮,,,,,,,,بندقية قوس النخبة,,,,,,,,,,,
8c553c12-8eb2-4c7b-a770-331ce8180893,820046140,W_HeavyBowgun_009_Name,ボーンシューターⅠ,Bone Shooter I,Fusil en os,Esplosione d'osso I,Knochen-Knarre I,Disparahueso I,Костяной пистолет 1,Kościane strzeladło I,,,Atirador Ósseo I,본슈터Ⅰ,骨製發射器Ⅰ,骨制发射器Ⅰ,,,,,,,,رشّاش العظام 1,,,,,,,,,,,
