guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
1c52f616-30c7-4fe1-8e92-36fbe9eb2e6d,2214960616,W_Horn_000_Explain,"金属をベースにした巨大笛。
その美しく軽快な音色は、
聞く者に勇気を与える。","A large hunting horn made
of metal. Its sonorous tones
give courage to listeners.","Cornemuse de chasse en
métal. Ses mélodies
donnent du cœur au ventre.","Enorme corno realizzato in
metallo. Le sue note
vigorose infondono coraggio.","Ein großes Jagdhorn aus
Metall, dessen sonorer Ton
den Zuhörern Mut macht.","Gran cornamusa de metal.
Su sonoridad alienta a
quienes la escuchan.","Большой охотничий рог из
металла. Его звучные тона
придают смелости слушателям.","Duży róg myśliwski z
metalu. Jego dźwięczne tony
dodają słuchaczom odwagi.",,,"Grande berrante de caça
de metal. Seus tons dão
coragem a quem os ouve.","금속으로 만든 거대 피리.
아름답고 경쾌한 음색이
듣는 이에게 용기를 준다.","以金屬為基礎的巨笛。
優美輕快的音色
會給予聆聽的人勇氣。","以金属为基础的巨笛。
优美轻快的音色
给予聆听的人勇气。",,,,,,,,"قرن صيد كبير مصنوع من
المعدن. تمنح نغماته الرنانة
الشجاعة للمستمعين إليه.",,,,,,,,,,,
4ff0350b-794e-438d-9873-9b9bc495944e,499583011,W_Horn_001_Explain,"希少鉱石を用いてより威力を
増した狩猟笛。軽快な音色は
聞く者に勇気を与える。","An enhanced Metal Bagpipe,
guaranteed to raise spirits
with its sprightly tones.","Les mélodies enjouées
donnent du courage.
Base : Cornemuse de métal","Cornamusa di metallo
potenziata. Le sue vivaci
note sollevano il morale.","Verbesserter Metall-Dudel-
sack, der mit lebhaften
Tönen die Stimmung hebt.","Gaita metálica mejorada.
Garantiza levantar el ánimo
con sus alegres notas.","Улучшенная Металлическая
волынка поднимет настроение
своими бодрыми тонами.","Ulepszone metalowe dudy.
Ich żwawe dźwięki
podnoszą na duchu.",,,"Gaita de Fole de Metal
melhorada, garante elevação
do espírito com seus tons.","희귀 금속으로 위력을 높인
수렵피리. 경쾌한 음색이
듣는 이에게 용기를 준다.","使用稀有礦石來強化威力的
狩獵笛。輕快的音色會給予
聆聽的人勇氣。","用珍稀矿石提升威力的
狩猎笛。它轻快的音色
能让听见的人获得勇气。",,,,,,,,"مزمار قربة معدني مُعزز،
مُتكفل برفع الروح المعنوية
بنغماته المفعمة بالحيوية.",,,,,,,,,,,
c001e40f-bdec-4e32-8c73-209f461d3394,1317256121,W_Horn_002_Explain,"鉄製の狩猟笛。見た目も機能も
非常にシンプルで扱い易い。
狩猟笛初心者に勧める一本。","A musical weapon made from
iron. Extremely simple in
both form and function.","Arme musicale en fer. D'une
conception rudimentaire,
mais très simple d'emploi.","Arma musicale realizzata in
ferro. Sobrio nelle linee,
è semplice da usare.","Eine musikalische Waffe aus
Eisen. Die Bauweise ist so
simpel wie der Gebrauch.","Arma musical de hierro.
De forma sencilla y fácil
manejo.","Музыкальное оружие из
железа. Чрезвычайно простая
форма и функционирование.","Broń muzyczna zrobiona
z żelaza. Wyjątkowo prosta
forma i funkcja.",,,"Arma musical de ferro.
Extremamente simples
em forma e função.","철제 수렵피리. 외관, 기능이
단순하여 다루기 쉽다.
수렵피리 초보자에게 추천.","鐵製的狩獵笛。外觀跟機能
都非常簡單又好上手。
推薦給狩獵笛新手。","铁制的狩猎笛。
外观跟功能都简单易操作。
推荐狩猎笛新手使用。",,,,,,,,"سلاح موسيقي مصنوع من
الحديد. شكله وأداؤه
متواضعان للغاية.",,,,,,,,,,,
045d1232-7b4e-49d2-8cc9-d64ee322b27c,1434977652,W_Horn_003_Explain,"アイアンホルンの強化形態。
見た目こそシンプルだが、その
性能は熟練者をも唸らせる。","Iron Horn's improved form.
Despite its simplicity, it's
suited to veteran hunters.","D'apparence simple, mais
réservée aux vétérans.
Base : Corne de fer","Corno di ferro potenziato.
Ha linee essenziali, ma
è pensato per i veterani.","Verbesserung des Eisenhorns.
Trotz der einfachen Gestalt
eher für erfahrene Jäger.","Cuerno de hierro mejorado.
Apto para cazadores expertos
a pesar de su simplicidad.","Улучшенный Железный
рог. Простой, но подходит
охотникам-ветеранам.","Lepsza wersja żelaznego
rogu. Mimo swej prostoty
dobrze leży weteranom.",,,"Forma melhorada do Berrante
de Ferro. Apesar de simples,
é bom para veteranos.","아이언호른의 강화 형태.
보기에는 단순하지만
그 성능에 숙련자도 놀란다.","鐵號角的強化型態。
外觀雖然簡單，
但其性能讓老手也拍手叫好。","铁号角的强化形态。
外观简单但性能优异，
连老手也拍手叫好。",,,,,,,,"شكل القرن الحديدي المُحسّن.
على الرغم من بساطته، إلا إنه
يناسب الصيادين المخضرمين.",,,,,,,,,,,
731a329f-a249-48d2-b49f-538247234994,3295268142,W_Horn_004_Explain,"従来の狩猟笛を大きく上回る
部品数で精緻に作られた業物。
手間の分、性能は折り紙つき。","A horn with a daunting
number of parts. Hard to
use but surely worth it.","Une corne de chasse composée
de nombreux éléments. Dure
à utiliser mais efficace.","Corno da caccia dai molti
componenti. Difficile da
usare, ma è melodioso.","Jagdorn aus vielen Einzel-
teilen. Schwer zu handhaben,
aber sehr lohnenswert.","Un cuerno muy complejo.
Difícil de usar, pero el
esfuerzo vale la pena.","Рог со многими деталями.
Сложно использовать,
но он того стоит.","Róg złożony z tylu części,
że zniechęca do użytku.
Jednak warto spróbować.",,,"Berrante com muitas partes.
Difícil de usar, mas vale a
pena.","기존의 수렵피리보다 훨씬
많은 부품으로 만든 작품.
공들인 만큼 성능은 뛰어나다.","零件數比起以往狩獵笛大幅
增加的精緻逸品。雖然相當
費工，但其性能也毋庸置疑。","精心制作的狩猎笛，
零件数相较以往大增。
经过重重工序，性能有所保证。",,,,,,,,"قرن يحتوي على عدد هائل من
الأجزاء. يصعب استخدامه
لكنه حتمًا يستحق المحاولة.",,,,,,,,,,,
13bf4e9f-7c50-445c-8526-687c8a8d9120,1866129799,W_Horn_005_Explain,"強化され、さらに複雑化した
ヘビィバグパイプ。その音色は
非常に繊細かつ優美。","After multiple upgrades, the
enhanced Heavy Bagpipes emit
a beautiful, delicate sound.","Son timbre est aussi beau
que délicat.
Base : Cornemuse lourde","Cornamusa pesante sottoposta
a molteplici rifiniture. Dal
suono splendido e delicato.","Nach mehreren Verfeinerungen
klingt der Schwere Dudelsack
nun deutlich verbessert.","Tras múltiples mejoras, la
Gaita pesada mejorada emite
un sonido bello y delicado.","После нескольких улучшений
Тяжелая волынка издает
красивый, утонченный звук.","Ciężkie dudy po licznych
przeróbkach wydają teraz
piękny i delikatny dźwięk.",,,"Após ser melhorada,
a Gaita de Fole pesada
tem um som lindo e delicado.","강화하면서 더욱 복잡해진
헤비백파이프. 그 음색은
굉장히 섬세하고 아름답다.","經過強化後構造變得
更複雜的重風笛。
其音色非常纖細且優美。","经过强化后
更加复杂化的重风笛。
那音色十分纤细优美。",,,,,,,,"بعد ترقيات عديدة، تُطلق
مزامير قربة ثقيلة
ومُعززة صوتًا رقيقًا وعذبًا.",,,,,,,,,,,
77add772-a9ee-4c08-8c6e-d1c098e40086,1724979014,W_Horn_006_Explain,"初心者ハンター向けに設計
された骨素材の狩猟笛。安定
した性能から愛用者も多い。","A hunting horn made of bone
for novice hunters. People
love its balanced features.","Corne de chasse en os pour
les novices. Sa prise en
main est excellente.","Corno da caccia in puro osso
per cacciatori novizi. Ha un
set di funzioni bilanciate.","Ein Jagdhorn aus Knochen für
unerfahrene Jäger. Geschätzt
wegen seiner Vielseitigkeit.","Cornamusa de hueso para
cazadores novatos. Apreciada
por su equilibrio.","Охотничий рог из кости для
начинающих охотников. Людям
нравится баланс функций.","Róg myśliwski z kości
dla nowicjuszy. Łowcy
go uwielbiają.",,,"Berrante de Caça de ossos
para novatos. As pessoas
adoram seu equilíbrio.","초보자 헌터용으로 설계한
뼈 소재 수렵피리. 안정적인
성능 덕에 애용자가 많다.","針對新手獵人設計的骨素材
狩獵笛。因其穩定的性能
而擁有很多支持者。","针对新手猎人设计的
骨素材狩猎笛。
因其性能稳定，有很多支持者。",,,,,,,,"قرن صيد مصنوع من العظام
للصيادين المبتدئين. يحب
الناس خصائصها المتوازنة.",,,,,,,,,,,
0d237aac-0956-45d4-9484-686dffc166cd,1110446707,W_Horn_007_Explain,"初心者ハンター向けに設計
された骨素材の狩猟笛。安定
した性能から愛用者も多い。","A hunting horn made of bone
for novice hunters. People
love its balanced features.","Corne de chasse en os pour
les novices. Sa prise en
main est excellente.","Corno da caccia in puro osso
per cacciatori novizi. Ha un
set di funzioni bilanciate.","Ein Jagdhorn aus Knochen für
unerfahrene Jäger. Geschätzt
wegen seiner Vielseitigkeit.","Cornamusa de hueso para
cazadores novatos. Apreciada
por su equilibrio.","Охотничий рог из кости для
начинающих охотников. Людям
нравится баланс функций.","Róg myśliwski z kości
dla nowicjuszy. Łowcy
go uwielbiają.",,,"Berrante de Caça de ossos
para novatos. As pessoas
adoram seu equilíbrio.","초보자 헌터용으로 설계한
뼈 소재 수렵피리. 안정적인
성능 덕에 애용자가 많다.","針對新手獵人設計的骨素材
狩獵笛。因其穩定的性能
而擁有很多支持者。","针对新手猎人设计的
骨素材狩猎笛。
因其性能稳定，有很多支持者。",,,,,,,,"قرن صيد مصنوع من العظام
للصيادين المبتدئين. يحب
الناس خصائصها المتوازنة.",,,,,,,,,,,
3473fa50-7693-4819-bd00-2fb95e4ce44a,871509614,W_Horn_008_Explain,"ボーンホルン強化版。骨製笛
ならではの破壊力を高めつつ、
扱いやすさにも磨きをかけた。","The enhanced Bone Horn.
Far more destructive, but
also easier to use.","Plus destructrice et plus
facile à manier.
Base : Corne en os","Corno d'osso potenziato.
Garantisce potenza e
maggiore semplicità d'uso.","Das verstärkte Knochenhorn.
Verbesserte Zerstörungs-
kraft, leichtere Handhabung.","Cuerno óseo mejorado.
Más destructivo y, aun así,
más fácil de usar.","Улучшенный Костяной
рог. Он стал разрушительнее
и проще в использовании.","Poprawiona wersja kościanego
rogu. Bardziej destrukcyjna
i łatwiejsza w użytku.",,,"Forma melhorada do Berrante
Ósseo. Mais destrutivo,
porém mais fácil de usar.","강화판 본호른.
뼈 소재의 파괴력을 살리면서
다루기 쉽게 연마했다.","骨製號角的強化版本。
不只提高了骨製笛的破壞力，
好用程度也提高不少。","骨号角的强化版。
提高骨制笛特有破坏力的同时，
也更便于使用。",,,,,,,,"القرن العظمي المُحسّن.
شديد التدمير، لكنه
سهل الاستخدام أيضًا.",,,,,,,,,,,
44080125-c8d7-484d-8ec7-b0a5d85c1857,1397794210,W_Horn_009_Explain,"入門用でありながら高性能と
評判だった従来モデルを大幅
パワーアップ。永遠の定番に。","A high-performance horn
suitable for beginners.
Popular among hunters.","Une corne de chasse efficace
pour les novices. Populaire
parmi les chasseurs.","Corno da caccia ad alte
prestazioni, popolare e
adatto ai principianti.","Ein Hochleistungs-Jagdhorn,
auch für Anfänger geeignet.
Sehr beliebt unter Jägern.","Cuerno de alta gama apto
para principiantes. Popular
entre cazadores.","Высококачественный рог,
подходящий для начинающих.
Популярен среди охотников.","Profesjonalny róg, dobry
dla początkujących. Bardzo
popularny wśród łowców.",,,"Berrante de alta performance
para iniciantes. Popular
entre caçadores.","입문용이지만 고성능이라
평가 받는 기존 모델을
파워 업. 영원한 스탠다드.","雖是入門款，但因其高性能
備受好評而對以往版本大幅
升級。永不退流行的基本款。","对因高性能而备受好评的
入门用旧型进行了大幅度的
力量提升。永不过时的基本款。",,,,,,,,"قرن ذو أداء عالٍ
مناسب للمبتدئين. وهو
مشهور بين الصيادين.",,,,,,,,,,,
