guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
29a7f36d-bc90-4666-9e51-42e88b37c54b,853487419,W_Horn_300_Explain,"闇夜に響く涼やかな笛の音と
刃音…。心を奪われたが最期、
人知れず屠られることだろう。","Rumor has it that if you
hear this horn's melody,
death is soon to follow.","Cette corne sonne le glas de
ceux qui l'entendent.
Base : Chœur Kamura","Dicono che la melodia
di questo corno annunci
una morte imminente.","Wer die Melodie dieses Horns
hört, ist angeblich einem
baldigen Tode geweiht.","Se dice que la muerte aguarda
a quien oye la melodía de
este cuerno.","Поговаривают, что за
мелодией этого рога
следует смерть.","Podobno jeśli usłyszysz
melodię tego rogu, wkrótce
spotka cię śmierć.",,,"Dizem que quando se ouve
este berrante, a morte chega
logo em seguida.","어둠 속에서 울리는 상쾌한
음색과 칼날 소리… 마음을
뺏기면 남몰래 사라질 것이다.","在暗夜間響起的清新笛聲
與刀刃聲……遭其迷惑者，
恐將暗地遭到宰殺。","浮于黑夜中的清凉笛响与利刃
风声……若沉醉于那音色，最
后就只能不声不响地死去。",,,,,,,,"تقول الشائعة إنك إذا سمعت لحن
هذا القرن،
سيكون الموت هو محطتك التالية.",,,,,,,,,,,
0e00e110-22e7-4304-a506-ca80d68eb6c8,3849351027,W_Horn_301_Explain,"闇夜に響く涼やかな笛の音と
刃音…。心を奪われたが最期、
人知れず屠られることだろう。","Rumor has it that if you
hear this horn's melody,
death is soon to follow.","Cette corne sonne le glas de
ceux qui l'entendent.
Base : Chœur Kamura","Dicono che la melodia
di questo corno annunci
una morte imminente.","Wer die Melodie dieses Horns
hört, ist angeblich einem
baldigen Tode geweiht.","Se dice que la muerte aguarda
a quien oye la melodía de
este cuerno.","Поговаривают, что за
мелодией этого рога
следует смерть.","Podobno jeśli usłyszysz
melodię tego rogu, wkrótce
spotka cię śmierć.",,,"Dizem que quando se ouve
este berrante, a morte chega
logo em seguida.","어둠 속에서 울리는 상쾌한
음색과 칼날 소리… 마음을
뺏기면 남몰래 사라질 것이다.","在暗夜間響起的清新笛聲
與刀刃聲……遭其迷惑者，
恐將暗地遭到宰殺。","浮于黑夜中的清凉笛响与
利刃风声……若沉醉于那音色，
最后就只能不声不响地死去。",,,,,,,,"تقول الشائعة إنك إذا سمعت لحن
هذا القرن،
سيكون الموت هو محطتك التالية.",,,,,,,,,,,
4056dfbc-f0a6-4f61-8a64-cdb2b241e293,1282693294,W_Horn_302_Explain,"優しき笛の音色は、猛き炎たる
英雄に里の情景を思い返させ、
信念を貫き通す活力を与える。","Conviction swells amid
dulcet tones as memories
of a fiery hero stir.","Les douces mélodies de
l'instrument rappellent
l'histoire d'un héros.","Suadenti note di condanna
risuonano al ricordo di un
eroe impetuoso.","Überzeugung schwillt unter
lieblichen Tönen und weckt
Erinnerungen an Helden.","Inspira confianza con sus
afables melodías y recuerdos
de un intrépido héroe.","Нежная мелодия наполняет
уверенностью и пробуждает
воспоминания о пылком герое.","Determinacja rośnie wśród
słodkich melodii, budząc
wspomnienia krewkiego herosa.",,,"Convicção cresce nos tons
doces quando memórias de um
guerreiro despertam.","고운 음색은 맹렬한 불꽃 같은
영웅에게 마을을 상기시켜
신념을 관철할 활력을 준다.","笛子優美的音色，
使烈火英雄回憶起村莊的情景，
並獲得貫徹信念的活力。","笛子温柔的音色，能令烈焰
之英雄回想起村里的模样，
为其带来贯彻信念的活力。",,,,,,,,"يزداد اليقين وسط
نغمات عذبة، بينما تتبدى
ذكريات بطل مندفع.",,,,,,,,,,,
2c269b8d-dfed-49f0-95ef-3b73c11e61d6,558685211,W_Horn_303_Explain,"爵銀龍の素材でできた狩猟笛。
その音色は清廉なようであり、
どこか妖しげなようでもある。","A hunting horn forged from
salvaged materials. Its melodies
are both innocent and mysterious.","Arme forgée de matériaux
recyclés. Ses mélodies sont
innocentes et mystérieuses.","Corno da caccia dalle melodie
innocenti e misteriose, forgiato
con materiali di recupero.","Ein Jagdhorn aus erbeutetem
Material. Klingt unschuldig
und geheimnisvoll zugleich.","Cornamusa hecha con materiales
desechados. Sus melodías son
tan inocentes como misteriosas.","Охотничий рог, сделанный из
добытых трофеев. Его мелодии
невинны и загадочны.","Róg łowiecki z ocalonych
materiałów. Jego melodie są
niewinne i tajemnicze.",,,"Berrante de caça de materiais
recuperados. Tem melodias
inocentes e misteriosas.","은작룡 소재로 만든 수렵피리.
음색은 청렴하면서도 어딘가
요염함이 느껴진다.","以爵銀龍素材製成的狩獵笛。
雖然音色相當清新，
但偶而又帶有一絲妖異。","使用爵银龙素材制作的狩猎笛。
其音色尤为清亮，但似乎又带着
一丝诡异。",,,,,,,,"قرن صيد مصنوع من مواد
مستعملة.
ألحانه بريئة وغامضة.",,,,,,,,,,,
7c52634d-eb42-4168-8f62-bc76fa7b6253,4112861156,W_Horn_304_Explain,"この魔器が奏でる蠱惑的な
調べに魅入られた者は、自然と
演奏者の元に引き寄せられる。","The enchanting music from this
magical instrument mesmerizes
all who hear its sweet melodies.","Les douces mélodies provenant
de cet instrument enchantent
ceux qui les entendent.","L'incantevole musica di
questo strumento ipnotizza
chi ne ode le dolci melodie.","Der zauberhafte Klang dieses
magischen Instruments schlägt
alle Zuhörer in seinen Bann.","La melodía encantadora de este
mágico instrumento embelesa
a todo aquel que la escucha.","Чарующие мелодии этого
инструмента завораживают
всех, кто их услышит.","Urzekająca i słodka muzyka
tego magicznego instrumentu
hipnotyzuje słuchających.",,,"A música encantadora deste
instrumento hipnotiza todos
que ouvem as doces melodias.","마기가 연주하는 고혹적인
선율에 매료되면 자연스럽게
연주자 곁으로 다가간다.","受此魔器演奏的妖異旋律
蠱惑之人，將會自然地往
演奏者的身邊靠近。","此魔具奏出的旋律蛊惑人心，
被那乐声魅惑之人，会自然
而然地前往演奏者身边。",,,,,,,,"تبهر الموسيقى الساحرة
التي تعزفها هذه الآلة السحرية
كل من يسمع ألحانها العذبة.",,,,,,,,,,,
ed37cb65-a531-42c0-8095-479637f51b07,3739401654,W_Horn_305_Explain,"遠く聞こえる雅なる鈴の響きが
御霊を浄め、天涯に導く。
狐鈴コトノハナクテ強化型。","An enhanced Poetic Bell.
Its elegant sound cleanses
souls before their crossing.","Son timbre purifie les âmes
avant leur ultime voyage.
Base : Cloche poétique","Campana poetica potenziata.
Con dolcezza, purifica le
anime prima del trapasso.","Verbesserte Dichterglocke.
Ihr Klang reinigt die Seelen
vor der Überfahrt.","Campana poética mejorada.
Su elegante tono limpia el alma
antes de su travesía final.","Лучший Поэтический колокол.
Изящный звук очищает
души, прежде чем забрать.","Ulepszony Dzwon Poezji.
Wytworne dźwięki oczyszczają
dusze przed odejściem.",,,"Sino Poético melhorado. Seu
som elegante limpa as almas
antes da passagem.","멀리서 들리는 우아한 방울
소리가 영혼을 정화한다.
코토노하나쿠테의 강화형.","聽似遠處傳來的風雅鈴鐺之聲，
將淨化御靈，引導至天涯盡頭。
狐鈴無語亦無聲的強化型態。","从远处传来的优雅铃声，
净化御灵，引至天涯。
狐铃【无言亦无声】强化型。",,,,,,,,"جرس شجي مُعزز.
صوته العذب يطهر الأرواح قبل
انتقالها إلى العالم الآخر.",,,,,,,,,,,
8b2e9991-905d-49bb-a881-bf85a51294b2,1895162110,W_Horn_306_Explain,"禍事よ退けよ、病魔よ去れよと
鈴の音を鳴らさん。愛し君よ
願わくは永永無窮、健勝たれ。","Disaster avaunt!
Blight begone!
Beautiful bell, ring out eternally!","Disparaissez fléaux et
catastrophes ! Belle cloche,
sonne éternellement !","Altolà, disastro!
Sparisci, degrado!
Risuona, magnifica campana!","Verhängnis naht!
Leid hinfort!
Herrliche Glocke, läute ewig!","¡Fuera desastres! ¡No más
plagas! ¡Oh, hermosísima
campana, tintinea sin cesar!","Гони беду прочь!
Очистись от скверны! И вечно
слушай колокольный звон!","Precz, katastrofo! Przepadnij,
plago! Rozbrzmiewaj na
wieki, piękny dzwonie!",,,"Fora, desastre!
Vá embora, desgraça!
Belo sino, soe eternamente!","재앙과 병마를 쫓으려 방울을
울린다. 사랑스런 그대여
부디 영영무궁 건승하소서.","鈴音鳴奏，驅除災禍與病魔。
深愛之人啊，
願你長樂永康，福壽康寧。","铃声为驱邪避祸、祛病除灾而
鸣。愿心爱之人长长久久、无
病永康。",,,,,,,,"حلَّت الكارثة!
بدأت الأوبئة!
جرس جميل، دويّ أبدي!",,,,,,,,,,,
2e3addaf-5f42-45c1-b11a-c91229094363,916389477,W_Horn_307_Explain,"禍事よ退けよ、病魔よ去れよと
鈴の音を鳴らさん。愛し君よ
願わくは永永無窮、健勝たれ。","Disaster avaunt!
Blight begone!
Beautiful bell, ring out eternally!","Disparaissez fléaux et
catastrophes ! Belle cloche,
sonne éternellement !","Altolà, disastro!
Sparisci, degrado!
Risuona, magnifica campana!","Verhängnis naht!
Leid hinfort!
Herrliche Glocke, läute ewig!","¡Fuera desastres! ¡No más
plagas! ¡Oh, hermosísima
campana, tintinea sin cesar!","Гони беду прочь!
Очистись от скверны! И вечно
слушай колокольный звон!","Precz, katastrofo! Przepadnij,
plago! Rozbrzmiewaj na
wieki, piękny dzwonie!",,,"Fora, desastre!
Vá embora, desgraça!
Belo sino, soe eternamente!","재앙과 병마를 쫓으려 방울을
울린다. 사랑스런 그대여
부디 영영무궁 건승하소서.","鈴音鳴奏，驅除災禍與病魔。
深愛之人啊，
願你長樂永康，福壽康寧。","铃声为驱邪避祸、祛病除灾而
鸣。愿心爱之人长长久久、无
病永康。",,,,,,,,"حلَّت الكارثة!
بدأت الأوبئة!
جرس جميل، دويّ أبدي!",,,,,,,,,,,
5ccb5c42-3fa2-4008-ac6e-8f503cfaa8c6,4127825752,W_Horn_308_Explain,"白狐祀る社の巫女のみが鳴らす
ことを許される聖鈴。響かせよ
空を伝う白波が、穢れを祓う。","A holy bell that only the
purest are allowed to ring.
Its chime wipes out evil.","Cloche sacrée réservée aux
plus purs. Son tintement éradique
le mal.","Campana sacra che solo i più
puri possono suonare. Il suo
scampanio scaccia il male.","Eine heilige Glocke, die nur
die Reinsten läuten dürfen,
um das Böse auszulöschen.","Solo los más puros pueden hacer
sonar esta campana sagrada.
Sus tañidos disipan la maldad.","Колокол, в который могут
звонить лишь чистейшие. Его
звон изгоняет зло.","Święty dzwon wyłącznie dla
najczystszych dusz. Jego
dźwięk eliminuje zło.",,,"Sino sagrado que só os mais
puros podem tocar. Seu
repique afasta o mal.","백여우를 모시는 사원의 무녀
만 울릴 수 있는 성령. 하늘의
하얀 파도가 부정을 쫓는다.","唯有祭祀白狐的巫女才有資格
使用的聖鈴。搖響鈴聲吧，
直達蒼穹的白波將消除邪穢。","只有供奉白狐神社的巫女才能
敲响的圣铃。回响吧，在空中
散开的白波将祛除污秽。",,,,,,,,"جرس مقدس مسموح
للأكثر نقاءً وحدهم بدقِّه.
يمحو رنينه الشر.",,,,,,,,,,,
807a5b80-120a-4562-8023-3d94ab236faf,2274862810,W_Horn_309_Explain,"妃蜘蛛の狩猟笛は破滅の音を
奏でる。未来など、幸せなど
無かったかのように空しく。","A horn that plays notes of
pure destruction, erasing
the future, erasing hope.","Fait résonner des sons
destructeurs qui effacent
le futur et tout espoir.","Corno che suona note di pura
distruzione, cancellando il
futuro e la speranza.","Dieses Horn spielt Noten der
Zerstörung. Erloschene Zukunft,
erloschene Hoffnung.","Un cuerno que emite notas de
destrucción pura y dura para
borrar toda ilusión de porvenir.","Рог, играющий музыку чистого
разрушения. Уничтожает
будущее и надежду.","Róg, który gra melodie
czystej destrukcji, wymazując
przyszłość i nadzieję.",,,"Chifre que toca notas de
pura destruição, apagando
o futuro e a esperança.","비지주의 수렵피리는
파멸의 음을 연주한다. 미래와
행복 따윈 없었던 것처럼.","妃蜘蛛的狩獵笛將奏出毀滅
之音。無論是未來還是幸福，
在它面前都將化為虛無。","妃蜘蛛的狩猎笛奏响毁灭之音。
声色虚无飘渺，仿佛没有未来，
亦不存在幸福。",,,,,,,,"بوق يعزف نغمات
الدمار الخالص، يمحو
المستقبل، يمحو الأمل.",,,,,,,,,,,
