guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
9cdd71f9-3011-498e-8cb3-31a81e5be5b9,1195908225,W_Horn_000_Name,メタルバグパイプⅠ,Metal Bagpipe I,Cornemuse de métal,Cornamusa di metallo I,Metall-Dudelsack I,Gaita Metálica I,Метал. волынка 1,Metalowe dudy I,,,Gaita de Fole Metal I,메탈백파이프Ⅰ,金屬風笛Ⅰ,金属风笛Ⅰ,,,,,,,,مزمار القربة المعدني 1,,,,,,,,,,,
e47375de-d025-4d73-848c-035639a1bcaf,162423391,W_Horn_001_Name,グレートバグパイプ,Great Bagpipe,Grande cornemuse,Gran cornamusa,Großer Dudelsack,Gaita Mayor,Большая волынка,Wielkie dudy,,,Grande Gaita de Fole,그레이트백파이프,巨型風笛,巨大风笛,,,,,,,,مزمار القربة الكبير,,,,,,,,,,,
dfc97e1e-af2b-498a-a024-7989391ed75c,3699303808,W_Horn_002_Name,アイアンホルンⅠ,Iron Horn I,Corne de fer,Corno di ferro I,Eisenhorn I,Cuerno de hierro I,Железный рог 1,Żelazny róg I,,,Berrante de Ferro I,아이언호른Ⅰ,鐵號角Ⅰ,铁号角Ⅰ,,,,,,,,القرن الحديدي 1,,,,,,,,,,,
00d88769-7aaf-43e5-b55e-b1cc4d6db7ce,2839214433,W_Horn_003_Name,ウィンドホルン,Wind Horn,Corne de vent,Corno selvaggio,Windhorn,Cuerno de viento,Рог ветра,Róg Wiatru,,,Berrante de Vento,윈드호른,風號角,风号角,,,,,,,,قرن الرياح,,,,,,,,,,,
dd51322d-7a13-43ef-a48f-6c71d5ec4a2d,236176346,W_Horn_004_Name,ヘビィバグパイプⅠ,Heavy Bagpipe I,Cornemuse lourde,Cornamusa pesante I,Schwerer Dudelsack I,Gaita pesada I,Тяжелая волынка 1,Ciężkie dudy I,,,Gaita de Fole Pesada I,헤비백파이프Ⅰ,重風笛Ⅰ,重风笛Ⅰ,,,,,,,,مزمار القربة الثقيل 1,,,,,,,,,,,
fc86f8a8-3dc1-4839-b5f8-9dc3674db61c,4288410224,W_Horn_005_Name,フォルティッシモ,Fortissimo,Fortissimo,Fortissimo,Fortissimo,Fortissimo,Фортиссимо,Fortissimo,,,Fortíssimo,포르티시모,威猛風笛,最重音奏笛,,,,,,,,الصارخ,,,,,,,,,,,
4e194852-942a-496b-ac32-2f4991a6a233,857376336,W_Horn_006_Name,ボーンホルンⅠ,Bone Horn I,Corne en os,Corno d'osso I,Knochenhorn I,Cuerno óseo I,Костяной рог 1,Kościany róg I,,,Berrante Ósseo I,본호른Ⅰ,骨製號角Ⅰ,骨号角Ⅰ,,,,,,,,قرن العظام 1,,,,,,,,,,,
db73fa93-99d2-4c3b-ad96-d891b7876760,3002747518,W_Horn_007_Name,ボーンホルンⅡ,Bone Horn II,Corne en os II,Corno d'osso II,Knochenhorn II,Cuerno óseo II,Костяной рог 2,Kościany róg II,,,Berrante Ósseo II,본호른Ⅱ,骨製號角Ⅱ,骨号角Ⅱ,,,,,,,,قرن العظام 2,,,,,,,,,,,
9ed09006-c100-4096-ace2-90d046cb78ae,3168536960,W_Horn_008_Name,ハードボーンホルン,Hardened Bone Horn,Corne en os durci,Corno d'osso temprato,Gehärtetes Knochenhorn,Cuerno de hueso duro,Закал. костяной рог,Utwardz. kościany róg,,,Berrante Ósseo Duro,하드본호른,硬骨號角,硬骨号角,,,,,,,,قرن العظام المقوى,,,,,,,,,,,
0f622844-eb42-4dd1-8cd4-c5b0ff5522a4,2875240674,W_Horn_009_Name,ハンターズホルンⅠ,Hunter's Horn I,Corne de chasseur,Corno da cacciatore I,Horn des Jägers I,Cuerno de cazador I,Охотничий рог 1,Róg łowcy I,,,Berrante do Caçador I,헌터스호른,獵人號角Ⅰ,猎人号角Ⅰ,,,,,,,,قرن الصيّاد 1,,,,,,,,,,,
