guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
54de4a5f-7b9d-4670-9c59-14e72276b942,1883130639,W_Horn_300_Name,カムラノ武笛,Kamura Warrior Flute,Flûte guerrier Kamura,Flauto guerriero Kamura,Kamura-Krieger-Flöte,Flauta guerrero Kamura,Флейта воина Камуры,Flet wojownika Kamury,,,Flauta Guer. Kamura,카무라무피리,神火武笛,炎火武笛,,,,,,,,مزمار محارب كامورا,,,,,,,,,,,
5be811ce-8f6a-49f0-9188-41c3fc5cdf5b,3554977693,W_Horn_301_Name,カムラノ武笛改,Kamura Warrior Flute+,Flûte guerrier Kamura+,Flauto guerriero Kamura+,Kamura-Krieger-Flöte+,Flauta guerrero Kamura+,Флейта воина Камуры+,Flet wojownika Kamury+,,,Flauta Guer. Kamura+,카무라무피리+,神火武笛改,炎火武笛・改,,,,,,,,مزمار محارب كامورا+,,,,,,,,,,,
3e0edd67-e51f-4011-ab2e-d6b7f4c27a56,491436110,W_Horn_302_Name,カムラノ傑笛,Fine Kamura Flute,Belle flûte Kamura,Flauto Kamura pregiato,Feine Kamura-Flöte,Flauta excelsa Kamura,Отличная флейта Камуры,Doskonały flet Kamury,,,Ótima Flauta Kamura,카무라걸피리,神火傑笛,炎火杰笛,,,,,,,,مزمار كامورا الرائع,,,,,,,,,,,
95c8ef90-c11a-49a1-9559-784e50a2197a,3900125183,W_Horn_303_Name,デュークグレイル,Duke's Grail,Graal du Duc,Graal del duca,Herzogsgral,Grial ducal,Грааль герцога,Graal księcia,,,Graal do Duque,듀크그레일,公爵聖杯笛,公爵圣杯,,,,,,,,كأس الدوق المقدس,,,,,,,,,,,
08192caa-2de6-486f-ae6d-0b418e933e64,1858550389,W_Horn_304_Name,魔奏のゲシュライ,Magician's Allure,Allure du magicien,Fascino magico,Magierzauber,Ritmo de mago,Чары волшебника,Urok czarodzieja,,,Fascínio do Mago,마주의 게슈라이,魔奏之悲鳴,魔奏悲鸣,,,,,,,,جاذبية الساحر,,,,,,,,,,,
26cb8743-698d-4db2-ade8-3ec1bca97402,75803839,W_Horn_305_Name,なるかみの音鈴の乙鳴改,Summoning Bell+,Cloche d'invocation+,Campana d'evocazione+,Beschwörerglocke+,Campana citadora+,Призывающий колокол+,Dzwon Przywołań+,,,Sino de Invocação+,노래 방울의을명+,鳴神音鈴之乙鳴改,雷鸣音铃之乙鸣・改,,,,,,,,جرس الاستدعاء+,,,,,,,,,,,
42d5fe40-795c-4617-ae05-f9dad135881c,2201116252,W_Horn_306_Name,なるかみの音通神韻鈴,Sublime Bell,Cloche sublime,Campana sublime,Erhabene Glocke,Campana sublime,Великий колокол,Cudny dzwon,,,Sino Sublime,노래 방울 통신운,鳴神音通神韻鈴,雷鸣音通神韵铃,,,,,,,,الجرس الراقي,,,,,,,,,,,
d99ad967-5858-48f1-bd2b-ad6db76d6ac6,3694882636,W_Horn_307_Name,なるかみの音通神韻鈴改,Sublime Bell+,Cloche sublime+,Campana sublime+,Erhabene Glocke+,Campana sublime+,Великий колокол+,Cudny dzwon+,,,Sino Sublime+,노래 방울 통신운+,鳴神音通神韻鈴改,雷鸣音通神韵铃・改,,,,,,,,الجرس الراقي+,,,,,,,,,,,
ddca8448-e7b4-4a9f-8d08-7e03ab24a204,2711760019,W_Horn_308_Name,破邪之鈴イナリノカミ,Pure Bell Inari,Pure cloche Inari,Campana Inari pura,Reine Glocke Inari,Campana pura Inari,Чистый колокол Инари,Czysty dzwon Inari,,,Sino Puro Inari,파사의방울 이나리노카미,破邪之鈴稻荷神,辟邪之铃【稻荷神】,,,,,,,,الجرس النقي إيناري,,,,,,,,,,,
2b027a3d-325a-4d83-89cf-dd11b3cd72de,4036066482,W_Horn_309_Name,クリエ・ド・ネフィラ,Araknatootle,Araknacor,Araknassolo,Araknadudel,Araknacompás,Аракнатутл,Araknabrzdęk,,,Arcanoflauteio,쿠리에-드-네피라,人面蛛之號,络新妇悲鸣,,,,,,,,أراكناتوتل,,,,,,,,,,,
