guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
eb0f995f-afd3-48ae-aeb1-9fd018dd5d6e,2448379112,HyakuryuDeco_None_Explain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5ba072cc-ccbd-4013-ade9-be39a312cf21,3598041571,HyakuryuDeco_000_Explain,"痛恨の一撃のスキルを
武器に付与する装飾品。","A decoration that gives weapons
the Brutal Strike skill.","Joyau dotant les armes
du Talent Coup brutal.","Dona alle armi l'abilità
Colpo brutale.","Diese Dekoration verleiht
Waffen die Fähigkeit
Brutaler Schlag.","Un adorno que da a las armas
la habilidad Golpe brutal.","Украшение. Дает оружию навык
""Жестокий удар"".","Ozdoba dodająca do broni
umiejętność brutalny cios.",,,"Adorno que concede às armas
a habilidade Ataque Brutal.","통한의 일격 스킬을
무기에 부여하는 장식품.","可對武器賦予技能
「悔恨一擊」的裝飾品。","能够赋予武器
痛恨一击技能的装饰品。",,,,,,,,"إضافة تمنح الأسلحة
مهارة الضربة الوحشية.",,,,,,,,,,,
69e86939-4571-4023-a6fe-3a67d630a268,2598826800,HyakuryuDeco_001_Explain,"弱点特効【属性】のスキルを
武器に付与する装飾品。","A decoration that gives weapons
the Element Exploit skill.","Joyau dotant les armes
du Talent Faibl. élément.","Dona alle armi l'abilità
Debolezza elementale.","Diese Dekoration verleiht
Waffen die Fähigkeit
Elementvorteil.","Un adorno que da a las armas
la habilidad Aprovechar
elemento.","Украшение. Дает оружию навык
""Уязвимость к стихии"".","Ozdoba dodająca do broni
umiejętność wykorzystanie
żywiołu.",,,"Adorno que concede às armas
a habilidade Expl. de Elemento.","약점 특효【속성】 스킬을
무기에 부여하는 장식품.","可對武器賦予技能
「弱點特效【屬性】」的裝飾品。","能够赋予武器
弱点特效【属性】技能的装饰品。",,,,,,,,"إضافة تمنح الأسلحة
مهارة استغلال العنصر.",,,,,,,,,,,
1e3af1cb-6b58-4fcb-ba79-ae93e20873e8,471092771,HyakuryuDeco_002_Explain,"<COL RED>【大剣・盾斧専用】</COL>
防御研磨術Ⅰのスキルを
武器に付与する装飾品。","<COL RED>(Great Sword/Charge Blade only)</COL>
A decoration that gives weapons
Defense Grinder I.","<COL RED>(Pour Grande épée/Volto-hache)</COL>
Un joyau qui confère aux
armes Broyeur défense I.","<COL RED>(Solo spadone/lama caricata)</COL>
Decorazione che dona alle armi
Difensore strenuo I.","<COL RED>(Nur Großschwert/Energieklinge)</COL>
Diese Dekoration verleiht Waffen
Abwehr-Schleifer I.","<COL RED>(Solo con gran espada o hacha cargada)</COL>
Adorno que complementa las armas con
Mueledefensas I.","<COL RED>(Двуручный меч/Силовой клинок)</COL>
Украшение. Дает оружию
""Защитную дробилку I"".","<COL RED>(Tylko miecz dwur. / ład. ostr.)</COL>
Ozdoba dodająca do broni
Młynek Obrony I.",,,"<COL RED>(Espadão/Lâmina dínamo apenas)</COL>
Decoração que dá às armas
Moedor de Defesa I.","<COL RED>【대검-차지액스 전용】</COL>
방어 연마술Ⅰ 스킬을
무기에 부여하는 장식품.","<COL RED>【大劍、充能斧專用】</COL>
可對武器賦予技能
「防禦研磨術Ⅰ」的裝飾品。","<COL RED>【大剑、盾斧专用】</COL>
能够赋予武器
防御打磨术Ⅰ技能的装饰品。",,,,,,,,"<COL RED>(السيف العظيم/النصل المشحون فقط)</COL>
إضافة تمنح الأسلحة
طاحونة دفاع I.",,,,,,,,,,,
897717b9-b7eb-4cfd-94d6-94910d81c58b,3560295026,HyakuryuDeco_003_Explain,"<COL RED>【大剣・盾斧専用】</COL>
防御研磨術Ⅱのスキルを
武器に付与する装飾品。","<COL RED>(Great Sword/Charge Blade only)</COL>
A decoration that gives weapons
Defense Grinder II.","<COL RED>(Pour Grande épée/Volto-hache)</COL>
Joyau qui confère aux
armes Broyeur défense II.","<COL RED>(Solo spadone/lama caricata)</COL>
Dona alle armi l'abilità
Difensore strenuo II.","<COL RED>(Nur Großschwert/Energieklinge)</COL>
Diese Dekoration verleiht Waffen
Abwehr-Schleifer II.","<COL RED>(Solo gran espada/hacha cargada)</COL>
Un adorno que da a las armas
Mueledefensas II.","<COL RED>(Двуручный меч/Силовой клинок)</COL>
Украшение. Дает оружию
""Защитную дробилку II"".","<COL RED>(Tylko miecz dwur. / ład. ostr.)</COL>
Ozdoba dodająca do broni
Młynek Obrony II.",,,"<COL RED>(Espadão/Lâmina dínamo apenas)</COL>
Decoração que dá às armas
Moedor de Defesa II.","<COL RED>【대검-차지액스 전용】</COL>
방어 연마술Ⅱ 스킬을
무기에 부여하는 장식품.","<COL RED>【大劍、充能斧專用】</COL>
可對武器賦予技能
「防禦研磨術Ⅱ」的裝飾品。","<COL RED>【大剑、盾斧专用】</COL>
能够赋予武器
防御打磨术Ⅱ技能的装饰品。",,,,,,,,"<COL RED>(السيف العظيم/النصل المشحون فقط)</COL>
إضافة تمنح الأسلحة
طاحونة دفاع II.",,,,,,,,,,,
3129b3d9-aefb-45bd-a7ac-4ce9bb03b33f,493551533,HyakuryuDeco_004_Explain,"<COL RED>【双剣専用】</COL>
鬼人激化のスキルを
武器に付与する装飾品。","<COL RED>(Dual Blades only)</COL>
A decoration that gives weapons
Hellion Mode.","<COL RED>(Pour Lames doubles)</COL>
Joyau qui confère aux
armes Mode diablotin.","<COL RED>(Solo doppie lame)</COL>
Dona alle armi l'abilità
Modalità rogna.","<COL RED>(Nur Doppelklingen)</COL>
Diese Dekoration verleiht Waffen
Teufelsbratenmodus.","<COL RED>(Solo espadas dobles)</COL>
Un adorno que da a las armas
Modo vándalo.","<COL RED>(Два клинка)</COL>
Украшение. Дает оружию
""Режим беса"".","<COL RED>(Tylko bliźniacze ostrza)</COL>
Ozdoba dodająca do broni
tryb czarta.",,,"<COL RED>(Duplas-lâminas apenas)</COL>
Adorno que dá às armas
Modo Desordeiro.","<COL RED>【쌍검 전용】</COL>
귀인격화 스킬을
무기에 부여하는 장식품.","<COL RED>【雙劍專用】</COL>
可對武器賦予技能
「鬼人激化」的裝飾品。","<COL RED>【双剑专用】</COL>
能够赋予武器
鬼人激化技能的装饰品。",,,,,,,,"<COL RED>(النصال المزدوجة فقط)</COL>
إضافة تمنح الأسلحة
وضع هيليون.",,,,,,,,,,,
ab1ffe1e-9f9d-4182-91e1-3ddcd265f916,3503554049,HyakuryuDeco_005_Explain,"<COL RED>【狩猟笛専用】</COL>
大音量演奏のスキルを
武器に付与する装飾品。","<COL RED>(Hunting Horn only)</COL>
A decoration that gives weapons
Maximum Volume.","<COL RED>(Pour Corne de chasse)</COL>
Joyau qui confère aux
armes Volume maximal.","<COL RED>(Solo corno da caccia)</COL>
Dona alle armi l'abilità
Volume massimo.","<COL RED>(Nur Jagdhorn)</COL>
Diese Dekoration verleiht Waffen
Maximallautstärke.","<COL RED>(Solo cornamusa)</COL>
Un adorno que da a las armas
Volumen máximo.","<COL RED>(Охотничий рог)</COL>
Украшение. Дает оружию
""Максимальную громкость"".","<COL RED>(Tylko róg łowiecki)</COL>
Ozdoba dodająca do broni
maksymalną głośność.",,,"<COL RED>(Berrante de Caça apenas)</COL>
Adorno que dá às armas
Volume Máximo.","<COL RED>【수렵피리 전용】</COL>
대음량 연주 스킬을
무기에 부여하는 장식품.","<COL RED>【狩獵笛專用】</COL>
可對武器賦予技能
「大音量演奏」的裝飾品。","<COL RED>【狩猎笛专用】</COL>
能够赋予武器
大音量演奏技能的装饰品。",,,,,,,,"<COL RED>(بوق الصيد فقط)</COL>
إضافة تمنح الأسلحة
الحد الأقصى للصوت.",,,,,,,,,,,
65447107-242d-4260-a517-5e264da14cbf,4274556777,HyakuryuDeco_006_Explain,"<COL RED>【剣斧専用】</COL>
ビン変形強化のスキルを
武器に付与する装飾品。","<COL RED>(Switch Axe only)</COL>
A decoration that gives weapons
Phial Switch Boost.","<COL RED>(Pour Morpho-hache)</COL>
Joyau qui confère aux
armes Boost substi fiole.","<COL RED>(Solo spadascia)</COL>
Dona alle armi l'abilità
Bonus scambio rivestimento.","<COL RED>(Nur Morph-Axt)</COL>
Diese Dekoration verleiht Waffen
Phiolentausch-Bonus.","<COL RED>(Solo hacha espada)</COL>
Un adorno que da a las armas
Intercambio de vial aumentado.","<COL RED>(Выкидной топор)</COL>
Украшение. Дает оружию
""Быструю смену склянки"".","<COL RED>(Tylko topór sprężynowy)</COL>
Ozdoba dodająca do broni
wzmocnienie zmiany fiolki.",,,"<COL RED>(Transmachado apenas)</COL>
Adorno que dá às armas
Reforço de Troca de Frasco.","<COL RED>【슬래시액스 전용】</COL>
병 변형 강화 스킬을
무기에 부여하는 장식품.","<COL RED>【斬擊斧專用】</COL>
可對武器賦予技能
「瓶變形強化」的裝飾品。","<COL RED>【剑斧专用】</COL>
能够赋予武器
瓶变形强化技能的装饰品。",,,,,,,,"<COL RED>(تبديل الفأس فقط)</COL>
إضافة تمنح الأسلحة
تبديل سريع للقارورة.",,,,,,,,,,,
fa9b3614-991b-489e-b2f5-599dcce31198,3409794725,HyakuryuDeco_007_Explain,"<COL RED>【弓専用】</COL>
曲射効果持続のスキルを
武器に付与する装飾品。","<COL RED>(Bow only)</COL>
A decoration that gives weapons
Lasting Arc Shot.","<COL RED>(Pour Arc)</COL>
Joyau qui confère aux
armes Tir barrage prolongé.","<COL RED>(Solo arco)</COL>
Dona alle armi l'abilità
Tiro parabolico duraturo.","<COL RED>(Nur Bogen)</COL>
Diese Dekoration verleiht Waffen
Ewiger Bogenschuss.","<COL RED>(Solo arco)</COL>
Un adorno que da a las armas
Tiro parabólico duradero.","<COL RED>(Лук)</COL>
Украшение. Дает оружию
""Длительный выстрел дугой"".","<COL RED>(Tylko łuk)</COL>
Ozdoba dodająca do broni
trwałostrzał po łuku.",,,"<COL RED>(Arco apenas)</COL>
Adorno que dá às armas
Tiro Prolong. de Arco.","<COL RED>【활 전용】</COL>
곡사 효과 지속 스킬을
무기에 부여하는 장식품.","<COL RED>【弓專用】</COL>
可對武器賦予技能
「曲射效果持續」的裝飾品。","<COL RED>【弓专用】</COL>
能够赋予武器
曲射效果持续技能的装饰品。",,,,,,,,"<COL RED>(القوس فقط)</COL>
إضافة تمنح الأسلحة
طلقة ملتوية دائمة.",,,,,,,,,,,
77747f99-5130-4fa4-8acc-2f20227c6cc7,3407524702,HyakuryuDeco_008_Explain,<COLOR FF0000>#Rejected#</COLOR> HyakuryuDeco_008_Explain,<COLOR FF0000>#Rejected#</COLOR> HyakuryuDeco_008_Explain,<COLOR FF0000>#Rejected#</COLOR> HyakuryuDeco_008_Explain,<COLOR FF0000>#Rejected#</COLOR> HyakuryuDeco_008_Explain,<COLOR FF0000>#Rejected#</COLOR> HyakuryuDeco_008_Explain,<COLOR FF0000>#Rejected#</COLOR> HyakuryuDeco_008_Explain,<COLOR FF0000>#Rejected#</COLOR> HyakuryuDeco_008_Explain,<COLOR FF0000>#Rejected#</COLOR> HyakuryuDeco_008_Explain,<COLOR FF0000>#Rejected#</COLOR> HyakuryuDeco_008_Explain,<COLOR FF0000>#Rejected#</COLOR> HyakuryuDeco_008_Explain,<COLOR FF0000>#Rejected#</COLOR> HyakuryuDeco_008_Explain,<COLOR FF0000>#Rejected#</COLOR> HyakuryuDeco_008_Explain,<COLOR FF0000>#Rejected#</COLOR> HyakuryuDeco_008_Explain,<COLOR FF0000>#Rejected#</COLOR> HyakuryuDeco_008_Explain,<COLOR FF0000>#Rejected#</COLOR> HyakuryuDeco_008_Explain,<COLOR FF0000>#Rejected#</COLOR> HyakuryuDeco_008_Explain,<COLOR FF0000>#Rejected#</COLOR> HyakuryuDeco_008_Explain,<COLOR FF0000>#Rejected#</COLOR> HyakuryuDeco_008_Explain,<COLOR FF0000>#Rejected#</COLOR> HyakuryuDeco_008_Explain,<COLOR FF0000>#Rejected#</COLOR> HyakuryuDeco_008_Explain,<COLOR FF0000>#Rejected#</COLOR> HyakuryuDeco_008_Explain,<COLOR FF0000>#Rejected#</COLOR> HyakuryuDeco_008_Explain,<COLOR FF0000>#Rejected#</COLOR> HyakuryuDeco_008_Explain,<COLOR FF0000>#Rejected#</COLOR> HyakuryuDeco_008_Explain,<COLOR FF0000>#Rejected#</COLOR> HyakuryuDeco_008_Explain,<COLOR FF0000>#Rejected#</COLOR> HyakuryuDeco_008_Explain,<COLOR FF0000>#Rejected#</COLOR> HyakuryuDeco_008_Explain,<COLOR FF0000>#Rejected#</COLOR> HyakuryuDeco_008_Explain,<COLOR FF0000>#Rejected#</COLOR> HyakuryuDeco_008_Explain,<COLOR FF0000>#Rejected#</COLOR> HyakuryuDeco_008_Explain,<COLOR FF0000>#Rejected#</COLOR> HyakuryuDeco_008_Explain,<COLOR FF0000>#Rejected#</COLOR> HyakuryuDeco_008_Explain,<COLOR FF0000>#Rejected#</COLOR> HyakuryuDeco_008_Explain
