guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
1abdc185-e4ed-4f7c-832d-713875f49733,3450707898,HyakuryuDeco_None_Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f8705178-8bbc-47d7-8407-95bbd85bd0cb,4217705743,HyakuryuDeco_000_Name,痛恨竜珠【２】,Brutal Jewel 2,Joyau brutal 2,Gioiello brutale 2,Brutales Juwel 2,Joya brutal 2,Грубый самоцвет 2,Brutalny klejnot 2,,,Joia Brutal 2,통한룡주【2】,悔恨龍珠【2】,痛恨龙珠【2】,,,,,,,,الجوهرة الوحشية 2,,,,,,,,,,,
163e60f2-8661-4767-8291-dca69a231dea,4223578331,HyakuryuDeco_001_Name,属痛竜珠【３】,Elembane Jewel 3,Joyau élem 3,G piaga elementale 3,Elemfluch-Juwel 3,J. plaga elemental 3,Сам. Антистихия 3,Klejnot Elembane 3,,,Joia Ruinelemento 3,속통룡주【3】,屬痛龍珠【3】,属痛龙珠【3】,,,,,,,,حلية إيليمبين 3,,,,,,,,,,,
475ea7dc-3c1b-43cd-8a62-1e9b025186fa,2427411724,HyakuryuDeco_002_Name,護刃竜珠【１】,Defense Edge Jewel 1,Joyau Avantage déf 1,G taglio difensivo 1,VrtdgungSchndJuwl1,J. ventaja defens. 1,Сам. Острие защ. 1,Klejn. Ostrza Obrony 1,,,Joia Vandefesa 1,호인룡주【1】,護刃龍珠【1】,护刃龙珠【1】,,,,,,,,حلية حافة الدفاع 1,,,,,,,,,,,
a6c97590-6a98-48db-a6a7-51497ca7a92f,3693416969,HyakuryuDeco_003_Name,護研竜珠【３】,Defense Master Jewel 3,Joyau Maîtrise def 3,G maestro difensore 3,Vertdgngmstrjuwl3,J. maestra defens. 3,Сам. Мастер защ. 3,Klejn. mist. obrony 3,,,Joia Mestre Defesa 3,호연룡주【3】,護研龍珠【3】,护磨龙珠【3】,,,,,,,,حلية سيد الدفاع 3,,,,,,,,,,,
4007a5d3-422c-408c-97e8-b30dd39dd5c0,842297010,HyakuryuDeco_004_Name,鬼激竜珠【３】,Raging Jewel 3,Joyau fulminant 3,G furente 3,Tobendes Juwel 3,Joya frenética 3,Самоцвет ярости 3,Klejnot Rozjuszenia 3,,,Joia Furiosa 3,귀격룡주【3】,鬼激龍珠【3】,鬼激龙珠【3】,,,,,,,,حلية الغضب 3,,,,,,,,,,,
609db74f-3bdd-4d51-9ea3-a46734019a20,686599777,HyakuryuDeco_005_Name,大奏竜珠【２】,Doot Range Jewel 2,Joyau portée volume 3,G gran raggio 2,TutreichweiteJwl 2,Joya estruendo 2,Сам. диапазона 2,Klejn. zasięgu dźw. 2,,,Joia Alcance Musical 2,대주룡주【2】,大奏龍珠【2】,大奏龙珠【2】,,,,,,,,حلية نطاق دوت 2,,,,,,,,,,,
13f64ce8-740b-4677-ad95-e00bd5e81252,2281030382,HyakuryuDeco_006_Name,変撃竜珠【３】,Switcher Jewel 3,Joyau substitution 3,G cambio 3,Wechsler-Juwel 3,Joya intercambio 3,Самоцвет смены 3,Klejnot zmiany 3,,,Joia de Troca 3,변격룡주【3】,變擊龍珠【3】,变击龙珠【3】,,,,,,,,حلية المُبدّل 3,,,,,,,,,,,
f4aca298-7654-4857-88ad-3af19304ce3e,2718537315,HyakuryuDeco_007_Name,曲続竜珠【２】,Arc Jewel 2,Joyau arc 2,G arco 2,Bogen-Juwel 2,Joya de parábola 2,Самоцвет дуги 2,Klejnot łuku 2,,,Joia de Arco 2,곡속룡주【2】,曲續龍珠【2】,曲续龙珠【2】,,,,,,,,حلية القوس 2,,,,,,,,,,,
094ab1dc-c2bc-4313-ad23-479095ff0bb1,562917222,HyakuryuDeco_008_Name,<COLOR FF0000>#Rejected#</COLOR> HyakuryuDeco_008_Name,<COLOR FF0000>#Rejected#</COLOR> HyakuryuDeco_008_Name,<COLOR FF0000>#Rejected#</COLOR> HyakuryuDeco_008_Name,<COLOR FF0000>#Rejected#</COLOR> HyakuryuDeco_008_Name,<COLOR FF0000>#Rejected#</COLOR> HyakuryuDeco_008_Name,<COLOR FF0000>#Rejected#</COLOR> HyakuryuDeco_008_Name,<COLOR FF0000>#Rejected#</COLOR> HyakuryuDeco_008_Name,<COLOR FF0000>#Rejected#</COLOR> HyakuryuDeco_008_Name,<COLOR FF0000>#Rejected#</COLOR> HyakuryuDeco_008_Name,<COLOR FF0000>#Rejected#</COLOR> HyakuryuDeco_008_Name,<COLOR FF0000>#Rejected#</COLOR> HyakuryuDeco_008_Name,<COLOR FF0000>#Rejected#</COLOR> HyakuryuDeco_008_Name,<COLOR FF0000>#Rejected#</COLOR> HyakuryuDeco_008_Name,<COLOR FF0000>#Rejected#</COLOR> HyakuryuDeco_008_Name,<COLOR FF0000>#Rejected#</COLOR> HyakuryuDeco_008_Name,<COLOR FF0000>#Rejected#</COLOR> HyakuryuDeco_008_Name,<COLOR FF0000>#Rejected#</COLOR> HyakuryuDeco_008_Name,<COLOR FF0000>#Rejected#</COLOR> HyakuryuDeco_008_Name,<COLOR FF0000>#Rejected#</COLOR> HyakuryuDeco_008_Name,<COLOR FF0000>#Rejected#</COLOR> HyakuryuDeco_008_Name,<COLOR FF0000>#Rejected#</COLOR> HyakuryuDeco_008_Name,<COLOR FF0000>#Rejected#</COLOR> HyakuryuDeco_008_Name,<COLOR FF0000>#Rejected#</COLOR> HyakuryuDeco_008_Name,<COLOR FF0000>#Rejected#</COLOR> HyakuryuDeco_008_Name,<COLOR FF0000>#Rejected#</COLOR> HyakuryuDeco_008_Name,<COLOR FF0000>#Rejected#</COLOR> HyakuryuDeco_008_Name,<COLOR FF0000>#Rejected#</COLOR> HyakuryuDeco_008_Name,<COLOR FF0000>#Rejected#</COLOR> HyakuryuDeco_008_Name,<COLOR FF0000>#Rejected#</COLOR> HyakuryuDeco_008_Name,<COLOR FF0000>#Rejected#</COLOR> HyakuryuDeco_008_Name,<COLOR FF0000>#Rejected#</COLOR> HyakuryuDeco_008_Name,<COLOR FF0000>#Rejected#</COLOR> HyakuryuDeco_008_Name,<COLOR FF0000>#Rejected#</COLOR> HyakuryuDeco_008_Name
83a6c89a-ce7c-42b6-8566-6c72fd9dab64,466516862,HyakuryuDeco_009_Name,破竜竜珠【２】,Anti-Wyvern Jewel 2,Joyau anti-wyverne 2,G antiwyvern 2,Anti-WyvernJuwel2,Joya antiwyvern 2,Сам. Антививерна 2,Klejnot antywiwerna 2,,,Joia Antieserpe 2,파룡룡주【2】,破龍龍珠【2】,破龙龙珠【2】,,,,,,,,حلية مقاومة التنين مجنح 2,,,,,,,,,,,
6d78e811-c5c0-42c5-8134-0e497a463488,3927165497,HyakuryuDeco_010_Name,破空竜珠【２】,Anti-Aerial Jewel 2,Joyau anti-aérien 2,G antivolanti 2,Anti-Luft-Juwel 2,Joya antiaérea 2,Противолет. сам. 2,Klejnot antypowiet. 2,,,Joia Antiaérea 2,파공룡주【2】,破空龍珠【2】,破空龙珠【2】,,,,,,,,حلية كائنات ضد الهواء 2,,,,,,,,,,,
329c2a0a-1686-4740-ad5c-350c0a50fb5f,1600291618,HyakuryuDeco_011_Name,破流竜珠【２】,Anti-Aquatic Jewel 2,Joyau anti-aquatique 2,G antiacquatici 2,Anti-Wasser-Juwel 2,J. antiacuática 2,Противовод. сам. 2,Klejnot antywodny 2,,,Joia Antiaquática 2,파류룡주【2】,破流龍珠【2】,破流龙珠【2】,,,,,,,,حلية كائنات ضد الماء 2,,,,,,,,,,,
eb4473b2-eb98-40c2-b47c-dfbc5c479b81,2724421818,HyakuryuDeco_012_Name,破小竜珠【１】,Small Monster Jewel 1,Joyau petits monstres 1,G mostro piccolo 1,KleineMonsterJuwl1,J. monstruo peq. 1,Сам. малых мон. 1,Klej. mały potw. 1,,,Joia Monstro Peq. 1,파소룡주【1】,破小龍珠【1】,破小龙珠【1】,,,,,,,,حلية الوحش الصغير 1,,,,,,,,,,,
ca07e2e2-4269-4cf8-bff4-0eee7483bb1a,3352725567,HyakuryuDeco_013_Name,火拡竜珠【１】,Fireblight Jewel 1,Joyau fléau-Feu 1,G malus da fuoco 1,Feuerpest-Juwel 1,Joya plaga fuego 1,Сам. огн. порчи 1,Klejnot plagi ognia 1,,,Joia Flag. Fogo 1,화확룡주【1】,火擴龍珠【1】,火扩龙珠【1】,,,,,,,,حلية وباء النار 1,,,,,,,,,,,
a203f1b9-e72e-4a44-af6b-c098e4c643be,3473308386,HyakuryuDeco_014_Name,水拡竜珠【１】,Waterblight Jewel 1,Joyau fléau-Eau 1,G malus da acqua 1,Wasserpest-Juwel 1,Joya plaga agua 1,Сам. вод. порчи 1,Klejnot plagi wody 1,,,Joia Flag. Água 1,수확룡주【1】,水擴龍珠【1】,水扩龙珠【1】,,,,,,,,حلية وباء الماء 1,,,,,,,,,,,
15c66f83-c048-4499-878d-19a1044973fe,1528578199,HyakuryuDeco_015_Name,雷拡竜珠【１】,Thunderblight Jewel 1,Joyau fléau-Foudre 1,G malus da tuono 1,Donnerpest-Juwel 1,Joya plaga rayo 1,Сам. гроз. порчи 1,Klejn. plagi pioruna 1,,,Joia Flag. Raio 1,뇌확룡주【1】,雷擴龍珠【1】,雷扩龙珠【1】,,,,,,,,حلية وباء الرعد 1,,,,,,,,,,,
2f070498-fe42-42c5-9344-4d0e97312389,4181563218,HyakuryuDeco_016_Name,氷拡竜珠【１】,Iceblight Jewel 1,Joyau fléau-Glace 1,G malus da ghiaccio 1,Eispest-Juwel 1,Joya plaga hielo 1,Сам. лед. порчи 1,Klejnot plagi lodu 1,,,Joia Flag. Gelo 1,빙확룡주【1】,冰擴龍珠【1】,冰扩龙珠【1】,,,,,,,,حلية وباء الثلج 1,,,,,,,,,,,
