guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
f57a8da2-9b2d-4fa0-b5f6-1309b4cb6163,3943750299,HyakuryuSkill_None_Explain,<COLOR FF0000>#Rejected#</COLOR> HyakuryuSkill_None_Explain,<COLOR FF0000>#Rejected#</COLOR> HyakuryuSkill_None_Explain,<COLOR FF0000>#Rejected#</COLOR> HyakuryuSkill_None_Explain,<COLOR FF0000>#Rejected#</COLOR> HyakuryuSkill_None_Explain,<COLOR FF0000>#Rejected#</COLOR> HyakuryuSkill_None_Explain,<COLOR FF0000>#Rejected#</COLOR> HyakuryuSkill_None_Explain,<COLOR FF0000>#Rejected#</COLOR> HyakuryuSkill_None_Explain,<COLOR FF0000>#Rejected#</COLOR> HyakuryuSkill_None_Explain,<COLOR FF0000>#Rejected#</COLOR> HyakuryuSkill_None_Explain,<COLOR FF0000>#Rejected#</COLOR> HyakuryuSkill_None_Explain,<COLOR FF0000>#Rejected#</COLOR> HyakuryuSkill_None_Explain,<COLOR FF0000>#Rejected#</COLOR> HyakuryuSkill_None_Explain,<COLOR FF0000>#Rejected#</COLOR> HyakuryuSkill_None_Explain,<COLOR FF0000>#Rejected#</COLOR> HyakuryuSkill_None_Explain,<COLOR FF0000>#Rejected#</COLOR> HyakuryuSkill_None_Explain,<COLOR FF0000>#Rejected#</COLOR> HyakuryuSkill_None_Explain,<COLOR FF0000>#Rejected#</COLOR> HyakuryuSkill_None_Explain,<COLOR FF0000>#Rejected#</COLOR> HyakuryuSkill_None_Explain,<COLOR FF0000>#Rejected#</COLOR> HyakuryuSkill_None_Explain,<COLOR FF0000>#Rejected#</COLOR> HyakuryuSkill_None_Explain,<COLOR FF0000>#Rejected#</COLOR> HyakuryuSkill_None_Explain,<COLOR FF0000>#Rejected#</COLOR> HyakuryuSkill_None_Explain,<COLOR FF0000>#Rejected#</COLOR> HyakuryuSkill_None_Explain,<COLOR FF0000>#Rejected#</COLOR> HyakuryuSkill_None_Explain,<COLOR FF0000>#Rejected#</COLOR> HyakuryuSkill_None_Explain,<COLOR FF0000>#Rejected#</COLOR> HyakuryuSkill_None_Explain,<COLOR FF0000>#Rejected#</COLOR> HyakuryuSkill_None_Explain,<COLOR FF0000>#Rejected#</COLOR> HyakuryuSkill_None_Explain,<COLOR FF0000>#Rejected#</COLOR> HyakuryuSkill_None_Explain,<COLOR FF0000>#Rejected#</COLOR> HyakuryuSkill_None_Explain,<COLOR FF0000>#Rejected#</COLOR> HyakuryuSkill_None_Explain,<COLOR FF0000>#Rejected#</COLOR> HyakuryuSkill_None_Explain,<COLOR FF0000>#Rejected#</COLOR> HyakuryuSkill_None_Explain
f9a04e00-05ba-4cd8-b7bc-53ab0c9016c3,3894504191,HyakuryuSkill_000_Explain,武器の攻撃力に＋４する。,Attack +4,Attaque +4,Attacco: +4,Angriff +4,Ataque +4,Атака +4,Atak +4,,,Ataque +4,무기 공격력 +4,武器攻擊力+4。,武器的攻击力+4。,,,,,,,,هجوم +4,,,,,,,,,,,
22c13002-8f01-42d4-a215-2ca607d2adaf,552182281,HyakuryuSkill_001_Explain,武器の攻撃力に＋６する。,Attack +6,Attaque +6,Attacco: +6,Angriff +6,Ataque +6,Атака +6,Atak +6,,,Ataque +6,무기 공격력 +6,武器攻擊力+6。,武器的攻击力+6。,,,,,,,,هجوم +6,,,,,,,,,,,
77056e2d-5cfb-4bfe-a52d-a35a9d25e76e,4258306332,HyakuryuSkill_002_Explain,武器の攻撃力に＋８する。,Attack +8,Attaque +8,Attacco: +8,Angriff +8,Ataque +8,Атака +8,Atak +8,,,Ataque +8,무기 공격력 +8,武器攻擊力+8。,武器的攻击力+8。,,,,,,,,هجوم +8,,,,,,,,,,,
10caef83-2a57-4477-aa04-f66ecb29d307,537477548,HyakuryuSkill_003_Explain,武器の攻撃力に＋１０する。,Attack +10,Attaque +10,Attacco: +10,Angriff +10,Ataque +10,Атака +10,Atak +10,,,Ataque +10,무기 공격력 +10,武器攻擊力+10。,武器的攻击力+10。,,,,,,,,هجوم +10,,,,,,,,,,,
c23a5c2f-5171-444e-b21a-182ffc824975,1217398874,HyakuryuSkill_004_Explain,"武器の攻撃力を＋２０する代わりに
会心率が－３０％される。","Attack +20
Affinity -30%","Attaque +20
Affinité -30 %","Attacco: +20
Affinità: -30%","Angriff +20
Affinität -30%","Ataque +20
Afinidad -30 %","Атака +20
Мастерство -30%","Atak +20
Zgodność -30%",,,"Ataque +20
Afinidade -30%","무기 공격력 +20
회심률 -30%","武器攻擊力+20，
但會心率-30%。","武器的攻击力+20，
但会心率-30%。",,,,,,,,"هجوم +20
نسبة إلحاق الضرر -30%",,,,,,,,,,,
71f44820-f67d-478c-9f16-3aa1ff7729f6,3025757903,HyakuryuSkill_005_Explain,武器の属性値に＋５する。,Weapon Element +5,Élément de l'arme +5,Elemento dell'arma: +5,Waffenelement +5,Elemento del arma +5,Стихия оружия +5,Żywioł broni +5,,,Elemento de Arma +5,무기 속성치 +5,武器屬性值+5。,武器的属性值+5。,,,,,,,,عنصر السلاح +5,,,,,,,,,,,
91018ce7-1068-49f0-8324-f4fc59c98890,3224488600,HyakuryuSkill_006_Explain,武器の属性値に＋７する。,Weapon Element +7,Élément de l'arme +7,Elemento dell'arma: +7,Waffenelement +7,Elemento del arma +7,Стихия оружия +7,Żywioł broni +7,,,Elemento de Arma +7,무기 속성치 +7,武器屬性值+7。,武器的属性值+7。,,,,,,,,عنصر السلاح +7,,,,,,,,,,,
3059a0fd-6cb8-496d-b585-66689f0f74b6,728460828,HyakuryuSkill_007_Explain,武器の属性値に＋１０する。,Weapon Element +10,Élément de l'arme +10,Elemento dell'arma: +10,Waffenelement +10,Elemento del arma +10,Стихия оружия +10,Żywioł broni +10,,,Elemento de Arma +10,무기 속성치 +10,武器屬性值+10。,武器的属性值+10。,,,,,,,,عنصر السلاح +10,,,,,,,,,,,
865ac9fb-da01-486e-b452-8ab9db4b3401,901758177,HyakuryuSkill_008_Explain,"武器の属性値に＋１０する代わりに
攻撃力が－１５される。","Weapon Element +10
Attack -15","Élément de l'arme +10
Attaque -15","Elemento dell'arma: +10
Attacco: -15","Waffenelement +10
Angriff -15","Elemento del arma +10
Ataque -15","Стихия оружия +10
Атака -15","Żywioł broni +10
Atak -15",,,"Elemento da Arma +10
Ataque -15","무기 속성치 +10
공격력 -15","武器屬性值+10，
但攻擊力-15。","武器的属性值+10，
但攻击力-15。",,,,,,,,"عنصر السلاح +10
الهجوم -15",,,,,,,,,,,
1cd745c8-58ed-414c-8f9b-62bfffbd01f3,2366833695,HyakuryuSkill_009_Explain,武器の会心率に＋４％する。,Affinity +4%,Affinité +4 %,Affinità: +4%,Affinität +4%,Afinidad +4 %,Мастерство +4%,Zgodność +4%,,,Afinidade +4%,무기 회심률 +4%,武器會心率+4%。,武器的会心率+4%。,,,,,,,,نسبة إلحاق الضرر +4%,,,,,,,,,,,
3e01bf6f-07a6-4e80-9315-b2e96ab990b5,1415588805,HyakuryuSkill_010_Explain,武器の会心率に＋６％する。,Affinity +6%,Affinité +6 %,Affinità: +6%,Affinität +6%,Afinidad +6 %,Мастерство +6%,Zgodność +6%,,,Afinidade +6%,무기 회심률 +6%,武器會心率+6%。,武器的会心率+6%。,,,,,,,,نسبة إلحاق الضرر +6%,,,,,,,,,,,
d85d0169-5293-4e70-b8f1-157f52b36342,1873816305,HyakuryuSkill_011_Explain,武器の会心率に＋８％する。,Affinity +8%,Affinité +8 %,Affinità: +8%,Affinität +8%,Afinidad +8 %,Мастерство +8%,Zgodność +8,,,Afinidade +8,무기 회심률 +8%,武器會心率+8%。,武器的会心率+8%。,,,,,,,,نسبة إلحاق الضرر +8%,,,,,,,,,,,
ad12a120-c679-4495-bea6-723e740967ac,3633969355,HyakuryuSkill_012_Explain,武器の会心率に＋１０％する。,Affinity +10%,Affinité +10 %,Affinità: +10%,Affinität +10%,Afinidad +10 %,Мастерство +10%,Zgodność +10%,,,Afinidade +10%,무기 회심률 +10%,武器會心率+10%。,武器的会心率+10%。,,,,,,,,نسبة إلحاق الضرر +10%,,,,,,,,,,,
488bdf1c-a3f6-40b2-9fd3-5eb0519e71ef,3018611700,HyakuryuSkill_013_Explain,"武器の会心率に＋２０％する代わりに
攻撃力が－１０される。","Affinity +20%
Attack -10","Affinité +20 %
Attaque -10","Affinità: +20%
Attacco: -10","Affinität +20%
Angriff -10","Afinidad +20 %
Ataque -10","Мастерство +20%
Атака -10","Zgodność +20%
Atak -10",,,"Afinidade +20%
Ataque -10","무기 회심률 +20%
공격력 -10","武器會心率+20%，
但攻擊力-10。","武器的会心率+20%，
但攻击力-10。",,,,,,,,"نسبة إلحاق الضرر +20%
الهجوم -10",,,,,,,,,,,
0ba2defe-d046-48a5-b843-97e0e05cfe13,1216678927,HyakuryuSkill_014_Explain,武器の防御力ボーナスに＋１０する。,Defense Bonus +10,Bonus défense +10,Bonus difesa: +10,Verteidigungsbonus +10,Bonus de defensa +10,Бонус к защите +10,Premia do obrony +10,,,Bônus de Defesa +10,무기 방어력 보너스 +10,武器防禦力加成+10。,武器的防御力加成+10。,,,,,,,,مكافأة الدفاع الإضافية +10,,,,,,,,,,,
8ff464f9-3a3f-4bea-af27-da1dd079da55,88419075,HyakuryuSkill_015_Explain,武器の防御力ボーナスに＋２０する。,Defense Bonus +20,Bonus défense +20,Bonus difesa: +20,Verteidigungsbonus +20,Bonus de defensa +20,Бонус к защите +20,Premia do obrony +20,,,Bônus de Defesa +20,무기 방어력 보너스 +20,武器防禦力加成+20。,武器的防御力加成+20。,,,,,,,,مكافأة الدفاع الإضافية +20,,,,,,,,,,,
f7329264-9b03-4b37-9d03-1c3292ea0b87,3133869718,HyakuryuSkill_016_Explain,武器の防御力ボーナスに＋３０する。,Defense Bonus +30,Bonus défense +30,Bonus difesa: +30,Verteidigungsbonus +30,Bonus de defensa +30,Бонус к защите +30,Premia do obrony +30,,,Bônus de Defesa +30,무기 방어력 보너스 +30,武器防禦力加成+30。,武器的防御力加成+30。,,,,,,,,مكافأة الدفاع الإضافية +30,,,,,,,,,,,
