guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
8eaf26fb-b67e-44b4-898e-f7646b18c85f,809010115,HyakuryuSkill_259_Name,痛恨の一撃,Brutal Strike,Coup brutal,Colpo brutale,Brutaler Schlag,Golpe brutal,Жестокий удар,Brutalny cios,,,Ataque Brutal,통한의 일격,悔恨一擊,痛恨一击,,,,,,,,ضربة وحشية,,,,,,,,,,,
0c250c4c-8d31-4b61-94bb-e7cbda9dbbb3,1672236296,HyakuryuSkill_260_Name,弱点特効【属性】,Element Exploit,Faibl. élément.,Debolezza elementale,Elementvorteil,Aprovechar elemento,Уязвимость к стихии,Wykorzyst. żywiołu,,,Expl. de Elemento,약점 특효【속성】,弱點特效【屬性】,弱点特效【属性】,,,,,,,,استغلال عنصر,,,,,,,,,,,
55395a6c-0db5-4b17-9281-564dbaa23af3,2184830935,HyakuryuSkill_261_Name,防御研磨術Ⅰ,Defense Grinder I,Broyeur défense,Difensore strenuo I,Abwehr-Schleifer I,Mueledefensas I,Защитная дробилка I,Młynek Obrony I,,,Moedor de Defesa I,방어 연마술Ⅰ,防禦研磨術Ⅰ,防御打磨术Ⅰ,,,,,,,,طاحونة دفاع 1,,,,,,,,,,,
9fa6e37b-7bc2-452b-b295-f584e4e0c845,4137437181,HyakuryuSkill_262_Name,防御研磨術Ⅱ,Defense Grinder II,Broyeur défense II,Difensore strenuo II,Abwehr-Schleifer II,Mueledefensas II,Защитная дробилка II,Młynek Obrony II,,,Moedor de Defesa II,방어 연마술Ⅱ,防禦研磨術Ⅱ,防御打磨术Ⅱ,,,,,,,,طاحونة دفاع 2,,,,,,,,,,,
61f1acff-e52c-4e0d-bc09-550bb1cbb016,135977105,HyakuryuSkill_263_Name,鬼人激化,Hellion Mode,Mode diablotin,Modalità rogna,Teufelsbratenmodus,Modo vándalo,Режим беса,Tryb czarta,,,Modo Desordeiro,귀인격화,鬼人激化,鬼人激化,,,,,,,,وضع هيليون,,,,,,,,,,,
3b726489-f578-44e9-86d3-dda30fc045c1,1862938797,HyakuryuSkill_264_Name,大音量演奏,Maximum Volume,Volume maximal,Volume massimo,Maximallautstärke,Volumen máximo,Максим. громкость,Maksymalna głośność,,,Volume Máximo,대음량 연주,大音量演奏,大音量演奏,,,,,,,,الحد الأقصى للصوت,,,,,,,,,,,
2ff6caf7-fd55-4d95-a5ee-39877da10a2c,1289708304,HyakuryuSkill_265_Name,ビン変形強化,Phial Switch Boost,Bonus change. Fiole,Bonus scambio fiala,Phiolentausch-Bonus,Bonus cambio viales,Быст. смена склянки,Wzmoc. zmiany fiolki,,,Ref. Alt. de Frasco,병 변형 강화,瓶變形強化,瓶变形强化,,,,,,,,معزز تبديل القنينة,,,,,,,,,,,
4236084c-6ffb-47b4-8f7f-c94b07432a46,2550434069,HyakuryuSkill_266_Name,曲射効果持続,Lasting Arc Shot,Tir barrage prolongé,Tiro parab. Duraturo,Ewiger Bogenschuss,Tiro parab. duradero,Длит. выстрел дугой,Trwałostrzał po łuku,,,Tiro Prolong. de Arco,곡사 효과 지속,曲射效果持續,曲射效果持续,,,,,,,,طلقة ملتوية دائمة,,,,,,,,,,,
af6a273f-15bc-4676-8188-3ea62d30be2f,3625108894,HyakuryuSkill_267_Name,<COLOR FF0000>#Rejected#</COLOR> HyakuryuSkill_267_Name,<COLOR FF0000>#Rejected#</COLOR> HyakuryuSkill_267_Name,<COLOR FF0000>#Rejected#</COLOR> HyakuryuSkill_267_Name,<COLOR FF0000>#Rejected#</COLOR> HyakuryuSkill_267_Name,<COLOR FF0000>#Rejected#</COLOR> HyakuryuSkill_267_Name,<COLOR FF0000>#Rejected#</COLOR> HyakuryuSkill_267_Name,<COLOR FF0000>#Rejected#</COLOR> HyakuryuSkill_267_Name,<COLOR FF0000>#Rejected#</COLOR> HyakuryuSkill_267_Name,<COLOR FF0000>#Rejected#</COLOR> HyakuryuSkill_267_Name,<COLOR FF0000>#Rejected#</COLOR> HyakuryuSkill_267_Name,<COLOR FF0000>#Rejected#</COLOR> HyakuryuSkill_267_Name,<COLOR FF0000>#Rejected#</COLOR> HyakuryuSkill_267_Name,<COLOR FF0000>#Rejected#</COLOR> HyakuryuSkill_267_Name,<COLOR FF0000>#Rejected#</COLOR> HyakuryuSkill_267_Name,<COLOR FF0000>#Rejected#</COLOR> HyakuryuSkill_267_Name,<COLOR FF0000>#Rejected#</COLOR> HyakuryuSkill_267_Name,<COLOR FF0000>#Rejected#</COLOR> HyakuryuSkill_267_Name,<COLOR FF0000>#Rejected#</COLOR> HyakuryuSkill_267_Name,<COLOR FF0000>#Rejected#</COLOR> HyakuryuSkill_267_Name,<COLOR FF0000>#Rejected#</COLOR> HyakuryuSkill_267_Name,<COLOR FF0000>#Rejected#</COLOR> HyakuryuSkill_267_Name,<COLOR FF0000>#Rejected#</COLOR> HyakuryuSkill_267_Name,<COLOR FF0000>#Rejected#</COLOR> HyakuryuSkill_267_Name,<COLOR FF0000>#Rejected#</COLOR> HyakuryuSkill_267_Name,<COLOR FF0000>#Rejected#</COLOR> HyakuryuSkill_267_Name,<COLOR FF0000>#Rejected#</COLOR> HyakuryuSkill_267_Name,<COLOR FF0000>#Rejected#</COLOR> HyakuryuSkill_267_Name,<COLOR FF0000>#Rejected#</COLOR> HyakuryuSkill_267_Name,<COLOR FF0000>#Rejected#</COLOR> HyakuryuSkill_267_Name,<COLOR FF0000>#Rejected#</COLOR> HyakuryuSkill_267_Name,<COLOR FF0000>#Rejected#</COLOR> HyakuryuSkill_267_Name,<COLOR FF0000>#Rejected#</COLOR> HyakuryuSkill_267_Name,<COLOR FF0000>#Rejected#</COLOR> HyakuryuSkill_267_Name
0927f1f2-3763-4f7a-aa28-a7561fabba96,1878119714,HyakuryuSkill_268_Name,竜種特効,Wyvern Exploit,Faiblesse wyvernes,Debolezza wyvern,Wyvernvorteil,Aprovechar wyvern,Уязвимость виверны,Wykorzyst. wiwerny,,,Exploração de Serpe,용 특효,龍種特效,龙种特效,,,,,,,,استغلال التنين المجنح,,,,,,,,,,,
