guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
dffb5422-e7f9-4a67-a3a1-a616e8410d05,2774401856,IG_Insect_100_Name,サルヴァースタッグ,Exalted Alucanid,Alucanide exalté,Sommo Alucanid,Adelszangenkäfer,Gran Lucanidrone,Благород. Алуканид,Egzaltowany alucanid,,,Alucnídeo Exaltado,살바스태그,齒鉗鍬形蟲,齿钳锹形虫,,,,,,,,ألوكانيد المجيد,,,,,,,,,,,
7969930c-ff5b-4bcc-8332-c08b2c2157d1,4198486858,IG_Insect_101_Name,グランツビートル,Gleambeetle,Lumiptère,Scaralampo,Leuchtkäfer,Escarabrilla,Блескожук,Światłowiec,,,Vislumbresouro,그란츠비틀,光輝獨角仙,光泽独角仙,,,,,,,,الخنفساء المشعة,,,,,,,,,,,
4f5bad6b-0982-4c6d-8f5a-826d22c31e6b,1077791447,IG_Insect_102_Name,オスパーダドゥーレ,Bilbobrix,Sabrebrix,Bilbobrix,Bilbobrix,Bichospada,Бильбобрикс,Bilbobrix,,,Bilbobrix,오스파다두레,咒縛天牛,诅咒天牛,,,,,,,,بيلبوبريكس,,,,,,,,,,,
ba5814ff-d5b1-4332-b725-59507ba35a54,3276963756,IG_Insect_103_Name,アムルマリキータ,Ladytower,Coccitour,Ladytower,Marienturm,Mariquitorre,Ледиба,Wieżyca,,,Torreninha,아무르마리키터,愛心巨蟲,爱心胖虫,,,,,,,,ليدي تاور,,,,,,,,,,,
ea8bee19-9e72-4ba7-aa90-647c876e3e25,1543329979,IG_Insect_104_Name,シナトオオモミジ,Foliacath,Feuillacath,Foliacath,Foliacath,Verdardo,Листвоед,Foliacath,,,Foliacath,시나토오오모미지,西納托紅楓蟲,西纳托大红叶虫,,,,,,,,فولياكاث,,,,,,,,,,,
501d1c63-8c6c-481d-ab85-cb285d879bd6,2722018644,IG_Insect_105_Name,ヴァルフリューゲル,Fleetflammer,Flamflotte,Frodisguiscia,Flottenflammer,Sílfido ardiente,Быстрожар,Flotomiotacz,,,Flamerrápido,발프류겔,彈頭雀蛾,弹头雀蛾,,,,,,,,مشعل الأسطول,,,,,,,,,,,
2ea24634-3300-46ed-9bb0-d94752328292,2132175464,IG_Insect_106_Name,<COLOR FF0000>#Rejected#</COLOR> IG_Insect_106_Name,<COLOR FF0000>#Rejected#</COLOR> IG_Insect_106_Name,<COLOR FF0000>#Rejected#</COLOR> IG_Insect_106_Name,<COLOR FF0000>#Rejected#</COLOR> IG_Insect_106_Name,<COLOR FF0000>#Rejected#</COLOR> IG_Insect_106_Name,<COLOR FF0000>#Rejected#</COLOR> IG_Insect_106_Name,<COLOR FF0000>#Rejected#</COLOR> IG_Insect_106_Name,<COLOR FF0000>#Rejected#</COLOR> IG_Insect_106_Name,<COLOR FF0000>#Rejected#</COLOR> IG_Insect_106_Name,<COLOR FF0000>#Rejected#</COLOR> IG_Insect_106_Name,<COLOR FF0000>#Rejected#</COLOR> IG_Insect_106_Name,<COLOR FF0000>#Rejected#</COLOR> IG_Insect_106_Name,<COLOR FF0000>#Rejected#</COLOR> IG_Insect_106_Name,<COLOR FF0000>#Rejected#</COLOR> IG_Insect_106_Name,<COLOR FF0000>#Rejected#</COLOR> IG_Insect_106_Name,<COLOR FF0000>#Rejected#</COLOR> IG_Insect_106_Name,<COLOR FF0000>#Rejected#</COLOR> IG_Insect_106_Name,<COLOR FF0000>#Rejected#</COLOR> IG_Insect_106_Name,<COLOR FF0000>#Rejected#</COLOR> IG_Insect_106_Name,<COLOR FF0000>#Rejected#</COLOR> IG_Insect_106_Name,<COLOR FF0000>#Rejected#</COLOR> IG_Insect_106_Name,<COLOR FF0000>#Rejected#</COLOR> IG_Insect_106_Name,<COLOR FF0000>#Rejected#</COLOR> IG_Insect_106_Name,<COLOR FF0000>#Rejected#</COLOR> IG_Insect_106_Name,<COLOR FF0000>#Rejected#</COLOR> IG_Insect_106_Name,<COLOR FF0000>#Rejected#</COLOR> IG_Insect_106_Name,<COLOR FF0000>#Rejected#</COLOR> IG_Insect_106_Name,<COLOR FF0000>#Rejected#</COLOR> IG_Insect_106_Name,<COLOR FF0000>#Rejected#</COLOR> IG_Insect_106_Name,<COLOR FF0000>#Rejected#</COLOR> IG_Insect_106_Name,<COLOR FF0000>#Rejected#</COLOR> IG_Insect_106_Name,<COLOR FF0000>#Rejected#</COLOR> IG_Insect_106_Name,<COLOR FF0000>#Rejected#</COLOR> IG_Insect_106_Name
ea216c19-a0cd-4f77-aab1-66753f9cbab5,886586707,IG_Insect_107_Name,<COLOR FF0000>#Rejected#</COLOR> IG_Insect_107_Name,<COLOR FF0000>#Rejected#</COLOR> IG_Insect_107_Name,<COLOR FF0000>#Rejected#</COLOR> IG_Insect_107_Name,<COLOR FF0000>#Rejected#</COLOR> IG_Insect_107_Name,<COLOR FF0000>#Rejected#</COLOR> IG_Insect_107_Name,<COLOR FF0000>#Rejected#</COLOR> IG_Insect_107_Name,<COLOR FF0000>#Rejected#</COLOR> IG_Insect_107_Name,<COLOR FF0000>#Rejected#</COLOR> IG_Insect_107_Name,<COLOR FF0000>#Rejected#</COLOR> IG_Insect_107_Name,<COLOR FF0000>#Rejected#</COLOR> IG_Insect_107_Name,<COLOR FF0000>#Rejected#</COLOR> IG_Insect_107_Name,<COLOR FF0000>#Rejected#</COLOR> IG_Insect_107_Name,<COLOR FF0000>#Rejected#</COLOR> IG_Insect_107_Name,<COLOR FF0000>#Rejected#</COLOR> IG_Insect_107_Name,<COLOR FF0000>#Rejected#</COLOR> IG_Insect_107_Name,<COLOR FF0000>#Rejected#</COLOR> IG_Insect_107_Name,<COLOR FF0000>#Rejected#</COLOR> IG_Insect_107_Name,<COLOR FF0000>#Rejected#</COLOR> IG_Insect_107_Name,<COLOR FF0000>#Rejected#</COLOR> IG_Insect_107_Name,<COLOR FF0000>#Rejected#</COLOR> IG_Insect_107_Name,<COLOR FF0000>#Rejected#</COLOR> IG_Insect_107_Name,<COLOR FF0000>#Rejected#</COLOR> IG_Insect_107_Name,<COLOR FF0000>#Rejected#</COLOR> IG_Insect_107_Name,<COLOR FF0000>#Rejected#</COLOR> IG_Insect_107_Name,<COLOR FF0000>#Rejected#</COLOR> IG_Insect_107_Name,<COLOR FF0000>#Rejected#</COLOR> IG_Insect_107_Name,<COLOR FF0000>#Rejected#</COLOR> IG_Insect_107_Name,<COLOR FF0000>#Rejected#</COLOR> IG_Insect_107_Name,<COLOR FF0000>#Rejected#</COLOR> IG_Insect_107_Name,<COLOR FF0000>#Rejected#</COLOR> IG_Insect_107_Name,<COLOR FF0000>#Rejected#</COLOR> IG_Insect_107_Name,<COLOR FF0000>#Rejected#</COLOR> IG_Insect_107_Name,<COLOR FF0000>#Rejected#</COLOR> IG_Insect_107_Name
17661835-550e-4b26-90d0-de47b4f4c829,1211593816,IG_Insect_108_Name,<COLOR FF0000>#Rejected#</COLOR> IG_Insect_108_Name,<COLOR FF0000>#Rejected#</COLOR> IG_Insect_108_Name,<COLOR FF0000>#Rejected#</COLOR> IG_Insect_108_Name,<COLOR FF0000>#Rejected#</COLOR> IG_Insect_108_Name,<COLOR FF0000>#Rejected#</COLOR> IG_Insect_108_Name,<COLOR FF0000>#Rejected#</COLOR> IG_Insect_108_Name,<COLOR FF0000>#Rejected#</COLOR> IG_Insect_108_Name,<COLOR FF0000>#Rejected#</COLOR> IG_Insect_108_Name,<COLOR FF0000>#Rejected#</COLOR> IG_Insect_108_Name,<COLOR FF0000>#Rejected#</COLOR> IG_Insect_108_Name,<COLOR FF0000>#Rejected#</COLOR> IG_Insect_108_Name,<COLOR FF0000>#Rejected#</COLOR> IG_Insect_108_Name,<COLOR FF0000>#Rejected#</COLOR> IG_Insect_108_Name,<COLOR FF0000>#Rejected#</COLOR> IG_Insect_108_Name,<COLOR FF0000>#Rejected#</COLOR> IG_Insect_108_Name,<COLOR FF0000>#Rejected#</COLOR> IG_Insect_108_Name,<COLOR FF0000>#Rejected#</COLOR> IG_Insect_108_Name,<COLOR FF0000>#Rejected#</COLOR> IG_Insect_108_Name,<COLOR FF0000>#Rejected#</COLOR> IG_Insect_108_Name,<COLOR FF0000>#Rejected#</COLOR> IG_Insect_108_Name,<COLOR FF0000>#Rejected#</COLOR> IG_Insect_108_Name,<COLOR FF0000>#Rejected#</COLOR> IG_Insect_108_Name,<COLOR FF0000>#Rejected#</COLOR> IG_Insect_108_Name,<COLOR FF0000>#Rejected#</COLOR> IG_Insect_108_Name,<COLOR FF0000>#Rejected#</COLOR> IG_Insect_108_Name,<COLOR FF0000>#Rejected#</COLOR> IG_Insect_108_Name,<COLOR FF0000>#Rejected#</COLOR> IG_Insect_108_Name,<COLOR FF0000>#Rejected#</COLOR> IG_Insect_108_Name,<COLOR FF0000>#Rejected#</COLOR> IG_Insect_108_Name,<COLOR FF0000>#Rejected#</COLOR> IG_Insect_108_Name,<COLOR FF0000>#Rejected#</COLOR> IG_Insect_108_Name,<COLOR FF0000>#Rejected#</COLOR> IG_Insect_108_Name,<COLOR FF0000>#Rejected#</COLOR> IG_Insect_108_Name
3b963e39-1b49-4b85-8154-3f055af20ab2,3912196934,IG_Insect_109_Name,<COLOR FF0000>#Rejected#</COLOR> IG_Insect_109_Name,<COLOR FF0000>#Rejected#</COLOR> IG_Insect_109_Name,<COLOR FF0000>#Rejected#</COLOR> IG_Insect_109_Name,<COLOR FF0000>#Rejected#</COLOR> IG_Insect_109_Name,<COLOR FF0000>#Rejected#</COLOR> IG_Insect_109_Name,<COLOR FF0000>#Rejected#</COLOR> IG_Insect_109_Name,<COLOR FF0000>#Rejected#</COLOR> IG_Insect_109_Name,<COLOR FF0000>#Rejected#</COLOR> IG_Insect_109_Name,<COLOR FF0000>#Rejected#</COLOR> IG_Insect_109_Name,<COLOR FF0000>#Rejected#</COLOR> IG_Insect_109_Name,<COLOR FF0000>#Rejected#</COLOR> IG_Insect_109_Name,<COLOR FF0000>#Rejected#</COLOR> IG_Insect_109_Name,<COLOR FF0000>#Rejected#</COLOR> IG_Insect_109_Name,<COLOR FF0000>#Rejected#</COLOR> IG_Insect_109_Name,<COLOR FF0000>#Rejected#</COLOR> IG_Insect_109_Name,<COLOR FF0000>#Rejected#</COLOR> IG_Insect_109_Name,<COLOR FF0000>#Rejected#</COLOR> IG_Insect_109_Name,<COLOR FF0000>#Rejected#</COLOR> IG_Insect_109_Name,<COLOR FF0000>#Rejected#</COLOR> IG_Insect_109_Name,<COLOR FF0000>#Rejected#</COLOR> IG_Insect_109_Name,<COLOR FF0000>#Rejected#</COLOR> IG_Insect_109_Name,<COLOR FF0000>#Rejected#</COLOR> IG_Insect_109_Name,<COLOR FF0000>#Rejected#</COLOR> IG_Insect_109_Name,<COLOR FF0000>#Rejected#</COLOR> IG_Insect_109_Name,<COLOR FF0000>#Rejected#</COLOR> IG_Insect_109_Name,<COLOR FF0000>#Rejected#</COLOR> IG_Insect_109_Name,<COLOR FF0000>#Rejected#</COLOR> IG_Insect_109_Name,<COLOR FF0000>#Rejected#</COLOR> IG_Insect_109_Name,<COLOR FF0000>#Rejected#</COLOR> IG_Insect_109_Name,<COLOR FF0000>#Rejected#</COLOR> IG_Insect_109_Name,<COLOR FF0000>#Rejected#</COLOR> IG_Insect_109_Name,<COLOR FF0000>#Rejected#</COLOR> IG_Insect_109_Name,<COLOR FF0000>#Rejected#</COLOR> IG_Insect_109_Name
