guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
604b4f10-9fef-4fdd-b399-718a115fcaa1,3921251400,W_InsectGlaive_000_Explain,"鉄製の操虫棍。シンプルだが、
必要十分な性能を備えており、
狩猟には申し分ない。","An iron glaive. Simple, but
possesses all the features a
hunter could ask for.","Glaive en fer de facture
simple qui fait le bonheur
de tout bon chasseur.","Falcione di ferro. Seppure
essenziale, ha tutte le
qualità utili per la caccia.","Schlichte eiserne Glefe, die
jedoch alle Funktionen hat,
die sich ein Jäger wünscht.","Glaive hecho de hierro.
Sencillo, pero con todo
lo que un cazador necesita.","Железная глефа. Простая, но
в ней есть все, что может
потребоваться охотнику.","Żelazna glewia. Prosta, ale
ma wszystko, czego
potrzebuje łowca.",,,"Glaive de ferro. Simples,
mas possui tudo que um
caçador poderia pedir.","철제 조충곤. 단순하지만
충분한 성능을 갖추고 있어
사냥하는 데 더할 나위 없다.","鐵製的操蟲棍。雖然設計簡單，
但具備操蟲棍的必要性能。
在狩獵上無懈可擊。","铁制的操虫棍。虽然设计朴素，
但具备操虫棍的必要性能。
在狩猎上无懈可击。",,,,,,,,"سيف حديدي. بسيط ولكنه
يمتلك كل الميزات
التي قد يطلبها الصياد.",,,,,,,,,,,
01d4ee52-e80c-470c-8120-e2a18b6f2842,3857077058,W_InsectGlaive_001_Explain,"鉄製の操虫棍。シンプルだが、
必要十分な性能を備えており、
狩猟には申し分ない。","An iron glaive. Simple, but
possesses all the features a
hunter could ask for.","Glaive en fer de facture
simple qui fait le bonheur
de tout bon chasseur.","Falcione di ferro. Seppure
essenziale, ha tutte le
qualità utili per la caccia.","Schlichte eiserne Glefe, die
jedoch alle Funktionen hat,
die sich ein Jäger wünscht.","Glaive hecho de hierro.
Sencillo, pero con todo
lo que un cazador necesita.","Железная глефа. Простая, но
в ней есть все, что может
потребоваться охотнику.","Żelazna glewia. Prosta, ale
ma wszystko, czego
potrzebuje łowca.",,,"Glaive de ferro. Simples,
mas possui tudo que um
caçador poderia pedir.","철제 조충곤. 단순하지만
충분한 성능을 갖추고 있어
사냥하는 데 더할 나위 없다.","鐵製的操蟲棍。雖然設計簡單，
但具備操蟲棍的必要性能。
在狩獵上無懈可擊。","铁制的操虫棍。虽然设计朴素，
但具备操虫棍的必要性能。
在狩猎上无懈可击。",,,,,,,,"سيف حديدي. بسيط ولكنه
يمتلك كل الميزات
التي قد يطلبها الصياد.",,,,,,,,,,,
777a3abb-3aad-4ddd-a717-cb7c72882011,3907137231,W_InsectGlaive_002_Explain,"アイアンバヨネットの強化型。
地道な改良が実を結ぶ。当初と
姿は同じなれど、性能は別物。","An enhanced Iron Bayonet.
It may look the same, but it
is significantly improved.","Son apparence est la même,
à l'inverse de son efficacité.
Base : Baïonnette en fer","Baionetta di ferro
potenziata. Sembra identica,
ma è assai più potente.","Verstärktes Eisenbajonett.
Äußerlich unverändert, aber
deutlich verbessert.","Bayoneta de hierro mejorada.
Parece igual, pero ha
mejorado mucho.","Улучшенный Железный штык.
Может выглядеть, как прежде,
но значительно улучшен.","Ulepszony żelazny bagnet.
Wygląda podobnie, ale jest
znacznie lepszy.",,,"Baioneta de Ferro melhorada.
Pode parecer igual, mas
foi bastante melhorada.","아이언바요넷의 강화형.
꾸준한 개량이 결실을 맺었다.
모습은 같지만 성능은 높다.","鐵刺刀的強化型態。樸實的
改良得到了回報。外觀雖無
變化，性能卻有著天壤之別。","铁刺刀的强化型。
苦心改良得到了回报。
外形没变，但性能已截然不同。",,,,,,,,"حربة حديدية محسّنة.
قد تبدو بالشكل نفسه،
ولكنها متطورة بشكل كبير.",,,,,,,,,,,
f09efc1d-cc23-4044-8010-cb1f9916e098,484287024,W_InsectGlaive_003_Explain,"各地に広く普及する鉄製の棍。
外見は地味だが堅実な造りで、
新米でも相応の一撃が放てる。","While this common glaive
may look a little drab, it's
perfect for novice hunters.","Ce glaive commun ne paie
pas de mine, mais il est
idéal pour les novices.","Falcione dall'aspetto un po'
anonimo, ma perfetto per
i cacciatori novizi.","Gewöhnliche Glefe. Sieht
nicht nach viel aus, ist
aber perfekt für Neulinge.","Puede parecer anodino, pero
es perfecto para cazadores
noveles.","Эта обычная глефа может
казаться скучной, но она
идеальна для новичков.","Popularna glewia, nieco
bezbarwna, ale idealna dla
początkujących łowców.",,,"Apesar de esta glaive comum
parecer meio sem graça, é
ideal para caçadores novatos.","각지에 보급된 철제 조충곤.
외견은 수수하지만 튼튼하게
만들어져 초보도 쓸 수 있다.","廣泛普及至各地的鐵製棍。
外表雖樸實卻非常堅固，即使是
新手也能使出合宜的一擊。","广泛于各地使用的铁棍。
外观平庸但质地结实，
新手也能制造出有效打击。",,,,,,,,"بينما قد يبدو هذا السيف
الشائع باهتًا، إلا إنه مثالي
للصيادين المبتدئين.",,,,,,,,,,,
79f12092-6659-4638-970a-efdb0fcb86f3,2121120248,W_InsectGlaive_004_Explain,"各地に広く普及する鉄製の棍。
外見は地味だが堅実な造りで、
新米でも相応の一撃が放てる。","While this common glaive
may look a little drab, it's
perfect for novice hunters.","Ce glaive commun ne paie
pas de mine, mais il est
idéal pour les novices.","Falcione dall'aspetto un po'
anonimo, ma perfetto per
i cacciatori novizi.","Gewöhnliche Glefe. Sieht
nicht nach viel aus, ist
aber perfekt für Neulinge.","Puede parecer anodino, pero
es perfecto para cazadores
noveles.","Эта обычная глефа может
казаться скучной, но она
идеальна для новичков.","Popularna glewia, nieco
bezbarwna, ale idealna dla
początkujących łowców.",,,"Apesar de esta glaive comum
parecer meio sem graça, é
ideal para caçadores novatos.","각지에 보급된 철제 조충곤.
외견은 수수하지만 튼튼하게
만들어져 초보도 쓸 수 있다.","廣泛普及至各地的鐵製棍。
外表雖樸實卻非常堅固，即使是
新手也能使出合宜的一擊。","广泛于各地使用的铁棍。
外观平庸但质地结实，
新手也能制造出有效打击。",,,,,,,,"بينما قد يبدو هذا السيف
الشائع باهتًا، إلا إنه مثالي
للصيادين المبتدئين.",,,,,,,,,,,
46e57d53-9787-436e-8d04-94e6a13c9de7,2589508663,W_InsectGlaive_005_Explain,"選りすぐりの鋼鉄を加工した
操虫棍。匠の惜しみない練磨で
破壊力と強靭さは極め付き。","No expense has been spared
enhancing this glaive, and
it definitely shows.","Ce glaive a été amélioré,
et ça se voit.
Base : Glaive en fer","È evidente che non si è
badato a spese per
potenziare questo falcione.","Bei der Verbesserung dieser
Glefe wurden keine Kosten
gescheut, das sieht man.","No se ha reparado en gastos
para mejorarlo, y se le
nota.","При улучшении этой глефы
на средствах не экономили,
и это сразу видно.","Nie oszczędzano na
udoskonaleniu tej glewii,
co wyraźnie po niej widać.",,,"Nada foi economizado para
melhorar esta glaive, e
dá pra ver muito bem.","엄선된 강철을 가공해 만든
조충곤. 장인의 끝없는 연마로
파괴력과 강도를 올렸다.","以精選鋼鐵加工製成的操蟲棍。
經過工匠毫不保留地千錘百鍊，
破壞力與堅韌度皆有品質保證。","用精选钢铁加工的操虫棍。
经过匠人的不懈锤炼，
破坏力和硬度无可置疑。",,,,,,,,"لم يتم إنفاق أي تكاليف على
تحسين هذا السيف، وهذا
واضح بالفعل.",,,,,,,,,,,
e5a111ba-610f-485a-8e09-4e2b01eefae9,752433982,W_InsectGlaive_006_Explain,"骨素材を使用した、シンプルな
操虫棍。今後の改良次第で強力
な武器になる可能性を秘める。","A simple bone insect glaive.
You can tap into its latent
power with the apt upgrades.","Insectoglaive rudimentaire
en os. À améliorer pour
débloquer tout le potentiel.","Falcione insetto fatto
d'osso. Le giuste modifiche
liberano il suo potere.","Einfache Knochen-Insekten-
glefe. Verbesserungen können
ihre latente Kraft wecken.","Sencillo glaive insecto de
hueso. Puede que mejorarlo
merezca mucho la pena.","Простая костяная глефа.
Ее скрытую силу можно
открыть с помощью улучшений.","Prosta kościana konstrukcja.
Ma duży potencjał
w swoich ulepszeniach.",,,"Simples glaive inseto de
osso. Use seu poder
com os upgrades certos.","뼈로 만든 단순한 조충곤.
개량하는 방식에 따라
강력한 무기가 될 수도 있다.","使用骨素材製成，外表樸素的
操蟲棍。根據今後的改良，
有可能轉變成強力的武器。","用骨素材制成，外表朴素的
操虫棍。根据今后的改良，
有可能变为强力的武器。",,,,,,,,"سيف الحشرة العظمي البسيط.
يمكنك الاستفادة من قوته
الكامنة مع ترقياته الملائمة.",,,,,,,,,,,
5fbb4efa-8921-42ee-baec-0c6de00588b6,498225572,W_InsectGlaive_007_Explain,"骨素材を使用した、シンプルな
操虫棍。今後の改良次第で強力
な武器になる可能性を秘める。","A simple bone insect glaive.
You can tap into its latent
power with the apt upgrades.","Insectoglaive rudimentaire
en os. À améliorer pour
débloquer tout le potentiel.","Falcione insetto fatto
d'osso. Le giuste modifiche
liberano il suo potere.","Einfache Knochen-Insekten-
glefe. Verbesserungen können
ihre latente Kraft wecken.","Sencillo glaive insecto de
hueso. Puede que mejorarlo
merezca mucho la pena.","Простая костяная глефа.
Ее скрытую силу можно
открыть с помощью улучшений.","Prosta kościana konstrukcja.
Ma duży potencjał
w swoich ulepszeniach.",,,"Simples glaive inseto de
osso. Use seu poder
com os upgrades certos.","뼈로 만든 단순한 조충곤.
개량하는 방식에 따라
강력한 무기가 될 수도 있다.","使用骨素材製成，外表樸素的
操蟲棍。根據今後的改良，
有可能轉變成強力的武器。","用骨素材制成，外表朴素的
操虫棍。根据今后的改良，
有可能变为强力的武器。",,,,,,,,"سيف الحشرة العظمي البسيط.
يمكنك الاستفادة من قوته
الكامنة مع ترقياته الملائمة.",,,,,,,,,,,
68078eb8-2bb3-4139-a2c8-6c9339b8fe26,2183039507,W_InsectGlaive_008_Explain,"シンプルな見た目をそのままに
改良強化を繰り返し完成した。
誰にでも扱い易い。","An enhanced Bone Staff. It
retains its simplicity, but
boasts numerous upgrades.","Modèle simple, malgré
plusieurs améliorations.
Base : Bâton en os","Bastone d'osso migliorato.
Ugualmente essenziale, ma
con numerosi potenziamenti.","Verbesserter Knochenstab.
Immer noch einfach, aber mit
zahlreichen Verbesserungen.","Vara ósea mejorada.
Igual de sencilla, pero con
múltiples mejoras.","Улучшенный Костяной жезл.
Сохраняет свою простоту, но
имеет множество улучшений.","Ulepszony kościany kij.
Nadal prosty, ale
o ile lepszy!",,,"Um Bastão de Osso melhorado.
Mantém a simplicidade, mas
traz vários upgrades.","심플한 겉모습은 그대로 두고
반복 개량하여 완성했다.
누구나 다룰 수 있다.","保留了簡單的外觀，經過
反覆改良強化後完成的武器。
任何人來使用都能輕鬆上手。","保留了简单的外观，
不断进行改良强化的成品。
适合所有人使用。",,,,,,,,"عصا عظْمية مُحسّنة.
مع احتفاظها ببساطتها، تم
تحسين العديد من الترقيات.",,,,,,,,,,,
2019e522-f485-4fbb-9bcb-2da73a860ae5,3888750445,W_InsectGlaive_009_Explain,"骨製操虫棍の伝統的構造を踏襲
した武器。上質な素材を使い、
安定した性能を実現した。","This bone glaive was made
with quality materials
and legendary skill.","Ce glaive en os combine
matériaux de qualité
et compétences légendaires.","Falcione d'osso lavorato con
grande maestria e ricavato
da materiali eccelsi.","Insektenglefe aus Knochen
mit legendären Fähigkeiten
und edelsten Materialien.","Glaive de hueso hecho con
materiales de calidad y
habilidad legendaria.","В эту костяную глефу вложены
качественные материалы
и легендарное мастерство.","Kościana glewia wykonana
legendarnymi technikami
z jakościowych materiałów.",,,"Glaive de ossos feita com
materiais de qualidade
e grande habilidade.","뼈로 만든 조충곤의 전통
구조를 답습한 무기. 양질의
소재를 사용해 성능을 높였다.","沿襲骨製操蟲棍的傳統構造
作成的武器。使用優質素材，
獲得了穩定的性能。","沿袭骨制操虫棍的传统构造
制成的武器。使用优质素材，
造就了稳定的性能。",,,,,,,,"هذا السيف العظمي مصنوع من
مواد عالية الجودة ويتميز
بمهارة أسطورية.",,,,,,,,,,,
