guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
58e4deb9-0f1a-4e8c-8fe3-5cbf663d7d20,722289069,W_InsectGlaive_300_Explain,"里を守るべく改良された鋼鉄の
操虫棍。この武器を手に猟虫を
従え、闇より出づる悪を討つ。","A weapon fit for a guardian
of Kamura. Glaive in hand,
go forth and conquer evil!","Arme destinée aux gardiens
de Kamura. Glaive à la
main, terrassez le mal !","L'arma ideale per un
guardiano di Kamura. Scendi
in campo e annienta il male!","Glefe für einen Wächter von
Kamura. Bezwinge mit ihr
in der Hand das Böse!","Digno de un guardián de
Kamura. Glaive en mano,
¡ve y acaba con todo mal!","Оружие для стража Камуры.
С глефой в руках выходите
и побеждайте зло!","Broń dla obrońców Kamury.
Chwytaj, o nic nie pytaj
i zwalczaj zło!",,,"Arma digna de um guardião de
Kamura. Glaive em punho, vá
em frente e derrote o mal!","마을을 지키기 위해 개량한
강철 조충곤. 사냥벌레를
이끌고 악을 토벌하라.","為了守護村莊而改良過的鋼鐵
操蟲棍。持此武器便能夠帶領
獵蟲，打倒來自黑暗的邪惡。","为了保护村子而经过改良的
钢铁质地操虫棍。
用它指引猎虫，讨邪诛恶。",,,,,,,,"سلاح مناسب لحراس كامورا.
تقدم بسيفك الذي بيدك
وحارب الشر!",,,,,,,,,,,
7b0eea55-84f2-499c-b876-b7011cf6bbc1,3539011021,W_InsectGlaive_301_Explain,"里を守るべく改良された鋼鉄の
操虫棍。この武器を手に猟虫を
従え、闇より出づる悪を討つ。","A weapon fit for a guardian
of Kamura. Glaive in hand,
go forth and conquer evil!","Arme destinée aux gardiens
de Kamura. Glaive à la
main, terrassez le mal !","L'arma ideale per un
guardiano di Kamura. Scendi
in campo e annienta il male!","Glefe für einen Wächter von
Kamura. Bezwinge mit ihr
in der Hand das Böse!","Digno de un guardián de
Kamura. Glaive en mano,
¡ve y acaba con todo mal!","Оружие для стража Камуры.
С глефой в руках выходите
и побеждайте зло!","Broń dla obrońców Kamury.
Chwytaj, o nic nie pytaj
i zwalczaj zło!",,,"Arma digna de um guardião de
Kamura. Glaive em punho, vá
em frente e derrote o mal!","마을을 지키기 위해 개량한
강철 조충곤. 사냥벌레를
이끌고 악을 토벌하라.","為了守護村莊而改良過的鋼鐵
操蟲棍。持此武器便能夠帶領
獵蟲，打倒來自黑暗的邪惡。","为了保护村子而经过改良的
钢铁质地操虫棍。
用它指引猎虫，讨邪诛恶。",,,,,,,,"سلاح مناسب لحراس كامورا.
تقدم بسيفك الذي بيدك
وحارب الشر!",,,,,,,,,,,
6c662c4d-2408-4a86-bd3c-2ca9c4c644ef,4093283444,W_InsectGlaive_302_Explain,"新天地でも躍進を続ける英雄へ
里から贈る操虫棍。猟虫と共に
風の様に軽やかに天を駆ける。","An insect glaive gift from
the village for continued
deeds of heroism.","Insectoglaive offert par
le village en remerciement
aux héros.","Falcione insetto donato
dal villaggio per le ripetute
gesta eroiche.","Ein Insektenglefengeschenk aus
dem Dorf für kontinuierliche 
heroische Taten.","Este glaive insecto es un
obsequio de la aldea por
toda muestra de heroicidad.","Глефа насекомых, дарованная
жителями деревни за герои-
ческие деяния.","Owadzia glewia podarowana
przez mieszkańców wioski
za liczne heroiczne czyny.",,,"Glaive inseto presente da
aldeia por atos contínuos
de heroísmo.","신세계에서도 활약하는 영웅
에게 마을에서 보낸 조충곤.
사냥벌레와 함께 하늘을 난다.","村莊為了在新天地也持續進步的
英雄所贈送之操蟲棍。與獵蟲
一起如風般輕盈地馳騁於天空。","村子将此操虫棍赠予在新天地中
奋勇前行的英雄。可与猎虫一同
如轻风般轻盈地划过天际。",,,,,,,,"هدية سيف رمح
الحشرة من القرية
لمواصلة الأعمال البطولية.",,,,,,,,,,,
6a51be8e-2260-48c6-95bf-e9b9380a0663,1228502994,W_InsectGlaive_303_Explain,"王笏を思わせる形状をした
爵銀龍の操虫棍。手にすると
勇壮な君主の気分を味わえる。","A Malzeno insect glaive evoking
a scepter, giving the wielder a
taste of magnificent monarchy.","Insectoglaive Malzeno
rappelant un sceptre. Permet
de se sentir monarque.","Falcione insetto di Malzeno
che ricorda uno scettro. Dona
un assaggio di potere regale.","Eine Malzeno-Insektenglefe in
Zepterform, die monarchischen
Glanz ausstrahlt.","Glaive insecto de Malzeno que
recuerda a un cetro y otorga
cierta solemnidad monárquica.","Глефа Малзено, напоминающая
скипетр. Позволяет владельцу
почувствовать себя монархом.","Owadzia glewia z Malzeno
podobna do berła. Posmakuj
wspaniałego świata monarchii.",,,"Glaive inseto de Malzeno que
evoca um cetro, dando um
gosto de monarquia.","왕홀처럼 생긴 은작룡의
조충곤. 손에 쥐면 용맹한
군주의 기분을 느낄 수 있다.","形狀彷若權杖的爵銀龍操蟲棍。
拿在手上時能夠體驗
當上偉大君王的感覺。","形状好似权杖的爵银龙
操虫棍。将其握于手中时，
仿佛能化身为英勇的君王。",,,,,,,,"سيف رمح حشرة مالزينو الذي
يستحضر صولجانًا؛ مما يمنح
حامله رشفة من الملكية المذهلة.",,,,,,,,,,,
f6e906f4-8737-430f-a4c2-19fb0cd7a1d4,2900327806,W_InsectGlaive_304_Explain,"一度手に取ると、下賤な命を
打ち叩き、虐げたいという
衝動が湧き上がってくる。","Once in hand, one can hardly
suppress the urge to crush the
lowborn under one's thumb.","Difficile, quand on l'a en
main, de résister à l'envie
d'écraser la plèbe...","Chi lo brandisce non resiste
al desiderio di annientare le
vittime sotto il suo dominio.","Einmal in der Hand, ist dem
Drang, die Gemeinen zu ver-
nichten, kaum zu entkommen.","Con él en mano, es difícil
no querer aplastar al vulgo
como si fueran insectos.","Вызывает у владельца
непреодолимое желание
повелевать всем и вся.","Trzymając ją w ręce, trudno
stłumić żądzę rozniesienia
poddanych w pył.",,,"Com a arma na mão, sente-se
uma vontade forte de esmagar
os camponeses.","한 번 들기만 해도
하찮은 생명을 괴롭히고
싶은 충동이 솟구친다.","只要拿起此棍，
心中就會湧起一股想要鞭打
並凌虐下等生命的衝動。","一旦将其握于手中，就会有冲动
涌上心头，想要鞭打、肆虐卑贱
之人。",,,,,,,,"بمجرد أن يصبح في متناول
يدك، بالكاد ستتمكن من كبح
رغبتك في سحق الحقراء.",,,,,,,,,,,
bb07bb97-d784-4093-8cf6-1d830fb319ea,2250950969,W_InsectGlaive_305_Explain,"幾多の魂を吸って、非道なる魂
を纏い昇華した闇鎌棍。振るう
太刀音は深閑に溶けて消える。","A glaive as dark as night.
The souls it consumes melt
and vanish into the silence.","Glaive sombre comme la nuit.
Les âmes consumées disparaissent
dans le silence.","Falcione nero come la notte che
ha assorbito numerose anime
con spietata crudeltà.","Eine Glefe, dunkel wie die Nacht.
Verzehrte Seelen schmelzen und
verschwinden in die Stille.","Un glaive oscuro como la noche.
Las almas que consume se funden
y desaparecen en silencio.","Темная, как ночь, глефа.
Души, которые она пожирает,
растворяются в забвении.","Glewia ciemna jak noc.
Pożerane przez nią dusze
nikną w ciszy.",,,"Glaive sombria como a noite.
A alma que consome derrete
e some no silêncio.","수많은 혼을 먹고 비정한
혼으로 승화한 야겸곤. 소리가
어둠 속에 녹아 사라진다.","吸收無數魂魄，身纏殘暴靈魂
而昇華的黑夜鐮棍。揮舞撞擊時
產生的聲音會消失在寂靜之中。","吸收大量灵魂，萦绕着残暴灵魂
的升华版暗镰槌。挥刀声消融在
万籁俱寂之中。",,,,,,,,"سيف رمح مظلم مثل الليل.
الأرواح التي يحصدها تذوب
وتختفي في الصمت.",,,,,,,,,,,
f960241d-67f8-4281-a5ca-d7fea5c112b0,4154772935,W_InsectGlaive_306_Explain,"幾多の魂を吸って、非道なる魂
を纏い昇華した闇鎌棍。振るう
太刀音は深閑に溶けて消える。","A glaive as dark as night.
The souls it consumes melt
and vanish into the silence.","Glaive sombre comme la nuit.
Les âmes consumées disparaissent
dans le silence.","Falcione nero come la notte che
ha assorbito numerose anime
con spietata crudeltà.","Eine Glefe, dunkel wie die Nacht.
Verzehrte Seelen schmelzen und
verschwinden in die Stille.","Un glaive oscuro como la noche.
Las almas que consume se funden
y desaparecen en silencio.","Темная, как ночь, глефа.
Души, которые она пожирает,
растворяются в забвении.","Glewia ciemna jak noc.
Pożerane przez nią dusze
nikną w ciszy.",,,"Glaive sombria como a noite.
A alma que consome derrete
e some no silêncio.","수많은 혼을 먹고 비정한
혼으로 승화한 야겸곤. 소리가
어둠 속에 녹아 사라진다.","吸收無數魂魄，身纏殘暴靈魂
而昇華的黑夜鐮棍。揮舞撞擊時
產生的聲音會消失在寂靜之中。","吸收大量灵魂，萦绕着残暴灵魂
的升华版暗镰槌。挥刀声消融在
万籁俱寂之中。",,,,,,,,"سيف رمح مظلم مثل الليل.
الأرواح التي يحصدها تذوب
وتختفي في الصمت.",,,,,,,,,,,
f2df65f8-7ab8-4e33-a330-88f2cf744b37,1608732685,W_InsectGlaive_307_Explain,"古の凶手が生みだした暗器。
獲物を薙ぎ払う姿は、冬月の
ように冷たく無慈悲。","A weapon forged by ancient
assassins. Cut down prey with
chilled, unfeeling indifference.","Arme forgée par des assassins
d'antan. Massacrez sans ciller.","Arma forgiata da antichi
assassini. Annienta la preda
con gelida indifferenza.","Von uralten Assassinen geschmie-
dete Waffe. Mähe Beute mit kalter,
gefühlloser Gleichgültigkeit nieder.","Creada por asesinos en tiempos
inmemoriales. Cercena con
calculada indiferencia.","Оружие убийцы из древних
времен. Позволяет безжалост-
но расправляться с добычей.","Broń wykuta przez pradawnych
zabójców. Przecina ofiarę
z całkowitą obojętnością.",,,"Arma forjada por assassinos
antigos. Abate com indiferença
fria e calculista.","옛 흉수가 만든 암기.
사냥감을 쳐내는 모습이 겨울의
달처럼 차갑고 무자비하다.","由遠古殺手所創造的暗器。
它掃蕩獵物的模樣，
彷彿寒冬中的月亮般冰冷殘酷。","古代刺客制作的暗器。
横扫猎物的模样，宛如冬季夜空
中高悬的寒月一般冷酷无情。",,,,,,,,"سلاح صنعه القتله القدماء.
اقطع الفريسة بكل سلاسة
وهدوء.",,,,,,,,,,,
6d5ab20c-44c2-4519-859b-3a0e140c7318,2498149981,W_InsectGlaive_308_Explain,"朽野に吹く旋風に涼めば最期、
雅なる薙刀の華が眼前に咲く。
狐薙刀ツユサソウラン強化型。","An enhanced Fox Halberd. It
sweeps over the battlefield
like a cool breeze.","Fauche l'ennemi
tel un vent destructeur.
Base : Hallebarde du renard","Alabarda della volpe
potenziata. In battaglia, è
rapida come un vento gelido.","Verstärkte Fuchs-Hellebarde.
Fegt in der Schlacht wie ein
kühler Wind über das Feld.","Alabarda de zorro mejorada.
Barre el campo de batalla
como una brisa fresca.","Улучшенная Лисья алебарда.
Проносится над полем битвы
как прохладный ветерок.","Ulepszona Lisia Halabarda.
Nawiedza pole bitwy
chłodną bryzą.",,,"Alabarda de Raposa melhorada
que varre a batalha como
uma fresca brisa.","불어오는 바람에 닿으면 죽을
때, 우아한 칼날의 꽃이 핀다.
츠유사소우란의 강화형.","圖拂野旋風之涼則命休矣，
見風雅薙刀之花盛開眼前。
狐薙刀秋風拂朝露的強化型態。","只要不断于荒野上经受旋风的
洗礼，风雅薙刀之华终将盛开。
狐薙刀【秋风引枝露】强化型。",,,,,,,,"مِطرَد ثعلب محسّن.
ينتشر في ميدان المعركة
كالنسيم العليل.",,,,,,,,,,,
d7b32a0f-ba4d-446c-b9c4-851444adabf2,2563241245,W_InsectGlaive_309_Explain,"悪縁因縁を、雅なる刃にて
薙ぎ払わん。愛し君との幸いが
願わくは万劫末代、うち続け。","By this elegant long blade
let woe be severed from your
destiny to give eternal joy.","Que cette longue lame arrache
le malheur de votre destin et
vous assure joie éternelle.","Recidi i dispiaceri con
questa elegante lama lunga
e raggiungi la gioia eterna.","Diese elegante lange Klinge
vertreibt das Leid und
spendet ewige Freude.","Deja que este elegante filo
alargado te despoje de congoja
y te otorgue felicidad eterna.","Элегантный длинный меч.
Избавляет от зла и
несет вечную радость.","To eleganckie długie ostrze
odcina nieszczęście i daje
ci wieczną radość.",,,"Esta lâmina elegante vai
cortar a dor do seu destino
e dar alegria eterna.","악연을 우아한 칼날로 끊는다.
사랑하는 그대와의 행복이 부디
후세에 영구히 이어지기를.","以風雅之刃斬斷惡緣宿命。
願與深愛之人的福緣
能夠天長地久，海枯石爛。","优雅刀刃将一切恩怨孽缘斩尽。
愿与心爱之人的幸福永生永世、
绵延无期。",,,,,,,,"يمكنك بهذا النصل الطويل
الأنيق محو الحزن عن
مصيرك لتحصل على الفرح الأبدي.",,,,,,,,,,,
