guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
42a57764-d5c3-4338-9322-bf9e6750a994,1601839081,W_InsectGlaive_000_Name,アイアンバヨネットⅠ,Iron Bayonet I,Baïonnette en fer,Baionetta di ferro I,Eisenbajonett I,Bayoneta de hierro I,Железный штык 1,Żelazny bagnet I,,,Baioneta de Ferro I,아이언바요넷Ⅰ,鐵刺刀Ⅰ,铁刺刀Ⅰ,,,,,,,,الحربة الحديدية 1,,,,,,,,,,,
48b547ae-f36d-4c21-a2f4-e2031c818bc5,997330859,W_InsectGlaive_001_Name,アイアンバヨネットⅡ,Iron Bayonet II,Baïonnette en fer II,Baionetta di ferro II,Eisenbajonett II,Bayoneta de hierro II,Железный штык 2,Żelazny bagnet II,,,Baioneta de Ferro II,아이언바요넷Ⅱ,鐵刺刀Ⅱ,铁刺刀Ⅱ,,,,,,,,الحربة الحديدية 2,,,,,,,,,,,
3080f024-be32-4b09-9249-f414984bce8c,2556825184,W_InsectGlaive_002_Name,銃剣【飛天】,Hiten Blade,Glaive Hiten,Lama di Hiten,Hiten-Klinge,Filo de Hiten,Звёздная дева,Sztychbagnet,,,Lâmina Hiten,총검【비천】,刺刀【飛天】,刺刀【飞天】,,,,,,,,نصل هايتن,,,,,,,,,,,
a1048cc6-ff88-499a-af88-6fa098f36e6c,809488453,W_InsectGlaive_003_Name,アイアンブレードⅠ,Iron Blade I,Glaive en fer,Lama di ferro I,Eisenklinge I,Vara Férrea I,Железный клинок 1,Żelazne ostrze I,,,Lâmina de Ferro I,아이언블레이드Ⅰ,鐵製長刀Ⅰ,铁制长刀Ⅰ,,,,,,,,النصل الحديدي 1,,,,,,,,,,,
2dddbf05-4962-4e2d-ba41-fba4efe45555,1018764703,W_InsectGlaive_004_Name,アイアンブレードⅡ,Iron Blade II,Glaive en fer II,Lama di ferro II,Eisenklinge II,Vara Férrea II,Железный клинок 2,Żelazne ostrze II,,,Lâmina de Ferro II,아이언블레이드Ⅱ,鐵製長刀Ⅱ,铁制长刀Ⅱ,,,,,,,,النصل الحديدي 2,,,,,,,,,,,
edd28328-4570-44e1-8107-3ca13011730e,905779688,W_InsectGlaive_005_Name,スティールブレード,Steel Blade,Glaive d'acier,Lama d'acciaio,Stahlklinge,Hoja Acerada,Стальной клинок 1,Stalowe ostrze,,,Lâmina de Aço,스틸블레이드,鋼鐵長刀,钢铁长刀,,,,,,,,النصل الفولاذي,,,,,,,,,,,
2a9e1a2d-13fc-46b6-9ec5-3e0ea2f144f5,2321690294,W_InsectGlaive_006_Name,ボーンロッドⅠ,Bone Staff I,Bâton en os,Bastone d'osso I,Knochenstab I,Vara ósea I,Костяной жезл 1,Kościany kij I,,,Cajado Ósseo I,본로드Ⅰ,骨棍Ⅰ,骨制虫棍Ⅰ,,,,,,,,عصا عظمية 1,,,,,,,,,,,
79fb98d8-d029-4137-9ee0-46a10b3671a1,1775231402,W_InsectGlaive_007_Name,ボーンロッドⅡ,Bone Staff II,Bâton en os II,Bastone d'osso II,Knochenstab II,Vara ósea II,Костяной жезл 2,Kościany kij II,,,Cajado Ósseo II,본로드Ⅱ,骨棍Ⅱ,骨制虫棍Ⅱ,,,,,,,,عصا عظمية 2,,,,,,,,,,,
6bf29b42-654c-46d8-a1fb-1bbc276121e8,1740235718,W_InsectGlaive_008_Name,エアリアルグレイブ,Aerial Glaive,Glaive aérien,Falcione aereo,Luftglefe,Glaive aéreo,Воздушная глефа,Powietrzna glewia,,,Glaive Aérea,에어리얼글레이브,舞空長刃,舞空长刃,,,,,,,,السيف الهوائي,,,,,,,,,,,
3713ff5e-a253-4879-84fd-e45f7e80f787,373260815,W_InsectGlaive_009_Name,ソリッドグレイブⅠ,Sturdy Glaive I,Glaive solide,Falcione robusto I,Robuste Glefe I,Glaive robusto I,Крепкая глефа 1,Twarda glewia I,,,Glaive Robusta I,솔리드글레이브Ⅰ,堅實長刃Ⅰ,坚实长棍Ⅰ,,,,,,,,السيف الصلب 1,,,,,,,,,,,
70daef76-0350-4837-b75d-ed0a846dbe48,385370354,W_InsectGlaive_010_Name,ソリッドグレイブⅡ,Sturdy Glaive II,Glaive solide II,Falcione robusto II,Robuste Glefe II,Glaive robusto II,Крепкая глефа 2,Twarda glewia II,,,Glaive Robusta II,솔리드글레이브Ⅱ,堅實長刃Ⅱ,坚实长棍Ⅱ,,,,,,,,السيف الصلب 2,,,,,,,,,,,
1d4d9096-7861-44f5-ad87-0c3e2402e099,4265594346,W_InsectGlaive_011_Name,ソリッドハイグレイブ,Sturdy Glaive Redux,Glaive solide Redux,Falc. robusto redux,Robuste Glefe (neu),Glaive más robusto,Крепкая глефа Редакс,Powrót Twardej Glewii,,,Glaive Robusta Redux,솔리드하이글레이브,堅實極長刃,坚实极长棍,,,,,,,,السيف الصلب المسترجع,,,,,,,,,,,
f4971bf7-a2f6-49e1-9e09-7a796080b17a,1484220219,W_InsectGlaive_012_Name,スカイハイグレイブⅠ,Sky-High Glaive I,Glaive colossal,Falcione atmosfera I,Himmelhohe Glefe I,Glaive celestial I,Небесная глефа 1,Podniebna Glewia I,,,Glaive Altíssima I,스카이하이글레이브Ⅰ,高空長刃Ⅰ,高空长刃Ⅰ,,,,,,,,السيف المرتفع جدًا 1,,,,,,,,,,,
3831194c-4d05-474d-b5ad-c6748ea985d8,4262635469,W_InsectGlaive_013_Name,スカイハイグレイブⅡ,Sky-High Glaive II,Glaive colossal II,Falcione atmosfera II,Himmelhohe Glefe II,Glaive celestial II,Небесная глефа 2,Podniebna Glewia II,,,Glaive Altíssima II,스카이하이글레이브Ⅱ,高空長刃Ⅱ,高空长刃Ⅱ,,,,,,,,السيف المرتفع جدًا 2,,,,,,,,,,,
d3d5b6ea-5da0-4eb2-a503-68fe3850d6a0,2034198313,W_InsectGlaive_014_Name,ハイエストグレイブ,Highest of Glaives,Glaive suprême,Falcione supremo,Höchste der Glefen,El mejor glaive,Наивысшая глефа,Najwyższa glewia,,,Mais alta das Glaives,하이에스트글레이브,極高長刃,至高长刃,,,,,,,,أعلى درجات السيوف,,,,,,,,,,,
c53ee1c7-9176-4382-bd2c-184478b9d8f1,3929729081,W_InsectGlaive_015_Name,カムラノ鉄刃棍Ⅰ,Kamura Glaive I,Glaive Kamura,Falcione Kamura I,Kamura-Glefe I,Glaive de Kamura I,Глефа Камуры 1,Glewia Kamury I,,,Glaive Kamura I,카무라철인곤Ⅰ,神火鐵刃棍Ⅰ,炎火铁刃棍Ⅰ,,,,,,,,سيف كامورا 1,,,,,,,,,,,
4a57bb30-07bf-4254-ad34-4646c1fcc572,822863692,W_InsectGlaive_016_Name,カムラノ鉄刃棍Ⅱ,Kamura Glaive II,Glaive Kamura II,Falcione Kamura II,Kamura-Glefe II,Glaive de Kamura II,Глефа Камуры 2,Glewia Kamury II,,,Glaive Kamura II,카무라철인곤Ⅱ,神火鐵刃棍Ⅱ,炎火铁刃棍Ⅱ,,,,,,,,سيف كامورا 2,,,,,,,,,,,
ee37d717-ced2-44f8-b669-f4050aa11934,909929615,W_InsectGlaive_017_Name,カムラノ鉄刃棍Ⅲ,Kamura Glaive III,Glaive Kamura III,Falcione Kamura III,Kamura-Glefe III,Glaive de Kamura III,Глефа Камуры 3,Glewia Kamury III,,,Glaive Kamura III,카무라철인곤Ⅲ,神火鐵刃棍Ⅲ,炎火铁刃棍Ⅲ,,,,,,,,سيف كامورا 3,,,,,,,,,,,
9cf05920-0026-4770-8b22-8970aead3ce0,4193095596,W_InsectGlaive_018_Name,カムラノ鉄刃棍Ⅳ,Kamura Glaive IV,Glaive Kamura IV,Falcione Kamura IV,Kamura-Glefe IV,Glaive de Kamura IV,Глефа Камуры 4,Glewia Kamury IV,,,Glaive Kamura IV,카무라철인곤Ⅳ,神火鐵刃棍Ⅳ,炎火铁刃棍Ⅳ,,,,,,,,سيف كامورا 4,,,,,,,,,,,
3c499d3e-e78e-496b-b914-54a4e5396550,2540955869,W_InsectGlaive_019_Name,カムラノ鉄刃棍Ⅴ,Kamura Glaive V,Glaive Kamura V,Falcione Kamura V,Kamura-Glefe V,Glaive de Kamura V,Глефа Камуры 5,Glewia Kamury V,,,Glaive Kamura V,카무라철인곤Ⅴ,神火鐵刃棍Ⅴ,炎火铁刃棍Ⅴ,,,,,,,,سيف كامورا 5,,,,,,,,,,,
6981bdf0-6492-4eee-9f04-5a3d2b0683c0,1453786452,W_InsectGlaive_020_Name,カムラノ忍刃棍,Kamura Ninja Glaive,Glaive ninja Kamura,Falcione ninja Kamura,Kamura-Ninja-Glefe,Glaive ninja de Kamura,Глефа ниндзя Камуры,Glewia ninji Kamury,,,Glaive Ninja Kamura,카무라닌자인곤,神火忍刃棍,炎火忍刃棍,,,,,,,,سيف كامورا نينجا,,,,,,,,,,,
