guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
d0b38438-bd64-4a8a-9d39-0f937e02ae5d,1391240879,W_InsectGlaive_300_Name,カムラノ武刃棍,Kamura Warrior Glaive,Glaive guerrier Kamura,Falcione guerriero Kamura,Kamura-Kriegerglefe,Glaive guerrero Kamura,Глефа воина Камуры,Glewia wojownika Kam.,,,Glaive Guerreiro Kamura,카무라무인곤,神火武刃棍,炎火武刃棍,,,,,,,,سيف رمح محارب كامورا,,,,,,,,,,,
828257a1-4c59-4ce9-a8bb-c253c847af8b,2825838773,W_InsectGlaive_301_Name,カムラノ武刃棍改,Kamura Warrior Glaive+,Glaive guerrier Kamura+,Falcione guerriero Kamura+,Kamura-Kriegerglefe+,Glaive guerrero Kamura+,Глефа воина Камуры+,Glewia wojownika Kam.+,,,Glaive Guerreiro Kamura+,카무라무인곤+,神火武刃棍改,炎火武刃棍・改,,,,,,,,سيف رمح محارب كامورا+,,,,,,,,,,,
2b41acf2-0846-47b4-86e7-20364504ef8d,4204150572,W_InsectGlaive_302_Name,カムラノ傑刃棍,Fine Kamura Glaive,Beau glaive Kamura,Falcione Kamura pregiato,Feine Kamura-Glefe,Glaive excelso Kamura,Отличная глефа Камуры,Doskon. glewia Kamury,,,Ótima Glaive Kamura,카무라걸인곤,神火傑刃棍,炎火杰刃棍,,,,,,,,سيف رمح كامورا الرائع,,,,,,,,,,,
4d6c87a2-0a19-47c6-b153-4251ed0c1740,1293660820,W_InsectGlaive_303_Name,デュークセプター,Duke's Scepter,Sceptre du Duc,Scettro del duca,Zepter des Herzogs,Cetro ducal,Скипетр герцога,Berło księcia,,,Cetro do Duque,듀크셉터,公爵權杖,公爵权杖,,,,,,,,صولجان الدوق,,,,,,,,,,,
4c3bb9b4-2820-4202-9a09-3695f43686b7,3343991746,W_InsectGlaive_304_Name,笞打ちのシュトック,Whiplash Stock,Coup de fouet,Scettro-frusta,Peitschenstock,Latigazo alta alcurnia,Жесткий хлыст,Esencja bicza,,,Coronha Rebote,채찍질의 슈토크,鞭笞之杖,鞭笞之杖,,,,,,,,سهم السوط,,,,,,,,,,,
2440803a-e040-46a7-9fcf-6a63a48fc685,2592680879,W_InsectGlaive_305_Name,闇鎌棍【深閑】,Twilight Repose,Repos du crépuscule,Riposo crepuscolare,Dämmerruhe,Reposo crepuscular,Сумеречный покой,Spokój zmierzchu,,,Repouso do Crepúsculo,야겸곤【심한】,闇鐮棍【深閑】,暗镰棍【万籁俱寂】,,,,,,,,سكون الشفق,,,,,,,,,,,
15bf0b67-8400-4694-a99a-41b4ffd753df,607958974,W_InsectGlaive_306_Name,闇鎌棍【深閑】改,Twilight Repose+,Repos du crépuscule+,Riposo crepuscolare+,Dämmerruhe+,Reposo crepuscular+,Сумеречный покой+,Spokój zmierzchu+,,,Repouso do Crepúsculo+,야겸곤【심한】+,闇鐮棍【深閑】改,暗镰棍【万籁俱寂】改,,,,,,,,سكون الشفق+,,,,,,,,,,,
f7727946-629b-436a-bec4-e8bcc17162cb,3584280429,W_InsectGlaive_307_Name,無明鎌棍【正語】,Avidya Scythe,Faux Avidya,Falcione Avidya,Avidya-Sense,Guadaña de Avidya,Коса Авидьи,Kosa niewiedzy,,,Foice de Avidya,무명겸곤【정어】,無明鐮棍【正語】,无明镰棍【正语】,,,,,,,,منجل أفيديا,,,,,,,,,,,
df3d4561-02cc-4aaa-bbe8-b5d9f980f43d,3496206052,W_InsectGlaive_308_Name,すがのねの長薙の巴改,Curved Naganagi+,Naganagi recourbé+,Naganagi ricurva+,Krummer Naganagi+,Naganagi curvado+,Изогнутый наганаги+,Zakrzywiona Naganagi+,,,Naganagi Curvado+,길다란 치도의파+,如薹草根之漩渦改,薹草长薙之漩涡・改,,,,,,,,ناجانجي منحنٍ+,,,,,,,,,,,
007133a8-a147-4c85-b444-e9551d928c20,3600611196,W_InsectGlaive_309_Name,すがのねの長夜華山薙,Eventide Kazanagi,Kazanagi vespéral,Kazanagi vespertina,Abend-Kazanagi,Kazanagi vespertino,Сумеречный казанаги,Wieczorne Kazanagi,,,Anoitecer Kazanagi,길다란 치도야화산,如薹長夜華山薙,薹草长夜华山薙,,,,,,,,حدث كازاناجي,,,,,,,,,,,
adde1451-1cce-4838-95b3-110ef1cac3b0,1608697115,W_InsectGlaive_310_Name,すがのねの長夜華山薙改,Eventide Kazanagi+,Kazanagi vespéral+,Kazanagi vespertina+,Abend-Kazanagi+,Kazanagi vespertino+,Сумеречный казанаги+,Wieczorne Kazanagi+,,,Anoitecer Kazanagi+,길다란 치도야화산+,如薹長夜華山薙改,薹草长夜华山薙・改,,,,,,,,حدث كازاناجي+,,,,,,,,,,,
77b6d38b-fc57-4f70-96f6-6e9a029f2d95,2727440381,W_InsectGlaive_311_Name,破邪之薙刀スミナガシ,Pure Naginata Sumi,Pur naginata Sumi,Naginata Sumi pura,Reines Naginata Sumi,Naginata pura Sumi,Чистая нагината Суми,Czysta naginata Sumi,,,Naginata Pura Sumi,파사의치도 스미나가시,破邪之薙刀流墨蛺蝶,辟邪之薙刀【流星蛱蝶】,,,,,,,,سيف ناجيناتا نقي سومي,,,,,,,,,,,
006f8bce-b643-4c43-bdef-8681289a981a,1168399870,W_InsectGlaive_312_Name,夢幻のメロウフラウ改,Illusory Frilled Jab+,Dard illusoire+,Pugno crest. illusorio+,Schein-Kräuselstoß+,Punzón cresta ilusoria+,Иллюзорный тычок+,Zwodniczy kryz. kłuj+,,,Soco Franz. Ilusório+,몽환의멜로플로+,夢幻人魚毒手改,梦幻人鱼轻抚・改,,,,,,,,وكزة مزخرفة وهمية+,,,,,,,,,,,
b545557a-9ba1-4297-a7e0-d2f33ff3730b,2447147159,W_InsectGlaive_313_Name,夢魘棍メロウフラウ,Nightmare Frilled Jab,Dard d'effroi,Pugno crestato d'incubo,Albtraum-Kräuselstoß,Punzón cresta pesadilla,Кошмарный тычок,Koszmarny kryz. kłuj,,,Soco Franz. Pesadelo,몽염곤 멜로플로,夢魘棍人魚毒手,梦魇棍人鱼轻抚,,,,,,,,وكزة الكوابيس المزخرفة,,,,,,,,,,,
7a7647ea-c634-464b-b516-8cb1557e882b,3256404023,W_InsectGlaive_314_Name,夢魘棍メロウフラウ改,Nightmare Frilled Jab+,Dard d'effroi+,Pugno crestato d'incubo+,Albtraum-Kräuselstoß+,Punzón cresta pesadilla+,Кошмарный тычок+,Koszmarny kryz. kłuj+,,,Soco Franz. Pesadelo+,몽염곤 멜로플로+,夢魘棍人魚毒手改,梦魇棍人鱼轻抚・改,,,,,,,,وكزة الكوابيس المزخرفة+,,,,,,,,,,,
1adec731-9841-4c49-8b6a-8103a94a8923,978295322,W_InsectGlaive_315_Name,雪華のスノウフラウ,Bloom Snow Jab,Jab enneigé,Pugno innevato,Blüte-Schneestoß,Punzón flor nívea,Снежный удар,Kłuj śnież. rozkwitu,,,Soco Floração de Neve,설화의 스노플로,雪花之瓊妃毒手,冰花雪人鱼棍,,,,,,,,وكزة الزهرة المزدهرة,,,,,,,,,,,
