guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
13c8468c-0b7c-47b5-a55c-c6e8c3b330f2,718335596,ICT_Name_200,鉱石MR素材,MR Ore,Minerai RM,Minerale GM,MR Erz,Mineral RM,Руда РМ,Ruda RM,,,Minério RM,광석 MR 소재,礦石MR素材,矿石大师等级素材,,,,,,,,خام برتبة القائد,,,,,,,,,,,
fb753b59-3732-47a0-a928-95a234cf70c4,1361577392,ICT_Name_201,骨MR素材,MR Bone,Os RM,Osso GM,MR Knochen,Hueso RM,Кость РМ,Kość RM,,,Osso RM,뼈 MR 소재,骨MR素材,骨大师等级素材,,,,,,,,عظمة برتبة القائد,,,,,,,,,,,
73b9af72-6ed4-482d-9467-420ddfb4943d,7785280,ICT_Name_202,モンスターMR素材,MR Monster,Monstre RM,Mostro GM,MR Monster,Monstruo RM,Монстр РМ,Potwór RM,,,Monstro RM,몬스터 MR 소재,魔物MR素材,怪物大师等级素材,,,,,,,,وحش برتبة القائد,,,,,,,,,,,
1ac7ed58-fe84-48ae-ae84-7e0c35d4b628,396664441,ICT_Name_203,小型モンスターMR素材,MR Small Monster,Petit monstre RM,Mostro piccolo GM,MR Kleine Monster,Monstruo pequeño RM,Мелкий монстр РМ,Mały potwór RM,,,Monstro Pequeno RM,소형 몬스터 MR 소재,小型魔物MR素材,小型怪物大师等级素材,,,,,,,,وحش صغير برتبة القائد,,,,,,,,,,,
28da4e70-1c26-445c-88b8-713fe5f60a6b,295431247,ICT_Name_204,草食種MR素材,MR Herbivore,Herbivore RM,Erbivoro GM,MR Pflanzenfresser,Herbívoro RM,Травоядный РМ,Roślinożerca RM,,,Herbívoro RM,초식종 MR 소재,草食種MR素材,草食种大师等级素材,,,,,,,,آكل نبات برتبة القائد,,,,,,,,,,,
3c57c601-8299-4ef6-ad56-8ca5a02b7d78,927967937,ICT_Name_205,甲虫種MR素材,MR Neopteron,Neopteron RM,Neopteron GM,MR Neopteron,Neopteron RM,Новокрылый РМ,Neopteron RM,,,Neopteronte RM,갑충종 MR 소재,甲蟲種MR素材,甲虫种大师等级素材,,,,,,,,نيوبترون برتبة القائد,,,,,,,,,,,
0d46e40a-abcf-43bf-9133-8b4ab0498ced,3533649736,ICT_Name_206,眠狗竜MR素材,MR Great Baggi,Grand Baggi RM,Gran Baggi GM,MR Großbaggi,Gran Baggi RM,Большой Багги РМ,Wielki Baggi RM,,,Grande Baggi RM,면구룡 MR 소재,眠狗龍MR素材,眠狗龙大师等级素材,,,,,,,,باجي العظيم برتبة القائد,,,,,,,,,,,
3f222dd2-db75-4599-9983-cd22e1db8f80,1549432044,ICT_Name_207,毒狗竜MR素材,MR Wroggi,Wroggi RM,Wroggi GM,MR Wroggi,Wroggi RM,Врогги РМ,Wroggi RM,,,Wroggi RM,독구룡 MR 소재,毒狗龍MR素材,毒狗龙大师等级素材,,,,,,,,روجي برتبة القائد,,,,,,,,,,,
b039dc24-14c4-4e77-9192-0bab7bd0f61e,1262153794,ICT_Name_208,掻鳥MR素材,MR Kulu-Ya-Ku,Kulu-Ya-Ku RM,Kulu-Ya-Ku GM,MR Kulu-Ya-Ku,Kulu-Ya-Ku RM,Кулу-Йа-Ку РМ,Kulu-Ya-Ku RM,,,Kulu-Ya-Ku RM,소조 MR 소재,搔鳥MR素材,搔鸟大师等级素材,,,,,,,,كولو-يا-كو برتبة القائد,,,,,,,,,,,
e54462f0-0958-4cc5-8e9d-786ba39dbfdc,392173683,ICT_Name_209,青熊獣MR素材,MR Arzuros,Arzuros RM,Arzuros GM,MR Arzuros,Arzuros RM,Арзурос РМ,Arzuros RM,,,Arzuros RM,청웅수 MR 소재,青熊獸MR素材,青熊兽大师等级素材,,,,,,,,أرزوروس برتبة القائد,,,,,,,,,,,
