guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
6d21ed26-327c-4c69-8d72-80acda5caf26,3134985391,I_None_Explain,"""なし""の説明文",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2e24be9f-4c07-4db2-bab5-6b27460fe904,1497939463,I_0000_Explain,"投てき用クナイ。対象に
向かって一直線に飛んでいく。
狙い定めて投げる事もできる。","A standard throwing kunai.
Flies straight and true.
Allows for precise aiming.","Kunai de lancer standard.
Trajectoire droite précise.
Impossible de manquer.","Kunai da lancio standard.
Vola dritto al bersaglio
e consente tiri mirati.","Standard-Wurf-Kunai.
Fliegt präzise. Ermöglicht
haargenaues Zielen.","Kunai arrojadizo estándar.
De vuelo recto y certero
para apuntar con precisión.","Обычный метательный кунай.
Летит прямо и ровно.
Бьет точно в цель.","Zwykłe kunai do rzucania.
Leci prosto i nie kręci.
Można precyzyjnie celować.",,,"Kunai de arremesso comum.
Voa certeira. Permite uma
mira precisa.","던지는 쿠나이. 대상을
향해 일직선으로 날아간다.
겨냥하고 던질 수도 있다.","投擲用的苦無，
會朝對象直線飛去。
能夠準確瞄準後投擲。","投掷用苦无。
会笔直地向目标飞去。
能够瞄准并投掷出去。",,,,,,,,"كوناي طائر قياسي.
يطير بصورة مباشرة وصحيحة.
يسمح بتصويب دقيق.",,,,,,,,,,,
fda85e23-8534-41cf-bc38-1aa681a1e497,2391313917,I_0001_Explain,<COLOR FF0000>#Rejected#</COLOR> I_0001_Explain,<COLOR FF0000>#Rejected#</COLOR> I_0001_Explain,<COLOR FF0000>#Rejected#</COLOR> I_0001_Explain,<COLOR FF0000>#Rejected#</COLOR> I_0001_Explain,<COLOR FF0000>#Rejected#</COLOR> I_0001_Explain,<COLOR FF0000>#Rejected#</COLOR> I_0001_Explain,<COLOR FF0000>#Rejected#</COLOR> I_0001_Explain,<COLOR FF0000>#Rejected#</COLOR> I_0001_Explain,<COLOR FF0000>#Rejected#</COLOR> I_0001_Explain,<COLOR FF0000>#Rejected#</COLOR> I_0001_Explain,<COLOR FF0000>#Rejected#</COLOR> I_0001_Explain,<COLOR FF0000>#Rejected#</COLOR> I_0001_Explain,<COLOR FF0000>#Rejected#</COLOR> I_0001_Explain,<COLOR FF0000>#Rejected#</COLOR> I_0001_Explain,<COLOR FF0000>#Rejected#</COLOR> I_0001_Explain,<COLOR FF0000>#Rejected#</COLOR> I_0001_Explain,<COLOR FF0000>#Rejected#</COLOR> I_0001_Explain,<COLOR FF0000>#Rejected#</COLOR> I_0001_Explain,<COLOR FF0000>#Rejected#</COLOR> I_0001_Explain,<COLOR FF0000>#Rejected#</COLOR> I_0001_Explain,<COLOR FF0000>#Rejected#</COLOR> I_0001_Explain,<COLOR FF0000>#Rejected#</COLOR> I_0001_Explain,<COLOR FF0000>#Rejected#</COLOR> I_0001_Explain,<COLOR FF0000>#Rejected#</COLOR> I_0001_Explain,<COLOR FF0000>#Rejected#</COLOR> I_0001_Explain,<COLOR FF0000>#Rejected#</COLOR> I_0001_Explain,<COLOR FF0000>#Rejected#</COLOR> I_0001_Explain,<COLOR FF0000>#Rejected#</COLOR> I_0001_Explain,<COLOR FF0000>#Rejected#</COLOR> I_0001_Explain,<COLOR FF0000>#Rejected#</COLOR> I_0001_Explain,<COLOR FF0000>#Rejected#</COLOR> I_0001_Explain,<COLOR FF0000>#Rejected#</COLOR> I_0001_Explain,<COLOR FF0000>#Rejected#</COLOR> I_0001_Explain
58fea110-e859-4179-af01-f51248ebc56c,3823726555,I_0002_Explain,時限式の小さな爆弾。,A small time bomb.,Petite bombe à retardement.,Piccola bomba a orologeria.,Eine kleine Zeitbombe.,Bomba de relojería pequeña.,Бомба замедленного действия.,Niewielka bomba zegarowa.,,,Uma bomba relógio pequena.,"시한폭탄처럼 작동하는
작은 폭탄.",限時型的小爆彈。,限时型的小爆弹。,,,,,,,,قنبلة موقوتة صغيرة.,,,,,,,,,,,
720a29cd-9639-4a25-a655-991f1d524d27,2967307004,I_0003_Explain,"衝撃によって爆発する爆弾。
その威力は絶大。","A powerful bomb triggered
by external physical impact.","Bombe puissante qui
explose après un impact.","Potente bomba azionata da
un impatto fisico esterno.","Eine starke Bombe, die
durch äußeren physischen
Kontakt ausgelöst wird.","Potente bomba que se activa
con un impacto físico
externo.","Мощная бомба, которая
активируется внешним
физическим воздействием.","Potężna bomba uruchamiana
uderzeniem z zewnątrz.",,,"Uma poderosa bomba ativada
por impacto físico externo.","충격에 의해 폭발하는 폭탄.
그 위력은 엄청나다.","受到衝擊就會爆炸的爆彈。
威力甚大。","受到冲击就会爆炸的爆弹。
威力甚大。",,,,,,,,"قنبلة قوية تنفجر بواسطة
تصادم مادي خارجي.",,,,,,,,,,,
baf648c5-3e78-4a1e-9d6a-1d7d0b309a2e,3106438251,I_0004_Explain,"モンスターの動きを止める
ことができる罠。
捕獲に使用可能。","A trap that immobilizes
a target. Use it to capture
monsters.","Piège qui immobilise
la cible. À utiliser pour
capturer des monstres.","Trappola in grado di
immobilizzare i mostri.
Usata per la cattura.","Die Schockfalle macht Ziele
bewegungsunfähig und erlaubt
es, Monster zu fangen.","Trampa que inmoviliza al
objetivo. Se usa para
capturar monstruos.","Ловушка, которая
обездвиживает цель.
Помогает ловить чудовищ.","Pułapka unieruchamiająca
cel. Łap nią potwory.",,,"Armadilha que imobiliza
o alvo. Use para
capturar monstros.","몬스터의 움직임을
멈추게 할 수 있는 덫.
포획에 사용 가능.","能夠阻止魔物行動的陷阱。
亦可用於捕獲。","能够阻止
怪物行动的陷阱。
亦可用于捕获。",,,,,,,,"فخ يصيب الهدف بالشلل.
استخدمه للإمساك
بالوحوش.",,,,,,,,,,,
b45b1837-9062-4153-beba-a6c8ad5cdbfd,3369606644,I_0005_Explain,体力を完全回復する薬。,Fully restores health.,Restaure totalement la vie.,Ripristina la salute.,"Stellt die volle Gesundheit
wieder her.","Restablece la salud por
completo.","Восстанавливает здоровье
полностью.",Przywraca całe zdrowie.,,,Recupera a vida inteira.,체력을 완전히 회복하는 약.,可完全回復體力的藥。,可完全回复体力的药。,,,,,,,,يستعيد الصحة بالكامل.,,,,,,,,,,,
68e2033c-fa53-4cf8-9811-9dee8d4cd661,393210840,I_0006_Explain,体力を少量回復する薬。,"Restores a small
amount of health.","Restaure une petite
quantité de vie.","Ripristina una modesta
quantità di salute.","Stellt einen kleinen Teil
der Gesundheit wieder her.","Restablece ligeramente el
nivel de salud.","Восстанавливает немного
здоровья.","Przywraca niewielką
ilość zdrowia.",,,"Recupera uma pequena
quantidade de vida.",체력을 약간 회복하는 약.,可回復少量體力的藥。,可回复少量体力的药。,,,,,,,,"يستعيد كمية
صغيرة من الصحة.",,,,,,,,,,,
b28281af-000c-4650-a045-db740bf224fb,1929342310,I_0007_Explain,体力を中量回復する薬。,"Restores a moderate
amount of health.","Restaure une quantité
modérée de vie.","Ripristina una notevole
quantità di salute.","Stellt einen mäßigen Teil
Gesundheit wieder her.","Restablece moderadamente el
nivel de salud.","Восстанавливает среднее
количество здоровья.","Przywraca średnią
ilość zdrowia.",,,"Recupera uma quantidade
razoável de vida.",체력을 적당히 회복하는 약.,可回復中量體力的藥。,可回复中量体力的药。,,,,,,,,"يستعيد كمية
متوسطة من الصحة.",,,,,,,,,,,
e456c6f5-bf77-4509-bf00-25efc7d0148f,1916467274,I_0008_Explain,スタミナを完全回復する食料。,"Food that fully restores
stamina.","Nourriture qui restaure
toute l'endurance.","Cibo che ripristina
la resistenza.","Essen, das die Ausdauer
vollständig wiederherstellt.","Restablece la resistencia
por completo.","Еда, которая полностью
восстанавливает в-сливость.","Pożywienie, które w pełni
przywraca wytrzymałość.",,,"Comida que restaura
vigor completamente.","스태미나를 완전히 회복하는
식재료.",可完全回復耐力的食物。,可完全回复耐力的食物。,,,,,,,,"الطعام الذي يستعيد قوة
التحمل بالكامل.",,,,,,,,,,,
