guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
207d7af1-022a-4aed-a4bd-e99dfc174bc6,4274630642,I_2000_Name,<COLOR FF0000>#Rejected#</COLOR> I_2000_Name,<COLOR FF0000>#Rejected#</COLOR> I_2000_Name,<COLOR FF0000>#Rejected#</COLOR> I_2000_Name,<COLOR FF0000>#Rejected#</COLOR> I_2000_Name,<COLOR FF0000>#Rejected#</COLOR> I_2000_Name,<COLOR FF0000>#Rejected#</COLOR> I_2000_Name,<COLOR FF0000>#Rejected#</COLOR> I_2000_Name,<COLOR FF0000>#Rejected#</COLOR> I_2000_Name,<COLOR FF0000>#Rejected#</COLOR> I_2000_Name,<COLOR FF0000>#Rejected#</COLOR> I_2000_Name,<COLOR FF0000>#Rejected#</COLOR> I_2000_Name,<COLOR FF0000>#Rejected#</COLOR> I_2000_Name,<COLOR FF0000>#Rejected#</COLOR> I_2000_Name,<COLOR FF0000>#Rejected#</COLOR> I_2000_Name,<COLOR FF0000>#Rejected#</COLOR> I_2000_Name,<COLOR FF0000>#Rejected#</COLOR> I_2000_Name,<COLOR FF0000>#Rejected#</COLOR> I_2000_Name,<COLOR FF0000>#Rejected#</COLOR> I_2000_Name,<COLOR FF0000>#Rejected#</COLOR> I_2000_Name,<COLOR FF0000>#Rejected#</COLOR> I_2000_Name,<COLOR FF0000>#Rejected#</COLOR> I_2000_Name,<COLOR FF0000>#Rejected#</COLOR> I_2000_Name,<COLOR FF0000>#Rejected#</COLOR> I_2000_Name,<COLOR FF0000>#Rejected#</COLOR> I_2000_Name,<COLOR FF0000>#Rejected#</COLOR> I_2000_Name,<COLOR FF0000>#Rejected#</COLOR> I_2000_Name,<COLOR FF0000>#Rejected#</COLOR> I_2000_Name,<COLOR FF0000>#Rejected#</COLOR> I_2000_Name,<COLOR FF0000>#Rejected#</COLOR> I_2000_Name,<COLOR FF0000>#Rejected#</COLOR> I_2000_Name,<COLOR FF0000>#Rejected#</COLOR> I_2000_Name,<COLOR FF0000>#Rejected#</COLOR> I_2000_Name,<COLOR FF0000>#Rejected#</COLOR> I_2000_Name
31f9bc7d-f1f7-433d-8ab9-48b0835714f3,2640451958,I_2001_Name,ナルホドングリ,Eurekacorn,Eurekagland,Ghiandeureka,Heurekaeichel,Bellotalbricias,Желудь озарения,Eurekażołądź,,,Eurecanoz,득도토리,開竅橡實,领悟橡子,,,,,,,,بلوط يوريكا,,,,,,,,,,,
96c0db83-96ed-4d8c-b7c7-a219a8f47488,1188515791,I_2002_Name,迅錬丹,MP Accelerant,Accélérateur CF,Acceleratore PF,ST-Beschleuniger,Acelerador MF,Ускоритель плавления,Przyspiesz. tygla,,,Acelerador de PF,신연단,迅鍊丹,迅炼丹,,,,,,,,محفز MP,,,,,,,,,,,
0c5ef0da-2931-46be-a555-0cc3c2b4a16f,3960846294,I_2003_Name,特濃マカ油,Melding Pudding,Gâteau de fusion,Budino di fusione,Schmelzpudding,Sorbete MF,Плавильный пудинг,Budyń wytapiania,,,Pudim de Fundição,특농 마카유,特濃神秘油,特浓神秘油,,,,,,,,حلوى البودينغ المخلوطة,,,,,,,,,,,
199132f1-26ae-4a03-85e6-c195ecc26e86,564310642,I_2004_Name,濃厚マカ油,Melding Honey,Miel de fusion,Miele di fusione,Schmelzhonig,Miel MF,Плавильный мед,Miód wytapiania,,,Mel de Fundição,농후 마카유,濃郁神秘油,浓稠神秘油,,,,,,,,عسل مخلوط,,,,,,,,,,,
6a99ba53-850d-472c-a9ec-aad1947eb6ed,4138315070,I_2005_Name,薬用マカ油,Melding Nectar,Nectar de fusion,Nettare di fusione,Schmelznektar,Néctar MF,Плавильный нектар,Nektar wytapiania,,,Néctar de Fundição,약용 마카유,藥用神秘油,药用神秘油,,,,,,,,رحيق مخلوط,,,,,,,,,,,
63b29a00-94b6-4cb8-a67e-f6b5185ad7b6,1190223847,I_2006_Name,雌火竜の重殻,Rathian Cortex,Cortex Rathian,Rathian: corteccia,Rathian-Kortex,Córtex de Rathian,Сердечник Ратианы,Kora Rathiany,,,Córtex Rathian,자화룡의 중갑각,雌火龍的重殼,雌火龙的重壳,,,,,,,,قشرة دماغ راثيان,,,,,,,,,,,
0b3fbe07-7517-4744-9c4b-46371ca3539c,1218848871,I_2007_Name,雌火竜の厚鱗,Rathian Shard,Éclat Rathian,Rathian: frammento,Rathian-Scherbe,Esquirla de Rathian,Осколок Ратианы,Okruch Rathiany,,,Frag. Rathian,자화룡의 두툼비늘,雌火龍的厚鱗,雌火龙的厚鳞,,,,,,,,شظية راثيان,,,,,,,,,,,
c53aa204-4406-4e54-9974-13034936ff3b,1448873920,I_2008_Name,雌火竜の厚翼膜,Rathian Weave,Toile Rathian,Rathian: intreccio,Rathian-Membran,Tejido de Rathian,Волокно Ратианы,Tkanina Rathiany,,,Malha Rathian,자화룡의 두툼익막,雌火龍的厚翼膜,雌火龙的厚翼膜,,,,,,,,ترنح راثيان,,,,,,,,,,,
b9c63a8e-5787-402a-b94d-3f990a6aa356,793673063,I_2009_Name,雌火竜の秘棘,Rathian Surspike,Aiguille Rathian,Rathian: arpione,RathianÜberstachel,Aguja de Rathian,Яд. шип Ратианы,Szpic Rathiany,,,Venospinho Rathian,자화룡의 비밀가시,雌火龍的秘棘,雌火龙的秘棘,,,,,,,,شوكة راثيان,,,,,,,,,,,
