guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
1cf757bf-c348-4f2c-a549-c9fb7813e993,3609386089,KeyAssign_Mes_01,<OPT DECIDE>決定,<OPT DECIDE> Confirm,<OPT DECIDE>Confirmer,<OPT DECIDE> Conferma,<OPT DECIDE> Bestätigen,<OPT DECIDE> Confirmar,<OPT DECIDE>Подтвердить,<OPT DECIDE> Potwierdź,,,<OPT DECIDE> Confirmar,<OPT DECIDE>결정,<OPT DECIDE>確定,<OPT DECIDE>确定,,,,,,,,<OPT DECIDE> تأكيد,,,,,,,,,,,
3b258b2c-addc-42b3-ace5-070ca074e84e,1023594681,KeyAssign_Mes_02,<OPT DECIDE>選択,<OPT DECIDE> Select,<OPT DECIDE>Sélectionner,<OPT DECIDE> Seleziona,<OPT DECIDE> Wählen,<OPT DECIDE> Seleccionar,<OPT DECIDE>Выбрать,<OPT DECIDE> Wybierz,,,<OPT DECIDE> Selecionar,<OPT DECIDE>선택,<OPT DECIDE>選擇,<OPT DECIDE>选择,,,,,,,,<OPT DECIDE> تحديد,,,,,,,,,,,
4fe4a3bd-96e6-40f2-b80f-c3494fe4c159,4002558902,KeyAssign_Mes_03,<ICON PAD_SELECT>サイン,<ICON PAD_SELECT> Signal,<ICON PAD_SELECT>Signal,<ICON PAD_SELECT> Segnale,<ICON PAD_SELECT> Signal,<ICON PAD_SELECT> Señal,<ICON PAD_SELECT>Сигнал,<ICON PAD_SELECT> Sygnał,,,<ICON PAD_SELECT> Sinal,<ICON PAD_SELECT>신호,<ICON PAD_SELECT>信號,<ICON PAD_SELECT>信号,,,,,,,,<ICON PAD_SELECT> الإشارة,,,,,,,,,,,
da6f167d-c18f-47d2-8fe9-a38b3084a4fb,266998589,KeyAssign_Mes_04,<ICON KEY>個数選択,<ICON KEY> Select Amount,<ICON KEY>Sélect. quant.,<ICON KEY> Quantità,<ICON KEY> Anzahl,<ICON KEY> Elegir cantidad,<ICON KEY>Количество,<ICON KEY> Wybierz ilość,,,<ICON KEY> Sel. Quantidade,<ICON KEY>개수 선택,<ICON KEY>選擇個數,<ICON KEY>选择个数,,,,,,,,<ICON KEY> تحديد الكمية,,,,,,,,,,,
6225de86-81d3-4aa4-bb4a-42bc7f8fcef9,632551514,KeyAssign_Mes_05,<ICON PAD_Y>サブメニュー,<ICON PAD_Y> Sub-menu,<ICON PAD_Y>Sous-menu,<ICON PAD_Y> Sottomenu,<ICON PAD_Y> Untermenü,<ICON PAD_Y> Submenú,<ICON PAD_Y>Подменю,<ICON PAD_Y> Podmenu,,,<ICON PAD_Y> Submenu,<ICON PAD_Y>서브 메뉴,<ICON PAD_Y>副選單,<ICON PAD_Y>子菜单,,,,,,,,<ICON PAD_Y> قائمة فرعية,,,,,,,,,,,
e9794fae-9906-4fd2-8e2f-17a645e15d84,735770142,KeyAssign_Mes_06,<ICON PAD_SELECT>整頓,<ICON PAD_SELECT> Auto-sort,<ICON PAD_SELECT>Ordre auto.,<ICON PAD_SELECT> Riordina,<ICON PAD_SELECT> Auto-Ordnen,<ICON PAD_SELECT> Autoordenar,<ICON PAD_SELECT>Автосортировка,<ICON PAD_SELECT> Sort. autom.,,,<ICON PAD_SELECT> Ordenação Auto.,<ICON PAD_SELECT>정리,<ICON PAD_SELECT>整頓,<ICON PAD_SELECT>整理,,,,,,,,<ICON PAD_SELECT> الفرز التلقائي,,,,,,,,,,,
d6860f10-337e-4193-897a-2988a5ced2ea,2017172542,KeyAssign_Mes_07,<OPT DECIDE>送る,<OPT DECIDE> Send,<OPT DECIDE>Envoyer,<OPT DECIDE> Invia,<OPT DECIDE> Senden,<OPT DECIDE> Enviar,<OPT DECIDE>Отправить,<OPT DECIDE> Wyślij,,,<OPT DECIDE> Enviar,<OPT DECIDE>보내기,<OPT DECIDE>傳送,<OPT DECIDE>传送,,,,,,,,<OPT DECIDE> إرسال,,,,,,,,,,,
1a9c92d6-caa1-4c73-937d-2d6b5f6d4106,2868370614,KeyAssign_Mes_08,<OPT CANCEL>戻る,<OPT CANCEL> Back,<OPT CANCEL>Retour,<OPT CANCEL> Indietro,<OPT CANCEL> Zurück,<OPT CANCEL> Atrás,<OPT CANCEL>Назад,<OPT CANCEL> Wstecz,,,<OPT CANCEL> Voltar,<OPT CANCEL>돌아가기,<OPT CANCEL>返回,<OPT CANCEL>返回,,,,,,,,<OPT CANCEL> العودة,,,,,,,,,,,
eba17e97-2c78-474d-bf2b-0cbbca10dd90,84551965,KeyAssign_Mes_09,<ICON PAD_X>一括補充,<ICON PAD_X> Restock,<ICON PAD_X>Restockage,<ICON PAD_X> Rifornisci,<ICON PAD_X> Auffüllen,<ICON PAD_X> Reabastecer,<ICON PAD_X>Пополнить,<ICON PAD_X> Uzupeł. zapas,,,<ICON PAD_X> Reabastecer,<ICON PAD_X>일괄 보충,<ICON PAD_X>全部補充,<ICON PAD_X>全部补充,,,,,,,,<ICON PAD_X> إعادة التجهيز,,,,,,,,,,,
32693a49-6ccf-463e-aca6-925bd6ca4f8b,153479585,KeyAssign_Mes_10,<ICON PAD_Y>詳細マップ,<ICON PAD_Y> Detailed Map,<ICON PAD_Y>Carte détail.,<ICON PAD_Y> Mappa dett.,<ICON PAD_Y> Detailkarte,<ICON PAD_Y> Mapa detallado,<ICON PAD_Y>Подроб. карта,<ICON PAD_Y> Szczeg. mapa,,,<ICON PAD_Y> Mapa Detalhado,<ICON PAD_Y>상세 맵,<ICON PAD_Y>詳細地圖,<ICON PAD_Y>详细地图,,,,,,,,<ICON PAD_Y> خريطة مفصلة,,,,,,,,,,,
