guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
62b1c2a2-356e-462a-be4a-8af6cf96835f,1715733534,KitchenSkill_100_Datail,研ぎ時間が短くなりやすい。,"Speeds up weapon
sharpening.","Vous aiguisez votre arme
plus vite.",Accelera l'affilamento dell'arma.,"Beschleunigt das Schärfen
von Waffen.",Acelera el afilado de armas.,"Увеличивает скорость
заточки оружия.",Przyśpiesza ostrzenie broni.,,,Acelera a afiação da arma.,"숫돌을 이용한 연마 시간이
단축될 확률이 높아진다.",有機率縮短研磨所需時間。,容易缩短打磨所需时间。,,,,,,,,"تسرّع عملية شحذ
السلاح.",,,,,,,,,,,
b9281b1a-c976-438a-aa9f-63048f6827ee,3372005244,KitchenSkill_101_Datail,操竜時間が長くなる。,Extends riding time.,"Augmente le temps passé à
chevaucher.",Estende il tempo di cavalcata.,Verlängert die Reitzeit.,Incrementa el tiempo de monta.,Увеличивает время езды.,Wydłuża czas jazdy.,,,Aumenta o tempo de montaria.,용 조종 시간이 늘어난다.,延長操龍時間。,延长御龙时间。,,,,,,,,تطيل وقت الركوب.,,,,,,,,,,,
ec232b25-c6e8-45b4-9aa1-1e17e8b09993,1671735,KitchenSkill_102_Datail,"残り体力がわずかの時に
攻撃力が大きく上がる。","Greatly increases attack
when health is dangerously
low.","Augmente grandement
l'attaque lorsque la vie est
dangereusement basse.","Incrementa significativamente
l'attacco quando la salute
è pericolosamente bassa.","Verstärkt den Angriff enorm,
wenn du nur noch gefährlich
wenig Gesundheit hast.","Aumenta mucho el ataque
cuando la salud está muy baja.","Значительно усиливает атаку
при опасном снижении
здоровья.","Znacznie wzmacnia atak przy
niebezpiecznie niskim
zdrowiu.",,,"Aumenta bastante o ataque
quando sua barra de vida
está muito baixa.","남은 체력이 조금밖에 없을 때
공격력이 크게 상승한다.","體力剩餘極少時，
攻擊力大幅上升。","残留微少体力时，
攻击力大幅提升。",,,,,,,,"تزيد من الهجوم بشكل كبير
حين تكون الصحة متدنية
لدرجة خطيرة.",,,,,,,,,,,
332708a4-e779-4e7e-b76b-29163c8fc13e,572752521,KitchenSkill_103_Datail,"剥ぎ取り回数が
増える場合が、まれにある。","Sometimes increases
the number of times
you can carve.","Augmente parfois le nombre
de fois que vous pouvez
dépecer.","A volte incrementa il
numero di oggetti che
puoi ricavare.","Gibt dir manchmal die
Möglichkeit, häufiger
zu zerlegen.","A veces aumenta el número de
ocasiones en las que puedes
cortar.","Иногда увеличивает количество
попыток разделки.","Czasem zwiększa liczbę
możliwych wycięć części
potwora.",,,"Às vezes aumenta o número de
vezes que você pode talhar.","갈무리 횟수가
낮은 확률로 증가한다.",有較低機率增加剝取次數。,有极小可能增加剥取次数。,,,,,,,,"تزيد أحيانًا عدد مرات قدرتك على
النحت.",,,,,,,,,,,
240156f0-814d-45b2-b7d5-074c41439f43,3995777332,KitchenSkill_104_Datail,"剥ぎ取り回数が
増える場合がある。","Often increases the number
of times you can carve.","Augmente souvent le nombre de
fois que vous pouvez dépecer.","Spesso incrementa il numero
di oggetti che puoi ricavare.","Gibt dir oft die Möglichkeit,
häufiger zu zerlegen.","A menudo aumenta el número
de veces que puedes cortar.","Часто увеличивает количество
попыток разделки.","Często zwiększa liczbę
możliwych wycięć części
potwora.",,,"Frequentemente aumenta o
número de talhos possíveis.","갈무리 횟수가
높은 확률로 증가한다.",有較高機率增加剝取次數。,有可能增加剥取次数。,,,,,,,,"غالبًا ما تزيد
عدد مرات قدرتك على النحت.",,,,,,,,,,,
98c1a8b3-b8bb-464a-9046-1a6107ba73b8,1283574528,KitchenSkill_105_Datail,体力回復量がやや大きくなる。,"Slightly increases health
recovery from items.","Augmente légèrement le montant
de la vie restaurée grâce
aux objets de soin.","Incrementa leggermente la
quantità di salute recuperata
grazie agli oggetti.","Verbessert leicht die Erholung
der Gesundheit durch Objekte.","Permite recuperar un poco de
salud al usar objetos curativos.","Немного усиливает
исцеляющие свойства
предметов.","Nieznacznie zwiększa
regenerację zdrowia przy
użyciu przedmiotów.",,,"Aumenta pouco a
recuperação de vida
com itens.",체력 회복량이 조금 증가한다.,體力回復量稍微提升。,体力回复量略微提升。,,,,,,,,"تزيد من تعافي الصحة
من العناصر بشكل طفيف.",,,,,,,,,,,
76bc1fb2-38ea-482d-8106-df96cecbaf61,637066896,KitchenSkill_106_Datail,体力回復量が大きくなる。,"Increases health recovery
from items.","Augmente le montant de la vie
restaurée grâce aux objets de
soin.","Incrementa la quantità di
salute recuperata grazie
agli oggetti.","Verbessert die Erholung der
Gesundheit durch Objekte.","Permite recuperar más salud
al usar objetos curativos.","Усиливает исцеляющие свойства
предметов.","Zwiększa regenerację zdrowia
przy użyciu przedmiotów.",,,"Aumenta a recuperação de vida
com itens.",체력 회복량이 증가한다.,體力回復量大幅提升。,体力回复量大幅提升。,,,,,,,,"تزيد من تعافي الصحة
من العناصر.",,,,,,,,,,,
09a1573f-e296-4804-a64e-1b587b337fff,2702459890,KitchenSkill_107_Datail,"回避などの固定でスタミナを
消費する行動の
スタミナ消費量が軽減される。","Low chance of decreasing damage
taken.","Les dégâts reçus ont
une petite chance d'être atténués.","Offre basse probabilità che il danno
subito venga ridotto.","Erlittener Schaden wird mit einer
geringen Wahrscheinlichkeit
reduziert.","Baja posibilidad de reducir el daño
recibido.","Низкий шанс
снизить получаемый урон.","Niska szansa zmniejszenia
odnoszonych obrażeń.",,,"Chance baixa de reduzir dano
recebido.","회피 등 고정적으로
스태미나를 소비하는 행동의
스태미나 소비량이 감소한다.","做出迴避等
消耗固定耐力的動作時，
減少所需的耐力消耗量。","进行回避等固定消耗耐力的行动时
所需的耐力消耗量减少。",,,,,,,,"فرصة منخفضة لتقليل الضرر
الواقع.",,,,,,,,,,,
42083452-7c21-417c-9009-f8b0c9d31d31,516608865,KitchenSkill_108_Datail,大タル爆弾が強化される。,"High chance of decreasing damage
taken.","Les dégâts reçus ont
une grande chance d'être atténués.","Offre alte probabilità che il danno
subito venga ridotto.","Erlittener Schaden wird mit einer
hohen Wahrscheinlichkeit reduziert.","Alta posibilidad de reducir el daño
recibido.","Высокий шанс
снизить получаемый урон.","Wysoka szansa zmniejszenia
odnoszonych obrażeń.",,,"Chance alta de reduzir dano
recebido.",대형나무통폭탄이 강화된다.,強化大爆彈桶的性能。,强化大桶爆弹。,,,,,,,,"فرصة كبيرة لتقليل الضرر
الواقع.",,,,,,,,,,,
bd6627e1-7a26-4e5a-b9ee-5f001a69a991,4231494703,KitchenSkill_109_Datail,状態異常攻撃が強くなる。,"Increases the potency of
abnormal status attacks.","Augmente la puissance
des afflictions.","Incrementa la potenza degli
attacchi con alterazioni di
stato.","Erhöht die Kraft von
anormalen Status-
angriffen.","Aumenta la potencia de los
ataques de estado alterado.","Усиливает атаки с
аномальными статусами.","Zwiększa siłę ataków
nakładających szkodliwe
efekty.",,,"Aumenta a potência de
ataques com status anormais.",상태 이상 공격이 강해진다.,增強狀態異常攻擊的性能。,增强状态异常攻击。,,,,,,,,"تزيد من فعالية هجمات
الأوضاع الغريبة.",,,,,,,,,,,
