guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
461e5924-0cdf-4f3e-9003-5868ead56225,839803,KitchenSkill_None_Explain,<COLOR FF0000>#Rejected#</COLOR> KitchenSkill_None_Explain,<COLOR FF0000>#Rejected#</COLOR> KitchenSkill_None_Explain,<COLOR FF0000>#Rejected#</COLOR> KitchenSkill_None_Explain,<COLOR FF0000>#Rejected#</COLOR> KitchenSkill_None_Explain,<COLOR FF0000>#Rejected#</COLOR> KitchenSkill_None_Explain,<COLOR FF0000>#Rejected#</COLOR> KitchenSkill_None_Explain,<COLOR FF0000>#Rejected#</COLOR> KitchenSkill_None_Explain,<COLOR FF0000>#Rejected#</COLOR> KitchenSkill_None_Explain,<COLOR FF0000>#Rejected#</COLOR> KitchenSkill_None_Explain,<COLOR FF0000>#Rejected#</COLOR> KitchenSkill_None_Explain,<COLOR FF0000>#Rejected#</COLOR> KitchenSkill_None_Explain,<COLOR FF0000>#Rejected#</COLOR> KitchenSkill_None_Explain,<COLOR FF0000>#Rejected#</COLOR> KitchenSkill_None_Explain,<COLOR FF0000>#Rejected#</COLOR> KitchenSkill_None_Explain,<COLOR FF0000>#Rejected#</COLOR> KitchenSkill_None_Explain,<COLOR FF0000>#Rejected#</COLOR> KitchenSkill_None_Explain,<COLOR FF0000>#Rejected#</COLOR> KitchenSkill_None_Explain,<COLOR FF0000>#Rejected#</COLOR> KitchenSkill_None_Explain,<COLOR FF0000>#Rejected#</COLOR> KitchenSkill_None_Explain,<COLOR FF0000>#Rejected#</COLOR> KitchenSkill_None_Explain,<COLOR FF0000>#Rejected#</COLOR> KitchenSkill_None_Explain,<COLOR FF0000>#Rejected#</COLOR> KitchenSkill_None_Explain,<COLOR FF0000>#Rejected#</COLOR> KitchenSkill_None_Explain,<COLOR FF0000>#Rejected#</COLOR> KitchenSkill_None_Explain,<COLOR FF0000>#Rejected#</COLOR> KitchenSkill_None_Explain,<COLOR FF0000>#Rejected#</COLOR> KitchenSkill_None_Explain,<COLOR FF0000>#Rejected#</COLOR> KitchenSkill_None_Explain,<COLOR FF0000>#Rejected#</COLOR> KitchenSkill_None_Explain,<COLOR FF0000>#Rejected#</COLOR> KitchenSkill_None_Explain,<COLOR FF0000>#Rejected#</COLOR> KitchenSkill_None_Explain,<COLOR FF0000>#Rejected#</COLOR> KitchenSkill_None_Explain,<COLOR FF0000>#Rejected#</COLOR> KitchenSkill_None_Explain,<COLOR FF0000>#Rejected#</COLOR> KitchenSkill_None_Explain
4247f760-89c6-46e0-94d4-00ad5b16caa9,2956525366,KitchenSkill_000_Explain,研ぎ時間が短くなりやすい。,"Speeds up weapon
sharpening.","Vous aiguisez votre arme
plus vite.","Accelera l'affilamento
dell'arma.","Beschleunigt das Schärfen
von Waffen.",Acelera el afilado de armas.,"Увеличивает скорость
заточки оружия.",Przyśpiesza ostrzenie broni.,,,Acelera a afiação da arma.,"숫돌을 이용한 연마 시간이
단축될 확률이 높아진다.",容易縮短研磨所需時間。,容易缩短打磨所需时间。,,,,,,,,"تسرّع عملية شحذ
السلاح.",,,,,,,,,,,
2d597a1f-0d8b-4f76-a47d-da29c84ffac8,3124802058,KitchenSkill_001_Explain,操竜時間が長くなる。,Extends riding time.,"Augmente le temps passé à
chevaucher.",Estende il tempo di cavalcata.,Verlängert die Reitzeit.,Incrementa el tiempo de monta.,Увеличивает время езды.,Wydłuża czas jazdy.,,,Aumenta o tempo de montaria.,용 조종 시간이 늘어난다.,延長操龍時間。,延长御龙时间。,,,,,,,,تطيل وقت الركوب.,,,,,,,,,,,
b3db7754-8f6d-4fcc-83bb-abea2870c90e,1329749212,KitchenSkill_002_Explain,"残り体力がわずかの時に
攻撃力が大きく上がる。","Greatly increases attack
when health is dangerously
low.","Augmente grandement
l'attaque lorsque la vie est
dangereusement basse.","Aumenta significativamente
l'attacco quando la salute
è pericolosamente bassa.","Verstärkt den Angriff enorm,
wenn du nur noch gefährlich
wenig Gesundheit hast.","Aumenta mucho el ataque
cuando la salud está muy
baja.","Значительно усиливает атаку
при опасном снижении
здоровья.","Znacznie wzmacnia atak przy
niebezpiecznie niskim
zdrowiu.",,,"Aumenta bastante o ataque
quando sua barra de vida
está muito baixa.","남은 체력이 조금밖에 없을 때
공격력이 크게 상승한다.","體力剩餘極少時，
攻擊力大幅上升。","残留微少体力时，
攻击力大幅提升。",,,,,,,,"تزيد من الهجوم بشكل كبير
حين تكون الصحة متدنية
لدرجة خطيرة.",,,,,,,,,,,
033ed534-c1d8-4b6d-b918-adb633586d70,1431753165,KitchenSkill_003_Explain,"剥ぎ取り回数が
増える場合が、まれにある。","Sometimes increases
the number of times
you can carve.","Augmente parfois le nombre
de fois que vous pouvez
dépecer.","A volte aumenta il numero di
oggetti che puoi ricavare.","Gibt dir manchmal die
Möglichkeit, häufiger
zu zerlegen.","A veces aumenta el número de
ocasiones en las que puedes
cortar.","Иногда повышает количество
попыток разделки.","Czasem pozwala wyciąć części
potwora więcej razy.",,,"Às vezes aumenta o número de
vezes que você pode talhar.","갈무리 횟수가
낮은 확률로 증가한다.",有極小機率增加剝取次數。,"有极小可能
增加剥取次数。",,,,,,,,"تزيد أحيانًا
عدد مرات
نحتك.",,,,,,,,,,,
6b313800-998d-4df5-8548-0659df87357c,3496615738,KitchenSkill_004_Explain,"剥ぎ取り回数が
増える場合がある。","Often increases the number
of times you can carve.","Augmente souvent le nombre de
fois que vous pouvez dépecer.","Spesso incrementa il numero di
oggetti che puoi ricavare.","Gibt dir oft die Möglichkeit,
häufiger zu zerlegen.","A menudo aumenta el número
de veces que puedes cortar.","Часто увеличивает количество
попыток разделки.","Często pozwala wyciąć części
potwora więcej razy.",,,"Costuma aumentar o número
de talhos possíveis.","갈무리 횟수가
높은 확률로 증가한다.",有機率增加剝取次數。,有可能增加剥取次数。,,,,,,,,"غالبًا ما تزيد
عدد مرات نحتك.",,,,,,,,,,,
344d73e9-605d-4ddb-ba90-49cb3fa45531,873417753,KitchenSkill_005_Explain,体力回復量がやや大きくなる。,"Slightly increases health
recovery from items.","Augmente légèrement le montant
de la vie restaurée grâce
aux objets de soin.","Incrementa leggermente la
quantità di salute recuperata
grazie agli oggetti.","Verbessert leicht die Erholung
der Gesundheit durch Objekte.","Permite recuperar un poco de
salud al usar objetos curativos.","Немного усиливает
исцеляющие свойства
предметов.","Nieznacznie zwiększa regenerację
zdrowia przy użyciu
przedmiotów.",,,"Aumenta de leve a
regeneração de vida
proveniente de itens.",체력 회복량이 조금 증가한다.,體力回復量稍微提升。,体力回复量略微提升。,,,,,,,,"تزيد من تعافي الصحة
من العناصر بشكل طفيف.",,,,,,,,,,,
9a7e9743-09af-407e-843e-da73a9106820,1810020605,KitchenSkill_006_Explain,体力回復量が大きくなる。,"Increases health recovery
from items.","Augmente le montant de la vie
restaurée grâce aux objets de
soin.","Incrementa la quantità di salute
recuperata grazie agli oggetti.","Verbessert die Erholung der
Gesundheit durch Objekte.","Permite recuperar más salud
al usar objetos curativos.","Усиливает исцеляющие свойства
предметов.","Zwiększa regenerację zdrowia
przy użyciu przedmiotów.",,,"Aumenta a regeneração de vida
proveniente de itens.",체력 회복량이 증가한다.,體力回復量大幅提升。,体力回复量大幅提升。,,,,,,,,"تزيد من تعافي الصحة
من العناصر.",,,,,,,,,,,
ebd6b09a-160f-4f16-b14b-308cd271cf82,1924636047,KitchenSkill_007_Explain,"回避などの固定でスタミナを
消費する行動の
スタミナ消費量が軽減される。","Reduces stamina depletion
when evading, blocking, or
doing certain other actions.","Ralentit la perte d'endurance en
cas d'esquive, de blocage, etc.","Riduce il consumo di
resistenza quando blocchi,
schivi o compi altre azioni.","Reduziert den Ausdauerverlust
beim Ausweichen, Blocken und
bestimmten anderen Aktionen.","Disminuye el gasto de resistencia
al esquivar, bloquear o hacer
otras ciertas acciones.","Снижает расход выносливости
при уклонении, блоке и
некоторых прочих действиях.","Zmniejsza spadek
wytrzymałości w trakcie
m.in. uników i bloków.",,,"Reduz o consumo de vigor
ao esquivar, bloquear
ou fazer certas ações.","회피 등 고정적으로
스태미나를 소비하는 행동의
스태미나 소비량이 감소한다.","做出迴避等
消耗固定耐力的動作時，
減少所需的耐力消耗量。","进行回避等
固定消耗耐力的行动时
所需的耐力消耗量减少。",,,,,,,,"تقلل استنزاف قوة التحمل
أثناء التفادي أو الصد أو
بعض الحركات الأخرى.",,,,,,,,,,,
817361d1-4c22-4b3f-9710-0459b3c8dfc8,3734333350,KitchenSkill_008_Explain,"大タル爆弾が大タル爆弾Ｇに
強化される。","Upgrades Large Barrel Bombs
to Mega Barrel Bombs.","Améliore les grandes bombes
baril en méga bombes baril.","Potenzia le bombe-botte
grandi rendendole mega
bombe-botte.","Verbessert Große Fassbomben
zu Mega-Fassbomben.","Mejora las bombas de barril
grandes a megabombas de
barril.","Улучшает Большую бочковую
бомбу до Мегабочковой
бомбы.","Ulepsza duże bomby beczkowe
do megabomb beczkowych.",,,"Melhora Superbombas de Barril
para Megabombas de Barril.","대형나무통폭탄이
대형나무통폭탄G로 강화된다.","能將大爆彈桶強化為
大爆彈桶G。","大桶爆弹可强化为
大桶爆弹G。",,,,,,,,"ترقّي براميلًا متفجرة كبيرة
إلى براميل متفجرة هائلة.",,,,,,,,,,,
