guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
27442505-bc63-49fb-a98b-60bdc9f006f0,303530792,KitchenSkill_100_Explain,"研ぎ時間が
短くなることがある。","May speed up weapon
sharpening.","Peut accélérer
l'aiguisage des armes.","Può accelerare l'affilamento
dell'arma.","Kann das Schärfen von
Waffen beschleunigen.","Puede acelerar el afilado de
armas.","Может увеличить скорость
заточки оружия.","Może przyśpieszyć
ostrzenie broni.",,,"Pode acelerar
afiação de arma.","숫돌을 이용한 연마 시간이
단축되기도 한다.",低機率縮短研磨所需時間。,有可能缩短打磨所需时间。,,,,,,,,"قد تسرّع من عملية شحذ
السلاح.",,,,,,,,,,,
8c8b130b-942c-4791-88e1-953d7203a7e0,2120271177,KitchenSkill_200_Explain,研ぎ時間が短くなりやすい。,"Speeds up weapon
sharpening.","Vous aiguisez votre arme
plus vite.","Accelera l'affilamento
dell'arma.","Beschleunigt das Schärfen
von Waffen.",Acelera el afilado de armas.,"Увеличивает скорость
заточки оружия.",Przyśpiesza ostrzenie broni.,,,Acelera a afiação da arma.,"숫돌을 이용한 연마 시간이
단축될 확률이 높아진다.",中機率縮短研磨所需時間。,容易缩短打磨所需时间。,,,,,,,,"تسرّع عملية شحذ
السلاح.",,,,,,,,,,,
40ce89f9-9275-43be-b0a7-f7c5badad2cb,1511567324,KitchenSkill_300_Explain,"研ぎ時間が
かなり短くなりやすい。","Greatly speeds up
weapon sharpening.","Vous aiguisez votre arme
beaucoup plus vite.","Accelera notevolmente
l'affilamento dell'arma.","Beschleunigt das Schärfen
von Waffen erheblich.","Acelera mucho el afilado de
armas.","Значительно увеличивает
скорость заточки оружия.","Znacznie przyśpiesza
ostrzenie broni.",,,"Acelera muito a afiação
da arma.","숫돌을 이용한 연마 시간이
단축될 확률이 꽤 높아진다.",高機率縮短研磨所需時間。,非常容易缩短打磨所需时间。,,,,,,,,"تسرّع عملية
شحذ السلاح بشكل كبير.",,,,,,,,,,,
2d8f6e00-53d5-4ef3-99ec-33cf95659801,975338965,KitchenSkill_400_Explain,"研ぎ時間が
非常に短くなりやすい。","Significantly speeds up
weapon sharpening.","Vous aiguisez votre arme
bien plus vite.","Accelera sensibilmente
l'affilamento dell'arma.","Beschleunigt das Schärfen
von Waffen erheblich.","Acelera muchísimo el afilado de
armas.","Значительно ускоряет
заточку оружия.","Znacznie przyśpiesza
ostrzenie broni.",,,"Acelera significativamente
a afiação da arma.","숫돌을 이용한 연마 시간이
매우 단축될 확률이 높아진다.",極高機率縮短研磨所需時間。,特别容易缩短打磨所需时间。,,,,,,,,"تسرّع عمليىة
شحذ السلاح بشكل فائق.",,,,,,,,,,,
cbbccbcb-3245-4677-8923-08803008f712,277921793,KitchenSkill_101_Explain,操竜時間がすこし長くなる。,Slightly extends riding time.,"Augmente légèrement le
temps de chevauchée.","Estende leggermente il tempo
di cavalcata.","Erweitert die Reitzeit
geringfügig.","Incrementa un poco el tiempo
de monta.","Слегка увеличивает
время езды.","Nieznacznie wydłuża
czas jazdy.",,,"Aumenta um pouco o tempo
de montaria.","용 조종 시간이
조금 늘어난다.",小幅延長操龍時間。,略微延长御龙时间。,,,,,,,,تمد وقت الركوب بمقدار ضئيل.,,,,,,,,,,,
428addb6-a42e-45d3-b257-ef2fcb516dc7,888964555,KitchenSkill_201_Explain,操竜時間が長くなる。,Extends riding time.,"Augmente modérément
le temps de chevauchée.","Estende il tempo di
cavalcata.",Verlängert die Reitzeit.,Incrementa el tiempo de monta.,Увеличивает время езды.,Wydłuża czas jazdy.,,,Aumenta o tempo de montaria.,용 조종 시간이 늘어난다.,延長操龍時間。,延长御龙时间。,,,,,,,,تطيل وقت الركوب.,,,,,,,,,,,
e3ba95e6-fbda-4827-bc96-041333ce3b5c,250491050,KitchenSkill_301_Explain,操竜時間がかなり長くなる。,"Moderately extends riding
time.",Augmente le temps de chevauchée.,"Estende moderatamente
il tempo di cavalcata.","Erweitert die Reitzeit
moderat.","Incrementa moderadamente el
tiempo de monta.","Умеренно увеличивает
время езды.","Umiarkowanie wydłuża
czas jazdy.",,,"Aumenta moderadamente
o tempo de montaria.",용 조종 시간이 꽤 길어진다.,大幅延長操龍時間。,大幅延长御龙时间。,,,,,,,,"تمد وقت
الركوب بمقدار معتدل.",,,,,,,,,,,
51fb3554-d7c8-41f0-b766-4de8b7ced868,826058496,KitchenSkill_401_Explain,操竜時間が非常に長くなる。,"Greatly extends riding
time.","Augmente bcp le temps
de chevauchée.","Estende notevolmente
il tempo di cavalcata.","Erweitert die Reitzeit
erheblich.","Incrementa mucho el tiempo
de monta.","Значительно увеличивает
время езды.","Znacznie wydłuża
czas jazdy.",,,"Aumenta muito
o tempo de montaria.","용 조종 시간이
매우 길어진다.",極大幅延長操龍時間。,极大幅延长御龙时间。,,,,,,,,"تمد وقت
الركوب بمقدار كبير.",,,,,,,,,,,
de597c3d-62ed-45c1-93dc-9cac46b7268e,1726109940,KitchenSkill_102_Explain,"残り体力がわずかの時に
攻撃力が上がる。","Increases attack when health
is dangerously low.","Augmente l'attaque quand la vie
est dangereusement basse.","Incrementa l'attacco
quando la salute è
pericolosamente bassa.","Verstärkt den Angriff,
wenn du nur noch gefährlich
wenig Gesundheit hast.","Aumenta el ataque cuando la
salud está muy baja.","Усиливает атаку при
опасном снижении здоровья.","Wzmacnia atak przy
bardzo niskim zdrowiu.",,,"Aumenta o ataque quando sua
vida estiver muito baixa.","남은 체력이 조금밖에 없을 때
공격력이 상승한다.","體力剩餘極少時，
攻擊力上升。","残留微少体力时，
攻击力提升。",,,,,,,,"تزيد من الهجوم
حين تكون الصحة متدنية لدرجة خطيرة.",,,,,,,,,,,
418ec376-8081-4a40-ad04-4b8a528b6cb3,801494475,KitchenSkill_202_Explain,"残り体力がわずかの時に
攻撃力が大きく上がる。","Greatly increases attack
when health is dangerously
low.","Augmente grandement
l'attaque lorsque la vie est
dangereusement basse.","Incrementa significativamente
l'attacco quando la salute
è pericolosamente bassa.","Verstärkt den Angriff enorm,
wenn du nur noch gefährlich
wenig Gesundheit hast.","Aumenta mucho el ataque
cuando la salud está muy baja.","Значительно усиливает атаку
при опасном снижении
здоровья.","Znacznie wzmacnia atak przy
niebezpiecznie niskim
zdrowiu.",,,"Aumenta bastante o ataque
quando sua barra de vida
está muito baixa.","남은 체력이 조금밖에 없을 때
공격력이 크게 상승한다.","體力剩餘極少時，
攻擊力大幅上升。","残留微少体力时，
攻击力大幅提升。",,,,,,,,"تزيد من الهجوم بشكل كبير
حين تكون الصحة متدنية
لدرجة خطيرة.",,,,,,,,,,,
