guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
35236ae2-2f72-4576-a0d9-5c881a6f50ac,39814055,W_Lance_000_Explain,"入門用に作られた鉄製突撃槍。
細部まで作り込まれており、
ハンターからの評判が高い。","A lance for newcomers
made with lots of attention
to minute details.","Lance pour débutants.
Fabriquée avec
le plus grand soin.","Lancia per principianti,
realizzata con maniacale
attenzione ai dettagli.","Eine Lanze, speziell für
Anfänger entworfen. Legt
großen Wert auf Details.","Lanza para novatos hecha con
gran atención a cada pequeño
detalle.","Копье для новичков.
Изготовлено с вниманием
к мельчайшим деталям.","Lanca dla świeżo upieczonych
wojowników. Wysoka precyzja
i jakość wykonania.",,,"Uma lança para novatos feita
com muita atenção aos
detalhes minuciosos.","입문용 철제 돌격창.
세세한 부분까지 잘 만들어져
있어 헌터들의 평가가 좋다.","為入門者製造的鐵製突擊長槍。
作工極其精細，
大受獵人好評。","做给新手用的铁制突击枪。
制作极其精细，
大受猎人好评。",,,,,,,,"رمح للوافدين الجدد
مع الاهتمام في صناعته
بأدق التفاصيل.",,,,,,,,,,,
2fa99d19-4c03-46c8-9f15-191a16cbfa59,2041795913,W_Lance_001_Explain,"入門用に作られた鉄製突撃槍。
細部まで作り込まれており、
ハンターからの評判が高い。","A lance for newcomers
made with lots of attention
to minute details.","Lance pour débutants.
Fabriquée avec
le plus grand soin.","Lancia per principianti,
realizzata con maniacale
attenzione ai dettagli.","Eine Lanze, speziell für
Anfänger entworfen. Legt
großen Wert auf Details.","Lanza para novatos hecha con
gran atención a cada pequeño
detalle.","Копье для новичков.
Изготовлено с вниманием
к мельчайшим деталям.","Lanca dla świeżo upieczonych
wojowników. Wysoka precyzja
i jakość wykonania.",,,"Uma lança para novatos feita
com muita atenção aos
detalhes minuciosos.","입문용 철제 돌격창.
세세한 부분까지 잘 만들어져
있어 헌터들의 평가가 좋다.","為入門者製造的鐵製突擊長槍。
作工極其精細，
大受獵人好評。","做给新手用的铁制突击枪。
制作极其精细，
大受猎人好评。",,,,,,,,"رمح للوافدين الجدد
مع الاهتمام في صناعته
بأدق التفاصيل.",,,,,,,,,,,
82a9f1a3-1ac9-4d9d-8a03-b3c07ff54391,2071107641,W_Lance_002_Explain,"アイアンランスの強化版。
より純度の高い鉱石を用いる
ことで、破壊力を手に入れた。","The Iron Lance's final
form comes with crystals
that give it more oomph.","Ses cristaux décuplent
sa puissance de frappe.
Base : Lance de fer","Forma finale della lancia
di ferro. I cristalli le
conferiscono più dinamismo.","Die finale Form der Eisen-
lanze kommt mit Kristallen
für mehr Ka-Wumm.","Lanza férrea finalizada.
Contiene unos cristales para
dotarla de mayor vitalidad.","Конечная форма Железного
копья. Кристаллы придают
ему особую изысканность.","Najwyższa postać żelaznej
lancy. Podrasowana moc
dzięki kryształom.",,,"Forma final da lança de
ferro, com cristais que
lhe dão mais força.","아이언랜스의 강화판.
보다 순도가 높은 광석으로
파괴력을 손에 넣었다.","鐵槍的強化版本。
使用更為精純的礦石作為原料，
獲得了強大的破壞力。","铁长枪的强化版。
使用了更为精纯的矿石，
并借此获得了破坏力。",,,,,,,,"الشكل النهائي للرمح الحديدي
مرصع بالكريستال الذي يضفي
عليه المزيد من الجاذبية.",,,,,,,,,,,
72acaa4a-94f0-41c5-9fe4-0c84cd05ad82,3919766071,W_Lance_003_Explain,"武勲をあげた騎士に授けられる
名誉ある鉄槍。
重厚な盾も大きな特徴である。","A lance given to a battle-
hardened knight. Notable
for its large shield.","Lance donnée aux chevaliers
aguerris. Se distingue par
son grand bouclier.","Questa lancia per cavalieri
veterani si distingue anche
per il grande scudo.","Lanze für kampferprobte
Ritter. Bemerkenswert
ist ihr großer Schild.","Lanza para caballeros
curtidos en combate. El gran
escudo anexo es memorable.","Копье закаленного в боях
рыцаря. Славится своим
большим щитом.","Lanca dla zaprawionego
w bojach rycerza. Uwagę
zwraca duża tarcza.",,,"Lança dada a um cavaleiro
veterano de batalha.
Notável pelo grande escudo.","무훈을 올린 기사가 받는
명예로운 랜스. 중후한
방패도 큰 특징이다.","此槍僅賜給立下軍功的騎士，
乃是一把名譽之槍。
厚重的盾牌也是其一大特點。","光荣的铁枪，
用于赐给立下军功的战士。
厚重的盾牌也是其一大特点。",,,,,,,,"رمح يتم تقديمه لفارس
متمرس بالقتال.
يتميز بترسه الكبير.",,,,,,,,,,,
1317cdee-db5d-4057-b33f-031fb3c8a1f5,2281029264,W_Lance_004_Explain,"武勲をあげた騎士に授けられる
名誉ある鉄槍。
重厚な盾も大きな特徴である。","A lance given to a battle-
hardened knight. Notable
for its large shield.","Lance donnée aux chevaliers
aguerris. Se distingue par
son grand bouclier.","Questa lancia per cavalieri
veterani si distingue anche
per il grande scudo.","Lanze für kampferprobte
Ritter. Bemerkenswert
ist ihr großer Schild.","Lanza para caballeros
curtidos en combate. El gran
escudo anexo es memorable.","Копье закаленного в боях
рыцаря. Славится своим
большим щитом.","Lanca dla zaprawionego
w bojach rycerza. Uwagę
zwraca duża tarcza.",,,"Lança dada a um cavaleiro
veterano de batalha.
Notável pelo grande escudo.","무훈을 올린 기사가 받는
명예로운 랜스. 중후한
방패도 큰 특징이다.","此槍僅賜給立下軍功的騎士，
乃是一把名譽之槍。
厚重的盾牌也是其一大特點。","光荣的铁枪，
用于赐给立下军功的战士。
厚重的盾牌也是其一大特点。",,,,,,,,"رمح يتم تقديمه لفارس
متمرس بالقتال.
يتميز بترسه الكبير.",,,,,,,,,,,
94714745-cbd0-4776-a767-3e7d949dbcb6,436769166,W_Lance_005_Explain,"パラディンランスの強化形。
洗練されたこの槍は、攻守共に
騎士の理想を実現している。","The Paladin Lance's final
form. Well-balanced and
true to the chivalric code.","Équilibrée et conforme
au code de la chevalerie.
Base : Lance de paladin","Forma finale della lancia
del paladino. Fedele al
codice cavalleresco.","Die finale Form der Paladin-
lanze. Gut ausbalanciert und
eines wahren Ritters würdig.","Lanza de paladín finalizada.
Bien equilibrada y acorde
con el código de caballería.","Конечная форма Копья
паладина. Сбалансировано и
верно рыцарскому кодексу.","Najwyższa postać lancy
paladyna. Funkcjonalność
i uosobienie etosu rycerza.",,,"Forma final da Lança de
Paladino. Equilibrada e
fiel ao código de cavalaria.","강화형 팔라딘랜스. 세련된
랜스는 공수 모든 면에서
기사의 이상을 실현했다.","聖騎士長槍的強化型態。
此槍更加洗鍊，於攻守
兩面實現了騎士的理想。","圣骑士长枪的强化形态。
此枪经过强化，已在攻守两方面
实现了骑士的理想。",,,,,,,,"الشكل النهائي لرمح بالادن.
متوازن بشكل جيد
ووفي لقانون الشهامة.",,,,,,,,,,,
298a27eb-f5f0-4e57-9e09-3257f4ab94c6,3712315704,W_Lance_006_Explain,"かつて鉱石の採掘に使われたと
いう機械槍。回転を可能にする
機構が放電現象を引き起こす。","A lance once used to mine
ore. Its rotator mechanism
can release electricity.","Lance mécanique qui
extrayait les minerais. Peut
produire de l'électricité.","Lancia usata come attrezzo
da miniera. Il suo rotore
genera scariche elettriche.","Mechanische Lanze, die zum
Erzabbau genutzt wurde.
Kann Elektrizität freisetzen.","Lanza antaño usada para
picar mineral. Su mecanismo
rotatorio libera energía.","Копье раньше применялось для
добычи руды. Механизм
генерирует электричество.","Używana kiedyś do fedrowania
rudy. Układ rotacyjny
generuje elektryczność.",,,"Lança usada para extrair
minério. Seu mecanismo
rotador libera eletricidade.","과거 광석 채굴에 쓰였다는
기계창. 회전할 수 있는
구조가 방전 현상을 일으킨다.","據說是從前用於採掘礦石的
機械槍。具旋轉功能的構造
能夠引發放電現象。","曾用于采掘矿石的机械枪。
实现了回旋功能的构造，
可引发放电现象。",,,,,,,,"تم استخدام هذا الرمح ذات مرة
لاستخراج الخام. يمكن لآليته
الدوّارة توليد الكهرباء.",,,,,,,,,,,
e62d7736-eebe-4b68-9d2b-8db064e2209c,3341039259,W_Lance_007_Explain,"かつて鉱石の採掘に使われたと
いう機械槍。回転を可能にする
機構が放電現象を引き起こす。","A lance once used to mine
ore. Its rotator mechanism
can release electricity.","Lance mécanique qui
extrayait les minerais. Peut
produire de l'électricité.","Lancia usata come attrezzo
da miniera. Il suo rotore
genera scariche elettriche.","Mechanische Lanze, die zum
Erzabbau genutzt wurde.
Kann Elektrizität freisetzen.","Lanza antaño usada para
picar mineral. Su mecanismo
rotatorio libera energía.","Копье раньше применялось для
добычи руды. Механизм
генерирует электричество.","Używana kiedyś do fedrowania
rudy. Układ rotacyjny
generuje elektryczność.",,,"Lança usada para extrair
minério. Seu mecanismo
rotador libera eletricidade.","과거 광석 채굴에 쓰였다는
기계창. 회전할 수 있는
구조가 방전 현상을 일으킨다.","據說是從前用於採掘礦石的
機械槍。具旋轉功能的構造
能夠引發放電現象。","曾用于采掘矿石的机械枪。
实现了回旋功能的构造，
可引发放电现象。",,,,,,,,"تم استخدام هذا الرمح ذات مرة
لاستخراج الخام. يمكن لآليته
الدوّارة توليد الكهرباء.",,,,,,,,,,,
bcf78dca-391b-40d2-a5a8-405013fe0131,2804691188,W_Lance_008_Explain,"高速回転する矛先を持つ機械
槍。裂けたというより爆ぜたと
いうべき壮絶な傷跡を残す。","A lance that drills rather
than tears, leaving great
scars in its wake.","Lance perforatrice laissant
de grosses cicatrices dans
son sillage.","Un'arma perforante che
lascia brutte cicatrici in
ricordo dei suoi colpi.","Eine Lanze, die eher bohrt
als reißt und tiefe Narben
hinterlässt.","Lanza que perfora más que
cortar, dejando una estela
de grandes cicatrices.","Копье, проникающее глубоко
в тело жертвы и оставляющее
за собой глубокие шрамы.","Bardziej drąży niż rozrywa.
Zostawia po sobie blizny
na całe życie.",,,"Uma lança que perfura, em
vez de rasgar, deixando
cicatrizes por onde passa.","창끝이 고속 회전하는 기계창.
찢긴 것보다 폭발한 것
같은 상처가 남는다.","槍尖會高速旋轉的機械槍。
被此槍攻擊者不僅會受到裂傷，
還會留下皮開肉綻的慘烈傷痕。","拥有高速旋转枪尖的机械枪。
它留下的伤口，与其说撕裂，
倒不如用炸开来形容更贴切。",,,,,,,,"رمح يعمل على الثقب
أكثر من التمزيق،
ويخلّف ندوبًا بالغة.",,,,,,,,,,,
8e2b630e-28eb-4e3c-bc42-48e1eef777d2,1278847423,W_Lance_009_Explain,"錬磨の過程で休みなく高熱を
加え続けた鉄鎗。熱気はいまだ
漲り、突けば炎を巻き起こす。","Scorching fire within has
heated this powerful lance
up to a searing temperature.","Un feu infernal brûle
dans cette puissante lance
chauffée à blanc.","Una potente lancia rovente
grazie al fuoco contenuto
al suo interno.","Das Feuer im Inneren erhitzt
diese mächtige Lanze auf
eine sengende Temperatur.","Lanza de ardiente
temperatura debido al fuego
que contiene.","Заключенная внутри копья
сила неистового пламени
наделяет его палящей мощью.","Gorejący wewnątrz ogień
rozpala tę potężną lancę
do czerwoności.",,,"O fogo interno aqueceu esta
poderosa lança a uma
temperatura abrasadora.","연마하는 과정에서 쉴 새 없이
열을 가한 랜스. 열기가 남아
찌르면 불꽃이 피어오른다.","鍛造過程中不斷以高溫持續加熱
的鐵槍。現在依舊散發著熱氣，
刺向敵人便會捲起火焰。","在锤炼过程中一直承受高热的
铁枪。长枪仍充满热气，
只需一击就能卷起火焰。",,,,,,,,"النار الحارقة بداخل هذا
الرمح القوي زادت من سخونته
ليصل إلى درجة حرارة حارقة.",,,,,,,,,,,
