guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
f87cbd05-1e6b-4c61-89fd-7213f8705e98,1565343768,W_Lance_300_Explain,"カムラの里の高い技術力で
生まれ変わった烈槍。その
一突きは夜闇を穿ち光を呼ぶ。","Molded by Kamura fire and
technique, its brilliance
can pierce darkness itself.","Produit du feu et des
techniques de Kamura,
elle perce les ténèbres.","Forgiata dal fuoco e dalla
maestria di Kamura, squarcia
le tenebre con la sua luce.","Von Feuer und Technik Kamu-
ras geformt, durchbohrt sein
Glanz die Dunkelheit selbst.","Hecha con el fuego y técnica
de Kamura. Su resplandor
perfora la misma oscuridad.","Шедевр мастеров Камуры.
Благодаря пламенной закалке
может пронзать саму тьму.","Dzieło ognia i rąk Kamury.
Doskonała broń, zdolna
przeszyć każdy mrok.",,,"Moldada no fogo com técnica
de Kamura, seu brilho pode
perfurar a escuridão.","카무라 마을의 기술로 다시
태어난 열창. 찌르기는 어둠
속에서 한줄기 빛을 부른다.","透過神火村的高度技術獲得
重生的烈槍。此槍一刺出，
便能貫穿黑夜，喚來光明。","在炎火村的高超技术下脱胎
换骨的烈枪。一击可刺穿黑
暗，召唤光明。",,,,,,,,"تم تطويره بواسطة أسلحة
كامورا وتقنياتها، ويمكن
للمعانه اختراق الظلام ذاته.",,,,,,,,,,,
e8ba0d3e-a940-408f-848a-bd5e4d952edc,3168576635,W_Lance_301_Explain,"カムラの里の高い技術力で
生まれ変わった烈槍。その
一突きは夜闇を穿ち光を呼ぶ。","Molded by Kamura fire and
technique, its brilliance
can pierce darkness itself.","Produit du feu et des
techniques de Kamura,
elle perce les ténèbres.","Forgiata dal fuoco e dalla
maestria di Kamura, squarcia
le tenebre con la sua luce.","Von Feuer und Technik Kamu-
ras geformt, durchbohrt sein
Glanz die Dunkelheit selbst.","Hecha con el fuego y técnica
de Kamura. Su resplandor
perfora la misma oscuridad.","Шедевр мастеров Камуры.
Благодаря пламенной закалке
может пронзать саму тьму.","Dzieło ognia i rąk Kamury.
Doskonała broń, zdolna
przeszyć każdy mrok.",,,"Moldada no fogo com técnica
de Kamura, seu brilho pode
perfurar a escuridão.","카무라 마을의 기술로 다시
태어난 열창. 찌르기는 어둠
속에서 한줄기 빛을 부른다.","透過神火村的高度技術獲得
重生的烈槍。此槍一刺出，
便能貫穿黑夜，喚來光明。","在炎火村的高超技术下脱胎
换骨的烈枪。一击可刺穿黑
暗，召唤光明。",,,,,,,,"تم تطويره بواسطة أسلحة
كامورا وتقنياتها، ويمكن
للمعانه اختراق الظلام ذاته.",,,,,,,,,,,
f44cac93-98a9-4ca7-8a16-01093cb57ee3,1481067712,W_Lance_302_Explain,"里へと襲い来る災禍に対し、
英雄の盾は決して砕けず、
英雄の槍は万難を貫く。","The village hero forfends all
foes with unyielding shield
and unstoppable spear.","Le héros du village brave tous
les ennemis avec son bouclier
inflexible et sa lance imparable.","L'eroe del villaggio scaccia
i nemici con uno scudo saldo
e un'asta inarrestabile.","Der Held des Dorfs wehrt alle
Feinde mit Schild und einem
unaufhaltsamen Speer ab.","El héroe de la aldea aparta
a todo enemigo con su escudo
y venablo imparables.","Неудержимая пика и непроби-
ваемый щит героя деревни,
разящего любого врага.","Bohater wioski zatrzymuje
wrogów swą tarczą
i niepokonaną włócznią.",,,"O herói da aldeia evita os
inimigos com escudo firme
e lança incansável.","마을을 덮치는 재앙에도
영웅의 방패는 부서지지 않고
영웅의 창은 고난을 꿰뚫는다.","面對襲擊村莊的災禍，
英雄之盾絕不會碎裂，
英雄之槍將貫穿萬難。","面对袭向村庄的灾祸，
英雄之盾将固若金汤，
英雄之枪将贯穿万难。",,,,,,,,"يقاوم بطل القرية
جميع الأعداء بدرع لا يتزعزع
ورمح لا يمكن إيقافه.",,,,,,,,,,,
0ec6f2d7-569a-4f64-a62b-2c755d66b04e,3770149909,W_Lance_303_Explain,"堂々たる爵銀龍のランス。
槍は騎士の如き高潔さ、
盾は紋章の如き威容を誇る。","An imposing and noble lance,
befitting a knight of the realm.
Its shield is majestic.","Une lance imposante et noble,
digne d'un chevalier du Royaume.
Son bouclier est majestueux.","Lancia nobile e imponente,
adatta a un cavaliere del
regno. Protegge regalmente.","Ehrfurchtgebietende Lanze,
passend zu einem Ritter des
Reichs. Majestätischer Schild.","Lanza noble e imponente,
digna de caballeros. Se le
suma un escudo majestuoso.","Благородное копье и
величественный щит,
достойные рыцаря.","Okazała i wspaniała lanca
dla rycerza królestwa. Jej
tarcza jest majestatyczna.",,,"Lança imponente, própria
para um cavaleiro do reino.
Seu escudo é majestoso.","당당한 은작룡의 랜스.
창은 기사의 고결함, 방패는
문장의 위용을 자랑한다.","威風凜凜的爵銀龍長槍。
此槍如騎士般高風亮節，
此盾則如其紋章般充滿威嚴。","威风凛凛的爵银龙长枪。
此枪宛如骑士般高洁，
此盾宛如纹章般庄严。",,,,,,,,"رمح مهيب ونبيل،
يليق بفارس المملكة.
ودرعه مهيب.",,,,,,,,,,,
8b6ec1ec-e704-4812-bef9-18306ba4cbe9,1318100032,W_Lance_304_Explain,"清高な騎士の槍も、時に過ぎた
使われ方をする。この槍は、
あまりにも多くの命を貫いた。","Despite its blood-soaked history,
even the purest of knight can be
seduced by this evil lance.","Même le plus pur des chevaliers
peut être séduit par cette lance
maléfique au passé sanglant.","Anche il più puro dei
cavalieri si lascia tentare
da questa perfida lancia.","Trotz der blutrünstigen Ge-
schichte kann der bösen Lanze
noch der reinste Ritter verfallen.","A pesar de su sangriento
pasado, esta lanza de maldad
seduce a todo caballero.","Даже чистый сердцем рыцарь
не устоит перед соблазном
этого кровожадного копья.","Pomimo krwawej historii tej
lancy może ona uwieść nawet
najczystszego rycerza.",,,"Com sua história empapada de
sangue, esta lança seduz
até o mais puro cavaleiro.","고결한 기사의 창도 때로는
잘못된 방식으로 사용된다.
너무 많은 생명을 꿰뚫었다.","即使是清高的騎士之槍，
有時也會被用得過火。
此槍至今已貫穿了太多生命。","即使高洁的骑士之枪，有时用法
也会有些过分。此枪贯穿了不计
其数的生命。",,,,,,,,"رغم تاريخه المليء بالدماء،
فيمكن إغواء حتى أنقى الفرسان
بواسطة هذا الرمح الشرير.",,,,,,,,,,,
10a039b1-7ece-4ea8-bdc1-5db21f5c59c6,1797281700,W_Lance_305_Explain,"雪鬼獣の槍は強化され、さらに
威圧感が増した。相対する者を
恐怖のどん底にドシュッッ！！","Strike fear into your foes'
hearts! Or just strike them
with the Abominable Lance.","Si vous voulez terroriser
vos ennemis, la Lance
abominable vous aidera.","Spaventa i nemici a morte...
O colpiscili a morte con
questa lancia abominevole.","Jage deinen Feinden Angst
ein! Oder jag sie einfach
mit der Grässlichen Lanze.","¡Amedrenta a tus enemigos!
O perfora sus corazones con
la Lanza abominable.","Наполни ужасом сердца
врагов! Или просто пронзи
их Гнусным копьем.","Siej strach w sercach
wrogów! Albo po prostu siecz
ich cielska plugawą lancą.",,,"Instile terror no coração
dos inimigos ou mate-os de
vez com a Lança Abominável.","강화된 설귀수의 랜스는 더
강한 위엄을 뿜는다. 적은
공포의 밑바닥으로 푸욱!!","經過強化的雪鬼獸之槍，
壓迫感變得更加強大。
將眼前的對手推入恐懼深淵！","雪鬼兽的长枪获得了强化，
威慑力也更添几分。与之相对，
无不在恐怖中——噗嗤！",,,,,,,,"اقذف الرعب في قلوب
خصومك! أو اقذفهم فقط
بالرمح البغيض.",,,,,,,,,,,
3a8f538d-46a5-487f-b818-dee008c87450,52580554,W_Lance_306_Explain,"雪鬼獣の槍は強化され、さらに
威圧感が増した。相対する者を
恐怖のどん底にドシュッッ！！","Strike fear into your foes'
hearts! Or just strike them
with the Abominable Lance.","Si vous voulez terroriser
vos ennemis, la Lance
abominable vous aidera.","Spaventa i nemici a morte...
O colpiscili a morte con
questa lancia abominevole.","Jage deinen Feinden Angst
ein! Oder jag sie einfach
mit der Grässlichen Lanze.","¡Amedrenta a tus enemigos!
O perfora sus corazones con
la Lanza abominable.","Наполни ужасом сердца
врагов! Или просто пронзи
их Гнусным копьем.","Siej strach w sercach
wrogów! Albo po prostu siecz
ich cielska plugawą lancą.",,,"Instile terror no coração
dos inimigos ou mate-os de
vez com a Lança Abominável.","강화된 설귀수의 랜스는 더
강한 위엄을 뿜는다. 적은
공포의 밑바닥으로 푸욱!!","經過強化的雪鬼獸之槍，
壓迫感變得更加強大。
將眼前的對手推入恐懼深淵！","雪鬼兽的长枪获得了强化，
威慑力也更添几分。与之相对，
无不在恐怖中——噗嗤！",,,,,,,,"اقذف الرعب في قلوب
خصومك! أو اقذفهم فقط
بالرمح البغيض.",,,,,,,,,,,
54f3ca1b-fee3-4510-9c05-2e1af67e6659,106585850,W_Lance_307_Explain,"寒威を増した雪鬼獣の槍。
強固な盾に攻めあぐねる獲物が
疲れたところをゴドシュッ！！","Wear down monsters from
behind a wall of ice, then
poke until frozen solid!","Épuise les monstres derrière
un mur de glace jusqu'à
congélation totale.","Spaventa i nemici a morte...
O colpiscili a morte con
questa lancia abominevole.","Zermürbe die Monster hinter
einer schützenden Eismauer,
bis sie steif gefroren sind.","Agota a los enemigos tras un
muro de hielo para después
congelarlos con un solo toque.","Вымотайте монстров стеной
льда, затем бейте, пока не
замерзнут!","Wykańczaj wrogów zza lodowej
ściany, a potem szturchaj,
aż zamarzną na kość!",,,"Derrote monstros detrás de
uma muralha de gelo, e
espete até congelar!","한기를 더한 설귀수의 랜스.
사냥감이 견고한 방패를
공격하다가 지쳤을 때 푹!!","嚴寒之力更增的雪鬼獸之槍。
以堅固的盾抵禦獵物的攻擊，
待其體力耗盡後給予最後一擊！","增强了寒气的雪鬼兽长枪。
猎物攻不破坚固的盾牌后，
趁它疲劳时——噗嗤嗤！！",,,,,,,,"اقض على الوحوش من
خلف جدار من الجليد،
ثم جمدهم حتى النخاع!",,,,,,,,,,,
5e6e1d8d-456d-4b4a-9c7f-52b279e9c737,2782394298,W_Lance_308_Explain,"雅なる槍が華を刺す。乱れ散る
花片は、舞姫の如く麗しい。
狐槍ハナモハナナレ強化型。","The Hana Mo Hana Nare's
evolved form. Beautifully
dispenses with life.","Fait des cadavres exquis.
Base : Hana mo Hana Nare","Hana Mo Hana Nare
potenziata. La vita lascia
placidamente le sue vittime.","Verbesserte Hana Mo Hana
Nare. Verteilt freigiebig,
während sie Leben auslöscht.","Hana Mo Hana Nare mejorada.
Arrebata la vida con gran belleza.","Улучшенное Хана Мо Хана
Наре. Красота, источающая
силу самой жизни.","Podrasowana forma
Hana Mo Hana Nare.
Pięknie pozbawia życia.",,,"A forma evoluída do Hana Mo
Hana Nare. Acaba com a
vida maravilhosamente.","창이 꽃을 찌른다. 흩날리는
꽃잎은 춤추듯 아름답다.
하나모하나나레의 강화형.","風雅長槍刺向花朵。
凋零的花瓣宛如舞孃般美艷。
狐槍花凋方可憶的強化型態。","风雅长枪刺中花朵。
凋零的花瓣如舞女般绚烂。
狐枪【知谢芬芳益】强化型。",,,,,,,,"الشكل المطوّر من هانا مو
هانا نار. يتخلى عن
الحياة بشكل جميل.",,,,,,,,,,,
7b725cf5-a615-4d93-89e0-3904191d60d8,735069613,W_Lance_309_Explain,"笠雲の如く、愛し君をこの槍で
庇い、永久に護り抜かん。
願わくは万古長青、笑顔たれ。","Like cloud-capped mountains,
may this spear forever protect
you and your smile.","Comme les nuages sur les reliefs,
que cette lance vous protège
toujours, vous et votre sourire.","Come monti incorniciati da
nubi, possa questa lancia
proteggerti per sempre.","Wie wolkenverhangene
Berge schützt dieser Speer
dich und dein Lächeln ewig.","Es como una cordillera cubierta
de nubes. Ojalá os proteja
siempre a ti y a tu sonrisa.","Как облака защищают небо,
так и эта пика будет вечно
защищать вас и вашу улыбку.","Jak pokryte chmurami góry,
niech ta włócznia
zawsze cię chroni.",,,"Como montanhas envoltas em
nuvens, que esta lança sempre
proteja você e seu sorriso.","삿갓구름처럼 사랑스런 그대를
이 창으로 영원히 지키리라.
부디 웃음이 만고상청하기를.","此槍會如笠雲一般
庇護深愛之人，直到永遠。
願你萬古長青，笑顏永存。","用此枪如卷云般温柔庇护
心爱之人，直至永远。
愿海枯石烂，笑颜长伴。",,,,,,,,"كالجبال المغطاة بالغيوم،
سيحميك هذا الرمح أنت
وابتسامتك للأبد.",,,,,,,,,,,
