guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
d75f41da-4a6a-4ede-9aab-e355f527249c,4012730553,W_Lance_000_Name,アイアンランスⅠ,Iron Lance I,Lance de fer,Lancia di ferro I,Eisenlanze I,Lanza Férrea I,Железное копье 1,Żelazna lanca I,,,Lança de Ferro I,아이언랜스Ⅰ,鐵槍Ⅰ,铁长枪Ⅰ,,,,,,,,الرمح الحديدي 1,,,,,,,,,,,
5865a6ac-8c04-4956-92d2-8119c6b6d175,1541689549,W_Lance_001_Name,アイアンランスⅡ,Iron Lance II,Lance de fer II,Lancia di ferro II,Eisenlanze II,Lanza Férrea II,Железное копье 2,Żelazna lanca II,,,Lança de Ferro II,아이언랜스Ⅱ,鐵槍Ⅱ,铁长枪Ⅱ,,,,,,,,الرمح الحديدي 2,,,,,,,,,,,
1e7bfb5b-321c-4e91-a8a3-54882e4b79f9,2695006737,W_Lance_002_Name,ミレニアム,Millennial Lance,Lance millénaire,Lancia millenaria,Jahrtausendlanze,Lanza milenaria,Тысячелетнее копье,Milenijna lanca,,,Lança Milenar,밀레니엄,千禧年,千禧年,,,,,,,,الرمح الألفي,,,,,,,,,,,
2ed85b85-84f4-4fa3-9c06-9b42bc66c3c5,2941308427,W_Lance_003_Name,パラディンランスⅠ,Paladin Lance I,Lance de paladin,Lancia del paladino I,Paladinlanze I,Lanza de paladín I,Копье паладина 1,Lanca paladyna I,,,Lança de Paladino I,팔라딘랜스Ⅰ,聖騎士長槍Ⅰ,圣骑士长枪Ⅰ,,,,,,,,رمح بالادن 1,,,,,,,,,,,
3aa171f5-5e1b-4bae-ad8a-cde6212b12ef,59999728,W_Lance_004_Name,パラディンランスⅡ,Paladin Lance II,Lance de paladin II,Lancia del paladino II,Paladinlanze II,Lanza de paladín II,Копье паладина 2,Lanca paladyna II,,,Lança de Paladino II,팔라딘랜스Ⅱ,聖騎士長槍Ⅱ,圣骑士长枪Ⅱ,,,,,,,,رمح بالادن 2,,,,,,,,,,,
61d71c69-98a5-48fa-b0dd-304e03a7e18b,3075109566,W_Lance_005_Name,ランパート,Rampart,Rempart,Bastione,Bollwerk,Muralla,Бастион,Bastion,,,Freneserte,램퍼트,鐵壁長槍,铁壁长枪,,,,,,,,متراس,,,,,,,,,,,
eb15a61e-4e9a-4597-831a-e3ec25f693ff,1488343881,W_Lance_006_Name,ドリルランスⅠ,Drill Lance I,Lance perforeuse,Lancia trapano I,Bohrlanze I,Lanza perforadora I,Бурильное копье 1,Lanca wiertłowa I,,,Lança-broca I,드릴랜스Ⅰ,鑽頭長槍Ⅰ,钻头长枪Ⅰ,,,,,,,,رمح المثقاب 1,,,,,,,,,,,
3df0979f-3de4-4789-8347-27f03706f518,1522849730,W_Lance_007_Name,ドリルランスⅡ,Drill Lance II,Lance perforeuse II,Lancia trapano II,Bohrlanze II,Lanza perforadora II,Бурильное копье 2,Lanca wiertłowa II,,,Lança-broca II,드릴랜스Ⅱ,鑽頭長槍Ⅱ,钻头长枪Ⅱ,,,,,,,,رمح المثقاب 2,,,,,,,,,,,
e64e2865-edcf-45aa-8379-f44a97f29ac3,1456121226,W_Lance_008_Name,ギガドリルランス,Gigadrill Lance,Giga perforeuse,Lancia gigatrapano,Giga-Bohrlanze,Lanza gigaperforadora,Гигабурильное копье,Lanca gigawiertłowa,,,Lança Gigabroca,기가드릴랜스,巨大鑽頭長槍,巨大钻头长枪,,,,,,,,رمح مثقاب جيجا,,,,,,,,,,,
6675668a-c61b-4fad-900d-651e5694c108,1140491907,W_Lance_009_Name,ヒートランスⅠ,Heat Lance I,Lance de braise,Lancia rovente I,Hitzelanze I,Lanza ardiente I,Пламенное копье 1,Lanca żaru I,,,Lança de Calor I,히트랜스Ⅰ,炙熱長槍Ⅰ,炽热长枪Ⅰ,,,,,,,,رمح الحرارة 1,,,,,,,,,,,
31c094b0-046c-4c16-a04f-0ea86245a58d,8146228,W_Lance_010_Name,ヒートランスⅡ,Heat Lance II,Lance de braise II,Lancia rovente II,Hitzelanze II,Lanza ardiente II,Пламенное копье 2,Lanca żaru II,,,Lança de Calor II,히트랜스Ⅱ,炙熱長槍Ⅱ,炽热长枪Ⅱ,,,,,,,,رمح الحرارة 2,,,,,,,,,,,
79d3a35c-a8bd-49c2-ab6c-631c9d47031b,1272724584,W_Lance_011_Name,ヒートスティンガー,Heatstinger,Dard de braise,Aculeo rovente,Hitzestachel,Aguijón ardiente,Пламенное жало,Żądło Żaru,,,Perfuracalor,히트스팅어,炙熱尖刺槍,炽热尖刺,,,,,,,,لسعة الحرارى,,,,,,,,,,,
8bcb96e1-c328-4ea0-868c-0f0ab968113c,19420057,W_Lance_012_Name,バベルⅠ,Babel Spear I,Babel,Lancia Babel I,Babel-Speer I,Venablo de Babel I,Вавилонская пика 1,Włócznia Babel I,,,Lança de Babel I,바벨Ⅰ,巴別塔Ⅰ,巴别塔Ⅰ,,,,,,,,حربة بابل 1,,,,,,,,,,,
37d4d828-8496-4ebc-b450-a83e8e033073,718282607,W_Lance_013_Name,バベルⅡ,Babel Spear II,Babel II,Lancia Babel II,Babel-Speer II,Venablo de Babel II,Вавилонская пика 2,Włócznia Babel II,,,Lança de Babel II,바벨Ⅱ,巴別塔Ⅱ,巴别塔Ⅱ,,,,,,,,حربة بابل 2,,,,,,,,,,,
7691d590-f274-4325-9791-e5fc9c441b0b,3472584055,W_Lance_014_Name,エルダーバベル,Elder Babel Spear,Lance de Babel,Lancia Babel antica,Ältesten-Babelspeer,Venablo Babel Antiguo,Др. вавилонская пика,Starsza Włócznia Babel,,,Lança de Babel Ancião,엘더바벨,遠古巴別塔,远古巴别塔,,,,,,,,حربة بابل المعمِّرة,,,,,,,,,,,
0a769960-525c-4d66-9b27-545383dab783,1536343087,W_Lance_015_Name,撃竜槍【阿】Ⅰ,Growling Wyvern I,Wyverne hurlante,Wyvern ringhiante I,Knurrende Wyvern I,Wyvern aullador I,Рычащая виверна 1,Warcząca Wiwerna I,,,Serpe Rosnante I,격룡창【아】Ⅰ,擊龍槍【阿】Ⅰ,击龙枪【哼】Ⅰ,,,,,,,,التنين المجنح الهادر 1,,,,,,,,,,,
6e3c6a00-7a87-4deb-afe3-a4cbcd9a69af,3978041942,W_Lance_016_Name,撃竜槍【阿】Ⅱ,Growling Wyvern II,Wyverne hurlante II,Wyvern ringhiante II,Knurrende Wyvern II,Wyvern aullador II,Рычащая виверна 2,Warcząca Wiwerna II,,,Serpe Rosnante II,격룡창【아】Ⅱ,擊龍槍【阿】Ⅱ,击龙枪【哼】Ⅱ,,,,,,,,التنين المجنح الهادر 2,,,,,,,,,,,
24928f04-6dfb-4263-b6ab-782c81d1480e,307738406,W_Lance_017_Name,撃竜槍【吽】,Roaring Wyvern,Wyverne rugissante,Wyvern ruggente,Brüllende Wyvern,Wyvern rugiente,Ревущая виверна,Rycząca Wiwerna,,,Serpe Rugindo,격룡창【우】,擊龍槍【哈】,击龙枪【哈】,,,,,,,,التنين المجنح الزائر,,,,,,,,,,,
1ca6fa6e-c07b-489c-a28e-7bed5cd6de8d,1941310833,W_Lance_018_Name,ボーンランスⅠ,Bone Lance I,Lance en os,Lancia d'osso I,Knochenlanze I,Lanza Ósea I,Костяное копье 1,Kościana lanca I,,,Lança Óssea I,본랜스Ⅰ,骨槍Ⅰ,骨长枪Ⅰ,,,,,,,,الرمح العظمي 1,,,,,,,,,,,
56cf4bd4-c893-4622-9d92-4b4cf4489e93,955478858,W_Lance_019_Name,ハードボーンランス,Hard Bone Lance,Lance en os dur,Lancia ossoduro,Hartknochenlanze,Lanza Hueso Pétreo,Крепкое костяное копье,Twarda kościana lanca,,,Lança Óssea Dura,하드본랜스,硬骨長槍,硬骨枪,,,,,,,,الرمح العظمي القاسي,,,,,,,,,,,
