guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
08152ca0-d466-4d51-85b4-c4a76acb7783,1786706323,W_Lance_300_Name,カムラノ武鎗,Kamura Warrior Spear,Lance du guerrier Kamura,Asta guerriero Kamura,Kamura-Krieger-Speer,Venab. guerrero Kamura,Пика воина Камуры,Włócznia wojow. Kamury,,,Lança Guerreiro Kamura,카무라무창,神火武槍,炎火武枪,,,,,,,,رمح محارب كامورا,,,,,,,,,,,
5bed55a9-773f-4329-b96d-2f4bab9fd8b8,3307013231,W_Lance_301_Name,カムラノ武鎗改,Kamura Warrior Spear+,Lance du guerrier Kamura+,Asta guerriero Kamura+,Kamura-Krieger-Speer+,Venab. guerrero Kamura+,Пика воина Камуры+,Włócznia woj. Kamury+,,,Lança Guerreiro Kamura+,카무라무창+,神火武槍改,炎火武枪・改,,,,,,,,رمح محارب كامورا+,,,,,,,,,,,
1005ceea-18eb-4b84-b624-92ec52affa78,3085010354,W_Lance_302_Name,カムラノ傑鎗,Fine Kamura Spear,Lance Kamura élite,Asta Kamura pregiata,Feiner Kamura-Speer,Venablo excelso Kamura,Отличная пика Камуры,Dosk. włócznia Kamury,,,Ótima Lança Kamura,카무라걸창,神火傑槍,炎火杰枪,,,,,,,,رمح كامورا الرائع,,,,,,,,,,,
23dd73a8-93f9-4dd2-a00f-b3a6cb281dde,380523075,W_Lance_303_Name,デュークインペイル,Duke's Impaler,Empaleur du Duc,Impalatore del duca,Pfähler des Herzogs,Empaladora ducal,Каратель герцога,Pal księcia,,,Impalador do Duque,듀크임페일,公爵刺槍,公爵钉刺,,,,,,,,ثاقب الدوق,,,,,,,,,,,
176dd092-2599-4b50-a19a-cc03acdd9cab,1133395567,W_Lance_304_Name,串刺のプファール,Mastlayer,Étendard flottant,Astassassina,Mastenleger,Tiendemástil,Мачтолом,Masztokłoda,,,Matadora Cruel,꼬챙이 프팔,穿刺之木釘,穿刺木桩,,,,,,,,سارية الذبح,,,,,,,,,,,
28c71460-1204-4595-b228-eba6b83ff5b7,1763754713,W_Lance_305_Name,ゴシャガゴドシュ,Abominable Spear,Pique abominable,Asta abominevole,Grässlicher Speer,Venablo abominable,Гнусное копье,Plugawa włócznia,,,Lança Curta Abominável,고샤가고도슈,雪鬼獸巨長尖槍,雪鬼兽噗嗤嗤,,,,,,,,الرمح البغيض,,,,,,,,,,,
e8fcfa83-aefd-4493-8528-873d09be49a6,1460040973,W_Lance_306_Name,ゴシャガゴドシュ改,Abominable Spear+,Pique abominable+,Asta abominevole+,Grässlicher Speer+,Venablo abominable+,Гнусное копье+,Plugawa włócznia+,,,Lança Curta Abominável+,고샤가고도슈+,雪鬼獸巨長尖槍改,雪鬼兽噗嗤嗤・改,,,,,,,,الرمح البغيض+,,,,,,,,,,,
e4fcd00b-5669-477c-b29d-2e8f76744418,2442903748,W_Lance_307_Name,ゴシャ！ギガゴドシュ！,Abominable Spike,Pointe abominable,Picca abominevole,Grässlicher Stachel,Púa abominable,Гнусный шип,Plugawy kolec,,,Espinho Abominável,고샤! 기가고도슈!,雪鬼獸巨大長尖槍,雪鬼兽！噗嗤噗嗤！,,,,,,,,الأشواك البغيضة,,,,,,,,,,,
6f704ab7-ebb7-4a72-8f86-177d01d6a978,1417384286,W_Lance_308_Name,きみがきる笠槍の突刺改,Kimi Ga Kiru+,Kimi Ga Kiru+,Kimi Ga Kiru+,Kimi Ga Kiru+,Kimi ga Kiru+,Кими Га Киру+,Kimi Ga Kiru+,,,Kimi Ga Kiru+,삿갓 쓴 입창의 돌자+,君著笠槍之突刺改,君着笠枪之突刺・改,,,,,,,,كيمي جا كيرو+,,,,,,,,,,,
4ccfb29d-1c88-4a54-b7ed-f8201cf3c614,3400551417,W_Lance_309_Name,きみがきる笠雲天通槍,Kimi Ga Kiru Kasa,Kimi Ga Kiru Kasa,Kimi Ga Kiru Kasa,Kimi Ga Kiru Kasa,Kimi ga Kiru Kasa,Каса Кими Га Киру,Kimi ga Kiru Kasa,,,Kimi Ga Kiru Kasa,삿갓 쓴 입운천통창,君著笠雲通天槍,君着笠云天通枪,,,,,,,,كيمي جا كيرو كاسا,,,,,,,,,,,
