guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
53c35bd0-8b62-4071-b7a7-3d67e132cacb,4282649104,LeaderNameCredit_Title_MR,<COLOR FF0000>#Rejected#</COLOR> LeaderNameCredit_Title_MR,<COLOR FF0000>#Rejected#</COLOR> LeaderNameCredit_Title_MR,<COLOR FF0000>#Rejected#</COLOR> LeaderNameCredit_Title_MR,<COLOR FF0000>#Rejected#</COLOR> LeaderNameCredit_Title_MR,<COLOR FF0000>#Rejected#</COLOR> LeaderNameCredit_Title_MR,<COLOR FF0000>#Rejected#</COLOR> LeaderNameCredit_Title_MR,<COLOR FF0000>#Rejected#</COLOR> LeaderNameCredit_Title_MR,<COLOR FF0000>#Rejected#</COLOR> LeaderNameCredit_Title_MR,<COLOR FF0000>#Rejected#</COLOR> LeaderNameCredit_Title_MR,<COLOR FF0000>#Rejected#</COLOR> LeaderNameCredit_Title_MR,<COLOR FF0000>#Rejected#</COLOR> LeaderNameCredit_Title_MR,<COLOR FF0000>#Rejected#</COLOR> LeaderNameCredit_Title_MR,<COLOR FF0000>#Rejected#</COLOR> LeaderNameCredit_Title_MR,<COLOR FF0000>#Rejected#</COLOR> LeaderNameCredit_Title_MR,<COLOR FF0000>#Rejected#</COLOR> LeaderNameCredit_Title_MR,<COLOR FF0000>#Rejected#</COLOR> LeaderNameCredit_Title_MR,<COLOR FF0000>#Rejected#</COLOR> LeaderNameCredit_Title_MR,<COLOR FF0000>#Rejected#</COLOR> LeaderNameCredit_Title_MR,<COLOR FF0000>#Rejected#</COLOR> LeaderNameCredit_Title_MR,<COLOR FF0000>#Rejected#</COLOR> LeaderNameCredit_Title_MR,<COLOR FF0000>#Rejected#</COLOR> LeaderNameCredit_Title_MR,<COLOR FF0000>#Rejected#</COLOR> LeaderNameCredit_Title_MR,<COLOR FF0000>#Rejected#</COLOR> LeaderNameCredit_Title_MR,<COLOR FF0000>#Rejected#</COLOR> LeaderNameCredit_Title_MR,<COLOR FF0000>#Rejected#</COLOR> LeaderNameCredit_Title_MR,<COLOR FF0000>#Rejected#</COLOR> LeaderNameCredit_Title_MR,<COLOR FF0000>#Rejected#</COLOR> LeaderNameCredit_Title_MR,<COLOR FF0000>#Rejected#</COLOR> LeaderNameCredit_Title_MR,<COLOR FF0000>#Rejected#</COLOR> LeaderNameCredit_Title_MR,<COLOR FF0000>#Rejected#</COLOR> LeaderNameCredit_Title_MR,<COLOR FF0000>#Rejected#</COLOR> LeaderNameCredit_Title_MR,<COLOR FF0000>#Rejected#</COLOR> LeaderNameCredit_Title_MR,<COLOR FF0000>#Rejected#</COLOR> LeaderNameCredit_Title_MR
49b686ef-9109-4237-9fe1-4aeca3a4739f,3204421559,SectionPost_01_MR,Lead Game Designer,Lead Game Designer,Lead Game Designer,Lead Game Designer,Lead Game Designer,Lead Game Designer,Lead Game Designer,Lead Game Designer,,,Lead Game Designer,Lead Game Designer,Lead Game Designer,Lead Game Designer,,,,,,,,Lead Game Designer,,,,,,,,,,,
c8335136-5c43-4794-ba26-6691d166c960,4150402662,LeaderNameCredit_01_MR,Dai Muraoka,Dai Muraoka,Dai Muraoka,Dai Muraoka,Dai Muraoka,Dai Muraoka,Dai Muraoka,Dai Muraoka,,,Dai Muraoka,Dai Muraoka,Dai Muraoka,Dai Muraoka,,,,,,,,Dai Muraoka,,,,,,,,,,,
59658dc7-3265-42b3-8c11-a86a15cd211d,3131672294,SectionPost_02_MR,Assistant Lead Game Designer,Assistant Lead Game Designer,Assistant Lead Game Designer,Assistant Lead Game Designer,Assistant Lead Game Designer,Assistant Lead Game Designer,Assistant Lead Game Designer,Assistant Lead Game Designer,,,Assistant Lead Game Designer,Assistant Lead Game Designer,Assistant Lead Game Designer,Assistant Lead Game Designer,,,,,,,,Assistant Lead Game Designer,,,,,,,,,,,
8cb5a52d-eb25-4c06-8040-a9908ed486f8,2881885545,LeaderNameCredit_02_MR,Nobuaki Onishi,Nobuaki Onishi,Nobuaki Onishi,Nobuaki Onishi,Nobuaki Onishi,Nobuaki Onishi,Nobuaki Onishi,Nobuaki Onishi,,,Nobuaki Onishi,Nobuaki Onishi,Nobuaki Onishi,Nobuaki Onishi,,,,,,,,Nobuaki Onishi,,,,,,,,,,,
a99b6afd-1a09-41cd-986f-634410b83d16,2802651470,SectionPost_03_MR,Lead Programmer,Lead Programmer,Lead Programmer,Lead Programmer,Lead Programmer,Lead Programmer,Lead Programmer,Lead Programmer,,,Lead Programmer,Lead Programmer,Lead Programmer,Lead Programmer,,,,,,,,Lead Programmer,,,,,,,,,,,
bd40958b-b2b9-423a-9a1a-fa18982d2f58,4121441777,LeaderNameCredit_03_MR,Yasumasa Matsumori,Yasumasa Matsumori,Yasumasa Matsumori,Yasumasa Matsumori,Yasumasa Matsumori,Yasumasa Matsumori,Yasumasa Matsumori,Yasumasa Matsumori,,,Yasumasa Matsumori,Yasumasa Matsumori,Yasumasa Matsumori,Yasumasa Matsumori,,,,,,,,Yasumasa Matsumori,,,,,,,,,,,
83eb23b3-6847-4d18-a269-e6aed179baec,2214881245,SectionPost_04_MR,Assistant Lead Programmer,Assistant Lead Programmer,Assistant Lead Programmer,Assistant Lead Programmer,Assistant Lead Programmer,Assistant Lead Programmer,Assistant Lead Programmer,Assistant Lead Programmer,,,Assistant Lead Programmer,Assistant Lead Programmer,Assistant Lead Programmer,Assistant Lead Programmer,,,,,,,,Assistant Lead Programmer,,,,,,,,,,,
f6b09793-1e53-4db0-9263-8c910231f3a8,4210457365,LeaderNameCredit_04_MR,Kenta Egami,Kenta Egami,Kenta Egami,Kenta Egami,Kenta Egami,Kenta Egami,Kenta Egami,Kenta Egami,,,Kenta Egami,Kenta Egami,Kenta Egami,Kenta Egami,,,,,,,,Kenta Egami,,,,,,,,,,,
f4636133-c986-43e0-8076-9167f162ffec,3630021652,SectionPost_05_MR,Lead Character Modelers,Lead Character Modelers,Lead Character Modelers,Lead Character Modelers,Lead Character Modelers,Lead Character Modelers,Lead Character Modelers,Lead Character Modelers,,,Lead Character Modelers,Lead Character Modelers,Lead Character Modelers,Lead Character Modelers,,,,,,,,Lead Character Modelers,,,,,,,,,,,
59f706ea-1d8d-4871-982b-63ab35ce4c4d,182563648,LeaderNameCredit_05_MR,Ryusei Noro,Ryusei Noro,Ryusei Noro,Ryusei Noro,Ryusei Noro,Ryusei Noro,Ryusei Noro,Ryusei Noro,,,Ryusei Noro,Ryusei Noro,Ryusei Noro,Ryusei Noro,,,,,,,,Ryusei Noro,,,,,,,,,,,
