guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
36232b94-99d4-41ca-803a-1a441262b0bd,2868216111,W_LightBowgun_000_Explain,"大型フレームを採用した、
初心者向けライトボウガン。
シンプルかつ必要十分な性能。","A bowgun with a large frame
perfect for novices. Simple,
yet a full-featured weapon.","Fusarbalète large,
parfait pour les débutants.
Simple et complet.","Balestra dal telaio espanso,
adatta ai principianti.
Essenziale ma completa.","Großes Bogengewehr für An-
fänger. Eine einfache, aber
voll ausgestattete Waffe.","Ballesta de forma ancha
ideal para principiantes.
Simple pero completa.","Лукорудие с большой рамой.
Идеально для новичков.
Простое и действенное.","Łukodziałko o dużym
korpusie, idealne dla
początkujących. Mordercze.",,,"Fuzilarco com corpo grande,
perfeito para novatos.
Simples, mas completo.","대형 프레임을 채용한
초보자용 라이트보우건.
단순하지만 성능은 훌륭하다.","採用大型骨架設計，是一把適合
初學者的輕弩槍。設計簡約，
同時也具備應有的性能。","采用了大型骨架，
适合初学者的轻弩炮。
设计简约且具备十足的性能。",,,,,,,,"بندقية قوس ذات إطار كبير
مثالية للمبتدئين. فهي بسيطة
وتعد سلاحًا كامل المواصفات.",,,,,,,,,,,
6b0ae3e0-804a-4ee6-998c-1c0005175492,630261286,W_LightBowgun_001_Explain,"大型フレームを採用した、
初心者向けライトボウガン。
シンプルかつ必要十分な性能。","A bowgun with a large frame
perfect for novices. Simple,
yet a full-featured weapon.","Fusarbalète large,
parfait pour les débutants.
Simple et complet.","Balestra dal telaio espanso,
adatta ai principianti.
Essenziale ma completa.","Großes Bogengewehr für An-
fänger. Eine einfache, aber
voll ausgestattete Waffe.","Ballesta de forma ancha
ideal para principiantes.
Simple pero completa.","Лукорудие с большой рамой.
Идеально для новичков.
Простое и действенное.","Łukodziałko o dużym
korpusie, idealne dla
początkujących. Mordercze.",,,"Fuzilarco com corpo grande,
perfeito para novatos.
Simples, mas completo.","대형 프레임을 채용한
초보자용 라이트보우건.
단순하지만 성능은 훌륭하다.","採用大型骨架設計，是一把適合
初學者的輕弩槍。設計簡約，
同時也具備應有的性能。","采用了大型骨架，
适合初学者的轻弩炮。
设计简约且具备十足的性能。",,,,,,,,"بندقية قوس ذات إطار كبير
مثالية للمبتدئين. فهي بسيطة
وتعد سلاحًا كامل المواصفات.",,,,,,,,,,,
bd985abf-3569-4123-a8a8-67b7c4b431fc,1977627326,W_LightBowgun_002_Explain,"ハンターライフルの強化版。
火力が大幅に向上、熟練者の
使用にも耐える一品となった。","An enhanced Hunter's Rifle.
Hunters benefit from
its much improved damage.","Cause des dégâts
bien plus importants.
Base : Fusil du chasseur","Potenziamento del fucile
cacciatore. La sua maggiore
potenza infonde sicurezza.","Verbesserte Jägerbüchse.
Jäger verlassen sich auf den
deutlich höheren Schaden.","Rifle de cazador mejorado.
Los cazadores apreciarán el
daño mejorado.","Улучшенное Ружье охотника.
Ценится за значительно
больший урон.","Ulepszony karabin łowcy.
Ceniony za jeszcze wyższą
morderczość niż pierwowzór.",,,"Rifle do Caçador melhorado.
Caçadores se beneficiam do
seu dano muito maior.","헌터라이플의 강화판. 화력이
대폭 향상되어 숙련자도
사용할 만한 명품이 되었다.","獵人步槍的強化版本。
火力獲得大幅提升，
對老手而言也很堪用。","猎枪的强化版。
火力大幅提升，
经得住老手使用的良品。",,,,,,,,"بندقية قنص محسّنة. يستفيد
الصيادون من ضررها
المحسّن بشكل كبير.",,,,,,,,,,,
158f5ada-bb6e-40fc-b352-08be978a1e1b,1783003810,W_LightBowgun_003_Explain,"大物狙いの猟師が好んで使う
鉄製の銃。派手さは皆無だが、
まさに質実剛健といった風情。","A steel bowgun favored
by hunters. It's not pretty,
but it gets the job done.","Fusarbalète en acier prisé
des chasseurs. Pas très
élégant, mais efficace.","Balestra di acciaio amata
dai cacciatori. Piuttosto
brutta ma comunque efficace.","Eine von Jägern bevorzugte
Stahlflinte. Nicht schön,
aber erfüllt ihren Zweck.","Ballesta de acero favorecida
por los cazadores. No es
linda, pero hace su trabajo.","Стальное лукорудие, любимое
охотниками. Некрасивое,
но работает на ура.","Stalowe łukodziałko lubiane
przez łowców. Nie grzeszy
urodą, ale jest skuteczne.",,,"Fuzilarco de aço preferido
dos caçadores. Não é bonito,
mas dá conta do recado.","큰 몬스터를 노리는 사냥꾼이
사용하는 철제 총. 화려하진
않지만 튼튼한 이미지.","鍾情大型獵物的獵師相當
喜愛的鐵製槍。雖然外觀樸素，
卻確實展現出樸實剛健的風情。","追寻大型猎物的猎师爱用的
铁制枪。不带多余装饰，
却有一股朴实无华的气质。",,,,,,,,"بندقية قوس فولاذية يفضلها
الصيادون. لا تتميز بحسن
المنظر، ولكنها ستفي بالغرض.",,,,,,,,,,,
417c75c5-bf2e-4e48-a605-2227c5e331d4,2479790394,W_LightBowgun_004_Explain,"大物狙いの猟師が好んで使う
鉄製の銃。派手さは皆無だが、
まさに質実剛健といった風情。","A steel bowgun favored
by hunters. It's not pretty,
but it gets the job done.","Fusarbalète en acier prisé
des chasseurs. Pas très
élégant, mais efficace.","Balestra di acciaio amata
dai cacciatori. Piuttosto
brutta ma comunque efficace.","Eine von Jägern bevorzugte
Stahlflinte. Nicht schön,
aber erfüllt ihren Zweck.","Ballesta de acero favorecida
por los cazadores. No es
linda, pero hace su trabajo.","Стальное лукорудие, любимое
охотниками. Некрасивое,
но работает на ура.","Stalowe łukodziałko lubiane
przez łowców. Nie grzeszy
urodą, ale jest skuteczne.",,,"Fuzilarco de aço preferido
dos caçadores. Não é bonito,
mas dá conta do recado.","큰 몬스터를 노리는 사냥꾼이
사용하는 철제 총. 화려하진
않지만 튼튼한 이미지.","鍾情大型獵物的獵師相當
喜愛的鐵製槍。雖然外觀樸素，
卻確實展現出樸實剛健的風情。","追寻大型猎物的猎师爱用的
铁制枪。不带多余装饰，
却有一股朴实无华的气质。",,,,,,,,"بندقية قوس فولاذية يفضلها
الصيادون. لا تتميز بحسن
المنظر، ولكنها ستفي بالغرض.",,,,,,,,,,,
a8a87eb1-c992-4390-85e3-158889ae516c,2382409151,W_LightBowgun_005_Explain,"特殊な熱処理を加え、ますます
強度を増したイェーガン。
手練れの猟師にも愛される銃。","An enhanced, heat-treated
Jaeger. This bowgun is
adored by master hunters.","Traité à la chaleur.
Un trésor pour les vétérans.
Base : Jaeger","Forma potenziata del Jaeger.
Balestra molto apprezzata
dai cacciatori più esperti.","Eine verbesserte, wärme-
behandelte Jaeger. Von
Meisterjägern bewundert.","Los maestros de la caza
adoran este Cazador mejorado
con tratado térmico.","Улучшенный закаленный
Джагер. В почете
у мастеровитых охотников.","Ulepszona, hartowana ogniem
wersja Jaegera. Popularna
wśród najlepszych łowców.",,,"Jaeger melhorado, tratado
com calor. Este fuzilarco é
adorado por caçadores.","특수한 열처리를 통해 강도를
더욱 높인 예건. 숙련된
사냥꾼도 애용하는 총.","經過特殊的熱處理後，
強度漸漸增強的獵手之槍。
熟練的獵師也十分愛用。","经过特殊的热处理，
拥有更高强度的猎师铳。
一把熟练猎师也喜爱的武器。",,,,,,,,"جايجر محسّنة، ومعالجة
بالحرارة. يحب بندقية القوس
هذه صائدو الوحوش المتمرسون.",,,,,,,,,,,
b4aa7814-56e7-4245-ac4c-ab1a0af2552c,3431028386,W_LightBowgun_006_Explain,"これぞ骨製ボウガンの源流。
小型モンスターへの対応に
優れた、入門用に適した一丁。","The original bone bowgun.
A good weapon for novices.
Useful for smaller monsters.","Modèle original en os,
réservé aux novices et à la
chasse aux petits monstres.","Balestra ossea efficace
contro i mostri piccoli e
adatta ai principianti.","Klassisches knochenbasiertes
Bogengewehr. Ideal für Novi-
zen & gegen kleine Monster.","Ballesta de hueso original.
Buena arma para novatos y
contra monstruos pequeños.","Базовое костяное лукорудие.
Подходит новичкам. Пригодно
к охоте на мелких монстров.","Oryginalne łukodziałko
z kości. Dla początkujących,
dobre na mniejsze potwory.",,,"Fuzilarco de ossos original.
Boa arma para novatos. Útil
contra monstros pequenos.","뼈 보우건의 원조.
소형 몬스터를 잡는 데
뛰어난 입문자용 무기.","這就是骨製輕弩槍的起源。
適合對付小型魔物，是適合
入門者使用的一款武器。","这就是骨制弩炮的起源。
适合对付小型怪物，
适合入门使用的一款武器。",,,,,,,,"بندقية قوس عظمية أصلية.
هي سلاح جيد للمبتدئين،
وفعّالة مع الوحوش الأصغر.",,,,,,,,,,,
8c7008ce-c483-4e3a-a394-3fdafa89e7ff,1912495924,W_LightBowgun_007_Explain,"これぞ骨製ボウガンの源流。
小型モンスターへの対応に
優れた、入門用に適した一丁。","The original bone bowgun.
A good weapon for novices.
Useful for smaller monsters.","Modèle original en os,
réservé aux novices et à la
chasse aux petits monstres.","Balestra ossea efficace
contro i mostri piccoli e
adatta ai principianti.","Klassisches knochenbasiertes
Bogengewehr. Ideal für Novi-
zen & gegen kleine Monster.","Ballesta de hueso original.
Buena arma para novatos y
contra monstruos pequeños.","Базовое костяное лукорудие.
Подходит новичкам. Пригодно
к охоте на мелких монстров.","Oryginalne łukodziałko
z kości. Dla początkujących,
dobre na mniejsze potwory.",,,"Fuzilarco de ossos original.
Boa arma para novatos. Útil
contra monstros pequenos.","뼈 보우건의 원조.
소형 몬스터를 잡는 데
뛰어난 입문자용 무기.","這就是骨製輕弩槍的起源。
適合對付小型魔物，是適合
入門者使用的一款武器。","这就是骨制弩炮的起源。
适合对付小型怪物，
适合入门使用的一款武器。",,,,,,,,"بندقية قوس عظمية أصلية.
هي سلاح جيد للمبتدئين،
وفعّالة مع الوحوش الأصغر.",,,,,,,,,,,
67cb9318-8f62-44b0-992e-f508396e55c4,3454354045,W_LightBowgun_008_Explain,"ベーシックなライトボウガンの
強化改良型。素材と機構を
一から見直し、性能を高めた。","An enhanced Cross Bowgun.
Everything about it has been
revised and improved.","Ses performances ont été
accrues à tous les niveaux.
Base : Fusarbalète croix","Balestra incrociata
potenziata. Aggiornata in
ogni suo componente.","Verbessertes Kreuz-Bogen-
gewehr. Es wurde komplett
überarbeitet und verfeinert.","Ballesta cruzada mejorada.
Totalmente revisada para
mejorar su rendimiento.","Улучшенное Крестовое
лукорудие. Каждая деталь
усовершенствована.","Wyższa wersja łukodziałka
krzyżowego. Ulepszona
pod każdym względem.",,,"Fuzilarco Cruzado melhorado.
Tudo nele foi revisado
e melhorado.","기초에 충실한 라이트보우건의
강화 개량형. 소재와 구조를
손보면서 성능을 높였다.","基本款輕弩槍的強化改良型態。
從頭審視素材與構造，
並將性能加以提升。","基础型轻弩炮的强化改良型。
从素材到设计都重新挑选，
提高了性能。",,,,,,,,"بندقية القوس المستعرض
المحسّنة، تمت مراجعة كل
ما يخصها وتحسينه.",,,,,,,,,,,
3f50b1eb-4bc4-4360-b01f-425ae9b8e751,1606469432,W_LightBowgun_009_Explain,"龍の魂をその内に秘めている
という軽弩。狩人の本能を
呼び覚まし、力を引き出す。","A light bowgun containing
the soul of a dragon. It can
awaken a hunter's powers.","Fusarbalète léger renfermant
l'âme d'un dragon ; éveille
les pouvoirs des chasseurs.","Balestra leggera. Racchiude
un'anima di drago. Risveglia
i poteri del cacciatore.","Leichtes Bogengewehr, birgt
die Seele eines Drachen.
Weckt schlummernde Talente.","Contiene el alma de un
dragón. Despierta el poder
latente del cazador.","Легкое лукорудие, содержащее
душу дракона. Способно
пробуждать охотничьи силы.","Lekkie łukodziałko z duszą
smoka. Potrafi obudzić
ukryte moce łowcy.",,,"Fuzilarco leve contendo a
alma de um dragão. Pode
avivar poderes do caçador.","용의 혼을 담았다는
라이트보우건. 헌터의 본능을
일깨우며 힘을 이끌어낸다.","將龍之魂灌注在內的輕弩。
能夠喚起獵人的本能，
發揮出更強的力量。","据说其内藏有龙之魂的轻弩。
可唤起猎人的本能，
发挥出更强的力量。",,,,,,,,"بندقية قوس خفيفة
تسكنها روح التنين. يمكنها
إيقاظ قوى الصياد.",,,,,,,,,,,
