guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
c9ef71ff-a384-4906-a49d-311d8403b978,492229459,W_LightBowgun_300_Explain,"里が生み出す良質な鋼鉄と、
精密な技術が生み出した逸品。
圧倒的な火力で獲物を屠る。","Made of fine Kamura steel,
it slaughters enemies with
its impressive firepower.","Arme en bel acier de Kamura.
Sa puissance dévastatrice ne
fait pas de quartier.","In buon acciaio di Kamura,
annienta i nemici grazie
all'enorme potenza di fuoco.","Aus feinem Kamura-Stahl.
Schlachtet Feinde mit ihrer
beeindruckenden Feuerkraft.","De buen acero de Kamura.
Masacra enemigos con su
enorme potencia de fuego.","Изготовлено из отменной
камурской стали. Сокрушает
врагов огненной мощью.","Znakomita kamurska stal
i potężna siła ognia, która
kładzie wrogów pokotem.",,,"Feito com fino aço Kamura,
chacina inimigos com seu
poder de fogo incrível.","마을에서 만든 양질의 강철과
정교한 기술이 만들어낸 명품.
압도적인 화력을 자랑한다.","以村裡產出的優質鋼鐵
與精密技術製成的逸品。
能以壓倒性的火力獵殺獵物。","以村里生产的优质钢铁与
精密的技术制造出的杰作。
用压倒性的火力歼灭猎物。",,,,,,,,"مصنوع من فولاذ
كامورا، ويقتل الأعداء
بقوته النارية الهائلة.",,,,,,,,,,,
be2a777d-89b4-4d3b-b845-2d3162c7d7f9,357888340,W_LightBowgun_301_Explain,"里が生み出す良質な鋼鉄と、
精密な技術が生み出した逸品。
圧倒的な火力で獲物を屠る。","Made of fine Kamura steel,
it slaughters enemies with
its impressive firepower.","Arme en bel acier de Kamura.
Sa puissance dévastatrice ne
fait pas de quartier.","In buon acciaio di Kamura,
annienta i nemici grazie
all'enorme potenza di fuoco.","Aus feinem Kamura-Stahl.
Schlachtet Feinde mit ihrer
beeindruckenden Feuerkraft.","De buen acero de Kamura.
Masacra enemigos con su
enorme potencia de fuego.","Изготовлено из отменной
камурской стали. Сокрушает
врагов огненной мощью.","Znakomita kamurska stal
i potężna siła ognia, która
kładzie wrogów pokotem.",,,"Feito com fino aço Kamura,
chacina inimigos com seu
poder de fogo incrível.","마을에서 만든 양질의 강철과
정교한 기술이 만들어낸 명품.
압도적인 화력을 자랑한다.","以村裡產出的優質鋼鐵
與精密技術製成的逸品。
能以壓倒性的火力獵殺獵物。","以村里生产的优质钢铁与
精密的技术制造出的杰作。
用压倒性的火力歼灭猎物。",,,,,,,,"مصنوع من فولاذ
كامورا، ويقتل الأعداء
بقوته النارية الهائلة.",,,,,,,,,,,
185f235d-f5b2-4f82-8349-17ab97fde11a,768816098,W_LightBowgun_302_Explain,"里の英雄の好みや癖を踏まえて
調整し尽くされた逸品。火力も
極まり、獲物を瞬時に屠る。","A superb specimen, tailored
to a village hero's foibles,
and fiendishly powerful.","Spécimen d'exception, répondant
aux manies d'un héros et
diaboliquement puissant.","Splendido esemplare creato
per l'eroe del villaggio e
diabolicamente potente.","Ein prächtiges Exemplar für
den Helden eines Dorfs,
teuflisch mächtig.","Soberbio espécimen apto para
héroes de cierta aldea. Tiene
un poder diabólico.","Великолепный, чертовски мощ-
ный экземпляр, компенсирую-
щий слабости героя деревни.","Wspaniały i potężny okaz,
dostosowany do cech
bohatera wioski.",,,"Espécime soberbo, talhado
para as fraquezas de um he-
rói, diabolicamente potente.","영웅의 취향과 습관을 고려해
만든 명품. 화력도 뛰어나
사냥감을 순식간에 처치한다.","按照村莊英雄的喜好及習慣徹底
調整後的逸品。火力已提升至
巔峰，能在瞬間屠殺獵物。","根据村庄英雄的喜好和习惯进行
充分调整后的杰作。火力提升至
极限，可瞬间杀死猎物。",,,,,,,,"فصيلة رائعة، مصممة للتعامل مع
نقاط ضعف بطل القرية،
وقوية قوة شريرة.",,,,,,,,,,,
cdc98d6a-edc5-47bc-bb67-fd71f87a5f45,4248892889,W_LightBowgun_303_Explain,"細部にまで美装が施された
爵銀龍の軽銃。銀の銃弾は
悪鬼を撃ち抜く。","This beautifully decorated
bowgun fires silver bullets in
order to vanquish evil spirits.","Arme joliment décorée qui tire
des munitions en argent pour
vaincre les esprits maléfiques.","Balestra finemente decorata.
Spara proiettili d'argento
contro spiriti maligni.","Dieses wunderschön verzierte
Bogengewehr vernichtet böse
Geister mit Silberkugeln.","Los proyectiles plateados de
esta bonita ballesta alejan
a los malos espíritus.","Это украшенное лукорудие
изгоняет злых духов
серебряными пулями.","Pięknie zdobione łukodziałko
strzela srebrnymi pociskami,
niszcząc złe duchy.",,,"Fuzilarco belamente decorado
que dispara balas de prata
para derrotar o mal.","세밀하고 아름답게 장식된
은작룡의 경총. 은 탄환은
악귀를 꿰뚫는다.","爵銀龍的輕弩。
連細節都有著美麗的裝飾，
銀色的子彈將貫穿惡鬼。","细枝末节都装饰得极为精美
的爵银龙轻弩。银色的弹药
将射穿恶鬼。",,,,,,,,"تطلق بندقية القوس المزينة بشكل
جميل تلك الرصاصات
الفضية لهزيمة الأرواح الشريرة.",,,,,,,,,,,
43e980c1-e75c-409c-99c9-94134865fa23,2803334390,W_LightBowgun_304_Explain,"血晶となった弾丸が獲物に
襲いかかり、その一発一発が
致命的な損傷を与える。","A single shot from this weapon
is capable of inflicting a fatal
wound on its prey.","Un seul tir de cette arme
peut infliger une blessure
fatale à sa proie.","Un solo colpo di quest'arma
infligge una ferita fatale
alla sua preda.","Ein einziger Schuss dieser
Waffe kann dem Opfer eine
tödliche Wunde beibringen.","Un solo disparo de esta arma
puede herir de muerte a sus
víctimas.","Это оружие одним выстрелом
наносит жертве смертельную
рану.","Jeden strzał z tej broni
może zadać każdemu
śmiertelną ranę.",,,"Basta um tiro desta arma
para ferir mortalmente
a presa.","피의 결정이 된 탄환이
사냥감을 덮치고
치명적인 손상을 입힌다.","化為血晶的子彈向獵物襲去，
每一發彈丸都能對獵物
造成致命的傷害。","化为血晶的弹丸袭向猎物，
每一发弹药都能够对猎物
造成致命伤害。",,,,,,,,"طلقة واحدة من هذا
السلاح قادرة على إلحاق
جرح قاتل بفريستها.",,,,,,,,,,,
b8b88d23-b2fd-4151-987c-1543822ad2ce,1482106205,W_LightBowgun_305_Explain,"幾多の魂を吸って、暗澹な忌を
纏い昇華した夜行弩。その眼と
耳からは、何者も逃れられぬ。","A bowgun as dark as the night.
The souls it has consumed are
filled with intense darkness.","Fusarbalète sombre comme la nuit.
Les âmes consumées sont
emplies de ténèbres.","Balestra nera come la notte.
Le anime divorate sono
colme di oscurità intensa.","Pechschwarzes Bogengewehr.
Die von ihm verschlungenen
Seelen sind voller Dunkelheit.","Tan oscura como la noche.
Las ánimas que ha consumido
están repletas de tinieblas.","Темное, как ночь, лукорудие.
Поглощенные им души напол-
няются непроницаемой тьмой.","Łukodziałko ciemne jak noc.
Pochłonięte nim dusze
napełnia ciemność.",,,"Fuzilarco sombrio como a
noite. As almas que consumiu
se enchem de treva intensa.","무수히 많은 혼을 흡수해
잔인한 금기로 승화한 야행노.
눈과 귀로부터 도망칠 수 없다.","吸收無數魂魄，身纏陰暗邪穢
而昇華的黑夜之弩。
沒有獵物能避其耳目。","吸收大量灵魂，萦绕着阴暗
禁忌的升华版夜行弩。其耳
其眼可捕捉万物。",,,,,,,,"بندقية قوس مظلمة كالليل.
الأرواح التي حصدتها
مليئة بالظلام الموحش.",,,,,,,,,,,
4d12c672-ad9c-4b74-be19-4ceb138e4e21,1058693560,W_LightBowgun_306_Explain,"幾多の魂を吸って、暗澹な忌を
纏い昇華した夜行弩。その眼と
耳からは、何者も逃れられぬ。","A bowgun as dark as the night.
The souls it has consumed are
filled with intense darkness.","Fusarbalète sombre comme la nuit.
Les âmes consumées sont
emplies de ténèbres.","Balestra nera come la notte.
Le anime divorate sono
colme di oscurità intensa.","Pechschwarzes Bogengewehr.
Die von ihm verschlungenen
Seelen sind voller Dunkelheit.","Tan oscura como la noche.
Las ánimas que ha consumido
están repletas de tinieblas.","Темное, как ночь, лукорудие.
Поглощенные им души напол-
няются непроницаемой тьмой.","Łukodziałko ciemne jak noc.
Pochłonięte nim dusze
napełnia ciemność.",,,"Fuzilarco sombrio como a
noite. As almas que consumiu
se enchem de treva intensa.","무수히 많은 혼을 흡수해
잔인한 금기로 승화한 야행노.
눈과 귀로부터 도망칠 수 없다.","吸收無數魂魄，身纏陰暗邪穢
而昇華的黑夜之弩。
沒有獵物能避其耳目。","吸收大量灵魂，萦绕着阴暗
禁忌的升华版夜行弩。其耳
其眼可捕捉万物。",,,,,,,,"بندقية قوس مظلمة كالليل.
الأرواح التي حصدتها
مليئة بالظلام الموحش.",,,,,,,,,,,
a64ddf69-8119-4c22-8c8a-79145d245338,2489834264,W_LightBowgun_307_Explain,"古の凶手が生みだした暗器。
百発百中の弾雨が、獲物の
断末魔をも喰らいつくす。","A weapon of darkness created by
an assassin of the ancient world.
Capable of hundred-fold shots.","Arme ténébreuse créée par
un ancien assassin. Tire
des salves de cent munitions.","Arma oscura creata da un
assassino del mondo antico.
Spara cento colpi per volta.","Eine Waffe der Dunkelheit,
erschaffen von einem Assassinen
aus der uralten Welt.","Creada por un asesino en
tiempos inmemoriales.
Puede arrojar cien disparos.","Темное оружие убийцы из
древности. Его выстрелы
усилены стократ.","Broń ciemności wykuta przez
pradawnego zabójcę. Strzela
setką pocisków.",,,"Arma das trevas criada por
um assassino da antiguidade.
Capaz de tiros cêntuplos.","옛 흉수가 만든 암기.
백발백중의 탄환이 사냥감의
단말마조차 집어삼킨다.","由遠古殺手所創造的暗器。
百發百中的彈雨，會將獵物
連同其臨終的哀號一併吞噬。","古代刺客制作的暗器。面对这
百发百中的弹雨，猎物连感受
死前痛苦的机会都不会有。",,,,,,,,"سلاح الظلام الذي صنعه
قاتل من العالم القديم.
قادر على الإطلاق مئة مرة.",,,,,,,,,,,
8f90d9f7-ffa5-4d56-b456-73db8466a72e,3312962311,W_LightBowgun_308_Explain,"異形の灯、悪鬼を招く。愛し
合う二人の前に現れては運命を
引き裂き命を奪い、魂を貪る。","Strange forms loom near,
and thread of more than
just love severed this night.","Des formes étranges rôdent,
et plus que le fil d'un amour
s'est rompu cette nuit.","Strane forme si avvicinano
nella notte, spezzando
legami più forti dell'amore.","Seltsame Formen lauern in
der Nähe und nicht nur die
Liebe findet heute ein Ende.","Por la noche se dibujan unas
extrañas formas que amenazan
con tumbar algo más que el amor.","Здесь что-то не так. Этой
ночью прервалась не только
любовь.","Dziwne kształty czają się w
okolicy, a w powietrzu wisi
coś więcej niż zabita miłość.",,,"Formas estranhas espreitam,
e uma trama de mais do que
amor foi cortada esta noite.","이형의 등불이 악귀를 부른다.
연인 앞에 나타나 운명을 찢어
목숨을 빼앗고 영혼을 탐한다.","異形之燈將招來惡鬼。在相愛的
兩人面前現身後，它將撕裂命運
並奪取生命、吞噬靈魂。","诡异灯火，招来恶鬼。现身在
相爱的两人面前，撕裂了命运，
夺去了生命，贪食着灵魂。",,,,,,,,"أشكال غريبة تلوح في
الأفق، انتهت أكثر من
قصة حب هذه الليلة.",,,,,,,,,,,
786096a2-bbc7-4215-b8a4-985faf9b87c5,1360165720,W_LightBowgun_309_Explain,"異形の灯、悪鬼を招く。愛し
合う二人の前に現れては運命を
引き裂き命を奪い、魂を貪る。","Strange forms loom near,
and thread of more than
just love severed this night.","Des formes étranges rôdent,
et plus que le fil d'un amour
s'est rompu cette nuit.","Strane forme si avvicinano
nella notte, spezzando
legami più forti dell'amore.","Seltsame Formen lauern in
der Nähe und nicht nur die
Liebe findet heute ein Ende.","Por la noche se dibujan unas
extrañas formas que amenazan
con tumbar algo más que el amor.","Здесь что-то не так. Этой
ночью прервалась не только
любовь.","Dziwne kształty czają się w
okolicy, a w powietrzu wisi
coś więcej niż zabita miłość.",,,"Formas estranhas espreitam,
e uma trama de mais do que
amor foi cortada esta noite.","이형의 등불이 악귀를 부른다.
연인 앞에 나타나 운명을 찢어
목숨을 빼앗고 영혼을 탐한다.","異形之燈將招來惡鬼。在相愛的
兩人面前現身後，它將撕裂命運
並奪取生命、吞噬靈魂。","诡异灯火，招来恶鬼。现身在
相爱的两人面前，撕裂了命运，
夺去了生命，贪食着灵魂。",,,,,,,,"أشكال غريبة تلوح في
الأفق، انتهت أكثر من
قصة حب هذه الليلة.",,,,,,,,,,,
