guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
b6b01c96-b913-4c6f-a8d3-cf3e5c840adb,3505642479,W_LightBowgun_000_Name,ハンターライフルⅠ,Hunter's Rifle I,Fusil du chasseur,Fucile cacciatore I,Jägerbüchse I,Rifle de cazador I,Ружье охотника 1,Karabin łowcy I,,,Rifle do Caçador I,헌터라이플Ⅰ,獵人步槍Ⅰ,猎枪Ⅰ,,,,,,,,بندقية الصياد 1,,,,,,,,,,,
36ecc8ef-6210-4fb1-8b6d-ee415996ce84,2146242206,W_LightBowgun_001_Name,ハンターライフルⅡ,Hunter's Rifle II,Fusil du chasseur II,Fucile cacciatore II,Jägerbüchse II,Rifle de cazador II,Ружье охотника 2,Karabin łowcy II,,,Rifle do Caçador II,헌터라이플Ⅱ,獵人步槍Ⅱ,猎枪Ⅱ,,,,,,,,بندقية الصياد 2,,,,,,,,,,,
385c1a01-e83a-47bb-bf5f-12a89445159a,4225928195,W_LightBowgun_002_Name,スナイプシューター,Sniper Shot,Tir du sniper,Fucile cecchino,Heckenschützen-Kanone,Francotirador,Снайперский выстрел,Strzelba snajperska,,,Tiro-certo,스나이프슈터,狙殺弩槍,狙杀弩枪,,,,,,,,طلقة قناص,,,,,,,,,,,
7bcef3f7-f09d-433e-bfff-87b521777146,2681888342,W_LightBowgun_003_Name,イェーガンⅠ,Jaeger I,Jaeger,Jaeger I,Jaeger I,Cazador I,Джагер 1,Jaeger I,,,Jaeger I,예건Ⅰ,獵手之槍Ⅰ,猎师铳Ⅰ,,,,,,,,جايجر 1,,,,,,,,,,,
63f6ffd5-1046-41ea-afc1-75f423180c50,1946203902,W_LightBowgun_004_Name,イェーガンⅡ,Jaeger II,Jaeger II,Jaeger II,Jaeger II,Cazador II,Джагер 2,Jaeger II,,,Jaeger II,예건Ⅱ,獵手之槍Ⅱ,猎师铳Ⅱ,,,,,,,,جايجر 2,,,,,,,,,,,
2df90353-94c2-40ee-af23-ab793cbb870d,2003035265,W_LightBowgun_005_Name,カリプスイェーガン,Jaeger Prime,Jaeger Prime,Jaeger eccellente,Edel-Jaeger,Cazador máximo,Высший джагер,Jaeger Premium,,,Jaeger Superior,칼립스예건,率性獵手之槍,熟钢猎师铳,,,,,,,,جايجر ممتاز,,,,,,,,,,,
440f492b-fb68-426c-b070-87f8d294aee8,3511904446,W_LightBowgun_006_Name,クロスボウガンⅠ,Cross Bowgun I,Fusarbalète croix,Balestra incrociata I,Kreuz-Bogengewehr I,Ballesta Cruzada I,Крестовое лукорудие 1,Łukodziałko krzyżowe I,,,Fuzilarco Cruzado I,크로스보우건Ⅰ,十字弩槍Ⅰ,十字弩Ⅰ,,,,,,,,بندقية قوس المستعرض 1,,,,,,,,,,,
0c3ca0c5-765c-4976-a36d-7037f0229284,692725225,W_LightBowgun_007_Name,クロスボウガンⅡ,Cross Bowgun II,Fusarbalète croix II,Balestra incrociata II,Kreuz-Bogengewehr II,Ballesta Cruzada II,Крестовое лукорудие 2,Łukodz. krzyżowe II,,,Fuzilarco Cruzado II,크로스보우건Ⅱ,十字弩槍Ⅱ,十字弩Ⅱ,,,,,,,,بندقية قوس المستعرض 2,,,,,,,,,,,
9764e487-087d-41b5-9651-ca6e41b35c34,4179282448,W_LightBowgun_008_Name,クロスブリッツ,Cross Blitz,Fusarbalète blitz,Blitz incrociato,Kreuz-Blitz,Saeta Cruzada,Разящий крест,Blitz krzyżowy,,,Bombardeio Cruzado,크로스블리츠,十字迅擊弩,交错火光,,,,,,,,الغارة المزدوجة,,,,,,,,,,,
6c2c1d35-3097-4734-9eeb-cc70a22423c4,831920321,W_LightBowgun_009_Name,ヤクトバレットⅠ,Yakt Shooter I,Tireur Yakt,Tiratore Yakt I,Yakt-Knarre I,Tirador Yakt I,Стрелок Якта 1,Strzeladło Yakt I,,,Atirador Yakt I,야크트불릿Ⅰ,亞庫輕弩Ⅰ,帆船轻弩Ⅰ,,,,,,,,مطلِق ياكت 1,,,,,,,,,,,
d300014a-2f34-4c8d-8972-0c274ea342ca,3246379592,W_LightBowgun_010_Name,ヤクトバレットⅡ,Yakt Shooter II,Tireur Yakt II,Tiratore Yakt II,Yakt-Knarre II,Tirador Yakt II,Стрелок Якта 2,Strzeladło Yakt II,,,Atirador Yakt II,야크트불릿Ⅱ,亞庫輕弩Ⅱ,帆船轻弩Ⅱ,,,,,,,,مطلِق ياكت 2,,,,,,,,,,,
c465c517-0068-4ab0-bbe4-0e2d316b72c6,997227805,W_LightBowgun_011_Name,咬弾チェイサー,Wyvern Chaser,Chasse-Wyverne,Cacciatore wyvern,Wyvern-Jäger,Acosador de wyverns,Истребитель виверн,Ścigacz Wiwern,,,Caça-Serpe,교탄 체이서,咬彈追擊者,咬弹追捕者,,,,,,,,مطارد التنين المجنح,,,,,,,,,,,
fe32b0c1-82bc-4a24-90ad-78c82b1a2bad,4013909369,W_LightBowgun_012_Name,カムラノ鉄軽弩Ⅰ,Kamura L. Bowgun I,Fusarbalète Kamura,B. legg. Kamura I,Kamura-Knarre I,Ball. ligera Kamura I,Л. лукорудие Камуры 1,Lek. łukodz. Kamury I,,,Fuzilarco L. Kamura I,카무라철경노Ⅰ,神火鐵輕弩Ⅰ,炎火铁轻弩Ⅰ,,,,,,,,بندقية قوس كامورا خ 1,,,,,,,,,,,
