guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
7570201e-7c72-49a4-9f9f-96ba750950dc,2454684258,W_LongSword_000_Explain,"東方伝来の加工技術の剣。
丹念に加工された刃は強靭で、
粘りがある。手入れは重要。","A sword forged with historic
Eastern techniques. Durable,
but requires regular upkeep.","Épée de style oriental.
Résistante, mais requiert
un entretien régulier.","Spada lunga orientale.
È resistente, ma richiede
una buona manutenzione.","Robustes Langschwert nach
östlichem Brauch. Erfordert
aber regelmäßige Pflege.","Espada forjada según una
ancestral técnica oriental.
Duradera, si la cuidas.","Меч, выкованный по древним
восточным канонам. Надежен,
но требует много ухода.","Miecz wykuty historyczną
metodą rodem ze Wschodu.
Trwały, ale wymaga dbałości.",,,"Forjada com técnicas
orientais. Resistente, mas
requer manutenção regular.","동방에서 전해진 기술로
만든 검. 정성스레 가공한
칼날은 손질이 중요하다.","以東方傳入之加工技術製成
的劍。精心加工過的刀刃既
強韌又耐用，但須注意保養。","东方传入的加工技术制成的剑。
仔细地加工过的刀刃既强韧，
且耐用。但须注意保养。",,,,,,,,"سيف شُكّل باستخدام
تقنيات شرقية تاريخية. صلب،
ولكنه يتطلب رعاية منتظمة.",,,,,,,,,,,
c56e0e90-2c26-499c-9871-1843dad674be,3259413195,W_LongSword_001_Explain,"東方伝来の加工技術の剣。
丹念に加工された刃は強靭で、
粘りがある。手入れは重要。","A sword forged with historic
Eastern techniques. Durable,
but requires regular upkeep.","Épée de style oriental.
Résistante, mais requiert
un entretien régulier.","Spada lunga orientale.
È resistente, ma richiede
una buona manutenzione.","Robustes Langschwert nach
östlichem Brauch. Erfordert
aber regelmäßige Pflege.","Espada forjada según una
ancestral técnica oriental.
Duradera, si la cuidas.","Меч, выкованный по древним
восточным канонам. Надежен,
но требует много ухода.","Miecz wykuty historyczną
metodą rodem ze Wschodu.
Trwały, ale wymaga dbałości.",,,"Forjada com técnicas
orientais. Resistente, mas
requer manutenção regular.","동방에서 전해진 기술로
만든 검. 정성스레 가공한
칼날은 손질이 중요하다.","以東方傳入之加工技術製成
的劍。精心加工過的刀刃既
強韌又耐用，但須注意保養。","东方传入的加工技术制成的剑。
仔细地加工过的刀刃既强韧，
且耐用。但须注意保养。",,,,,,,,"سيف شُكّل باستخدام
تقنيات شرقية تاريخية. صلب،
ولكنه يتطلب رعاية منتظمة.",,,,,,,,,,,
81c15d16-fe5e-478e-8e10-78c16881cea2,3218141982,W_LongSword_002_Explain,"丹念に強化された鉄刀。
美しく磨かれた刀身からは
職人の拘りが感じられる。","An enhanced Iron Katana.
Delivers a message from
the gods with each swing.","Chaque coup délivre
un message divin.
Base : Katana de fer","Katana di ferro potenziata.
Ogni colpo è un messaggio
degli dei.","Verbessertes Eisen-Katana.
Jeder Schlag ist eine
Botschaft der Götter.","Katana férrea mejorada.
Envía un mensaje de los
dioses con cada golpe.","Улучшенная Железная катана.
Послание богов
в каждом взмахе.","Ulepszona żelazna katana.
Każdy jej cios to wiadomość
prosto od bogów.",,,"Katana de ferro aprimorada.
Passa uma mensagem dos
deuses a cada golpe.","정성스레 강화한 철도.
아름답게 연마된 검신에서
장인의 정성이 느껴진다.","經過精心強化過的鐵刀。
從那打磨得十分美麗的刀身上，
就能感受到工匠的講究。","用心强化过的铁刀。
从那打磨得很美丽的刀身，
可以感受到工匠的执着。",,,,,,,,"سيف كاتانا حديدي مُعزز.
تُوصل كل ضربة متأرجحة
منه رسالة من الأسياد.",,,,,,,,,,,
8e0c7b5d-d572-4704-a380-6dcb89859835,2373461031,W_LongSword_003_Explain,"ふらりと現れた東方風の男が
鍛えた見事な刀。その後、男は
製造法だけを残し姿を消した。","A beautiful blade forged by
an aimless wanderer from the
East who soon disappeared.","Superbe lame forgée par un
voyageur venu d'Orient qui
a ensuite disparu.","Bellissima lama forgiata da
un girovago arrivato da
oriente e presto scomparso.","Schöne Klinge eines seither
verschwundenen ziellosen
Wanderers aus dem Osten.","Una hermosa hoja forjada por
un trotamundos de Oriente
del que nunca más se supo.","Прелестный клинок, сделанный
таинственным странником,
который куда-то исчез.","Piękne ostrze wykute przez
wędrowca ze Wschodu, który
wkrótce potem zniknął.",,,"Lâmina forjada por um
andarilho do Oriente,
que logo desapareceu.","훌쩍 나타난 동방의 남자가
제련한 칼. 그 후 그 남자는
제조법을 남기고 사라졌다.","由一名突然出現的東方男子鍛造
的優秀利刃。那名男子留下鍛造
方式以後，便消失得無影無蹤。","突现的东方男子所锻造的强刀。
其后那名男子只留下锻造方式，
便消失无踪。",,,,,,,,"نصل جميل شكّله
رحالة هائم من الشرق
ما لبث أن اختفى.",,,,,,,,,,,
d43da6be-7846-4b6b-b9f9-38fb82ede752,232933463,W_LongSword_004_Explain,"ふらりと現れた東方風の男が
鍛えた見事な刀。その後、男は
製造法だけを残し姿を消した。","A beautiful blade forged by
an aimless wanderer from the
East who soon disappeared.","Superbe lame forgée par un
voyageur venu d'Orient qui
a ensuite disparu.","Bellissima lama forgiata da
un girovago arrivato da
oriente e presto scomparso.","Schöne Klinge eines seither
verschwundenen ziellosen
Wanderers aus dem Osten.","Una hermosa hoja forjada por
un trotamundos de Oriente
del que nunca más se supo.","Прелестный клинок, сделанный
таинственным странником,
который куда-то исчез.","Piękne ostrze wykute przez
wędrowca ze Wschodu, który
wkrótce potem zniknął.",,,"Lâmina forjada por um
andarilho do Oriente,
que logo desapareceu.","훌쩍 나타난 동방의 남자가
제련한 칼. 그 후 그 남자는
제조법을 남기고 사라졌다.","由一名突然出現的東方男子鍛造
的優秀利刃。那名男子留下鍛造
方式以後，便消失得無影無蹤。","突现的东方男子所锻造的强刀。
其后那名男子只留下锻造方式，
便消失无踪。",,,,,,,,"نصل جميل شكّله
رحالة هائم من الشرق
ما لبث أن اختفى.",,,,,,,,,,,
991a5ec9-fba0-4a77-a1db-33b8e6a84699,884464480,W_LongSword_005_Explain,"改良の過程で鬼の魂が宿った
斬破刀の強化版。その鬼刀は
生き血を求めて今宵も猛る。","An enhanced Eager Cleaver.
Its contagious bloodlust
infects its wielder's soul.","Sa soif de sang est
contagieuse.
Base : Tranchoir avide","Katana sterminatrice
potenziata. La sua sete di
sangue è contagiosa.","Verbessertes Eifriges Hack-
beil. Versetzt den Träger
in ansteckenden Blutrausch.","Cuchillo empalador mejorado.
Su ansia de sangre se
contagia a quien lo esgrime.","Улучшенный Жаждущий тесак.
Его кровожадность постепенно
порабощает душу обладателя.","Ulepszony gorliwy tasak.
Zaraża swojego właściciela
żądzą krwi.",,,"Cutelo Ávido aprimorado.
Sua sede de sangue infecta
a alma do portador.","개량 과정에서 귀신의 혼이
깃든 참파도의 강화판. 오늘
밤도 피를 갈구하며 날뛴다.","在改良過程中被惡鬼之魂寄宿，
斬破刀的強化版本。此鬼刀渴求
鮮血，今夜依舊狂暴凶猛。","在改良过程中被恶鬼之魂寄宿，
斩破刀的强化版。此鬼刀
渴求鲜血，今夜依旧狂暴凶猛。",,,,,,,,"ساطور توّاق مُعزز.
يؤثر تعطشه المُعدي
للدماء على روح حامله.",,,,,,,,,,,
0ba62638-4a1b-417b-be9e-117163dbe6df,3611566118,W_LongSword_006_Explain,"ギルド創成期からの伝統的な
こしらえの太刀。持つ者に、
威厳と風格を与える。","An ancient sword made when
the Guild was founded. Gives
the bearer a majestic air.","Réplique d'une épée conçue
durant la genèse de la
Guilde. Preuve de dignité.","Spada risalente al periodo
della genesi della Gilda.
Solo per chi è degno.","Ein uraltes Langschwert aus
der Gildenfrühzeit. Verleiht
eine Aura der Erhabenheit.","Vieja espada forjada durante
la génesis del gremio.
Confiere un aire digno.","Древний меч, изготовленный
во время основания Гильдии.
Наделяет носителя величием.","Stary miecz z czasów, kiedy
powstała Gildia. Napawa
głębią majestatu.",,,"Espada antiga feita quando
a Guilda foi fundada.
Confere um ar majestoso.","길드 창설 시기부터 사용한
전통적인 태도. 소유자에게
위엄과 품격을 준다.","有著公會草創時期之傳統
裝飾的太刀。會讓佩戴者
散發出威嚴和風範。","有着公会草创时期之
传统装饰的太刀。
予佩戴者以威严和风范。",,,,,,,,"سيف قديم صُنع في الوقت
الذي أُسست فيه النقابة.
يُضفي على حامله هيئة مهيبة.",,,,,,,,,,,
805cd735-df8c-4b7b-9ed4-f9d4413725f0,3678838108,W_LongSword_007_Explain,"ギルド創成期からの伝統的な
こしらえの太刀。持つ者に、
威厳と風格を与える。","An ancient sword made when
the Guild was founded. Gives
the bearer a majestic air.","Réplique d'une épée conçue
durant la genèse de la
Guilde. Preuve de dignité.","Spada risalente al periodo
della genesi della Gilda.
Solo per chi è degno.","Ein uraltes Langschwert aus
der Gildenfrühzeit. Verleiht
eine Aura der Erhabenheit.","Vieja espada forjada durante
la génesis del gremio.
Confiere un aire digno.","Древний меч, изготовленный
во время основания Гильдии.
Наделяет носителя величием.","Stary miecz z czasów, kiedy
powstała Gildia. Napawa
głębią majestatu.",,,"Espada antiga feita quando
a Guilda foi fundada.
Confere um ar majestoso.","길드 창설 시기부터 사용한
전통적인 태도. 소유자에게
위엄과 품격을 준다.","有著公會草創時期之傳統
裝飾的太刀。會讓佩戴者
散發出威嚴和風範。","有着公会草创时期之
传统装饰的太刀。
予佩戴者以威严和风范。",,,,,,,,"سيف قديم صُنع في الوقت
الذي أُسست فيه النقابة.
يُضفي على حامله هيئة مهيبة.",,,,,,,,,,,
6a3d870b-03e1-4f04-8c37-879801fd79d3,1699924470,W_LongSword_008_Explain,"一国の君主に匹敵する威厳と
風格を持ち主に与えるという、
ガーディアンソードの強化形。","The Guardian Sword's final
form. With this, you'll feel
like you can rule the world.","Celui qui la brandit croit
pouvoir conquérir le monde.
Base : Épée gardienne","Forma finale della spada del
guardiano. Chi la brandisce
si sente padrone del mondo.","Mit der finalen Form des
Hüterschwerts in der Hand
liegt dir die Welt zu Füßen.","Forma final de la Espada de
guardián. Con ella sentirás
que puedes dominar el mundo.","Конечная разновидность Меча
стража. С ним вы ощутите
себя владыкой мира.","Najwyższa forma miecza
strażnika. Poczujesz się
jak władca świata.",,,"Forma final da Espada
Guardiã. Com ela, você
se sentirá onipotente.","한 나라의 군주에 필적하는
위엄과 품격을 가진 자에게
준다는 가디언소드의 강화형.","據說能帶給持有者足以匹敵
一國之君的威嚴和風範，
守護者之劍的強化型態。","据说会带给持有者足以
匹敌一国之君的威严和风范，
是守护者之剑的强化形态。",,,,,,,,"الشكل النهائي لسيف الحارس.
تشعر وأنت تمتلكه أنه
بإمكانك حكم العالم.",,,,,,,,,,,
00d1c736-fa14-4206-a482-295582a71a8b,99372598,W_LongSword_009_Explain,"特別な製造法で、凍てつく刃を
得た太刀。溢れ出る冷気で、
その鞘口は常に氷を纏う。","A new process was used
to forge this frozen blade.
Its sheath is coated in ice.","Cette lame gelée est issue
d'une nouvelle technique de
forge. Recouverte de glace.","Spada dalla lama gelida
forgiata in modo innovativo.
Il fodero è di ghiaccio.","Mit neuer Technik gefertigte
gefrorene Klinge. Ihre
Scheide ist von Eis umhüllt.","Gélida espada que sigue un
nuevo proceso de forja. La
vaina se cubre de hielo.","Клинок этого ледяного меча
выкован по новой технологии,
а ножны покрыты льдом.","Zmrożone ostrze tego miecza
wykuto nowoczesną techniką.
Pochwa powlekana lodem.",,,"Sua lâmina congelada usa um
novo processo de forja.
Gelo reveste a bainha.","특별한 제조법으로 얼어붙은
칼날을 얻은 태도. 그 냉기로
칼집엔 항상 서리가 내린다.","以特殊工法成功製造出擁有冰凍
刀刃的太刀。由於會一直釋放
寒氣，所以鞘口常有冰塊附著。","特殊制造形成冰冻刀刃的太刀。
因为不断溢出的寒气，
鞘口总是附着冰块。",,,,,,,,"ابتُكرت عملية جديدة
لتشكيل هذا النصل المجمد.
غمده مُغطى بالثلج.",,,,,,,,,,,
a884adfc-4fff-4626-a4f2-c72d62918f38,2587483059,W_LongSword_010_Explain,"特別な製造法で、凍てつく刃を
得た太刀。溢れ出る冷気で、
その鞘口は常に氷を纏う。","A new process was used
to forge this frozen blade.
Its sheath is coated in ice.","Cette lame gelée est issue
d'une nouvelle technique de
forge. Recouverte de glace.","Spada dalla lama gelida
forgiata in modo innovativo.
Il fodero è di ghiaccio.","Mit neuer Technik gefertigte
gefrorene Klinge. Ihre
Scheide ist von Eis umhüllt.","Gélida espada que sigue un
nuevo proceso de forja. La
vaina se cubre de hielo.","Клинок этого ледяного меча
выкован по новой технологии,
а ножны покрыты льдом.","Zmrożone ostrze tego miecza
wykuto nowoczesną techniką.
Pochwa powlekana lodem.",,,"Sua lâmina congelada usa um
novo processo de forja.
Gelo reveste a bainha.","특별한 제조법으로 얼어붙은
칼날을 얻은 태도. 그 냉기로
칼집엔 항상 서리가 내린다.","以特殊工法成功製造出擁有冰凍
刀刃的太刀。由於會一直釋放
寒氣，所以鞘口常有冰塊附著。","特殊制造形成冰冻刀刃的太刀。
因为不断溢出的寒气，
鞘口总是附着冰块。",,,,,,,,"ابتُكرت عملية جديدة
لتشكيل هذا النصل المجمد.
غمده مُغطى بالثلج.",,,,,,,,,,,
