guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
5d34b887-6efd-4ba8-9fb3-f08864e38071,1248000549,W_LongSword_300_Explain,"これぞまさしく、カムラの里の
技術が結実した名刀。恐るべき
斬れ味は黒影をも斬り裂く。","The result of expert Kamura
smithing technique. So sharp
it can cut shadows in two.","Épée créée par les forgerons
experts de Kamura.
Extrêmement tranchante.","Creata dagli abili fabbri
di Kamura. Così affilata
da fendere anche le ombre.","Das Ergebnis von Kamuras
Schmiedekünsten. So scharf,
dass sie Schatten spaltet.","Fruto de la técnica experta
de Kamura. Tan afilada que
incluso corta sombras.","Настоящий шедевр кузнецов
Камуры. Острейший клинок
рассекает даже тень.","Owoc kunsztu
kamurskiego kowalstwa. Tak
ostry, że tnie cień na pół.",,,"Fruto da técnica de forja
especializada de Kamura.
Capaz até de cortar sombras.","카무라 마을의 기술이 결집된
명도. 놀랄 만큼 예리해서
그림자도 벨 수 있다고.","這便是集結神火村技術的名刀。
其銳利程度令人生畏，
連黑影也能切開。","这正可谓是炎火村的技术结晶
铸就的一把名刀。它令人惊讶的
锋利度足以将黑影一刀两断。",,,,,,,,"ثمرة تقنية كامورا الضليعة في
الحِدادة. حاد جدًّا، وبإمكانه
شطر الظلال إلى نصفين.",,,,,,,,,,,
92451ab0-16c7-4487-ba4c-b45f80f1751a,330417331,W_LongSword_301_Explain,"これぞまさしく、カムラの里の
技術が結実した名刀。恐るべき
斬れ味は黒影をも斬り裂く。","The result of expert Kamura
smithing technique. So sharp
it can cut shadows in two.","Épée créée par les forgerons
experts de Kamura.
Extrêmement tranchante.","Creata dagli abili fabbri
di Kamura. Così affilata
da fendere anche le ombre.","Das Ergebnis von Kamuras
Schmiedekünsten. So scharf,
dass sie Schatten spaltet.","Fruto de la técnica experta
de Kamura. Tan afilada que
incluso corta sombras.","Настоящий шедевр кузнецов
Камуры. Острейший клинок
рассекает даже тень.","Owoc kunsztu
kamurskiego kowalstwa. Tak
ostry, że tnie cień na pół.",,,"Fruto da técnica de forja
especializada de Kamura.
Capaz até de cortar sombras.","카무라 마을의 기술이 결집된
명도. 놀랄 만큼 예리해서
그림자도 벨 수 있다고.","這便是集結神火村技術的名刀。
其銳利程度令人生畏，
連黑影也能切開。","这正可谓是炎火村的技术结晶
铸就的一把名刀。它令人惊讶的
锋利度足以将黑影一刀两断。",,,,,,,,"ثمرة تقنية كامورا الضليعة في
الحِدادة. حاد جدًّا، وبإمكانه
شطر الظلال إلى نصفين.",,,,,,,,,,,
d312822c-b075-418f-9280-10c35b05c6ea,660700145,W_LongSword_302_Explain,"日々、安寧の焔を護り続ける
カムラの英雄の為、幾日もかけ
鍛え上げられた稀代の快刀。","A sublime blade, tempered for
many a month for a village
hero to keep the peace.","Lame sublime, trempée pendant de
longs mois pour un héros du village
afin de maintenir la paix.","Lama sublime, temprata per
molti mesi affinché l'eroe del
villaggio mantenga la pace.","Eine edle Klinge, monatelang
geschmiedet, damit ein Held
des Dorfs den Frieden erhält.","Una hoja sublime, templada
durante meses para que el héroe
de una aldea mantuviera la paz.","Великолепный клинок, много-
кратно закаленный для героя
деревни, хранящего мир.","Wzniosłe ostrze hartowane
przez wiele miesięcy dla
miejscowego bohatera.",,,"Lâmina sublime, trabalhada
por muitos meses para um
herói da aldeia manter a paz.","매일 안녕의 불꽃을 지키는
카무라의 영웅을 위해 수일에
걸쳐 제련한 희대의 쾌도.","為了日復一日守護著安寧之火
的神火英雄，耗費數日時間
細心打造而成的稀世快刀。","耗费时日打造的绝世快刀。
赠予日以继夜守护安宁之焰
的炎火村英雄。",,,,,,,,"نصل راقٍ مُقسى لعدة أشهر
ليستخدمه بطل القرية
في حفظ السلام.",,,,,,,,,,,
ca0b7b02-f8a4-4b16-a4a8-418557cd7ca9,4294774255,W_LongSword_303_Explain,"神も竜もこの刀の前には全て
無価値。王刀ライキリの
強化形態に並び立つ者はなし。","Everything is the same to
the successor to the Usurper
Boltslicer: dead meat.","Ses victimes sont toutes
vouées à l'équarrissage.
Base : Violence royale","Rasoio del tiranno
potenziato. Ai suoi occhi,
tutto è carne morta.","Für die Verbesserung des
Thronräuber-Blitzschlitzers
ist alles nur totes Fleisch.","Para la versión mejorada
del Partevirotes usurpador,
todo es igual: carne muerta.","Улучшенная Ненависть
захватчика. Идеальная
машина для убийства.","Następca majchra
gromu uzurpatora. Ma jeden
cel: z wroga zrobić mięso.",,,"Tudo é igual no sucessor
do Fatiador do Usurpador:
carne morta.","신이든 용이든 이 태도
앞에서는 모두 무가치하다.
왕도 라이키리의 강화형.","神也好，龍也罷，在這把刀面前
全都沒有意義。沒有任何武器
能和王刀雷切的強化型態抗衡。","神抑或龙，于此刀前全无
价值。王刀雷切的强化形
态，无物可与其并驾齐驱。",,,,,,,,"يتساوى كل شيء بالنسبة
لوريث قاطع صاعقة
المحتل: لحم ميت.",,,,,,,,,,,
338ff535-e949-4538-a1e6-e097d8ec90b6,1254710497,W_LongSword_304_Explain,"竜も神をも恐れぬ豪然たる
王の刀。雷の如く道を拓き、
新たな時代を創造せよ。","Nothing can daunt this kingly
blade. A new era dawns as
the thunder rolls.","Rien ne peut intimider cette lame
royale. Une nouvelle ère se lève
alors que le tonnerre gronde.","Nulla spaventa questa lama
reale. Una nuova era albeggia
al rimbombo del tuono.","Nichts kann diese Klinge
einschüchtern. Eine neue Ära
bricht mit Donnergrollen an.","Regia espada que nada teme.
El retumbar del trueno anuncia
el albor de una nueva era.","Этому королевскому клинку
все нипочем. И грянет гром,
и настанет новая эра.","Nic nie może powstrzymać
tego królewskiego ostrza
z dudniącym grzmotem.",,,"Nada intimida esta lâmina
nobre. Uma nova era desponta
quando o trovão ribomba.","용이든 신이든 두려워하지
않는 왕의 칼. 천둥처럼 길을
열어 새로운 시대를 창조하라.","不畏龍亦不懼神，傲視萬物的
王之刀。如雷電般開拓道路，
創造出全新的時代吧。","既不畏巨龙也不畏神祇的
勇猛王者之刀。如雷电般
开辟道路，创造新时代吧。",,,,,,,,"لا شيء يردع هذا النصل الملكي.
سيشرق عصر جديد مع
كل صاعقة رعدية.",,,,,,,,,,,
e69260ef-6587-4389-87db-885cfd3e6b42,2888979330,W_LongSword_305_Explain,"刀身に映る敵全てを打倒する
傘鳥の太刀。朝焼けの空に在る
静かなる月の如く、峻厳。","Crush all foes reflected in
this blade with the solemnity
of the moon in the coming dawn.","Écrasez tous les ennemis reflétés
dans cette lame avec la solennité
de la lune du matin.","Distruggi tutti i nemici
riflessi in questa lama con
la solennità della luna.","Vernichte feierlich alle Feinde,
die sich mit dem Ernst des
Mondes in der Klinge spiegeln.","Los enemigos que se reflejan
en su hoja perecen con la
solemnidad de la luna al alba.","Сокрушите всех, кто
отражается в этом клинке,
с мрачным величием луны.","Zmiażdż wszystkich wrogów
odbijających się na ostrzu
z powagą księżyca o brzasku.",,,"Esmague os inimigos refle-
tidos nesta lâmina com a
solenidade da lua na aurora.","날에 비친 모든 적을 타도하는
산조의 태도. 아침에 떠 있는
고요한 달처럼 준엄하다.","能將映照於刀身上的敵人全部
打倒的傘鳥太刀。宛如早霞時
高掛天上的靜月般莊嚴。","将映于刀身的敌人全数击败的
伞鸟太刀。如同染上朝霞的拂
晓天空中的月亮，庄严而肃穆。",,,,,,,,"اسحق كل الأعداء المنعكسة
صورتهم في هذا النصل مع
هيبة القمر في الفجر القادم.",,,,,,,,,,,
d51cfb2c-7187-4d97-8b9c-b58c30525744,1955204817,W_LongSword_306_Explain,"刀身に映る敵全てを打倒する
傘鳥の太刀。朝焼けの空に在る
静かなる月の如く、峻厳。","Crush all foes reflected in
this blade with the solemnity
of the moon in the coming dawn.","Écrasez tous les ennemis reflétés
dans cette lame avec la solennité
de la lune du matin.","Distruggi tutti i nemici
riflessi in questa lama con
la solennità della luna.","Vernichte feierlich alle Feinde,
die sich mit dem Ernst des
Mondes in der Klinge spiegeln.","Los enemigos que se reflejan
en su hoja perecen con la
solemnidad de la luna al alba.","Сокрушите всех, кто
отражается в этом клинке,
с мрачным величием луны.","Zmiażdż wszystkich wrogów
odbijających się na ostrzu
z powagą księżyca o brzasku.",,,"Esmague os inimigos refle-
tidos nesta lâmina com a
solenidade da lua na aurora.","날에 비친 모든 적을 타도하는
산조의 태도. 아침에 떠 있는
고요한 달처럼 준엄하다.","能將映照於刀身上的敵人全部
打倒的傘鳥太刀。宛如早霞時
高掛天上的靜月般莊嚴。","将映于刀身的敌人全数击败的
伞鸟太刀。如同染上朝霞的拂
晓天空中的月亮，庄严而肃穆。",,,,,,,,"اسحق كل الأعداء المنعكسة
صورتهم في هذا النصل مع
هيبة القمر في الفجر القادم.",,,,,,,,,,,
fb418d3d-ec4f-4933-8292-3e45d1b0c2e2,3531433471,W_LongSword_307_Explain,"穢れなき炎の輝きを刀身に宿す
傘鳥の太刀。勇猛なる者の眩い
一閃は燃え盛る太陽の化身。","The flame of this blade emits a
beautiful flash of light, said to
be the incarnation of the sun.","Sa flamme émet un bel éclair
de lumière, que l'on dit être
l'incarnation du soleil.","La fiamma di questa lama
emette un lampo di luce che
sembra incarnare il sole.","Die Flamme dieser Klinge strahlt
einen Lichtblitz ab, der eine
Inkarnation der Sonne sein soll.","Esta hoja en llamas emite un
precioso destello que, según
dicen, es el mismísimo sol.","Говорят, прекрасные вспышки
пламени этого клинка явля-
ются воплощением солнца.","Ostrze to błyszczy pięknym
światłem, które jest podobno
wcieleniem słońca.",,,"A chama desta lâmina emite
um belo clarão, que dizem
ser a encarnação do sol.","정결한 불꽃이 검신에 깃든
산조의 태도. 용맹한 자의
일섬은 불타는 태양의 화신.","刀身帶純淨火光的傘鳥
太刀。勇猛之人的炫目斬擊
正是熾熱太陽的化身。","伞鸟太刀，刀身蕴含的火焰光芒
纯洁无垢。猛士令人目眩的一击
是熊熊燃烧的太阳化身。",,,,,,,,"تنتج نيران هذا النصل وميض
ضوء جميل، يقال عنه إنه
تجسيد للشمس.",,,,,,,,,,,
8e32fccc-c443-4954-a48e-8ebfe5b49150,4286776105,W_LongSword_308_Explain,"粗野なる狩場に雪花咲き乱れる
白兎刃の強化形態。洗練された
刀身に穢れ無き矜恃を掲げる。","The Ivory Rabbit's final
form, a refined long sword
with nary a speck of dirt.","Une élégante épée longue,
presque immaculée.
Base : Lapin en ivoire","Forma finale del coniglio
d'avorio. Una spada lunga
senza l'ombra di macchie.","Die Finalform des Elfenbein-
Hasen. Verfeinertes Lang-
schwert ohne jeden Makel.","Conejo de marfil finalizado.
Refinada espada larga en la
que el polvo no osa posarse.","Конечная форма Снежного
кролика. Утонченный бастард
без единого пятнышка.","Ostateczna wersja Kościanego
Zająca. Broń o nieskazitelnym
wyglądzie.",,,"Forma final da Coelho de
Marfim, uma espada longa e
refinada, sem um grão de pó.","황량한 사냥터에 눈꽃을
피우는 강화형 백토인. 세련된
칼날에 새하얀 긍지를 걸었다.","在野蠻的獵場中舞出紛飛雪花，
白兔刃的強化型態。簡約的
刀身說明了它高風亮節的矜持。","在野蛮的猎场中雪花锦簇，
是白兔刃的强化形态。
简约刀身诉说其无暇的骄傲。",,,,,,,,"الشكل النهائي للأرنب
العاجي، وهو سيف طويل
مصقول عليه مسحة غبار.",,,,,,,,,,,
e4b1288d-6f3c-4d5d-8fc3-b399fca11162,1847052345,W_LongSword_309_Explain,"洗練された刀身を持つ白兎獣の
太刀。穢れ無き矜持を掲げて
氷結の刃で狩場を美しく舞え。","A Lagombi sword with a
refined edge. Wield this icy
blade with unsullied pride.","Épée de Lagombi tranchante.
Brandissez cette lame glacée
avec une fierté non dissimulée.","Spada Lagombi dal bordo
rifinito. Brandisci questa
lama gelida con orgoglio.","Ein Lagombi-Schwert mit
geschärfter Schneide. Führe
diese Eisklinge voller Stolz.","Espada de Lagombi de filo
refinado. Una hoja glacial que
enorgullece a su portador.","Заточенный меч Лагомби.
Носите этот ледяной клинок
с гордостью.","Miecz z Lagombiego o
doskonałym ostrzu. Lodowa
moc o wielkiej dumie.",,,"Espada Lagombi com gume
refinado. Porte esta lâmina
gelada com orgulho puro.","세련된 검신을 가진 백토수의
태도. 순수한 긍지를 걸고
얼음 칼날과 아름답게 춤춘다.","刀身俐落的白兔獸太刀。
揭示著純淨無暇的矜持，
以冰結之刃在獵場優美起舞。","刀身简约的白兔兽太刀。
显示着无瑕的骄傲，让冰刃
在猎场优美地舞动吧。",,,,,,,,"سيف لاجومبي ذو حافة مصقولة.
احمل نصل الجليد هذا
بفخر تام.",,,,,,,,,,,
