guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
cb2a0a4e-f9d5-45ec-9476-59143c1550a7,1396465835,W_LongSword_300_Name,カムラノ武刀,Kamura Warrior Rapier,Rapière guerrier Kamura,Stocco guerriero Kamura,Kamura-Krieger-Degen,Estoq. guerrero Kamura,Рапира воина Камуры,Rapier wojown. Kamury,,,Florete Guer. Kamura,카무라무도,神火武刀,炎火武刀,,,,,,,,سيف مبارزة محارب كامورا,,,,,,,,,,,
45b9908e-5dff-4aa0-a656-bf5790763dec,4125881989,W_LongSword_301_Name,カムラノ武刀改,Kamura Warrior Rapier+,Rapière guerrier Kamura+,Stocco guerriero Kamura+,Kamura-Krieger-Degen+,Estoq. guerrero Kamura+,Рапира воина Камуры+,Rapier wojown. Kamury+,,,Florete Guer. Kamura+,카무라무도+,神火武刀改,炎火武刀・改,,,,,,,,سيف مبارزة محارب كامورا+,,,,,,,,,,,
5fc25efe-bd79-4c71-bb37-d01d5f06fe90,3272035829,W_LongSword_302_Name,カムラノ傑刀,Fine Kamura Rapier,Rapière Kamura élite,Stocco Kamura pregiato,Feiner Kamura-Degen,Estoque excelso Kamura,Отличная рапира Камуры,Doskon. rapier Kamury,,,Ótimo Florete Kamura,카무라걸도,神火傑刀,炎火杰刀,,,,,,,,سيف مبارزة كامورا الرائع,,,,,,,,,,,
48e1a49a-6b46-42dc-8a92-4d53fc8ec4c3,3994509808,W_LongSword_303_Name,王牙刀【伏雷】改,Despot Boltbreaker+,Souverain absolu+,Lama del despota+,Despoten-Blitzbrecher+,Parterrayos del déspota+,Злоба деспота+,Gromołamacz despoty+,,,Quebrarraio Déspota+,왕아도【복뢰】+,王牙刀【伏雷】改,王牙刀【伏雷】改,,,,,,,,كاسر مسامير الطاغية+,,,,,,,,,,,
85bb9108-72c2-4e0b-981a-90e916f22c45,3984020689,W_LongSword_304_Name,真・王牙刀【天威】,Oppressor's Law,Loi de l'oppresseur,Legge del satrapo,Unterdrückergesetz,Ley del opresor,Закон угнетателя,Prawo ciemięzcy,,,Lei do Opressor,진-왕아도【천위】,真･王牙刀【天威】,真･王牙刀【天威】,,,,,,,,قانون الطغاة,,,,,,,,,,,
6976e744-cd3a-4d47-9bae-74d4480942a4,929226216,W_LongSword_305_Name,暁月の刺刀シルコーラ,Dayspring Blade,Lame matinale,Riflesso splendente,Tagesanbruchsklinge,Espada brotedía,Дневной клинок,Ostrze brzasku,,,Lâmina da Aurora,새벽달의자도 실코라,勇敢曉月刺刀,晓月刺刀骁勇,,,,,,,,نصل الربيع,,,,,,,,,,,
8c8f5bc9-0f55-4c09-a977-20dff8624f05,354415157,W_LongSword_306_Name,暁月の刺刀シルコーラ改,Dayspring Blade+,Lame matinale+,Riflesso splendente+,Tagesanbruchsklinge+,Espada brotedía+,Дневной клинок+,Ostrze brzasku+,,,Lâmina da Aurora+,새벽달의자도 실코라+,勇敢曉月刺刀改,晓月刺刀骁勇・改,,,,,,,,نصل الربيع+,,,,,,,,,,,
d85af824-6d1d-4c93-8e81-bc9fd9f812bc,1700117609,W_LongSword_307_Name,暁光の刺刀シルオーレ,Dawnlight Blade,Lame aurore,Lama dell'alba,Dämmerlichts-Klinge,Espada luzalbor,Рассветный клинок,Ostrze poranka,,,Lâmina do Amanhecer,새벽빛의자도 실오레,榮耀曉光刺刀,晓光刺刀荣光,,,,,,,,نصل ضوء الفجر,,,,,,,,,,,
881e7c9e-8cb6-43b2-89c8-5d72d7857f33,3463617323,W_LongSword_308_Name,白兎刃【氷棘】改,Iced Rabbit+,Lapin givré+,Coniglio ghiacciato+,Gefrorener Hase+,Conejo helado+,Ледяной кролик+,Lodowy Zając+,,,Coelho Gelado+,백토인【빙극】+,白兔刃【冰棘】改,白兔刃【冰棘】改,,,,,,,,الأرنب المثلج+,,,,,,,,,,,
aca7f806-5d1d-4dfe-9fb6-e2ebee3321c5,1822517963,W_LongSword_309_Name,白兎棘刃イナバ,Inaba's Thorns,Épines d'Inaba,Artigli di lepre di Inaba,Inabas Dornen,Espinas de Inaba,Шипы Инабы,Ciernie Inaby,,,Espinhos de Inaba,백토극인 이나바,白兔棘刃因幡,白兔棘刃【因幡】,,,,,,,,أشواك إينابا,,,,,,,,,,,
