guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
44730d3b-8d99-48b4-9b7a-9065d8028515,4155973832,LvC_Normal_000_Name,猟香の花結・一輪,Hunting Petalace I,Florelet chasse,Floretto caccia I,Jagd-Flollier I,Petalazo de caza I,Охотничий Лепес. I,Floria łowiecka I,,,Petalar de Caça I,엽향의 꽃팔찌-일륜,獵香結花環･一朵,猎香花链・一朵,,,,,,,,بيتاليس الصيد 1,,,,,,,,,,,
e0b89195-5e1c-464e-a73e-3fab6311b685,1999327989,LvC_Normal_001_Name,強香の花結・一輪,Strength Petalace I,Florelet force,Floretto forza I,Stärke-Flollier I,Petalazo vital I,Лепестретик силы I,Floria siły I,,,Força Petalar I,강향의 꽃팔찌-일륜,強香結花環･一朵,强香花链・一朵,,,,,,,,بيتاليس القوة 1,,,,,,,,,,,
bba06999-8d9e-49dc-80ea-faafd90bd539,1075830512,LvC_Normal_002_Name,硬香の花結・一輪,Fortitude Petalace I,Florelet courage,Floretto fermezza I,Kraft-Flollier I,Petalazo potente I,Лепес. стойкости I,Floria hartu I,,,Fortitude Petalar I,경향의 꽃팔찌-일륜,硬香結花環･一朵,硬香花链・一朵,,,,,,,,بيتاليس الشجاعة 1,,,,,,,,,,,
452b34f1-36a9-4955-9897-300c16a56e32,1847257727,LvC_Normal_003_Name,鬼香の花結・一輪,Demon Petalace I,Florelet démon,Floretto demoniaco I,Dämonen-Flollier I,Petalazo maligno I,Демонов Лепес. I,Floria demona I,,,Demônio Petalar I,귀향의 꽃팔찌-일륜,鬼香結花環･一朵,鬼香花链・一朵,,,,,,,,بيتاليس العفريت 1,,,,,,,,,,,
8ba2c473-3196-43bb-a426-6f7337c4a291,1916069507,LvC_Normal_004_Name,猟香の花結・二輪,Hunting Petalace II,Florelet chasse II,Floretto caccia II,Jagd-Flollier II,Petalazo de caza II,Охотничий Лепес. II,Floria łowiecka II,,,Petalar de Caça II,엽향의 꽃팔찌-이륜,獵香結花環･二朵,猎香花链・两朵,,,,,,,,بيتاليس الصيد 2,,,,,,,,,,,
7b9476c8-a1c3-461d-9fe4-3e0b80f83731,4270214347,LvC_Normal_005_Name,強香の花結・二輪,Strength Petalace II,Florelet force II,Floretto forza II,Stärke-Flollier II,Petalazo vital II,Лепестретик силы II,Floria siły II,,,Força Petalar II,강향의 꽃팔찌-이륜,強香結花環･二朵,强香花链・两朵,,,,,,,,بيتاليس القوة 2,,,,,,,,,,,
c69c61ba-6677-4cbd-ac02-42313f5022c5,2362538606,LvC_Normal_006_Name,硬香の花結・二輪,Fortitude Petalace II,Florelet courage II,Floretto fermezza II,Kraft-Flollier II,Petalazo potente II,Лепес. стойкости II,Floria hartu II,,,Fortitude Petalar II,경향의 꽃팔찌-이륜,硬香結花環･二朵,硬香花链・两朵,,,,,,,,بيتاليس الشجاعة 2,,,,,,,,,,,
47430761-512a-4260-b5b4-11bca9b8a8b6,380720587,LvC_Normal_007_Name,鬼香の花結・二輪,Demon Petalace II,Florelet démon II,Flor. demoniaco II,Dämonen-Flollier II,Petalazo maligno II,Демонов Лепес. II,Floria demona II,,,Demônio Petalar II,귀향의 꽃팔찌-이륜,鬼香結花環･二朵,鬼香花链・两朵,,,,,,,,بيتاليس العفريت 2,,,,,,,,,,,
3105ddc6-1d19-400e-96d5-0a5e14eb58f7,3349727409,LvC_Normal_008_Name,猟香の花結・三輪,Hunting Petalace III,Florelet chasse III,Floretto caccia III,Jagd-Flollier III,Petalazo de caza III,Охотничий Лепес. III,Floria łowiecka III,,,Petalar de Caça III,엽향의 꽃팔찌-삼륜,獵香結花環･三朵,猎香花链・三朵,,,,,,,,بيتاليس الصيد 3,,,,,,,,,,,
a11cfc34-1268-471c-b1e6-0563692f26d5,1045368345,LvC_Normal_009_Name,強香の花結・三輪,Strength Petalace III,Florelet force III,Floretto forza III,Stärke-Flollier III,Petalazo vital III,Лепестретик силы III,Floria siły III,,,Força Petalar III,강향의 꽃팔찌-삼륜,強香結花環･三朵,强香花链・三朵,,,,,,,,بيتاليس القوة 3,,,,,,,,,,,
2425519f-e173-4b03-bfc9-9c9011afde6a,838275661,LvC_Normal_010_Name,硬香の花結・三輪,Fortitude Petalace III,Florelet courage III,Flor. fermezza III,Kraft-Flollier III,Petalazo potente III,Лепес. стойкости III,Floria hartu III,,,Fortit. Petalar III,경향의 꽃팔찌-삼륜,硬香結花環･三朵,硬香花链・三朵,,,,,,,,بيتاليس الشجاعة 3,,,,,,,,,,,
df7cf2f3-91b2-4263-b931-ce22ed05312b,3135291809,LvC_Normal_011_Name,鬼香の花結・三輪,Demon Petalace III,Florelet démon III,Flor. demoniaco III,Dämonen-Flollier III,Petalazo maligno III,Демонов Лепес. III,Floria demona III,,,Demônio Petalar III,귀향의 꽃팔찌-삼륜,鬼香結花環･三朵,鬼香花链・三朵,,,,,,,,بيتاليس العفريت 3,,,,,,,,,,,
982b7c9b-2162-4100-99dc-cad96276919f,3251367379,LvC_Normal_012_Name,絶香の花結,Absolute Petalace,Florelet ultime,Floretto assoluto,Absolutes Flollier,Petalazo absoluto,Абсолютный Лепес.,Floria absolutna,,,Petalar Absoluto,절향의 꽃팔찌,絕香結花環,绝香花链,,,,,,,,بيتاليس المطلق,,,,,,,,,,,
