guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
b2fed02d-c935-4bcd-9b6e-33a3f4f853a6,1425337075,O_GuideMsg_000,<ICON ANALOG_LS>　移動,<ICON ANALOG_LS> Move,<ICON ANALOG_LS> Se déplacer,<ICON ANALOG_LS> Muovi,<ICON ANALOG_LS> Bewegen,<ICON ANALOG_LS> Mover,<ICON ANALOG_LS> Движение,<ICON ANALOG_LS> Ruch,,,<ICON ANALOG_LS> Mover,<ICON ANALOG_LS> 이동,<ICON ANALOG_LS>　移動,<ICON ANALOG_LS>　移动,,,,,,,,<ICON ANALOG_LS> تحرك,,,,,,,,,,,
48c9624c-91e3-4f35-8f7a-476a43c8163e,846490051,O_GuideMsg_001,<OPT PLDASH>+<ICON ANALOG_LS>　ダッシュ,<OPT PLDASH>+<ICON ANALOG_LS> Dash,<OPT PLDASH>+<ICON ANALOG_LS> Courir,<OPT PLDASH> + <ICON ANALOG_LS> Scatta,<OPT PLDASH>+<ICON ANALOG_LS> Sprinten,<OPT PLDASH> + <ICON ANALOG_LS> Esprintar,<OPT PLDASH>+<ICON ANALOG_LS> Рывок,<OPT PLDASH> + <ICON ANALOG_LS> Zryw,,,<OPT PLDASH>+<ICON ANALOG_LS> Correr,<OPT PLDASH>+<ICON ANALOG_LS> 대시,<OPT PLDASH>+<ICON ANALOG_LS>　衝刺,<OPT PLDASH>+<ICON ANALOG_LS>　冲刺,,,,,,,,<OPT PLDASH>+<ICON ANALOG_LS> اندفاع,,,,,,,,,,,
7de100cd-3f8c-4fba-94ea-22940e9281f2,3441214733,O_GuideMsg_002,<OPT ZL>＋<ICON PAD_X>　疾翔け（上方）,<OPT ZL>+<ICON PAD_X> Wiredash (Upward),<OPT ZL>+<ICON PAD_X> Propulsion (vers le haut),<OPT ZL> + <ICON PAD_X> Filoscatto (in alto),<OPT ZL>+<ICON PAD_X> Seilsprint (aufwärts),<OPT ZL> + <ICON PAD_X> Cordoesprint (hacia arriba),<OPT ZL>+<ICON PAD_X> Рывок на Прутожуке (вверх),<OPT ZL> + <ICON PAD_X> kablozryw (w górę),,,<OPT ZL>+<ICON PAD_X> Cabinvestida (Para cima),<OPT ZL>+<ICON PAD_X> 질주(위),<OPT ZL>+<ICON PAD_X>　疾翔（上方）,<OPT ZL>+<ICON PAD_X>　疾翔（上方）,,,,,,,,<OPT ZL>+<ICON PAD_X> اندفاع الحرير (لأعلى),,,,,,,,,,,
d6b8d047-bff6-485f-ad10-7a5322fe1cf6,1163444103,O_GuideMsg_003,<OPT GUIDE_SELECT_MAP>　マップを開く,<OPT GUIDE_SELECT_MAP> Open Map,<OPT GUIDE_SELECT_MAP> Ouvrir la carte,<OPT GUIDE_SELECT_MAP> Apri mappa,<OPT GUIDE_SELECT_MAP> Karte öffnen,<OPT GUIDE_SELECT_MAP> Abrir mapa,<OPT GUIDE_SELECT_MAP> Открыть карту,<OPT GUIDE_SELECT_MAP> Otwórz mapę,,,<OPT GUIDE_SELECT_MAP> Abrir mapa,<OPT GUIDE_SELECT_MAP> 맵 열기,<OPT GUIDE_SELECT_MAP>　開啟地圖,<OPT GUIDE_SELECT_MAP>　打开地图,,,,,,,,<OPT GUIDE_SELECT_MAP> افتح خريطة.,,,,,,,,,,,
12602c0f-a620-408c-b304-0b6ae38b29e1,478587464,O_GuideMsg_003_00,<COLOR FF0000>#Rejected#</COLOR> O_GuideMsg_003_00,<COLOR FF0000>#Rejected#</COLOR> O_GuideMsg_003_00,<COLOR FF0000>#Rejected#</COLOR> O_GuideMsg_003_00,<COLOR FF0000>#Rejected#</COLOR> O_GuideMsg_003_00,<COLOR FF0000>#Rejected#</COLOR> O_GuideMsg_003_00,<COLOR FF0000>#Rejected#</COLOR> O_GuideMsg_003_00,<COLOR FF0000>#Rejected#</COLOR> O_GuideMsg_003_00,<COLOR FF0000>#Rejected#</COLOR> O_GuideMsg_003_00,<COLOR FF0000>#Rejected#</COLOR> O_GuideMsg_003_00,<COLOR FF0000>#Rejected#</COLOR> O_GuideMsg_003_00,<COLOR FF0000>#Rejected#</COLOR> O_GuideMsg_003_00,<COLOR FF0000>#Rejected#</COLOR> O_GuideMsg_003_00,<COLOR FF0000>#Rejected#</COLOR> O_GuideMsg_003_00,<COLOR FF0000>#Rejected#</COLOR> O_GuideMsg_003_00,<COLOR FF0000>#Rejected#</COLOR> O_GuideMsg_003_00,<COLOR FF0000>#Rejected#</COLOR> O_GuideMsg_003_00,<COLOR FF0000>#Rejected#</COLOR> O_GuideMsg_003_00,<COLOR FF0000>#Rejected#</COLOR> O_GuideMsg_003_00,<COLOR FF0000>#Rejected#</COLOR> O_GuideMsg_003_00,<COLOR FF0000>#Rejected#</COLOR> O_GuideMsg_003_00,<COLOR FF0000>#Rejected#</COLOR> O_GuideMsg_003_00,<COLOR FF0000>#Rejected#</COLOR> O_GuideMsg_003_00,<COLOR FF0000>#Rejected#</COLOR> O_GuideMsg_003_00,<COLOR FF0000>#Rejected#</COLOR> O_GuideMsg_003_00,<COLOR FF0000>#Rejected#</COLOR> O_GuideMsg_003_00,<COLOR FF0000>#Rejected#</COLOR> O_GuideMsg_003_00,<COLOR FF0000>#Rejected#</COLOR> O_GuideMsg_003_00,<COLOR FF0000>#Rejected#</COLOR> O_GuideMsg_003_00,<COLOR FF0000>#Rejected#</COLOR> O_GuideMsg_003_00,<COLOR FF0000>#Rejected#</COLOR> O_GuideMsg_003_00,<COLOR FF0000>#Rejected#</COLOR> O_GuideMsg_003_00,<COLOR FF0000>#Rejected#</COLOR> O_GuideMsg_003_00,<COLOR FF0000>#Rejected#</COLOR> O_GuideMsg_003_00
e942860e-2399-45af-bbe1-f1c927a42e55,2379462183,O_GuideMsg_003_01,<COLOR FF0000>#Rejected#</COLOR> O_GuideMsg_003_01,<COLOR FF0000>#Rejected#</COLOR> O_GuideMsg_003_01,<COLOR FF0000>#Rejected#</COLOR> O_GuideMsg_003_01,<COLOR FF0000>#Rejected#</COLOR> O_GuideMsg_003_01,<COLOR FF0000>#Rejected#</COLOR> O_GuideMsg_003_01,<COLOR FF0000>#Rejected#</COLOR> O_GuideMsg_003_01,<COLOR FF0000>#Rejected#</COLOR> O_GuideMsg_003_01,<COLOR FF0000>#Rejected#</COLOR> O_GuideMsg_003_01,<COLOR FF0000>#Rejected#</COLOR> O_GuideMsg_003_01,<COLOR FF0000>#Rejected#</COLOR> O_GuideMsg_003_01,<COLOR FF0000>#Rejected#</COLOR> O_GuideMsg_003_01,<COLOR FF0000>#Rejected#</COLOR> O_GuideMsg_003_01,<COLOR FF0000>#Rejected#</COLOR> O_GuideMsg_003_01,<COLOR FF0000>#Rejected#</COLOR> O_GuideMsg_003_01,<COLOR FF0000>#Rejected#</COLOR> O_GuideMsg_003_01,<COLOR FF0000>#Rejected#</COLOR> O_GuideMsg_003_01,<COLOR FF0000>#Rejected#</COLOR> O_GuideMsg_003_01,<COLOR FF0000>#Rejected#</COLOR> O_GuideMsg_003_01,<COLOR FF0000>#Rejected#</COLOR> O_GuideMsg_003_01,<COLOR FF0000>#Rejected#</COLOR> O_GuideMsg_003_01,<COLOR FF0000>#Rejected#</COLOR> O_GuideMsg_003_01,<COLOR FF0000>#Rejected#</COLOR> O_GuideMsg_003_01,<COLOR FF0000>#Rejected#</COLOR> O_GuideMsg_003_01,<COLOR FF0000>#Rejected#</COLOR> O_GuideMsg_003_01,<COLOR FF0000>#Rejected#</COLOR> O_GuideMsg_003_01,<COLOR FF0000>#Rejected#</COLOR> O_GuideMsg_003_01,<COLOR FF0000>#Rejected#</COLOR> O_GuideMsg_003_01,<COLOR FF0000>#Rejected#</COLOR> O_GuideMsg_003_01,<COLOR FF0000>#Rejected#</COLOR> O_GuideMsg_003_01,<COLOR FF0000>#Rejected#</COLOR> O_GuideMsg_003_01,<COLOR FF0000>#Rejected#</COLOR> O_GuideMsg_003_01,<COLOR FF0000>#Rejected#</COLOR> O_GuideMsg_003_01,<COLOR FF0000>#Rejected#</COLOR> O_GuideMsg_003_01
604ca3a8-fa63-4c0b-a8f9-66b755a2a1cd,3722334299,O_GuideMsg_004,（ガルクの近くで）<ICON PAD_A_LONG>　ガルクに搭乗,<ICON PAD_A_LONG> (While near a Palamute) Ride Palamute,<ICON PAD_A_LONG> (Près d'un Chumsky) Chevaucher Chumsky,<ICON PAD_A_LONG> (vicino a un compagno Canyne) Cavalca Canyne,<ICON PAD_A_LONG> (nahe Palamute) Palamute reiten,<ICON PAD_A_LONG> Montar en Canyne (cerca de un camarada Canyne),<ICON PAD_A_LONG> (находясь рядом с Паламутом) Сесть на Паламута,<ICON PAD_A_LONG> (w pobliżu kumpsa) jazda na kumpsie,,,<ICON PAD_A_LONG> (Perto de um Amicão) Montar Amicão,(가루크 근처에서) <ICON PAD_A_LONG> 가루크에 탑승,（在加爾克附近）<ICON PAD_A_LONG>　騎乘加爾克,（在牙猎犬附近）<ICON PAD_A_LONG>　骑乘牙猎犬,,,,,,,,<ICON PAD_A_LONG> (بينما يقترب البلاموت) امتطِه,,,,,,,,,,,
5e2287d8-e9ea-4afd-9e67-ee2f470b81d7,982949016,O_GuideMsg_005,<ICON PAD_B>　ガルクから降りる,<ICON PAD_B> Dismount Palamute,<ICON PAD_B> Descendre du Chumsky,<ICON PAD_B> Smonta dal Canyne,<ICON PAD_B> Vom Palamute absitzen,<ICON PAD_B> Desmontar del Canyne,<ICON PAD_B> Слезть с Паламута,<ICON PAD_B> Zejdź z kumpsa,,,<ICON PAD_B> Descer do Amicão,<ICON PAD_B> 가루크에서 내리기,<ICON PAD_B>　從加爾克背上下來,<ICON PAD_B>　从牙猎犬上下来,,,,,,,,<ICON PAD_B> انزل عن البلاموت,,,,,,,,,,,
a9dec309-4598-4dff-9b59-b165038a1ac7,387108820,O_GuideMsg_006,<ICON PAD_X>　武器を構える（抜刀）,<ICON PAD_X> Draw Weapon,<ICON PAD_X> Dégainer,<ICON PAD_X> Estrai arma,<ICON PAD_X> Waffe ziehen,<ICON PAD_X> Desenvainar arma,<ICON PAD_X> Достать оружие,<ICON PAD_X> Dobądź broni,,,<ICON PAD_X> Empunhar Arma,<ICON PAD_X> 무기 꺼내기(발도),<ICON PAD_X>　舉起武器（拔刀）,<ICON PAD_X>　拔出武器（拔刀）,,,,,,,,<ICON PAD_X> إشهار السلاح,,,,,,,,,,,
497cca9f-352e-4be1-9527-a4305a82481b,1154981048,O_GuideMsg_007,（抜刀中）<ICON PAD_X>or<ICON PAD_A>　攻撃,(Weapon drawn) <ICON PAD_X> or <ICON PAD_A> Attack,(Arme dégainée) <ICON PAD_X> ou <ICON PAD_A> Attaquer,(Arma sguainata) <ICON PAD_X> o <ICON PAD_A> Attacca,(Gezogene Waffe) <ICON PAD_X> oder <ICON PAD_A> Angreifen,<ICON PAD_X> o <ICON PAD_A> Atacar (arma desenfundada),(С оружием наготове) <ICON PAD_X> или <ICON PAD_A> — атаковать,(Z dobytą bronią) <ICON PAD_X> lub <ICON PAD_A> atak,,,(Arma em punho) <ICON PAD_X> ou <ICON PAD_A> Atacar,(발도 중) <ICON PAD_X> or <ICON PAD_A> 공격,（拔刀狀態）<ICON PAD_X>或<ICON PAD_A>　攻擊,（拔刀中）<ICON PAD_X>或<ICON PAD_A>　攻击,,,,,,,,(السلاح مشهر) <ICON PAD_X> أو <ICON PAD_A> هاجم,,,,,,,,,,,
78ab014d-5da0-40c3-a836-88902bca3a46,2161900228,O_GuideMsg_008,（抜刀中）<OPT ZR>　攻撃,(Weapon drawn) <OPT ZR> Attack,(Arme dégainée)<OPT ZR> Attaquer,(Arma sguainata) <OPT ZR> Attacca,(Gez. Waffe) <OPT ZR> Angreifen,<OPT ZR> Atacar (arma desenfundada),(С оружием наготове) <OPT ZR> — атаковать,(Z dobytą bronią) <OPT ZR> atak,,,(Arma em punho) <OPT ZR> Atacar,(발도 중) <OPT ZR> 공격,（拔刀狀態）<OPT ZR>　攻擊,（拔刀中）<OPT ZR>　攻击,,,,,,,,(السلاح مشهر) <OPT ZR> الهجوم,,,,,,,,,,,
a8e13135-caab-497f-9ad8-9d976eb897c0,2912178615,O_GuideMsg_009,<ICON PAD_Y>　武器をしまう（納刀）,<ICON PAD_Y> Sheathe Weapon,<ICON PAD_Y> Rengainer,<ICON PAD_Y> Rinfodera arma,<ICON PAD_Y> Waffe wegstecken,<ICON PAD_Y> Envainar arma,<ICON PAD_Y> Убрать оружие в ножны,<ICON PAD_Y> Schowaj broń,,,<ICON PAD_Y> Embainhar arma,<ICON PAD_Y> 무기 넣기(납도),<ICON PAD_Y>　收起武器（收刀）,<ICON PAD_Y>　收起武器（纳刀）,,,,,,,,<ICON PAD_Y> غمد السلاح,,,,,,,,,,,
