guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
92f62f53-db55-4a21-8017-a6f05fb86852,1422216795,Option_Me_Item_100,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_100,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_100,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_100,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_100,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_100,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_100,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_100,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_100,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_100,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_100,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_100,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_100,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_100,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_100,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_100,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_100,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_100,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_100,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_100,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_100,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_100,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_100,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_100,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_100,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_100,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_100,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_100,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_100,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_100,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_100,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_100,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_100,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_100
09e7ee78-2ffd-4fea-b8d5-3af7d42f1832,4101796708,Option_Me_Item_100_01,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_100_01,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_100_01,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_100_01,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_100_01,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_100_01,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_100_01,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_100_01,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_100_01,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_100_01,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_100_01,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_100_01,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_100_01,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_100_01,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_100_01,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_100_01,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_100_01,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_100_01,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_100_01,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_100_01,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_100_01,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_100_01,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_100_01,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_100_01,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_100_01,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_100_01,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_100_01,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_100_01,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_100_01,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_100_01,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_100_01,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_100_01,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_100_01,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_100_01
e0bf0fcc-3afb-4723-ad4b-810bea92f419,2887873034,Option_Me_Item_100_02,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_100_02,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_100_02,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_100_02,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_100_02,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_100_02,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_100_02,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_100_02,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_100_02,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_100_02,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_100_02,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_100_02,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_100_02,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_100_02,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_100_02,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_100_02,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_100_02,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_100_02,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_100_02,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_100_02,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_100_02,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_100_02,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_100_02,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_100_02,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_100_02,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_100_02,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_100_02,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_100_02,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_100_02,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_100_02,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_100_02,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_100_02,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_100_02,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_100_02
89d7b7bf-33ea-429b-a0b2-ff8706b5bf9a,1235491823,Option_Me_Hud_020_MR,疾替えの書,Switch Skill Swap Scroll,Parchemin de transfert,Rotolo inversione delle abilità scambio,Wechselkunst-Tauschrolle,Kakejiku intercambio de habilidades,Свиток смены Заместительного навыка,Zwój zmiany przełączanych umiejętności,,,Pergaminho de Alteração de Hab. de Troca,신속 교체의 서,速換之書,迅速切换之书,,,,,,,,لفيفة مبادلة مهارة التبديل,,,,,,,,,,,
06f67f40-aaa5-4b0c-b9a4-8669f59673cc,256686539,Option_Me_Hud_021_MR,入れ替え技の情報,Switch Skill Info,Infos sur le Talent de substitution,Info abilità scambio,Wechselkunst-Info,Info. hab. intercambiables,Информация о Заместительных навыках,Info o przełączanych umiejętnościach,,,Alternar Info. de Habilidade,교체 기술 정보,交換技資訊,替换技的信息,,,,,,,, معلومات مهارة التبديل,,,,,,,,,,,
d0ae3387-109f-4435-9fc2-a78f1554b45b,3586991504,Option_Me_Item_101,スタートメニューのカーソル保存,Start Menu Cursor Position,Position du curseur dans le menu de jeu,Posizione cursore menu di gioco,Startmenü-Cursorposition,Posición del selector (menú inicio),Положение курсора в начальном меню,Pozycja kursora menu startowego,,,Posição do cursor no Menu Inicial,시작 메뉴 커서 저장,儲存開始選單的游標位置,保存开始菜单的光标位置,,,,,,,,موضع مؤشر قائمة البدء,,,,,,,,,,,
7c4f287c-82a5-4210-a504-ba89588c7087,4040240283,Option_Me_Item_101_01,保存する,Remember,Se rappeler,Ricorda,Speichern,Recordar,Запомнить,Pamiętaj,,,Lembrar,저장,儲存,保存,,,,,,,,تذكر,,,,,,,,,,,
a8bae1e0-0618-45fa-b741-f657b1280804,2724547329,Option_Me_Item_101_02,保存しない,Reset,Réinitialiser,Ripristina,Zurücksetzen,Restablecer,Сбросить,Zresetuj,,,Redefinir,저장 안 함,不儲存,不保存,,,,,,,,إعادة ضبط,,,,,,,,,,,
d9f207bc-273f-4f2b-b0eb-692db16cbbd1,2351750437,Option_Me_Item_102_MR,入れ替え技情報の表示,Display Switch Skill Info,Affichage infos Talent de substitution,Mostra info abilità scambio,Wechselkunst-Info anzeigen,Mostrar info. hab. intercambiables,Показ инф. о Заместительных навыках,Wyświetl. info o przełącz. umiejęt.,,,Exibir Info. de Hab. de Troca,교체 기술 정보 표시,顯示交換技資訊,显示替换技信息,,,,,,,,عرض معلومات مهارة التبديل,,,,,,,,,,,
456c79b9-1705-47ca-8f95-4ba6d9ed1b6f,1082133806,Option_Me_Item_103_MR,入れ替え技情報の表示時間,Skill Switch Info Display Time,Durée Affich. infos Talent de subst.,Tempo visualiz. info abilità scambio,Wechselkunst-Info-Anzeigezeit,Duración info. hab. intercambiables,Время показа инф. о Замест. навыках,Czas wyświetl. info o przeł. umiej.,,,Tempo de exib. de info. de hab. de troca.,교체 기술 정보 표시 시간,交換技資訊顯示時間,替换技信息的显示时间,,,,,,,,وقت عرض معلومات تبديل المهارة,,,,,,,,,,,
