guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
c779cd8d-81b9-4673-a248-c7c7e2c190d7,2559983430,Option_Common_System_01,<COLOR FF0000>#Rejected#</COLOR> Option_Common_System_01,<COLOR FF0000>#Rejected#</COLOR> Option_Common_System_01,<COLOR FF0000>#Rejected#</COLOR> Option_Common_System_01,<COLOR FF0000>#Rejected#</COLOR> Option_Common_System_01,<COLOR FF0000>#Rejected#</COLOR> Option_Common_System_01,<COLOR FF0000>#Rejected#</COLOR> Option_Common_System_01,<COLOR FF0000>#Rejected#</COLOR> Option_Common_System_01,<COLOR FF0000>#Rejected#</COLOR> Option_Common_System_01,<COLOR FF0000>#Rejected#</COLOR> Option_Common_System_01,<COLOR FF0000>#Rejected#</COLOR> Option_Common_System_01,<COLOR FF0000>#Rejected#</COLOR> Option_Common_System_01,<COLOR FF0000>#Rejected#</COLOR> Option_Common_System_01,<COLOR FF0000>#Rejected#</COLOR> Option_Common_System_01,<COLOR FF0000>#Rejected#</COLOR> Option_Common_System_01,<COLOR FF0000>#Rejected#</COLOR> Option_Common_System_01,<COLOR FF0000>#Rejected#</COLOR> Option_Common_System_01,<COLOR FF0000>#Rejected#</COLOR> Option_Common_System_01,<COLOR FF0000>#Rejected#</COLOR> Option_Common_System_01,<COLOR FF0000>#Rejected#</COLOR> Option_Common_System_01,<COLOR FF0000>#Rejected#</COLOR> Option_Common_System_01,<COLOR FF0000>#Rejected#</COLOR> Option_Common_System_01,<COLOR FF0000>#Rejected#</COLOR> Option_Common_System_01,<COLOR FF0000>#Rejected#</COLOR> Option_Common_System_01,<COLOR FF0000>#Rejected#</COLOR> Option_Common_System_01,<COLOR FF0000>#Rejected#</COLOR> Option_Common_System_01,<COLOR FF0000>#Rejected#</COLOR> Option_Common_System_01,<COLOR FF0000>#Rejected#</COLOR> Option_Common_System_01,<COLOR FF0000>#Rejected#</COLOR> Option_Common_System_01,<COLOR FF0000>#Rejected#</COLOR> Option_Common_System_01,<COLOR FF0000>#Rejected#</COLOR> Option_Common_System_01,<COLOR FF0000>#Rejected#</COLOR> Option_Common_System_01,<COLOR FF0000>#Rejected#</COLOR> Option_Common_System_01,<COLOR FF0000>#Rejected#</COLOR> Option_Common_System_01
8580dd81-2102-4e4a-9cc1-560c21ea52e6,3743100379,Option_Title_System_01,<COLOR FF0000>#Rejected#</COLOR> Option_Title_System_01,<COLOR FF0000>#Rejected#</COLOR> Option_Title_System_01,<COLOR FF0000>#Rejected#</COLOR> Option_Title_System_01,<COLOR FF0000>#Rejected#</COLOR> Option_Title_System_01,<COLOR FF0000>#Rejected#</COLOR> Option_Title_System_01,<COLOR FF0000>#Rejected#</COLOR> Option_Title_System_01,<COLOR FF0000>#Rejected#</COLOR> Option_Title_System_01,<COLOR FF0000>#Rejected#</COLOR> Option_Title_System_01,<COLOR FF0000>#Rejected#</COLOR> Option_Title_System_01,<COLOR FF0000>#Rejected#</COLOR> Option_Title_System_01,<COLOR FF0000>#Rejected#</COLOR> Option_Title_System_01,<COLOR FF0000>#Rejected#</COLOR> Option_Title_System_01,<COLOR FF0000>#Rejected#</COLOR> Option_Title_System_01,<COLOR FF0000>#Rejected#</COLOR> Option_Title_System_01,<COLOR FF0000>#Rejected#</COLOR> Option_Title_System_01,<COLOR FF0000>#Rejected#</COLOR> Option_Title_System_01,<COLOR FF0000>#Rejected#</COLOR> Option_Title_System_01,<COLOR FF0000>#Rejected#</COLOR> Option_Title_System_01,<COLOR FF0000>#Rejected#</COLOR> Option_Title_System_01,<COLOR FF0000>#Rejected#</COLOR> Option_Title_System_01,<COLOR FF0000>#Rejected#</COLOR> Option_Title_System_01,<COLOR FF0000>#Rejected#</COLOR> Option_Title_System_01,<COLOR FF0000>#Rejected#</COLOR> Option_Title_System_01,<COLOR FF0000>#Rejected#</COLOR> Option_Title_System_01,<COLOR FF0000>#Rejected#</COLOR> Option_Title_System_01,<COLOR FF0000>#Rejected#</COLOR> Option_Title_System_01,<COLOR FF0000>#Rejected#</COLOR> Option_Title_System_01,<COLOR FF0000>#Rejected#</COLOR> Option_Title_System_01,<COLOR FF0000>#Rejected#</COLOR> Option_Title_System_01,<COLOR FF0000>#Rejected#</COLOR> Option_Title_System_01,<COLOR FF0000>#Rejected#</COLOR> Option_Title_System_01,<COLOR FF0000>#Rejected#</COLOR> Option_Title_System_01,<COLOR FF0000>#Rejected#</COLOR> Option_Title_System_01
a0a60853-e694-47d5-9a14-3e339c59f37c,3532223882,Option_common_TrainingArea_001_System,からくり蛙の頭の位置を指定します。,Set the Toadversary's head position.,Ajuster la position de la tête du Combatracien.,Scegli la posizione della testa del rospo meccanico.,Lege die Kopfposition der Kampfkröte fest.,Ajusta la posición de la cabeza del saprobot.,Задать положение головы Жабоврага.,Ustaw pozycję głowy Ropuchotwora.,,,Defina a posição da cabeça do Saponente.,개굴모형의 머리 위치를 설정합니다.,指定機關蛙的頭部位置。,指定机关蛙头部的位置。,,,,,,,,ضبط مكان رأس وحش التدريب.,,,,,,,,,,,
4ff84176-cddb-407b-8cfc-eb743396725a,1291832561,Option_common_TrainingArea_002_System,からくり蛙の向きを指定します。,Set the Toadversary's orientation.,Ajuster l'orientation du Combatracien.,Scegli l'orientamento del rospo meccanico.,Lege die Ausrichtung der Kampfkröte fest.,Ajusta la orientación del saprobot.,Задать положение Жабоврага.,Ustaw ukierunkowanie Ropuchotwora.,,,Defina a orientação do Saponente.,개굴모형의 방향을 설정합니다.,指定機關蛙的方向。,指定机关蛙的方向。,,,,,,,,ضبط اتجاه وحش التدريب.,,,,,,,,,,,
851aa111-1ab8-456f-9014-2417b4f10e31,4245161008,Option_common_TrainingArea_003_System,"からくり蛙がプレイヤーを狙うかを指定します。
<COL RED>（サーチ中は、向きの設定が効きません）</COL>","Set whether the Toadversary targets the player.
<COL RED>(Direction cannot be set while targeting player.)</COL>","Choisir si le Combatracien peut cibler le joueur.
<COL RED>Impossible d'ajuster son orientation s'il peut
cibler le joueur.</COL>","Scegli se il rospo meccanico punta verso
il giocatore.<COL RED> (La direzione non è regolabile
mentre punta verso il giocatore.)</COL>","Lege fest, ob die Kampfkröte auf den Spieler zielt.
<COL RED>(Die Richtung kann dabei nicht festgelegt werden.)</COL>","Selecciona si el saprobot sigue al jugador.
<COL RED>(No se puede cambiar al apuntar al jugador).</COL>","Выбрать, нацеливается ли Жабовраг на игрока.
<COL RED>(Если да, то задать направление
отдельно уже нельзя).</COL>","Ustaw, czy Ropuchotwór celuje w gracza.
<COL RED>(Kierunek nie może być ustawiony
podczas celowania w gracza).</COL>",,,"Defina se o Saponente mira no jogador.
<COL RED>(A direção não pode ser definida enquanto
estiver alvejando o jogador)</COL>","개굴모형이 플레이어를 노릴지 설정합니다.
<COL RED>(서치 중에는 방향 설정이 불가능합니다)</COL>","指定機關蛙是否鎖定玩家。
<COL RED>（開啟鎖定時，方向設定將不會生效）</COL>","指定机关蛙是否会锁定玩家。
<COL RED>（锁定中朝向设置将失效）</COL>",,,,,,,,"ضبط ما إذا كان وحش التدريب يستهدف اللاعب.
<COL RED>(لا يمكن ضبط الاتجاهات أثناء استهداف اللاعب).</COL>",,,,,,,,,,,
ffde1f75-bb21-4db2-b00b-1c6ca1f8cd98,2430460938,Option_common_TrainingArea_004_System,からくり蛙がおこなうアクションを指定します。,Set the Toadversary's actions.,Définir les actions du Combatracien.,Imposta le azioni del rospo meccanico.,Lege die Aktionen der Kampfkröte fest.,Selecciona las acciones del saprobot.,Выбрать действия Жабоврага.,Ustaw akcje Ropuchotwora.,,,Defina as ações do Saponente.,개굴모형이 취할 액션을 설정합니다.,指定機關蛙的動作。,指定机关蛙执行的动作。,,,,,,,,ضبط أفعال وحش التدريب.,,,,,,,,,,,
658a59f0-1248-4c3c-871e-371c309c97bd,1856522144,Option_common_TrainingArea_005_System,"プレイヤーの翔蟲ゲージを指定します。
<COL RED>（他プレイヤーには影響しません）</COL>","Set the player's Wirebug Gauge.
<COL RED>(This will not affect other players.)</COL>","Ajuster la jauge de Filoptère du joueur.
<COL RED>Cela n'affecte pas les autres joueurs.</COL>","Imposta la barra dell'insetto filo del giocatore.
<COL RED>(Questo non influisce sugli altri giocatori.)</COL>","Lege den Seilkäfer-Balken des Spielers fest.
<COL RED>(Das hat keine Auswirkungen auf andere Spieler.)</COL>","Ajusta el indicador cordóptero del jugador.
<COL RED>(No afectará a otros jugadores).</COL>","Задать шкалу Прутожука для игрока.
<COL RED>(На других игроков это не повлияет).</COL>","Ustaw pasek kablobaka gracza.
<COL RED>(Nie będzie to miało wpływu na innych graczy).</COL>",,,"Defina a Barra do Cabinseto do jogador.
<COL RED>(Isso não afeta outros jogadores)</COL>","플레이어의 밧줄벌레 게이지를 지정합니다.
<COL RED>(다른 플레이어에게는 영향이 없습니다)</COL>","指定玩家的翔蟲計量表。
<COL RED>（不會影響到其他玩家）</COL>","指定玩家的翔虫槽。
<COL RED>（对其他玩家不会有影响）</COL>",,,,,,,,"ضبط مقياس حشرة الحرير الخاصة باللاعب.
<COL RED>(لن يؤثر هذا على الاعبين الآخرين).</COL>",,,,,,,,,,,
0d759501-1b53-4c81-ab02-85911b6da087,893669793,Option_common_TrainingArea_006_System,標的の挙動を指定します。,"Set whether the targets move or not.
<COL RED>(Ranged weapon target practice.)</COL>","Choisir si la cible peut bouger ou pas.
<COL RED>Entraînement avec les armes à distance.</COL>","Scegli se gli obiettivi si muovono o meno.
<COL RED>(Tiro al bersaglio con armi a distanza.)</COL>","Lege fest, ob die Ziele sich bewegen oder nicht.
<COL RED>(Schießübung mit Fernkampfwaffen.)</COL>","Selecciona si el objetivo se mueve o no.
<COL RED>(Práctica de tiro con armas a distancia).</COL>","Выбрать поведение мишеней — движущиеся или нет.
<COL RED>(Для тренировки по стрельбе).</COL>","Ustaw, czy cele są ruchome, czy nie.
<COL RED>(Ćwiczenie celności z bronią dystansową).</COL>",,,"Defina se os alvos se movem ou não.
<COL RED>(Prática de tiro de armas de longa alcance)</COL>",표적의 동작을 지정합니다.,指定目標的動作。,指定目标的动作。,,,,,,,,"ضبط ما إذا كانت الأهداف تتحرك أم لا.
<COL RED>(ممارسة استهداف الأسلحة بعيدة المدى)</COL>",,,,,,,,,,,
bf584dc3-0357-4b1d-8f29-68a698dc0d15,755618745,Option_Sy_Item_001,<COLOR FF0000>#Rejected#</COLOR> Option_Sy_Item_001,<COLOR FF0000>#Rejected#</COLOR> Option_Sy_Item_001,<COLOR FF0000>#Rejected#</COLOR> Option_Sy_Item_001,<COLOR FF0000>#Rejected#</COLOR> Option_Sy_Item_001,<COLOR FF0000>#Rejected#</COLOR> Option_Sy_Item_001,<COLOR FF0000>#Rejected#</COLOR> Option_Sy_Item_001,<COLOR FF0000>#Rejected#</COLOR> Option_Sy_Item_001,<COLOR FF0000>#Rejected#</COLOR> Option_Sy_Item_001,<COLOR FF0000>#Rejected#</COLOR> Option_Sy_Item_001,<COLOR FF0000>#Rejected#</COLOR> Option_Sy_Item_001,<COLOR FF0000>#Rejected#</COLOR> Option_Sy_Item_001,<COLOR FF0000>#Rejected#</COLOR> Option_Sy_Item_001,<COLOR FF0000>#Rejected#</COLOR> Option_Sy_Item_001,<COLOR FF0000>#Rejected#</COLOR> Option_Sy_Item_001,<COLOR FF0000>#Rejected#</COLOR> Option_Sy_Item_001,<COLOR FF0000>#Rejected#</COLOR> Option_Sy_Item_001,<COLOR FF0000>#Rejected#</COLOR> Option_Sy_Item_001,<COLOR FF0000>#Rejected#</COLOR> Option_Sy_Item_001,<COLOR FF0000>#Rejected#</COLOR> Option_Sy_Item_001,<COLOR FF0000>#Rejected#</COLOR> Option_Sy_Item_001,<COLOR FF0000>#Rejected#</COLOR> Option_Sy_Item_001,<COLOR FF0000>#Rejected#</COLOR> Option_Sy_Item_001,<COLOR FF0000>#Rejected#</COLOR> Option_Sy_Item_001,<COLOR FF0000>#Rejected#</COLOR> Option_Sy_Item_001,<COLOR FF0000>#Rejected#</COLOR> Option_Sy_Item_001,<COLOR FF0000>#Rejected#</COLOR> Option_Sy_Item_001,<COLOR FF0000>#Rejected#</COLOR> Option_Sy_Item_001,<COLOR FF0000>#Rejected#</COLOR> Option_Sy_Item_001,<COLOR FF0000>#Rejected#</COLOR> Option_Sy_Item_001,<COLOR FF0000>#Rejected#</COLOR> Option_Sy_Item_001,<COLOR FF0000>#Rejected#</COLOR> Option_Sy_Item_001,<COLOR FF0000>#Rejected#</COLOR> Option_Sy_Item_001,<COLOR FF0000>#Rejected#</COLOR> Option_Sy_Item_001
d4dae0a6-26bd-4838-a98d-a23e226b01f2,3033755432,Option_Sy_Item_002,チュートリアルウィンドウの表示を設定します。,Adjust the display settings of the tutorial window.,Ajuster l'affichage de la fenêtre des didacticiels.,"Personalizza l'interfaccia della finestra
del tutorial.","Passe die Anzeigeeinstellungen des
Tutorial-Fensters an.",Ajusta las opciones de visualización del tutorial.,Настроить параметры отображения окна обучения.,Dostosuj ustawienia wyświetlania okna samouczka.,,,"Ajuste as definições de exibição
da janela do tutorial.",튜토리얼 창을 표시할지 설정합니다.,設定是否顯示教學視窗。,设置是否显示教学窗口。,,,,,,,,ضبط إعدادات العرض الخاصة بنافذة التدريب.,,,,,,,,,,,
