guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
9ccb8965-2ae7-4554-9198-245e9fb7a573,2859009188,Option_Sy_Item_100,<COLOR FF0000>#Rejected#</COLOR> Option_Sy_Item_100,<COLOR FF0000>#Rejected#</COLOR> Option_Sy_Item_100,<COLOR FF0000>#Rejected#</COLOR> Option_Sy_Item_100,<COLOR FF0000>#Rejected#</COLOR> Option_Sy_Item_100,<COLOR FF0000>#Rejected#</COLOR> Option_Sy_Item_100,<COLOR FF0000>#Rejected#</COLOR> Option_Sy_Item_100,<COLOR FF0000>#Rejected#</COLOR> Option_Sy_Item_100,<COLOR FF0000>#Rejected#</COLOR> Option_Sy_Item_100,<COLOR FF0000>#Rejected#</COLOR> Option_Sy_Item_100,<COLOR FF0000>#Rejected#</COLOR> Option_Sy_Item_100,<COLOR FF0000>#Rejected#</COLOR> Option_Sy_Item_100,<COLOR FF0000>#Rejected#</COLOR> Option_Sy_Item_100,<COLOR FF0000>#Rejected#</COLOR> Option_Sy_Item_100,<COLOR FF0000>#Rejected#</COLOR> Option_Sy_Item_100,<COLOR FF0000>#Rejected#</COLOR> Option_Sy_Item_100,<COLOR FF0000>#Rejected#</COLOR> Option_Sy_Item_100,<COLOR FF0000>#Rejected#</COLOR> Option_Sy_Item_100,<COLOR FF0000>#Rejected#</COLOR> Option_Sy_Item_100,<COLOR FF0000>#Rejected#</COLOR> Option_Sy_Item_100,<COLOR FF0000>#Rejected#</COLOR> Option_Sy_Item_100,<COLOR FF0000>#Rejected#</COLOR> Option_Sy_Item_100,<COLOR FF0000>#Rejected#</COLOR> Option_Sy_Item_100,<COLOR FF0000>#Rejected#</COLOR> Option_Sy_Item_100,<COLOR FF0000>#Rejected#</COLOR> Option_Sy_Item_100,<COLOR FF0000>#Rejected#</COLOR> Option_Sy_Item_100,<COLOR FF0000>#Rejected#</COLOR> Option_Sy_Item_100,<COLOR FF0000>#Rejected#</COLOR> Option_Sy_Item_100,<COLOR FF0000>#Rejected#</COLOR> Option_Sy_Item_100,<COLOR FF0000>#Rejected#</COLOR> Option_Sy_Item_100,<COLOR FF0000>#Rejected#</COLOR> Option_Sy_Item_100,<COLOR FF0000>#Rejected#</COLOR> Option_Sy_Item_100,<COLOR FF0000>#Rejected#</COLOR> Option_Sy_Item_100,<COLOR FF0000>#Rejected#</COLOR> Option_Sy_Item_100
8398b7e0-64af-429d-9bd5-09424e953762,3975483521,Option_Sy_Item_100_01,<COLOR FF0000>#Rejected#</COLOR> Option_Sy_Item_100_01,<COLOR FF0000>#Rejected#</COLOR> Option_Sy_Item_100_01,<COLOR FF0000>#Rejected#</COLOR> Option_Sy_Item_100_01,<COLOR FF0000>#Rejected#</COLOR> Option_Sy_Item_100_01,<COLOR FF0000>#Rejected#</COLOR> Option_Sy_Item_100_01,<COLOR FF0000>#Rejected#</COLOR> Option_Sy_Item_100_01,<COLOR FF0000>#Rejected#</COLOR> Option_Sy_Item_100_01,<COLOR FF0000>#Rejected#</COLOR> Option_Sy_Item_100_01,<COLOR FF0000>#Rejected#</COLOR> Option_Sy_Item_100_01,<COLOR FF0000>#Rejected#</COLOR> Option_Sy_Item_100_01,<COLOR FF0000>#Rejected#</COLOR> Option_Sy_Item_100_01,<COLOR FF0000>#Rejected#</COLOR> Option_Sy_Item_100_01,<COLOR FF0000>#Rejected#</COLOR> Option_Sy_Item_100_01,<COLOR FF0000>#Rejected#</COLOR> Option_Sy_Item_100_01,<COLOR FF0000>#Rejected#</COLOR> Option_Sy_Item_100_01,<COLOR FF0000>#Rejected#</COLOR> Option_Sy_Item_100_01,<COLOR FF0000>#Rejected#</COLOR> Option_Sy_Item_100_01,<COLOR FF0000>#Rejected#</COLOR> Option_Sy_Item_100_01,<COLOR FF0000>#Rejected#</COLOR> Option_Sy_Item_100_01,<COLOR FF0000>#Rejected#</COLOR> Option_Sy_Item_100_01,<COLOR FF0000>#Rejected#</COLOR> Option_Sy_Item_100_01,<COLOR FF0000>#Rejected#</COLOR> Option_Sy_Item_100_01,<COLOR FF0000>#Rejected#</COLOR> Option_Sy_Item_100_01,<COLOR FF0000>#Rejected#</COLOR> Option_Sy_Item_100_01,<COLOR FF0000>#Rejected#</COLOR> Option_Sy_Item_100_01,<COLOR FF0000>#Rejected#</COLOR> Option_Sy_Item_100_01,<COLOR FF0000>#Rejected#</COLOR> Option_Sy_Item_100_01,<COLOR FF0000>#Rejected#</COLOR> Option_Sy_Item_100_01,<COLOR FF0000>#Rejected#</COLOR> Option_Sy_Item_100_01,<COLOR FF0000>#Rejected#</COLOR> Option_Sy_Item_100_01,<COLOR FF0000>#Rejected#</COLOR> Option_Sy_Item_100_01,<COLOR FF0000>#Rejected#</COLOR> Option_Sy_Item_100_01,<COLOR FF0000>#Rejected#</COLOR> Option_Sy_Item_100_01
c8dd4404-a900-4cf9-b000-57724261414b,4237290599,Option_Sy_Item_100_02,<COLOR FF0000>#Rejected#</COLOR> Option_Sy_Item_100_02,<COLOR FF0000>#Rejected#</COLOR> Option_Sy_Item_100_02,<COLOR FF0000>#Rejected#</COLOR> Option_Sy_Item_100_02,<COLOR FF0000>#Rejected#</COLOR> Option_Sy_Item_100_02,<COLOR FF0000>#Rejected#</COLOR> Option_Sy_Item_100_02,<COLOR FF0000>#Rejected#</COLOR> Option_Sy_Item_100_02,<COLOR FF0000>#Rejected#</COLOR> Option_Sy_Item_100_02,<COLOR FF0000>#Rejected#</COLOR> Option_Sy_Item_100_02,<COLOR FF0000>#Rejected#</COLOR> Option_Sy_Item_100_02,<COLOR FF0000>#Rejected#</COLOR> Option_Sy_Item_100_02,<COLOR FF0000>#Rejected#</COLOR> Option_Sy_Item_100_02,<COLOR FF0000>#Rejected#</COLOR> Option_Sy_Item_100_02,<COLOR FF0000>#Rejected#</COLOR> Option_Sy_Item_100_02,<COLOR FF0000>#Rejected#</COLOR> Option_Sy_Item_100_02,<COLOR FF0000>#Rejected#</COLOR> Option_Sy_Item_100_02,<COLOR FF0000>#Rejected#</COLOR> Option_Sy_Item_100_02,<COLOR FF0000>#Rejected#</COLOR> Option_Sy_Item_100_02,<COLOR FF0000>#Rejected#</COLOR> Option_Sy_Item_100_02,<COLOR FF0000>#Rejected#</COLOR> Option_Sy_Item_100_02,<COLOR FF0000>#Rejected#</COLOR> Option_Sy_Item_100_02,<COLOR FF0000>#Rejected#</COLOR> Option_Sy_Item_100_02,<COLOR FF0000>#Rejected#</COLOR> Option_Sy_Item_100_02,<COLOR FF0000>#Rejected#</COLOR> Option_Sy_Item_100_02,<COLOR FF0000>#Rejected#</COLOR> Option_Sy_Item_100_02,<COLOR FF0000>#Rejected#</COLOR> Option_Sy_Item_100_02,<COLOR FF0000>#Rejected#</COLOR> Option_Sy_Item_100_02,<COLOR FF0000>#Rejected#</COLOR> Option_Sy_Item_100_02,<COLOR FF0000>#Rejected#</COLOR> Option_Sy_Item_100_02,<COLOR FF0000>#Rejected#</COLOR> Option_Sy_Item_100_02,<COLOR FF0000>#Rejected#</COLOR> Option_Sy_Item_100_02,<COLOR FF0000>#Rejected#</COLOR> Option_Sy_Item_100_02,<COLOR FF0000>#Rejected#</COLOR> Option_Sy_Item_100_02,<COLOR FF0000>#Rejected#</COLOR> Option_Sy_Item_100_02
59ed099e-7372-48bf-9cd0-3793eeda86f3,2618008978,LiteMode_Describe_Head,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Describe_Head,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Describe_Head,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Describe_Head,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Describe_Head,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Describe_Head,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Describe_Head,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Describe_Head,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Describe_Head,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Describe_Head,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Describe_Head,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Describe_Head,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Describe_Head,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Describe_Head,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Describe_Head,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Describe_Head,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Describe_Head,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Describe_Head,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Describe_Head,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Describe_Head,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Describe_Head,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Describe_Head,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Describe_Head,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Describe_Head,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Describe_Head,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Describe_Head,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Describe_Head,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Describe_Head,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Describe_Head,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Describe_Head,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Describe_Head,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Describe_Head,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Describe_Head,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Describe_Head
1a79a867-50e1-4a5c-a45f-a1727ee20b10,3249889670,LiteMode_Describe_Body_01,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Describe_Body_01,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Describe_Body_01,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Describe_Body_01,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Describe_Body_01,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Describe_Body_01,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Describe_Body_01,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Describe_Body_01,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Describe_Body_01,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Describe_Body_01,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Describe_Body_01,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Describe_Body_01,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Describe_Body_01,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Describe_Body_01,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Describe_Body_01,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Describe_Body_01,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Describe_Body_01,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Describe_Body_01,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Describe_Body_01,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Describe_Body_01,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Describe_Body_01,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Describe_Body_01,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Describe_Body_01,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Describe_Body_01,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Describe_Body_01,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Describe_Body_01,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Describe_Body_01,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Describe_Body_01,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Describe_Body_01,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Describe_Body_01,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Describe_Body_01,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Describe_Body_01,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Describe_Body_01,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Describe_Body_01
aabcd612-ccad-4f8a-9ad6-f49c555483a4,634351650,LiteMode_Describe_Body_02,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Describe_Body_02,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Describe_Body_02,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Describe_Body_02,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Describe_Body_02,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Describe_Body_02,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Describe_Body_02,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Describe_Body_02,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Describe_Body_02,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Describe_Body_02,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Describe_Body_02,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Describe_Body_02,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Describe_Body_02,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Describe_Body_02,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Describe_Body_02,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Describe_Body_02,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Describe_Body_02,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Describe_Body_02,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Describe_Body_02,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Describe_Body_02,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Describe_Body_02,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Describe_Body_02,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Describe_Body_02,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Describe_Body_02,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Describe_Body_02,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Describe_Body_02,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Describe_Body_02,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Describe_Body_02,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Describe_Body_02,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Describe_Body_02,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Describe_Body_02,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Describe_Body_02,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Describe_Body_02,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Describe_Body_02
c0a60cd8-38c8-4d75-ac62-67ed70703d06,2691395340,LiteMode_Select_Question,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Select_Question,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Select_Question,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Select_Question,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Select_Question,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Select_Question,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Select_Question,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Select_Question,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Select_Question,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Select_Question,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Select_Question,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Select_Question,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Select_Question,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Select_Question,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Select_Question,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Select_Question,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Select_Question,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Select_Question,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Select_Question,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Select_Question,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Select_Question,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Select_Question,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Select_Question,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Select_Question,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Select_Question,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Select_Question,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Select_Question,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Select_Question,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Select_Question,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Select_Question,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Select_Question,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Select_Question,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Select_Question,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Select_Question
707dd5a4-39e5-424d-8186-5328209bfc1a,548389829,LiteMode_Select_Normal,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Select_Normal,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Select_Normal,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Select_Normal,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Select_Normal,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Select_Normal,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Select_Normal,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Select_Normal,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Select_Normal,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Select_Normal,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Select_Normal,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Select_Normal,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Select_Normal,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Select_Normal,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Select_Normal,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Select_Normal,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Select_Normal,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Select_Normal,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Select_Normal,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Select_Normal,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Select_Normal,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Select_Normal,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Select_Normal,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Select_Normal,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Select_Normal,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Select_Normal,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Select_Normal,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Select_Normal,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Select_Normal,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Select_Normal,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Select_Normal,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Select_Normal,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Select_Normal,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Select_Normal
6b2adedb-27af-4311-a48e-2ab80e7cb71f,3373547649,LiteMode_Select_Lite,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Select_Lite,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Select_Lite,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Select_Lite,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Select_Lite,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Select_Lite,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Select_Lite,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Select_Lite,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Select_Lite,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Select_Lite,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Select_Lite,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Select_Lite,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Select_Lite,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Select_Lite,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Select_Lite,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Select_Lite,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Select_Lite,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Select_Lite,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Select_Lite,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Select_Lite,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Select_Lite,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Select_Lite,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Select_Lite,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Select_Lite,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Select_Lite,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Select_Lite,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Select_Lite,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Select_Lite,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Select_Lite,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Select_Lite,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Select_Lite,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Select_Lite,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Select_Lite,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Select_Lite
1441dd94-37c6-4cd9-8cc1-39e2def38738,2108175967,LiteMode_Confirm_Normal,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Confirm_Normal,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Confirm_Normal,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Confirm_Normal,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Confirm_Normal,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Confirm_Normal,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Confirm_Normal,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Confirm_Normal,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Confirm_Normal,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Confirm_Normal,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Confirm_Normal,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Confirm_Normal,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Confirm_Normal,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Confirm_Normal,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Confirm_Normal,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Confirm_Normal,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Confirm_Normal,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Confirm_Normal,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Confirm_Normal,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Confirm_Normal,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Confirm_Normal,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Confirm_Normal,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Confirm_Normal,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Confirm_Normal,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Confirm_Normal,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Confirm_Normal,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Confirm_Normal,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Confirm_Normal,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Confirm_Normal,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Confirm_Normal,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Confirm_Normal,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Confirm_Normal,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Confirm_Normal,<COLOR FF0000>#Rejected#</COLOR> LiteMode_Confirm_Normal
