guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
7b4a842b-55b7-4407-ae51-63f4785cacae,34708463,OtAirouArmor_Chest_000_Explain,"カムラの里で古くから愛されて
いる胴用装備。胸に光る
手裏剣は、里を護る勇気の証。","Body armor the citizens of
Kamura Village love almost
as much as their home.","Armure extrêmement prisée
des villageois de Kamura.","Armatura che gli abitanti
di Kamura amano quasi
quanto il loro villaggio.","Diesen Körperschutz lieben
die Einwohner Kamuras fast
so sehr wie ihr Zuhause.","Armadura que los aldeanos
de Kamura aman casi tanto
como a sus hogares.","Доспехи, которые жители
деревни Камура любят почти
так же, как родной дом.","Pancerz, który mieszkańcy
Kamury kochają niemal
tak mocno, jak ich wioskę.",,,"Os cidadãos da Aldeia Kamura
amam armaduras quase tanto
quanto suas próprias casas.","카무라 마을에서 오랫동안
사랑받은 몸통 방어구. 가슴의
빛나는 수리검은 용기의 상징.","在神火村自古便廣受喜愛的身體
裝備。胸口閃閃發光的手裡劍，
是守護村莊的勇氣之證。","在炎火村自古以来都备受喜爱的
身体装备。胸前发光的手里剑，
乃是守护村子的勇气之证。",,,,,,,,"الدرع الواقية التي يحبها
سكان قرية كامورا
بقدر حبهم لموطنهم.",,,,,,,,,,,
317b6411-8c04-4e09-bcdc-dab04c1abc64,3090648701,OtAirouArmor_Chest_001_Explain,"オトモアイルーの入門向け
胴用装備。どんぐりの形をし
たオトモ界の象徴的な防具。","Entry-level Palico
body armor. An acorn a day
keeps the monsters away!","Armure basique pour
Pilpoil. Les châtaignes
éloignent les monstres !","Cotta per compagni Felyne.
Una ghianda al giorno toglie
i mostri di torno!","Einstiegsrüstung für
Palicos. Wer Monster nicht
mag: eine Eichel pro Tag!","Armadura básica de camarada.
¡Una bellota al día protege
con alegría!","Доспехи начального
уровня для Палико.
Желудь — славная защита!","Podstawowy pancerz
koleżkotów.
W żołędziu siła!",,,"Armadura de Amigato
iniciante. Uma noz por dia
afasta os monstros!","동반자 아이루의 입문자용
몸통 방어구. 도토리처럼 생긴
동반자계를 상징하는 방어구.","隨從艾路的入門款身體裝備。
有著橡實的外型，
是隨從界具代表性的防具。","随从艾露猫的入门身体装备。
橡子形状的
随从界象征性防具。",,,,,,,,"الدرع الواقية لباليكو
مبتدئ. بلوطة في اليوم
تُبقي الوحوش بعيدين!",,,,,,,,,,,
23375075-dcab-412d-a02a-ae77da0e9950,708084300,OtAirouArmor_Chest_002_Explain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200dae03-4578-4813-8a9a-b30c0a4d16f3,959035530,OtAirouArmor_Chest_003_Explain,"様々なモンスターの骨を使い、
作られた胴用装備。身に着け
れば、野性的な香りが漂う。","Body armor made of a variety
of monster bones. Look wild,
smell wild...then go wild!","À base d'os de monstres. Un
look et une odeur sauvages
pour des combats sauvages.","Armatura fabbricata con ossa
di vari mostri. Aspetto
feroce... e puzza selvaggia!","Körperschutz aus diversen
Monsterknochen. Mit wildem
Geruch und Aussehen.","Hecha con diversos huesos
de monstruo. Da un aspecto
y olor salvajes.","Доспехи из разных костей
монстров. Воплощение ярости
и безумия!","Pancerz z kości potworów.
Wygląd dziki jak zapach.
Uwolnij w sobie potwora!",,,"Armadura feita com ossos de
monstros. Parece selvagem,
o cheiro é, então se solte!","다양한 몬스터의 뼈를 써서
만든 몸통 방어구. 착용하면
야성적인 분위기가 감돈다.","使用各種魔物骨
製作的身體裝備。
穿著後將飄散出野性氛圍。","用各种怪物骨制作的身体装备。
只要穿戴上，
就会散发出野性的气质。",,,,,,,,"درع للجسد مصنوعة من مجموعة
من عظام الوحوش. تحلَّ بمظهر
جامح، ثم انطلق!",,,,,,,,,,,
9e897a23-8bf0-4c43-a339-310633f4d031,3735574559,OtAirouArmor_Chest_004_Explain,"良質な鉱石を高熱で溶かし、
三日三晩鍛えることで完成する
胴用装備。防御力は保証付き。","A product of quality ore
and three nights of labor.
Guaranteed body protection.","Cotte en alliage de qualité
qui, martelée trois nuits
entières, est très efficace.","Forgiata in tre notti con
metalli di qualità. Assicura
protezione al corpo.","Gefertigt aus Edelerz in
drei arbeitsreichen Nächten.
Körperschutz garantiert.","Lleva tres días fabricarla.
Su metal de calidad protege
el cuerpo a la perfección.","Хорошая руда и три ночи
труда — и доспех готов!
Защита гарантирована.","Połączenie dobrej rudy
i trzech dób pracy.
Ochrona gwarantowana.",,,"Produto feito com mineral
bom e três noites de
trabalho. Protege o corpo.","양질의 광석을 고열로 녹이고
사흘간 단조하여 완성하는
몸통 방어구. 방어력은 확실.","以高熱將高品質礦石熔化後，
花三天三夜鍛造完成的身體
裝備。防禦力保證沒問題。","用高温熔化上好的矿石，
锻造三天三夜完成的身体装备。
防御力有保障。",,,,,,,,"منتج من معدن خام عالي الجودة
وثلاث ليالٍ من العمل.
حماية مضمونة للجسد.",,,,,,,,,,,
b3c1478b-98b3-41f5-abf8-e4b8c011ba2c,2871792507,OtAirouArmor_Chest_005_Explain,"丸鳥の羽根や皮を用いて作られ
た胴用装備。独特の色合いは、
狩り場でも注目の的。","The distinctive Gargwa parts
used are sure to draw the
eyes of all on the hunt.","Les morceaux de Gargwa
vont décidément attirer
l'œil pendant la chasse.","Armatura con parti
di Gargwa, farà furore tra
tutti i cacciatori.","Diese charakteristischen
Gargwa-Teile ziehen bei der
Jagd alle Blicke auf sich.","Las características partes
de Gargwa usadas llaman
la atención durante la caza.","Материалы Гаргвы несомненно
привлекут внимание всех
на охоте.","Charakterystyczne części
Gargwy z pewnością będą
przyciągać spojrzenia.",,,"As partes de Gargwa
certamente atrairão os
olhos de todos na caçada.","환조의 깃털과 가죽으로 만든
몸통 방어구. 독특한 배색은
사냥터에서도 이목을 끈다.","以丸鳥的羽毛跟皮製作的身體
裝備。獨特的配色讓人即便身處
獵場也能成為眾所矚目的焦點。","用丸鸟的羽毛和皮制成的
身体装备。其独特的配色
在猎场也十分引人注目。",,,,,,,,"مؤكّد أن أجزاء جارجوا
البارزة المستخدمة ستجذب
أعين الجميع في الصيد.",,,,,,,,,,,
8a92a25e-cb71-463d-a76a-4161f6ab429c,4264713813,OtAirouArmor_Chest_006_Explain,"風通しの良いタンクトップ型の
胴用装備。背中の虫カゴには
捕まえた雷光虫が入っている。","A breezy tank top perfect
for fine weather. Complete
with a Thunderbug basket.","Débardeur pour les journées
ensoleillées, avec un panier
en Foudrinsecte.","Canottiera perfetta per le
giornate di sole. Include un
cesto di insetti-tuono.","Ein luftiges Top, ideal für
schönes Wetter. Dazu passend
ein Korb Donnerkäfer.","Camiseta muy fresca, ideal
para el buen tiempo. Incluye
maletín para bichos.","Дышащая майка для хорошей
погоды. В комплекте
корзинка Гроз. жука.","Podkoszulek na słoneczną
pogodę. W zestawie
z siatką na gromuszki.",,,"Uma regata fresca para dias
de tempo bom. Vem com uma
cesta de Insetrovão.","통풍이 좋은 탱크톱 형태의
몸통 방어구. 등의 벌레장에는
잡은 뇌광충이 들어 있다.","很通風的無袖背心型身體裝備。
背上的蟲籠中
放著捕抓到的雷光蟲。","透气性极佳的背心型
身体装备。背后的虫笼里
装着捕捉到的雷光虫。",,,,,,,,"قميص داخلي مريح مثاليّ
للطقس الجيّد. استكمله مع سلة
الحشرة الصاعقة.",,,,,,,,,,,
a4d32649-e66f-4856-b354-eabf26f97564,1434427725,OtAirouArmor_Chest_007_Explain,"身のこなしを邪魔しない軽さが
ウリの胴用装備。フィールドを
ヒラヒラと舞う姿は蝶のよう。","A suit with great mobility.
Dance like a butterfly,
sting like a Felyne!","Armure très flexible.
Dansez comme un papillon,
piquez comme un Felyne !","Abito comodo e flessibile.
Danza come una farfalla,
pungi come un Felyne!","Anzug mit guter Agilität.
Tanze wie ein Schmetterling
und steche wie eine Felyne!","Traje con gran movilidad.
¡Baila como una mariposa,
ataca como un Felyne!","Костюм, не стесняющий
движения. Порхай, как
бабочка, жаль, словно Котт!","Bardzo wygodny strój.
Tańcz niczym motyl,
kąsaj jak felin!",,,"Um traje de alta mobilidade.
Dance como uma borboleta,
ataque como um Felyno!","움직임에 거슬리지 않을 만큼
가벼운 몸통 방어구. 필드를
하늘하늘 춤추는 나비 같다.","最大賣點是輕便的身體裝備。
不會對身體動作造成妨礙，在原
野上飛舞的樣子有如蝴蝶一般。","身体装备，卖点是轻便、
不妨碍身体活动。在原野
翩翩起舞的姿态宛如蝴蝶。",,,,,,,,"بدلة بقدرة كبيرة على الحركة.
ارقص مثل الفراشة،
والدغ مثل فيلاين!",,,,,,,,,,,
6a54adad-15b3-49a6-9d5f-00ad5e162caa,2670638850,OtAirouArmor_Chest_008_Explain,"ワイルドな見た目の胴用装備。
シンプルな構造で動き易さに
定評があり、注文が絶えない。","This armor is prized
for its simplicity and
high maneuverability.","Armure populaire, simple
et polyvalente, qui a déjà
séduit plus d'un guerrier.","Corazza molto richiesta per la
sua fattura semplice che non
ostacola i movimenti.","Diese Rüstung ist gefragt,
da sie so einfach und
höchst beweglich ist.","Esta armadura triunfa
gracias a su simplicidad y
a su gran maniobrabilidad.","Эти доспехи ценятся за
простоту и легкость.","Ten pancerz ceniony jest
za swoją prostotę
i wysoką mobilność.",,,"Armadura elogiada por sua
simplicidade e alta
manobrabilidade.","와일드한 모양의 몸통 방어구.
심플한 구조로 움직이기 편해
주문이 끊이지 않는다.","具有狂野外觀的身體裝備。
因構造簡單，方便活動，
受到極高評價，訂單源源不絕。","外表狂野的身体装备。
因结构简易、活动轻便
而广受好评。订单络绎不绝。",,,,,,,,"هذه الدرع ثمينة
لبساطتها وقدرتها الكبيرة
على المناورة.",,,,,,,,,,,
18177f67-9056-4da3-baa6-0d29a54f6a7f,4015295818,OtAirouArmor_Chest_009_Explain,"長時間着ると、アオアシラが
我が子と間違え、迎えに来る
という逸話を持つ胴用装備。","Body armor that may cause
Arzuros to mistake the
wearer for its young...","Attention, Arzuros lui-même
pourrait vous prendre pour
l'un de ses petits...","Armatura che può indurre gli
Arzuros a credere di avere
di fronte un loro cucciolo.","Körperschutz, der Arzuros
glauben lässt, man sei eines
seiner Jungen...","Esta armadura puede hacer
que un Arzuros te confunda
con una de sus crías.","Доспехи, носителя которых
Арзурос может принять
за своего...","Pancerz, który może zostać
wzięty przez Arzurosa za
jego młode...",,,"Armadura que talvez faça
Arzunos confundir quem a usa
com seu eu mais jovem...","장시간 착용하면 아오아시라가
새끼로 착각해 데리러 온다는
일화를 가진 몸통 방어구.","身體裝備。據說裝備者會被
青熊獸誤認為是自己的孩子，
帶回巢穴。","据说如果长时间穿戴，
会被青熊兽误认为是幼崽
而前来迎接的身体装备。",,,,,,,,"درع للجسد يُمكن أن تجعل
أرزوروس يُخطئ من يرتديها
لطابعها الشبابي...",,,,,,,,,,,
