guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
0b4693ba-3eb5-4cf9-a09c-e4ab14281d84,1736378046,OtAirouArmor_Chest_200_Explain,"カムラの里で古くから愛されて
いる胴用装備。胸に光る
手裏剣は、里を護る勇気の証。","Body armor the citizens of
Kamura Village love almost
as much as their home.","Armure extrêmement prisée
des villageois de Kamura.","Armatura che gli abitanti
di Kamura amano quasi
quanto il loro villaggio.","Diese Rüstung lieben
die Einwohner Kamuras fast
so sehr wie ihr Zuhause.","Armadura que los aldeanos
de Kamura aman casi tanto
como a sus hogares.","Доспехи, которые жители
деревни Камура любят почти
так же, как родной дом.","Pancerz, który mieszkańcy
Kamury kochają niemal
tak mocno, jak ich wioskę.",,,"Os cidadãos de Kamura amam a
armadura corporal quase tanto
quanto as próprias casas.","카무라 마을에서 오랫동안
사랑받은 몸통 방어구. 가슴의
빛나는 수리검은 용기의 상징.","在神火村自古便廣受喜愛的身體
裝備。胸口閃閃發光的手裡劍，
是守護村莊的勇氣之證。","在炎火村自古以来都备受喜爱的
身体装备。胸前发光的手里剑，
乃是守护村子的勇气之证。",,,,,,,,"الدرع الواقية التي يحبها
سكان قرية كامورا
بقدر حبهم لموطنهم.",,,,,,,,,,,
a2b4404d-ea8f-4140-99c2-622c4814cc33,1877738654,OtAirouArmor_Chest_201_Explain,"オトモアイルーの入門向け
胴用装備。どんぐりの形をし
たオトモ界の象徴的な防具。","Entry-level Palico body
armor. An acorn a day
keeps the monsters away!","Armure Felyne basique pour
Palico. Les châtaignes
éloignent les monstres !","Cotta di base per compagni
Felyne. Una ghianda al giorno
toglie i mostri di torno!","Einstiegsrüstung für
Palicos. Wer Monster nicht
mag: eine Eichel pro Tag!","Armadura básica de camarada
Felyne. ¡Una bellota al día
protege con alegría!","Доспехи начального
уровня для котта Палико.
Желудь — славная защита!","Podstawowy pancerz
koleżkotów.
W żołędziu siła!",,,"Armadura de Amigato Felyno
iniciante. Uma noz por dia
afasta os monstros!","동반자 아이루의 입문자용
몸통 방어구. 도토리처럼 생긴
동반자계를 상징하는 방어구.","隨從艾路的入門款身體裝備。
有著橡實的外型，
是隨從界具代表性的防具。","随从艾露猫的入门身体装备。
橡子形状的随从界象征性防具。",,,,,,,,"الدرع الواقية لفيلاين باليكو
مبتدئ. بلوطة في اليوم
تُبقي الوحوش بعيدين!",,,,,,,,,,,
3b11f2d1-f9b6-4be6-ac11-e0b0c9e101d6,1932677106,OtAirouArmor_Chest_202_Explain,<COLOR FF0000>#Rejected#</COLOR> OtAirouArmor_Chest_202_Explain,<COLOR FF0000>#Rejected#</COLOR> OtAirouArmor_Chest_202_Explain,<COLOR FF0000>#Rejected#</COLOR> OtAirouArmor_Chest_202_Explain,<COLOR FF0000>#Rejected#</COLOR> OtAirouArmor_Chest_202_Explain,<COLOR FF0000>#Rejected#</COLOR> OtAirouArmor_Chest_202_Explain,<COLOR FF0000>#Rejected#</COLOR> OtAirouArmor_Chest_202_Explain,<COLOR FF0000>#Rejected#</COLOR> OtAirouArmor_Chest_202_Explain,<COLOR FF0000>#Rejected#</COLOR> OtAirouArmor_Chest_202_Explain,<COLOR FF0000>#Rejected#</COLOR> OtAirouArmor_Chest_202_Explain,<COLOR FF0000>#Rejected#</COLOR> OtAirouArmor_Chest_202_Explain,<COLOR FF0000>#Rejected#</COLOR> OtAirouArmor_Chest_202_Explain,<COLOR FF0000>#Rejected#</COLOR> OtAirouArmor_Chest_202_Explain,<COLOR FF0000>#Rejected#</COLOR> OtAirouArmor_Chest_202_Explain,<COLOR FF0000>#Rejected#</COLOR> OtAirouArmor_Chest_202_Explain,<COLOR FF0000>#Rejected#</COLOR> OtAirouArmor_Chest_202_Explain,<COLOR FF0000>#Rejected#</COLOR> OtAirouArmor_Chest_202_Explain,<COLOR FF0000>#Rejected#</COLOR> OtAirouArmor_Chest_202_Explain,<COLOR FF0000>#Rejected#</COLOR> OtAirouArmor_Chest_202_Explain,<COLOR FF0000>#Rejected#</COLOR> OtAirouArmor_Chest_202_Explain,<COLOR FF0000>#Rejected#</COLOR> OtAirouArmor_Chest_202_Explain,<COLOR FF0000>#Rejected#</COLOR> OtAirouArmor_Chest_202_Explain,<COLOR FF0000>#Rejected#</COLOR> OtAirouArmor_Chest_202_Explain,<COLOR FF0000>#Rejected#</COLOR> OtAirouArmor_Chest_202_Explain,<COLOR FF0000>#Rejected#</COLOR> OtAirouArmor_Chest_202_Explain,<COLOR FF0000>#Rejected#</COLOR> OtAirouArmor_Chest_202_Explain,<COLOR FF0000>#Rejected#</COLOR> OtAirouArmor_Chest_202_Explain,<COLOR FF0000>#Rejected#</COLOR> OtAirouArmor_Chest_202_Explain,<COLOR FF0000>#Rejected#</COLOR> OtAirouArmor_Chest_202_Explain,<COLOR FF0000>#Rejected#</COLOR> OtAirouArmor_Chest_202_Explain,<COLOR FF0000>#Rejected#</COLOR> OtAirouArmor_Chest_202_Explain,<COLOR FF0000>#Rejected#</COLOR> OtAirouArmor_Chest_202_Explain,<COLOR FF0000>#Rejected#</COLOR> OtAirouArmor_Chest_202_Explain,<COLOR FF0000>#Rejected#</COLOR> OtAirouArmor_Chest_202_Explain
a8978551-c3a5-4999-a96c-941e7bf805c1,4060098576,OtAirouArmor_Chest_203_Explain,"様々なモンスターの骨を使い、
作られた胴用装備。身に着け
れば、野性的な香りが漂う。","Body armor made of a variety
of monster bones. Look wild,
smell wild...then go wild!","À base d'os de monstres. Un
look et une odeur sauvages
pour des combats sauvages.","Armatura fabbricata con ossa
di vari mostri. Aspetto
feroce... e puzza selvaggia!","Körperschutz aus diversen
Monsterknochen. Mit wildem
Geruch und Aussehen.","Hecha con diversos huesos
de monstruo. Da un aspecto
y olor salvajes.","Доспехи из разных костей
монстров. Воплощение ярости
и безумия!","Pancerz z kości potworów.
Wygląd dziki jak zapach.
Uwolnij w sobie potwora!",,,"Armadura feita com ossos de
monstros. Seja selvagem como
seu cheiro e aparência","다양한 몬스터의 뼈를 써서
만든 몸통 방어구. 착용하면
야성적인 분위기가 감돈다.","使用各種魔物骨
製作的身體裝備。
穿著後將飄散出野性氛圍。","用各种怪物骨制作的身体装备。
只要穿戴上，就会散发出野性的
气质。",,,,,,,,"درع واقية مصنوعة من مجموعة
من عظام الوحوش. تحلَّ بمظهر
جامح، ثم انطلق!",,,,,,,,,,,
7a94744e-2eee-4c1f-bb59-49234849423d,3814014316,OtAirouArmor_Chest_204_Explain,"良質な鉱石を高熱で溶かし、
三日三晩鍛えることで完成する
胴用装備。防御力は保証付き。","A product of quality ore
and three nights of labor.
Guaranteed body protection.","Cotte en alliage de qualité
qui, martelée trois nuits
entières, est très efficace.","Forgiata in tre notti con
metalli di qualità. Assicura
protezione al corpo.","Gefertigt aus Edelerz in
drei arbeitsreichen Nächten.
Körperschutz garantiert.","Lleva tres días fabricarla.
Su metal de calidad protege
el cuerpo a la perfección.","Хорошая руда и три ночи
труда — и доспех готов!
Защита гарантирована.","Połączenie wysokiej jakości rudy
i trzech dób pracy.
Ochrona gwarantowana.",,,"Produto feito com mineral
bom e três noites de
trabalho. Protege o corpo.","양질의 광석을 고열로 녹이고
사흘간 단조하여 완성하는
몸통 방어구. 방어력은 확실.","以高熱將高品質礦石熔化後，
花三天三夜鍛造完成的身體
裝備。防禦力保證沒問題。","用高温熔化上好的矿石，
锻造三天三夜完成的身体装备。
防御力有保障。",,,,,,,,"منتج من معدن خام عالي الجودة
وثلاث ليالٍ من العمل.
حماية مضمونة للجسد.",,,,,,,,,,,
89cb344b-0c09-445c-bb96-38f6c84d6f23,3479188471,OtAirouArmor_Chest_205_Explain,"丸鳥の羽根や皮を用いて作られ
た胴用装備。その龍耐性は丸鳥
の皮を被った龍、と称される。","Feathered body armor with
Dragon Resistance. A.K.A.,
the ""dragon in bird's clothes.""","Armure à plumes qui protège
des dragons. Alias le ""dragon
déguisé en oiseau"".","Armatura piumata e robusta
come un drago. Detta anche
""drago in abiti d'uccello"".","Federbesetzter Körperschutz
mit Drachenabwehr:
""Der Drache im Vogelkleid.""","Armadura emplumada con
resistencia a draco. Llamada
también ""dragón con plumas"".","Пернатый доспех с
сопротивлением дракону.
""Дракон в птичьих перьях"".","Pierzasta zbroja o smoczej
odporności. Inna nazwa to
„smok w ptasiej skórze.”",,,"Armadura com penas e Resist.
a Dragão. A famosa
""Dragão em pele de pássaro"".","환조의 깃털과 가죽으로 만든
몸통 방어구. 용내성은 환조의
가죽을 쓴 용이라고 불린다.","以丸鳥的羽毛跟皮製作的身體
裝備。其龍耐性被稱為披著
丸鳥皮的龍。","用丸鸟的羽毛和皮制成的
身体装备。因其优秀的龙耐性，
被称为披着丸鸟皮的龙。",,,,,,,,"درع واقية مكسوة بالريش يمكنها
مقاومة التنين. يُطلق عليها أيضًا
""تنين في رداء عصفور"".",,,,,,,,,,,
27b65cea-3be6-47dd-81cd-597b4e7c509b,2216370809,OtAirouArmor_Chest_206_Explain,"風通しの良いタンクトップ型の
胴用装備。背中の虫カゴには
捕まえた雷光虫が入っている。","A breezy tank top perfect
for fine weather. Complete
with a basket of Thunderbugs.","Débardeur idéal pour les journées
ensoleillées, doté d'un panier de
foudrinsectes en accessoire.","Canottiera che mantiene freschi
quando il clima è mite. Include
un cesto di insetti-tuono.","Ein luftiges Top, ideal für
schönes Wetter. Dazu passend
ein Korb Donnerkäfer.","Camiseta muy fresca,
ideal para el buen tiempo.
Incluye bichos eléctricos.","Дышащая майка для хорошей
погоды. В комплекте
корзинка Гроз. жуков.","Podkoszulek na słoneczną
pogodę. W zestawie
z koszykiem z gromuszkami.",,,"Uma regata fresca para dias
de tempo bom. Vem com uma
cesta de Insetrovão.","통풍이 좋은 탱크톱 형태의
몸통 방어구. 등의 벌레장에는
잡은 뇌광충이 들어 있다.","很通風的無袖背心型身體裝備。
背上的蟲籠中
放著捕抓到的雷光蟲。","透气性极佳的背心型
身体装备。背后的虫笼里
装着捕捉到的雷光虫。",,,,,,,,"قميص داخلي مريح مثالي
للطقس الجيد. استكمله مع سلة
من الحشرات الصاعقة.",,,,,,,,,,,
305f7092-ad2b-4682-b349-d380787de96d,2585125269,OtAirouArmor_Chest_207_Explain,"身のこなしを邪魔しない軽さが
ウリの胴用装備。フィールドを
ヒラヒラと舞う姿は蝶のよう。","A suit with great mobility.
Dance like a butterfly,
sting like a Felyne!","Armure très flexible.
Dansez comme un papillon,
piquez comme un Felyne !","Abito comodo e flessibile.
Danza come una farfalla,
pungi come un Felyne!","Anzug mit guter Agilität.
Tanze wie ein Schmetterling
und steche wie eine Felyne!","Traje con gran movilidad.
¡Baila como una mariposa,
ataca como un Felyne!","Костюм, не стесняющий
движения. Порхай, как
бабочка, и жаль, словно Котт!","Bardzo wygodny strój.
Tańcz niczym motyl,
kąsaj jak felin!",,,"Um traje de alta mobilidade.
Dance como uma borboleta,
ataque como um Felyno!","움직임에 거슬리지 않을 만큼
가벼운 몸통 방어구. 필드를
하늘하늘 춤추는 나비 같다.","最大賣點是輕便的身體裝備。
不會對身體動作造成妨礙，在原
野上飛舞的樣子有如蝴蝶一般。","身体装备，卖点是轻便、
不妨碍身体活动。在原野
翩翩起舞的姿态宛如蝴蝶。",,,,,,,,"بدلة بقدرة كبيرة على الحركة.
ارقص مثل الفراشة،
والدغ مثل فيلاين!",,,,,,,,,,,
2f5313c0-a34a-44a4-8b1b-c95fb80b708b,2374452030,OtAirouArmor_Chest_208_Explain,"ワイルドな見た目の胴用装備。
シンプルな構造で動き易さに
定評があり、注文が絶えない。","Demand for this armor is high
thanks to its simplicity and
high maneuverability.","Armure très populaire, simple
et polyvalente, qui a déjà
séduit plus d'un guerrier.","Corazza molto richiesta per la
sua fattura semplice che non
ostacola i movimenti.","Diese Rüstung ist gefragt,
da sie so einfach und
höchst beweglich ist.","Esta armadura triunfa por
su simplicidad y su gran
maniobrabilidad.","Эти доспехи ценятся за
простоту и легкость.","Ten pancerz ceniony jest
za swoją prostotę
i wysoką mobilność.",,,"Armadura muito procurada
pela simplicidade e alta
manobrabilidade.","와일드한 모양의 몸통 방어구.
심플한 구조로 움직이기 편해
주문이 끊이지 않는다.","具有狂野外觀的身體裝備。
因構造簡單，方便活動，
受到極高評價，訂單源源不絕。","外表狂野的身体装备。
因结构简易、活动轻便
而广受好评。订单络绎不绝。",,,,,,,,"الطلب على هذه الدرع مرتفع
لبساطتها وقدرتها الكبيرة
على المناورة.",,,,,,,,,,,
9a624d22-722b-4deb-bc23-1a0837194d1c,730214734,OtAirouArmor_Chest_209_Explain,"風のように軽いと評判の胴用
装備。望遠鏡や革袋など、冒険
に役立つ嬉しいおまけつき。","Body armor said to be light
as air, with a nice spyglass
and leather pouch, to boot.","Armure ultra légère
agrémentée d'une lorgnette
et d'une besace en cuir.","Armatura leggera come l'aria.
Include un cannocchiale
e una sacca di pelle.","Federleichter Körperschutz,
kommt mit hübschem Fernglas
und praktischem Lederbeutel.","Armadura ligera como el
aire, con catalejo y bolsa
de cuero con estilo.","Практически невесомый доспех
с подзорной трубой и кожаным
кошелем в комплекте.","Pancerz lekki jak pierze.
W zestawie z lunetą
i skórzaną sakwą.",,,"Armadura leve como o ar, com
uma luneta e uma bolsa de
couro de brinde.","바람처럼 가벼운 몸통 방어구.
망원경과 허리띠 등, 모험에
도움되는 옵션도 딸려 있다.","以輕盈如風聞名的身體裝備。
還附有望遠鏡和皮革袋等
冒險時會用到的便利道具。","有轻盈如风之誉的身体装备。
还附赠望远镜与皮革口袋等
有助于冒险的好东西。",,,,,,,,"درع للجسد يُقال إنها خفيفة
كالهواء، مع منظار جميل
وحقيبة جلدية، وحذاء.",,,,,,,,,,,
