guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
759ac3a9-21e6-4971-9463-db76a6b03500,1689587074,OtAirouArmor_Head_200_Explain,"カムラの里で古くから愛されて
いる頭用装備。揺れて響く鈴の
音は、里を想う慈愛の証。","Head armor the citizens of
Kamura Village love almost
as much as their home.","Armure de tête très
prisée des villageois
de Kamura.","Elmo che gli abitanti
di Kamura amano quasi
quanto il loro villaggio.","Diesen Kopfschutz lieben die
Einwohner Kamuras fast so
sehr wie ihr Zuhause.","Capucha que los habitantes
de Kamura aman casi tanto
como a sus hogares.","Защита головы — жители
Камуры ее любят почти
так же, как родной дом.","Hełm, który mieszkańcy
Kamury kochają niemal
tak mocno, jak ich wioskę.",,,"Os cidadãos da Aldeia Kamura
amam esses elmos
como suas próprias casas.","카무라 마을에서 오랫동안
사랑받은 머리 방어구. 울리는
방울 소리는 자애의 상징.","在神火村自古便廣受喜愛的頭部
裝備。隨著搖曳流瀉而出的鈴鐺
聲，是心繫村莊的慈愛之證。","在炎火村自古以来都备受喜爱的
头部装备。那清脆的铃音，
乃是关心村子的慈爱之证。",,,,,,,,"درع الرأس التي يحبها
سكان قرية كامورا تقريبًا
بقدر حبهم لموطنهم.",,,,,,,,,,,
3bddd0b6-c447-4fb7-a595-93b4ed310cc2,3402110733,OtAirouArmor_Head_201_Explain,"オトモアイルーの入門向け
頭用装備。オトモ界で広く
使われている象徴的な防具。","Entry-level Palico head
armor. The look that
defined a generation!","Coiffe Felyne basique pour
Palico. Le style de toute
une génération !","Elmo di base per compagni
Felyne. Il suo stile ha
fatto epoca!","Palico-Kopfschutz für
Einsteiger. Der Look einer
ganzen Generation!","Casco básico de camarada
Felyne. ¡Un atuendo que
define toda una generación!","Шлем начального уровня
для коттов Палико.
Классический облик!","Podstawowy hełm koleżkotów.
Ponadczasowy styl, który
nie przemija.",,,"Equip. pra cabeça de Amigato
Felyno iniciante. O visual
que definiu uma geração.","동반자 아이루의 입문자용
머리 방어구. 널리 쓰이며
동반자계를 상징하는 방어구.","隨從艾路的入門款頭部裝備。
是隨從界廣為使用的防具，
備具代表性。","随从艾露猫的入门头部装备。
在随从界被广泛使用的象征性
防具。",,,,,,,,"درع رأس فيلاين باليكو بمستوى
الدخول. المظهر الذي يميز
الجيل!",,,,,,,,,,,
dc4b0a51-1e82-418a-a257-2edb67c9927d,937985874,OtAirouArmor_Head_202_Explain,<COLOR FF0000>#Rejected#</COLOR> OtAirouArmor_Head_202_Explain,<COLOR FF0000>#Rejected#</COLOR> OtAirouArmor_Head_202_Explain,<COLOR FF0000>#Rejected#</COLOR> OtAirouArmor_Head_202_Explain,<COLOR FF0000>#Rejected#</COLOR> OtAirouArmor_Head_202_Explain,<COLOR FF0000>#Rejected#</COLOR> OtAirouArmor_Head_202_Explain,<COLOR FF0000>#Rejected#</COLOR> OtAirouArmor_Head_202_Explain,<COLOR FF0000>#Rejected#</COLOR> OtAirouArmor_Head_202_Explain,<COLOR FF0000>#Rejected#</COLOR> OtAirouArmor_Head_202_Explain,<COLOR FF0000>#Rejected#</COLOR> OtAirouArmor_Head_202_Explain,<COLOR FF0000>#Rejected#</COLOR> OtAirouArmor_Head_202_Explain,<COLOR FF0000>#Rejected#</COLOR> OtAirouArmor_Head_202_Explain,<COLOR FF0000>#Rejected#</COLOR> OtAirouArmor_Head_202_Explain,<COLOR FF0000>#Rejected#</COLOR> OtAirouArmor_Head_202_Explain,<COLOR FF0000>#Rejected#</COLOR> OtAirouArmor_Head_202_Explain,<COLOR FF0000>#Rejected#</COLOR> OtAirouArmor_Head_202_Explain,<COLOR FF0000>#Rejected#</COLOR> OtAirouArmor_Head_202_Explain,<COLOR FF0000>#Rejected#</COLOR> OtAirouArmor_Head_202_Explain,<COLOR FF0000>#Rejected#</COLOR> OtAirouArmor_Head_202_Explain,<COLOR FF0000>#Rejected#</COLOR> OtAirouArmor_Head_202_Explain,<COLOR FF0000>#Rejected#</COLOR> OtAirouArmor_Head_202_Explain,<COLOR FF0000>#Rejected#</COLOR> OtAirouArmor_Head_202_Explain,<COLOR FF0000>#Rejected#</COLOR> OtAirouArmor_Head_202_Explain,<COLOR FF0000>#Rejected#</COLOR> OtAirouArmor_Head_202_Explain,<COLOR FF0000>#Rejected#</COLOR> OtAirouArmor_Head_202_Explain,<COLOR FF0000>#Rejected#</COLOR> OtAirouArmor_Head_202_Explain,<COLOR FF0000>#Rejected#</COLOR> OtAirouArmor_Head_202_Explain,<COLOR FF0000>#Rejected#</COLOR> OtAirouArmor_Head_202_Explain,<COLOR FF0000>#Rejected#</COLOR> OtAirouArmor_Head_202_Explain,<COLOR FF0000>#Rejected#</COLOR> OtAirouArmor_Head_202_Explain,<COLOR FF0000>#Rejected#</COLOR> OtAirouArmor_Head_202_Explain,<COLOR FF0000>#Rejected#</COLOR> OtAirouArmor_Head_202_Explain,<COLOR FF0000>#Rejected#</COLOR> OtAirouArmor_Head_202_Explain,<COLOR FF0000>#Rejected#</COLOR> OtAirouArmor_Head_202_Explain
dbf0f4c4-04de-40fc-a67f-fcb748ee7942,315402342,OtAirouArmor_Head_203_Explain,"モンスターの頭骨をベースに
作られた頭用装備。身に着け
れば、野性の心が目覚める。","Head armor made out of
a monster skull. Awakens
a Palico's wild side.","Fabriqué à partir d'un crâne
de monstre. Révèle le côté
sauvage d'un Palico.","Elmo ricavato da un teschio
di mostro. Risveglia il lato
selvaggio dei Felyne.","Kopfschutz aus einem
Monsterschädel. Weckt die
Wildheit in jedem Kameraden.","Casco hecho con el cráneo de
un monstruo. Azuza el lado
salvaje de los camaradas.","Шлем из черепа монстра.
Пробуждает в Палико зверя.","Hełm z czaszki potwora.
Obudzi w koleżkocie
jego dziką naturę.",,,"Elmo de crânio de monstro.
Desperta um lado selvagem
no Amigato.","몬스터의 두개골을 기초로
만든 머리 방어구. 착용하면
마음속 야성이 눈을 뜬다.","以魔物頭骨為基底
製作的頭部裝備。
穿著後野性之心會覺醒。","以怪物的头骨为基底制作的
头部装备。只要穿戴上，
心中野性就能觉醒。",,,,,,,,"درع رأس مصنوعة من جمجمة
وحش. تُوقظ الجانب
المتوحش لدى باليكو.",,,,,,,,,,,
67bd4ce9-a1cd-4c49-8be2-0d8461632d69,3760197764,OtAirouArmor_Head_204_Explain,"良質な鉱石を高熱で溶かし、
三日三晩鍛えることで完成する
頭用装備。防御力はお墨付き。","A product of quality ore
and three nights of labor.
Guaranteed head protection.","Casque en alliage qui a
requis trois nuits de labeur
et protège bien la tête.","Forgiato in tre notti con
metalli di qualità. Assicura
protezione alla testa.","Gefertigt aus Edelerz in
drei arbeitsreichen Nächten.
Kopfschutz garantiert.","Hecho con metal de calidad,
se fabrica en tres días.
Tu cabeza siempre a salvo.","Хорошая руда и три ночи
труда — и шлем готов!
Защита гарантирована.","Połączenie dobrej rudy
i trzech dób pracy.
Ochrona gwarantowana.",,,"Produto feito com mineral
bom e três noites de
trabalho. Protege o cabeça.","양질의 광석을 고열로 녹이고
사흘간 단조하여 완성하는
머리 방어구. 방어력은 확실.","以高熱將高品質礦石熔化後，花
三天三夜鍛造完成的頭部裝備。
防禦力備受肯定。","用高温熔化上好的矿石，
锻造三天三夜完成的头部装备。
防御力有保障。",,,,,,,,"منتج من معدن خام عالي الجودة
وثلاث ليالٍ من العمل.
حماية مضمونة للرأس.",,,,,,,,,,,
91d24964-e003-40ef-a0c7-c650791e3c3c,1412212139,OtAirouArmor_Head_205_Explain,"肉食獣に囲まれる危険性を
秘めている丸鳥の頭用装備。
意外にも龍耐性が高い。","A bird mask that whips up
carnivores' appetites. Has
high Dragon Resistance.","Masque d'oiseau qui donne
faim aux carnivores. Bonne
résistance aux dragons.","Maschera da uccello che
attira i carnivori. Fornisce
alta resistenza al drago.","Diese Vogelmaske regt den
Appetit von Fleischfressern
an. Hohe Drachenabwehr.","Su forma de pájaro despierta
el hambre de los carnívoros.
Alta resistencia a draco.","Птичья маска, пробуждающая
зверский аппетит. Дает
сопротивление дракону.","Maska ptaka, która
zaostrzy apetyt na mięso.
Wysoka smocza odporność.",,,"Máscara de pássaro que atiça
o apetite de carnívoros. Tem
alta resistência a Dragão.","육식수에 둘러싸일 위험성을
지닌 환조의 머리 방어구.
의외로 용내성이 높다.","丸鳥頭部裝備，
隱含著被肉食獸包圍的危險性。
龍耐性意外地高。","丸鸟的头部装备。潜藏着
被肉食性野兽包围的危险性。
意外的是龙耐性很高。",,,,,,,,"قناع طائر يُثير شهية آكلات
اللحوم.
لديها مقاومة مرتفعة للتنين.",,,,,,,,,,,
bec56f94-a52e-4530-99bd-e82fe6bfcbd5,2967870906,OtAirouArmor_Head_206_Explain,"強い日差しをシャットアウト！
丈夫で通気性にも優れており、
長時間の活動でも問題なし。","There isn't a better friend
in the fight against bright
sunlight than this hat!","Chapeau sans pareil pour
résister aux assauts
de l'astre solaire !","Questo cappello è l'alleato
ideale per difendersi
dai raggi del sole!","Es gibt keinen besseren
Schutz vor der gleißenden
Sonne als diesen Hut!","¡No hay mejor amigo
contra los rayos del sol
que este sombrero!","Нет лучше союзника в борьбе
с ярким солнцем,
чем эта шляпа!","Nie znajdziesz lepszego
przyjaciela w walce z
rażącym słońcem!",,,"Não há amigo melhor na luta
contra a forte luz do sol
quanto este chapéu!","강한 햇빛을 완벽 차단!
튼튼하고 통기성이 뛰어나
장시간의 활동에도 문제없다.","完全遮蔽強烈日光！
耐用又具有優異透氣性，
就算要長時間活動也沒問題。","完全隔离强烈日晒！
结实又拥有优异的透气性，
长时间穿着活动也没有问题。",,,,,,,,"لا يوجد شيء أفضل في
مكافحة ضوء الشمس الساطع
من هذه القبعة!",,,,,,,,,,,
6f836cd2-04e3-48af-b97e-29a2506aa87c,3966247685,OtAirouArmor_Head_207_Explain,"強い日差しをカットしつつ、雷
や龍属性の攻撃もカットする飛
甲虫の端材を用いた頭用装備。","Sunglasses that alleviate
the sun's rays AND Dragon
and Thunder attacks.","Lunettes protégeant du
soleil ET des attaques
Dragon et Foudre.","Occhiali che proteggono dai
raggi solari e dagli attacchi
drago e tuono.","Eine Sonnenbrille, die neben
Sonnenstrahlen auch Drachen-
und Donnerangriffe abschwächt.","Gafas de sol que protegen de
su resplandor, y también de
ataques de draco y rayo.","Темные очки. Защищают как
от солнца, так и от атак
дракона и молнии.","Okulary chroniące nie tylko
przed słońcem, ale też
smokami oraz piorunami.",,,"Óculos escuros que aliviam
raios de sol E ataques de
Dragão e Trovão.","강한 햇빛 차단에 뇌속성과
용속성 공격도 완화하는
비갑충의 머리 방어구.","使用飛甲蟲的餘料製作的頭部
裝備。阻隔強烈日光的同時，
也可阻隔雷、龍屬性攻擊。","用飞甲虫余料制成的头部装备，
既能抵挡强烈日晒，
也能够抵挡雷和龙属性的攻击。",,,,,,,,"نظارة شمسية تُخفف من حدة
أشعة الشمس، وهجمات التنين،
وهجمات الرعد.",,,,,,,,,,,
06cfef42-e79f-402b-8b20-a06ff0f52fbc,3203897034,OtAirouArmor_Head_208_Explain,"ポポの牙を模した飾りで、
相手を威嚇する頭用装備。前は
ちゃんと見えるので心配無用。","These handy tusks work well
at scaring off potential
predators on the prowl.","Défenses très pratiques
permettant d'effrayer
d'éventuels prédateurs.","Le sue zanne terranno
alla larga i predatori
alla ricerca di cibo.","Diese praktischen Hauer
vertreiben problemlos
umherstreifende Raubtiere.","Colmillos muy útiles para
asustar a los depredadores
que merodeen por ahí.","Эти клыки хорошо отпугивают
хищников, вышедших на охоту.","Te poręczne kły sprawdzają
się w odstraszaniu
potencjalnych drapieżników.",,,"Estas presas funcionam bem
para assustar predadores em
potencial na caça.","포포의 이빨 모양 장식으로
상대를 위협하는 머리 방어구.
앞은 제대로 보여 문제없다.","以模仿波波牙齒的裝飾，
來威嚇對手的頭部裝備。
能清楚看得見前方，不用擔心。","头部装备，模仿波波牙齿的装饰
能威慑对手，戴起来完全可以
看清前方，丝毫不用担心。",,,,,,,,"تعمل هذه الأنياب المفيدة
جيدًا على إخافة المفترسين
المحتملين في المكان.",,,,,,,,,,,
f35d4fe0-36e1-43c3-ac44-ddc8e38da054,346363062,OtAirouArmor_Head_209_Explain,"風のように軽いと評判の頭用
装備。保温性にも優れ、冒険の
時に被るのはこれで決まり。","Agile as the wind,
cozy as a campfire,
great for adventures.","Soyez vif comme le vent
en tout confort.
Pour les aventuriers !","Leggero come una piuma.
Caldo come un falò.
Adatto alle avventure.","Wendig wie der Wind,
lauschig wie ein Lagerfeuer,
ausgezeichnet für Abenteuer","Grácil como el viento y
cómodo como una cama;
esencial en tus aventuras.","Легкий, как ветер.
Уютный, как костер.
Для искателей приключений.","Elastyczny niczym trzcina.
Przytulny jak domowe
zacisze. Dobry na przygody.",,,"Ágil como o vento,
acolhedor como uma fogueira.
Ótimo para aventuras.","바람처럼 가벼운 머리 방어구.
보온성이 뛰어나 모험을 떠날
때에는 이거 하나면 충분.","以輕盈如風而聞名的頭部裝備。
保暖性也相當出色，是冒險時的
必備用品。","有轻盈如风之誉的头部装备。
拥有优秀的保暖性能，
冒险时就该戴上这个。",,,,,,,,"خفيفة كالرياح،
ودافئة كنار المخيم،
ورائعة للمغامرات.",,,,,,,,,,,
