guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
ea667589-4489-4a01-97de-2464eea3ee01,589391205,OtAirouArmor_Head_000_Name,カムラネコノ頭巾,F Kamura Hood,Capuche Kamura F,Cappuccio Kamura F,F Kamura-Kapuze,Capucha Kamura F,Капюшон Камуры К,F Kaptur Kamury,,,Capuz de Kamura F,카무라고양이두건,神火貓之頭巾,炎火猫头巾,,,,,,,,قلنسوة كامورا ف,,,,,,,,,,,
14cddc39-2245-4317-85c9-bcc767b315c4,119473499,OtAirouArmor_Head_001_Name,どんぐりネコヘルム,F Acorn Helm,Casque Châtaigne F,Elmo ghianda F,F Eichelhelm,Casco bellota F,Желудёвый шлем К,F Hełm Żołędzia,,,Elmo de Noz F,도토리고양이헬름,橡實貓頭盔,橡子猫头盔,,,,,,,,خوذة البلوط ف,,,,,,,,,,,
9154e80f-62bf-4882-a0c8-0262210a804c,756638241,OtAirouArmor_Head_002_Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6eb8a803-2fa7-4f7e-af32-9af938acb93d,1078142986,OtAirouArmor_Head_003_Name,ボーンネコヘルム,F Bone Helm,Casque d'os F,Elmo d'osso F,F Knochen-Helm,Casco de hueso F,Костяной шлем К,F Hełm Kośc.,,,Elmo Ósseo F,본고양이헬름,骨製貓頭盔,骨制猫头盔,,,,,,,,خوذة عظمية ف,,,,,,,,,,,
408fd59f-28e9-4ce2-8b6d-61c755a73ecb,2960878888,OtAirouArmor_Head_004_Name,アロイネコヘルム,F Alloy Helm,Casque en alliage F,Elmo in lega F,F Legierungs-Helm,Casco aleación F,Литой шлем К,F Hełm stopu,,,Elmo de Liga Leve F,얼로이고양이헬름,合金貓頭盔,合金猫头盔,,,,,,,,خوذة خليط معدني ف,,,,,,,,,,,
53c18663-bc40-4c5b-9fbd-79378402b82c,979010126,OtAirouArmor_Head_005_Name,ガーグァネコマスク,F Gargwa Mask,Masque Gargwa F,Maschera Gargwa F,F Gargwa-Maske,Máscara Gargwa F,Маска Гаргвы К,F Maska Gargwa,,,Máscara de Gargwa F,가구아고양이마스크,丸鳥貓面具,丸鸟猫面具,,,,,,,,قناع جارجوا ف,,,,,,,,,,,
8e976bb1-6a4a-42aa-8235-f8ed470f5dd6,157980985,OtAirouArmor_Head_006_Name,オルタネコハット,F Alta Hat,Chapeau Alta F,Cappello Alta F,F Alta-Hut,Gorro Altaroth F,Шапка Алтар. К,F Kapelusz Alta,,,Chapéu de Alta F,오르타고양이해트,變化貓帽,变化猫帽,,,,,,,,قبعة ألتا ف,,,,,,,,,,,
4563b7ec-6750-4f88-bc70-97cfb049815f,3265369135,OtAirouArmor_Head_007_Name,ブナハネコキャップ,F Bnaha Cap,Calot Bnahabra F,Cappello Bnahabra F,F Bnahabra-Kappe,Lentes Bnahabra F,Шапка Бнах. К,F Czapka Bnaha,,,Chapéu de Bnaha F,브나하고양이캡,飛甲蟲貓帽,飞甲虫猫帽,,,,,,,,قبعة بناها ف,,,,,,,,,,,
4495fbbc-f40f-43d1-9ad6-b1de2b1452b1,3601524163,OtAirouArmor_Head_008_Name,ポポネコヘッド,F Popo Head,Défenses Popo F,Testa Popo F,F Pepe-Kopf,Cabeza Popo F,Голова Попо К,F Hełm Popo,,,Cabeça de Popo F,포포고양이헤드,波波貓頭部,波波猫头部,,,,,,,,رأس بوبو ف,,,,,,,,,,,
a8d915f6-d6a8-43b5-a970-dcf4b3505167,1065834706,OtAirouArmor_Head_009_Name,アシラネコヘルム,F Arzuros Helm,Casque Arzuros F,Elmo Arzuros F,F Arzuros-Helm,Casco Arzuros F,Шлем Арзуроса К,F Hełm Arzuros,,,Elmo de Arzuros F,아시라고양이헬름,青熊獸貓頭盔,青熊兽猫头盔,,,,,,,,خوذة أرزوروس ف,,,,,,,,,,,
0ae1d774-5aef-4449-ae6a-3ed4f821ec95,1746633497,OtAirouArmor_Head_010_Name,バギィネコヘルム,F Baggi Helm,Casque Baggi F,Elmo Baggi F,F Baggi-Helm,Casco Baggi F,Шлем Багги К,F Hełm Baggi,,,Elmo de Baggi F,바기고양이헬름,眠狗龍貓頭盔,眠狗龙猫头盔,,,,,,,,خوذة باجي ف,,,,,,,,,,,
10e9d11e-daaa-4c5e-ad17-c915baf81bb5,154045387,OtAirouArmor_Head_011_Name,ウルクネコヘルム,F Lagombi Helm,Casque Lagombi F,Elmo Lagombi F,F Lagombi-Helm,Casco Lagombi F,Шлем Лагомби К,F Hełm Lagombi,,,Elmo de Lagombi F,울크고양이헬름,白兔獸貓頭盔,白兔兽猫头盔,,,,,,,,خوذة لاجومبي ف,,,,,,,,,,,
848cf3fd-e851-48ee-bc22-ce989ca884b4,349852490,OtAirouArmor_Head_012_Name,イズチネコヘルム,F Izuchi Helm,Casque Izuchi F,Elmo Izuchi F,F Izuchi-Helm,Casco Izuchi F,Шлем Идзути К,F Hełm Izuchi,,,Elmo de Izuchi F,이즈치고양이헬름,鐮鼬龍貓頭盔,镰鼬龙猫头盔,,,,,,,,خوذة إيزوتشي ف,,,,,,,,,,,
c219e4d7-09ef-4661-8995-74092ef94faa,1649766342,OtAirouArmor_Head_013_Name,混沌のアル,F Chaos Bulbs,Bulbes du chaos F,Fagotti del caos F,F Chaos-Knollen,Bulbos del caos F,Сосуды хаоса К,F Nakr. Chaosu,,,Bulbos de Caos F,혼돈의아루,混沌的阿爾,混沌的阿尔,,,,,,,,مصابيح الفوضى ف,,,,,,,,,,,
1a8c87f1-da44-410f-9ba7-dc1ea1057fb0,3714821924,OtAirouArmor_Head_014_Name,エーデルネコツイン,F Edel Pigtails,Couettes Edel F,Codini Edel F,F Edel-Zöpfe,Coletas Edel F,Косички Эделя К,F Warkoczyki Edel,,,Tranças de Edel F,에델고양이트윈,高貴雙貓尾,雪绒花双猫尾,,,,,,,,جديلة إيدل ف,,,,,,,,,,,
43cfcb05-9c52-4e62-9405-64b029064e55,707306375,OtAirouArmor_Head_015_Name,ズワロネコフード,F Slagtoth Hood,Capuche Slagtoth F,Cappuccio Slagtoth F,F Slagtoth-Kapuze,Capucha Slagtoth F,Капюшон Слагтота К,F Kaptur Slagtoth,,,Capuz de Slagtoth F,즈와로고양이후드,垂皮龍貓兜帽,垂皮龙猫兜帽,,,,,,,,قلنسوة سلاجتوث ف,,,,,,,,,,,
04fe83e9-4566-4fed-a8b8-905beca308f1,1023345299,OtAirouArmor_Head_016_Name,ジャギィネコヘルム,F Jaggi Helm,Casque Jaggi F,Elmo Jaggi F,F Jaggi-Helm,Casco Jaggi F,Шлем Джагги К,F Hełm Jaggi,,,Elmo de Jaggi F,재기고양이헬름,狗龍貓頭盔,狗龙猫头盔,,,,,,,,خوذة جاجي ف,,,,,,,,,,,
87518ce5-d0e2-4ed5-909a-c6085f818f4f,906163275,OtAirouArmor_Head_017_Name,リノプロネコヘルム,F Rheno Helm,Casque Rhenoplos F,Elmo Rhenoplos F,F Rhenoplos-Helm,Casco Rhenoplos F,Шлем Ренопл. К,F Hełm Rheno,,,Elmo de Rheno F,리노프로고양이헬름,原角龍貓頭盔,硬甲龙猫头盔,,,,,,,,خوذة رينو ف,,,,,,,,,,,
f41bc3af-39ed-4deb-893a-d8b05edba06f,2101585784,OtAirouArmor_Head_018_Name,ヨツミネコキャップ,F Tetranadon Cap,Calot Tetranadon F,Cappello Tetranadon F,F Tetranadon-Kappe,Gorro Tetranadon F,Шлем Тетранадона К,F Czapka Tetranadon,,,Chapéu de Tetranadon F,요츠미고양이캡,河童蛙貓帽,河童蛙猫帽,,,,,,,,قبعة تيترانادون ف,,,,,,,,,,,
071fe026-0382-41ef-90cd-bfad875fa24b,1445847157,OtAirouArmor_Head_019_Name,フルフルネコキャップ,F Khezu Cap,Calot Khezu F,Cappello Khezu F,F Khezu-Kappe,Gorro Khezu F,Шапка Кезу К,F Czapka Khezu,,,Chapéu de Khezu F,푸루고양이캡,奇怪龍貓帽,奇怪龙猫帽,,,,,,,,قبعة خيزو ف,,,,,,,,,,,
d301d895-55c3-4c13-843f-d8f1d0eded5d,2531343951,OtAirouArmor_Head_020_Name,クルルネコターバン,F Kulu Turban,Turban Kulu F,Turbante Kulu F,F Kulu-Turban,Turbante Kulu F,Тюрбан Кулу К,F Turban Kulu,,,Turbante de Kulu F,쿠루루고양이터번,搔鳥貓纏頭巾,搔鸟猫缠头巾,,,,,,,,عمامة كولو ف,,,,,,,,,,,
94d2807c-585f-4e64-ae6f-cd9e3621f01e,545936913,OtAirouArmor_Head_021_Name,ボロスネコヘルム,F Barroth Helm,Casque Barroth F,Elmo Barroth F,F Barroth-Helm,Casco Barroth F,Шлем Баррота К,F Hełm Barroth,,,Elmo de Barroth F,보로스고양이헬름,土砂龍貓頭盔,土砂龙猫头盔,,,,,,,,خوذة باروث ف,,,,,,,,,,,
82f65539-962b-4c93-bb8f-41d595fb9bbe,1803041544,OtAirouArmor_Head_022_Name,フロギィネコヘルム,F Wroggi Helm,Casque Wroggi F,Elmo Wroggi F,F Wroggi-Helm,Sombrero Wroggi F,Шлем Врогги К,F Hełm z Wroggiego,,,Elmo de Wroggie F,프로기고양이헬름,毒狗龍貓頭盔,毒狗龙猫头盔,,,,,,,,خوذة روجي ف,,,,,,,,,,,
8972b13d-9217-4311-afb7-267a27df2253,1745648073,OtAirouArmor_Head_023_Name,ルドロスネコヘルム,F Ludroth Helm,Casque Ludroth F,Elmo Ludroth F,F Ludroth-Helm,Casco Ludroth F,Шлем Лудрота К,F Hełm Ludroth,,,Elmo de Ludroth F,루드로스고양이헬름,水獸貓頭盔,水兽猫头盔,,,,,,,,خوذة لودروث ف,,,,,,,,,,,
