guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
ff0e1b04-6570-4821-a168-42b7a3815867,343754456,OtAirouArmor_Head_200_Name,カムラネコノ頭巾・継,F Kamura Legacy Hood,Capu hérit Kamura F,Capp. lascito Kamura F,F Kamura-Erbe-Kapuze,Capucha dote Kamura F,Капюшон зав. Кам. К,F Kaptur dz. Kamury,,,Capuz Kamura F,카무라고양이두건-계,神火貓之頭巾･繼,炎火猫头巾・继,,,,,,,,قلنسوة تراث كامورا ف,,,,,,,,,,,
960b7650-5853-4c2b-97eb-07ee0e1de760,1752750637,OtAirouArmor_Head_201_Name,どんぐりＸネコヘルム,F Acorn Helm X,Casque Châtaigne F X,Elmo ghianda F X,F Eichelhelm X,Casco de bellota F X,Желудёвый шлем К (X),F Żołędzi hełm X,,,Elmo de Noz F X,도토리X고양이헬름,橡實X貓頭盔,橡子X猫头盔,,,,,,,,خوذة البلوط ف X,,,,,,,,,,,
6de9db4f-4156-418d-af3f-d98f016f4595,3593514754,OtAirouArmor_Head_202_Name,<COLOR FF0000>#Rejected#</COLOR> OtAirouArmor_Head_202_Name,<COLOR FF0000>#Rejected#</COLOR> OtAirouArmor_Head_202_Name,<COLOR FF0000>#Rejected#</COLOR> OtAirouArmor_Head_202_Name,<COLOR FF0000>#Rejected#</COLOR> OtAirouArmor_Head_202_Name,<COLOR FF0000>#Rejected#</COLOR> OtAirouArmor_Head_202_Name,<COLOR FF0000>#Rejected#</COLOR> OtAirouArmor_Head_202_Name,<COLOR FF0000>#Rejected#</COLOR> OtAirouArmor_Head_202_Name,<COLOR FF0000>#Rejected#</COLOR> OtAirouArmor_Head_202_Name,<COLOR FF0000>#Rejected#</COLOR> OtAirouArmor_Head_202_Name,<COLOR FF0000>#Rejected#</COLOR> OtAirouArmor_Head_202_Name,<COLOR FF0000>#Rejected#</COLOR> OtAirouArmor_Head_202_Name,<COLOR FF0000>#Rejected#</COLOR> OtAirouArmor_Head_202_Name,<COLOR FF0000>#Rejected#</COLOR> OtAirouArmor_Head_202_Name,<COLOR FF0000>#Rejected#</COLOR> OtAirouArmor_Head_202_Name,<COLOR FF0000>#Rejected#</COLOR> OtAirouArmor_Head_202_Name,<COLOR FF0000>#Rejected#</COLOR> OtAirouArmor_Head_202_Name,<COLOR FF0000>#Rejected#</COLOR> OtAirouArmor_Head_202_Name,<COLOR FF0000>#Rejected#</COLOR> OtAirouArmor_Head_202_Name,<COLOR FF0000>#Rejected#</COLOR> OtAirouArmor_Head_202_Name,<COLOR FF0000>#Rejected#</COLOR> OtAirouArmor_Head_202_Name,<COLOR FF0000>#Rejected#</COLOR> OtAirouArmor_Head_202_Name,<COLOR FF0000>#Rejected#</COLOR> OtAirouArmor_Head_202_Name,<COLOR FF0000>#Rejected#</COLOR> OtAirouArmor_Head_202_Name,<COLOR FF0000>#Rejected#</COLOR> OtAirouArmor_Head_202_Name,<COLOR FF0000>#Rejected#</COLOR> OtAirouArmor_Head_202_Name,<COLOR FF0000>#Rejected#</COLOR> OtAirouArmor_Head_202_Name,<COLOR FF0000>#Rejected#</COLOR> OtAirouArmor_Head_202_Name,<COLOR FF0000>#Rejected#</COLOR> OtAirouArmor_Head_202_Name,<COLOR FF0000>#Rejected#</COLOR> OtAirouArmor_Head_202_Name,<COLOR FF0000>#Rejected#</COLOR> OtAirouArmor_Head_202_Name,<COLOR FF0000>#Rejected#</COLOR> OtAirouArmor_Head_202_Name,<COLOR FF0000>#Rejected#</COLOR> OtAirouArmor_Head_202_Name,<COLOR FF0000>#Rejected#</COLOR> OtAirouArmor_Head_202_Name
b429ce44-c11f-4aa2-b6d4-8e9b0bfd0791,1596841437,OtAirouArmor_Head_203_Name,ボーンＸネコヘルム,F Bone Helm X,Casque d'os F X,Elmo d'osso F X,F Knochen-Helm X,Casco de hueso F X,Костяной шлем К (X),F Kościany hełm X,,,Elmo Ósseo F X,본X고양이헬름,骨製X貓頭盔,骨制X猫头盔,,,,,,,,خوذة عظمية ف X,,,,,,,,,,,
cb333eb7-f22c-436a-a293-9b2516acec46,3954443734,OtAirouArmor_Head_204_Name,アロイＸネコヘルム,F Alloy Helm X,Casque en alliage F X,Elmo in lega F X,F Legierungs-Helm X,Casco aleación F X,Литой шлем К (X),F Hełm ze stopu X,,,Elmo Liga Leve F X,얼로이X고양이헬름,合金X貓頭盔,合金X猫头盔,,,,,,,,خوذة خليط معدني ف X,,,,,,,,,,,
f3915acc-3c63-435e-a746-c646eacdb8ff,1062470279,OtAirouArmor_Head_205_Name,ガーグァＸネコマスク,F Gargwa Mask X,Masque Gargwa F X,Maschera Gargwa F X,F Gargwa-Maske X,Máscara Gargwa F X,Маска Гаргвы К (X),F Maska z Gargwy X,,,Máscara Gargwa F X,가구아X고양이마스크,丸鳥X貓面具,丸鸟X猫面具,,,,,,,,قناع جارجوا ف X,,,,,,,,,,,
53951776-5088-48ec-95e1-8173398eb0be,1978383673,OtAirouArmor_Head_206_Name,オルタＸネコハット,F Alta Hat X,Chapeau Alta F X,Cappello Alta F X,F Alta-Hut X,Gorro Altaroth F X,Шапка Алтар. К (X),F Kaptur Alta X,,,Chapéu de Alta F X,오르타X고양이해트,變化X貓帽,变化X猫帽,,,,,,,,قبعة ألتا ف X,,,,,,,,,,,
14d327b0-8009-4ed8-a944-82de4a9c5ad9,3999577096,OtAirouArmor_Head_207_Name,ブナハＸネコキャップ,F Bnaha Cap X,Calot Bnahabra F X,Cappello Bnahabra F X,F Bnahabra-Kappe X,Lentes Bnahabra F X,Шапка Бнахи К (X),F Czapka Bnaha X,,,Chapéu de Bnaha F X,브나하X고양이캡,飛甲蟲X貓帽,飞甲虫X猫帽,,,,,,,,قبعة باناها ف X,,,,,,,,,,,
7cd6494c-6658-4442-9e4c-b8f94a3426de,1155857061,OtAirouArmor_Head_208_Name,ポポＸネコヘッド,F Popo Head X,Défenses Popo F X,Testa Popo F X,F Pepe-Kopf X,Cabeza de Popo F X,Голова Попо К (X),F Hełm Popo X,,,Cabeça de Popo F X,포포X고양이헤드,波波X貓頭部,波波X猫头部,,,,,,,,رأس بوبو ف X,,,,,,,,,,,
0f1552d9-1450-4566-9512-1170cc90409d,2208873969,OtAirouArmor_Head_209_Name,イズチＸネコヘルム,F Izuchi Helm X,Heaume Izuchi F X,Elmo Izuchi F X,F Izuchi-Helm X,Casco de Izuchi F X,Шлем Идзути К (X),F Hełm z Izuchiego X,,,Elmo de Izuchi F X,이즈치X고양이헬름,鐮鼬龍X貓頭盔,镰鼬龙X猫头盔,,,,,,,,خوذة إيزوتشي ف X,,,,,,,,,,,
ca921556-01d3-4050-8f19-7d71742731e6,449006315,OtAirouArmor_Head_210_Name,アシラＸネコヘルム,F Arzuros Helm X,Casque Arzuros F X,Elmo Arzuros F X,F Arzuros-Helm X,Casco de Arzuros F X,Шлем Арзуроса К (X),F Hełm z Arzurosa X,,,Elmo de Arzuros F X,아시라X고양이헬름,青熊獸X貓頭盔,青熊兽X猫头盔,,,,,,,,خوذة أرزوروس ف X,,,,,,,,,,,
3f285706-f594-4aac-988d-2b228a1a35c7,94734538,OtAirouArmor_Head_211_Name,バギィＸネコヘルム,F Baggi Helm X,Heaume Baggi F X,Elmo Baggi F X,F Baggi-Helm X,Casco de Baggi F X,Шлем Багги К (X),F Hełm z Baggiego X,,,Elmo de Baggi F X,바기X고양이헬름,眠狗龍X貓頭盔,眠狗龙X猫头盔,,,,,,,,خوذة باجي ف X,,,,,,,,,,,
a2697785-14bb-401a-8941-b95f92730505,3859944056,OtAirouArmor_Head_212_Name,ウルクＸネコヘルム,F Lagombi Helm X,Casque Lagombi F X,Elmo Lagombi F X,F Lagombi-Helm X,Casco de Lagombi F X,Шлем Лагомби К (X),F H. z Lagombiego X,,,Elmo de Lagombi F X,울크X고양이헬름,白兔獸X貓頭盔,白兔兽X猫头盔,,,,,,,,خوذة لاجومبي ف X,,,,,,,,,,,
c247e0a1-b94f-4e3d-841d-8cdd889e3279,3943833390,OtAirouArmor_Head_213_Name,アケノＸネコヘルム,F Aknosom Helm X,Heaume Aknosom F X,Elmo Aknosom F X,F Aknosom-Helm X,Casco Aknosom F X,Шлем Акносома К (X),F Hełm z Aknosoma X,,,Elmo de Aknosom F X,아케노X고양이헬름,傘鳥X貓頭盔,伞鸟X猫头盔,,,,,,,,خوذة أكنوسوم ف X,,,,,,,,,,,
9f719e22-064f-401a-9d98-465f62e2608f,4026379566,OtAirouArmor_Head_214_Name,クルルＸネコターバン,Felyne Kulu Turban X,Turban Kulu Felyne X,Turbante Kulu F X,F Kulu-Turban X,Turbante Kulu F X,Тюрбан Кулу К (X),F Turban z Kulu X,,,Turb. de Kulu Felyno X,쿠루루X고양이터번,搔鳥X貓纏頭巾,搔鸟X猫缠头巾,,,,,,,,عمامة فيلاين كولو ف X,,,,,,,,,,,
0b30c6cc-476b-414d-bac7-aefe49b0d15e,1516335092,OtAirouArmor_Head_215_Name,ヨツミＸネコキャップ,F Tetranadon Cap X,Calot Tetranadon F X,Cappello Tetranadon F X,F Tetranadon-Kappe X,Gorro Tetranadon F X,Шлем Тетран. К (X),F Czapka z Tetra X,,,Chapéu Tetranadon F X,요츠미X고양이캡,河童蛙X貓帽,河童蛙X猫帽,,,,,,,,قبعة تيترانادون ف X,,,,,,,,,,,
f8b44af6-1a70-4e88-90c7-2cc7449024a2,3391225067,OtAirouArmor_Head_216_Name,フロギィＸネコヘルム,F Wroggi Helm X,Casque Wroggi F X,Elmo Wroggi F X,F Wroggi-Helm X,Casco de Wroggi F X,Шлем Врогги К (X),F Hełm z Wroggiego X,,,Elmo de Wroggie F X,프로기X고양이헬름,毒狗龍X貓頭盔,毒狗龙X猫头盔,,,,,,,,خوذة روجي ف X,,,,,,,,,,,
3a3f61da-7914-42cc-a23a-5307c887d7fe,1725513240,OtAirouArmor_Head_217_Name,フルフルＸネコナース,F Khezu Catnurse X,Chapeau Khezu F X,Gattina Khezu F X,F Khezu-Katzenpflgr X,Enfermiau Khezu F X,Шапка Кезу К (X),F Czapka z Khezu X,,,Chapéu de Khezu F X,푸루X고양이너스,奇怪龍X貓護士,奇怪龙X猫护士,,,,,,,,قطة ممرضة خيزو ف X,,,,,,,,,,,
4cdfbde8-c967-45a3-b6a2-2638d340653d,3294158698,OtAirouArmor_Head_218_Name,混沌のアル・真,F Grand Chaos Bulbs,Bulbes du chaos F X,Fagotti caos F Shin,F Chaos-Knollen X,Grand. bulbos caos F,Сосуды Б. Хаоса К,F Koczki Wiel. Chaosu,,,Bulbo Grande Caos F,혼돈의아루-진,混沌的阿爾･真,混沌的阿尔・真,,,,,,,,مصابيح الفوضى العظمى ف,,,,,,,,,,,
13c67aef-db78-4d1a-b07d-a8be053ada10,1391812255,OtAirouArmor_Head_219_Name,エーデルＸネコツイン,F Edel Pigtails X,Couettes Edel F X,Codini Edel F X,F Edel-Zöpfe X,Colas rizadas F X,Косички Эделя К (X),F Warkoczyki Edel X,,,Tranças de Edel F X,에델X고양이트윈,高貴X雙貓尾,雪绒花X双猫尾,,,,,,,,جديلة إيدل ف X,,,,,,,,,,,
015e858a-486c-47f5-856a-a5dbf256d876,2729333234,OtAirouArmor_Head_220_Name,ズワロＸネコフード,F Slagtoth Hood X,Capuche Slagtoth F X,Cappuccio Slagtoth F X,F Slagtoth-Kapuze X,Capucha Slagtoth F X,Кап. Слагтота К (X),F Kaptur ze Slagt. X,,,Capuz de Slagtoth F X,즈와로X고양이후드,垂皮龍X貓兜帽,垂皮龙X猫兜帽,,,,,,,,قلنسوة سلاجتوث ف X,,,,,,,,,,,
7c246434-6fdd-4605-b589-7d39ba966b89,737449693,OtAirouArmor_Head_221_Name,ジャギィＸネコヘルム,F Jaggi Helm X,Casque Jaggi F X,Elmo Jaggi F X,F Jaggi-Helm X,Casco de Jaggi F X,Шлем Джагги К (X),F Hełm z Jaggiego X,,,Elmo de Jaggi F X,재기X고양이헬름,狗龍X貓頭盔,狗龙X猫头盔,,,,,,,,خوذة جاجي ف X,,,,,,,,,,,
a58c2705-513f-4b5c-ad1a-043f1aadb5d4,1050773517,OtAirouArmor_Head_222_Name,リノプロＸネコヘルム,F Rheno Helm X,Casque Rhenoplos F X,Elmo Rhenoplos F X,F Rhenoplos-Helm X,Casco Rhenoplos F X,Шлем Ренопл. К (X),F Hełm z Rheno X,,,Elmo de Rheno F X,리노프로X고양이헬름,原角龍X貓頭盔,硬甲龙X猫头盔,,,,,,,,خوذة رينو ف X,,,,,,,,,,,
4c32f036-55c9-4cda-ba8d-023115ff83a9,2657292766,OtAirouArmor_Head_223_Name,ルドロスＸネコヘルム,F Ludroth Helm X,Casque Ludroth F X,Elmo Ludroth F X,F Ludroth-Helm X,Casco de Ludroth F X,Шлем Лудрота К (X),F Hełm z Ludrotha X,,,Elmo de Ludroth F X,루드로스X고양이헬름,水獸X貓頭盔,水兽X猫头盔,,,,,,,,خوذة لودروث ف X,,,,,,,,,,,
8b07a8e6-c288-4df1-b4d9-e873e1c8c00d,839142232,OtAirouArmor_Head_224_Name,ボロスＸネコヘルム,F Barroth Helm X,Casque Barroth F X,Elmo Barroth F X,F Barroth-Helm X,Casco de Barroth F X,Шлем Баррота К (X),F Hełm z Barrotha X,,,Elmo de Barroth F X,보로스X고양이헬름,土砂龍X貓頭盔,土砂龙X猫头盔,,,,,,,,خوذة باروث ف X,,,,,,,,,,,
9e577735-e95b-4dcf-a22b-cc30c0004b9a,4022992937,OtAirouArmor_Head_225_Name,ラングロＸネコヘルム,F Volvi Helm X,Casque Volvidon F X,Elmo Volvidon F X,F Volvidon-Helm X,Casco Volvidon F X,Шлем Вольв. К (X),F Hełm z Volviego X,,,Elmo de Volvi F X,랑그로X고양이헬름,赤甲獸X貓頭盔,赤甲兽X猫头盔,,,,,,,,خوذة فولفي ف X,,,,,,,,,,,
83ded937-e105-40e8-a139-ccb93a315cae,960667780,OtAirouArmor_Head_226_Name,テンゴＸネコお面,F Bishaten Mask X,Masque Bishaten F X,Maschera Bishaten F X,F Bishaten-Maske X,Máscara Bishaten F X,Маска Бисятэна К (X),F Maska z Bishatena X,,,Máscara Bishaten F X,텐고X고양이가면,天狗獸X貓面具,天狗兽X猫面具,,,,,,,,قناع بيشاتن ف X,,,,,,,,,,,
df87fc55-8ce0-4bcb-b0b8-96ed7731edae,1891641604,OtAirouArmor_Head_227_Name,プケプケＸネコフード,F Pukei Hood X,Capuche Pukei F X,Cappuccio Pukei F X,F Pukei-Kapuze X,Cap. Pukei-Pukei F X,Капюшон Поки К (X),F Kaptur z Pukei X,,,Capuz de Pukei F X,푸케푸케X고양이후드,毒妖鳥X貓兜帽,毒妖鸟X猫兜帽,,,,,,,,قلنسوة بوكي ف X,,,,,,,,,,,
7f8ef520-2579-46be-97ae-504f458dcc8f,1756738291,OtAirouArmor_Head_228_Name,バサルＸネコヘルム,F Basarios Helm X,Heaume Basarios F X,Elmo Basarios F X,F Basarios-Helm X,Casco Basarios F X,Шлем Базариоса К (X),F Hełm z Basariosa X,,,Elmo de Basarios F X,바살X고양이헬름,岩龍X貓頭盔,岩龙X猫头盔,,,,,,,,خوذة باساريوس ف X,,,,,,,,,,,
bbd7a9a3-5f5e-4fee-9477-7e222545b269,1785337164,OtAirouArmor_Head_229_Name,レイアＸネコヘルム,F Rathian Helm X,Casque Rathian F X,Elmo Rathian F X,F Rathian-Helm X,Casco de Rathian F X,Шлем Ратианы К (X),F Hełm z Rathiany X,,,Elmo de Rathian F X,레이아X고양이헬름,雌火龍X貓頭盔,雌火龙X猫头盔,,,,,,,,خوذة راثيان ف X,,,,,,,,,,,
47445437-b7c6-4407-942e-33e657a7049f,2035299998,OtAirouArmor_Head_230_Name,ジュラＸネコヘルム,F Jyura Helm X,Heaume Jyura F X,Elmo Jyuratodus F X,F Jyura-Helm X,Casco Jyuratodus F X,Шлем Юратода К (X),F Hełm z Jyura X,,,Elmo de Jyura F X,쥬라X고양이헬름,泥魚龍X貓頭盔,泥鱼龙X猫头盔,,,,,,,,خوذة جيورا ف X,,,,,,,,,,,
88270be1-fef7-41c1-a8c8-22ec18e3c4fc,2883349176,OtAirouArmor_Head_231_Name,デスギアＸネコフード,F Death Stench Hood X,Capuchon putride F X,Capp. puzza morte F X,F Todesgestank-KapuzeX,Cap. pestilente F X,Кап. злов. см. К (X),F Kaptur rozkładu X,,,Capuz Putrefato F X,데스기어X고양이후드,死神X貓兜帽,死神X猫兜帽,,,,,,,,قلنسوة رائحة الموت ف X,,,,,,,,,,,
b6113c8a-f687-435b-9ec5-b5a546859301,1604265213,OtAirouArmor_Head_232_Name,マギュルＸネコハット,F Mosgharl Hat X,Chapeau Mosgharl F X,Cappello Mosgharl F X,F Mosgharl-Hut X,Somb. Mosgharl F X,Шлем Мосгарла К (X),F Czapka Mosgharl X,,,Chapéu Mosgharl F X,마기르X고양이해트,南瓜X貓帽,南瓜X猫帽,,,,,,,,قبعة موزجارل ف X,,,,,,,,,,,
89a04eb2-ac36-4ad2-b23d-9ca38b33d520,1647826953,OtAirouArmor_Head_233_Name,しまき真ねこみぐし,F Ibushi Pure Lock,Tresse pure Ibushi F,Treccia pura Ibushi F,F Reine Ibushi-Locke,Broche puro Ibushi F,Безуп. локон Ибуси К,F Czysty kosmyk Ibush.,,,Mecha Pura Ibushi F,돌풍의고양이머리-진,龍捲真貓首,风卷真猫御发,,,,,,,,خصلة شعر إيبوشي النقية ف,,,,,,,,,,,
