guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
fa74d28c-8bd7-4dba-ac89-c905670365bd,3966807875,OtAirouWeapon_200_Explain,"カムラの里に自生する丈夫な
木で造られた模造刀。軽くて
扱いやすく、初心者にも人気。","A dummy sword made from
sturdy Kamura timber.
Light and easy to swing.","Épée d'entraînement
en bois de Kamura robuste.
Légère et maniable.","Spada finta ricavata dal
robusto legname di Kamura.
Leggera e maneggevole.","Eine Schwertattrappe aus
festem Kamura-Holz. Leicht
und mühelos schwingbar.","Una espada de práctica
hecha de madera de Kamura.
Ligera y fácil de empuñar.","Тренировочный меч из прочной
камурской древесины. Легок
в обращении.","Drewniany miecz wykonany
z drewna Kamury.
Lekki i łatwy w użyciu.",,,"Espada falsa feita com a
madeira de Kamura sólida.
Leve e fácil de usar.","카무라 마을에 자생하는 질긴
나무로 만든 목도. 가볍고
다루기 쉬워 초보자에게 인기.","以生長於神火村的結實樹木所
製成的模造刀。由於輕巧且易於
使用，因此也很受初學者喜愛。","使用生长于炎火村的结实树木
制成的模型刀。
轻便易用，在新手中颇有人气。",,,,,,,,"سيف مزيف مصنوع من
خشب كامورا القوي.
خفيف ويسهل التلويح به.",,,,,,,,,,,
17669bcf-258c-458c-aad7-087af3a7237c,2196202344,OtAirouWeapon_201_Explain,"アイルー族の間で広く使われる
伝統的な斬撃武器。先端部には
頑丈な骨が用いられている。","A sharp, traditional weapon
used widely by the Felynes.
The tip features sturdy bone.","Arme traditionnelle coupante
prisée des Felynes. La pointe
est en os robuste.","Arma affilata tradizionale
con la punta in osso
resistente usata dai Felyne.","Scharfe, traditionelle Waffe,
die Felynen häufig nutzen.
Spitze mit festem Knochen.","Tradicional arma afilada de
Felyne. La punta tiene hueso
de gran resistencia.","Острое традиционное оружие
Коттов. На кончике прочная
кость.","Ostra, tradycyjna broń
używana przez felinów. Na
czubku jest mocna kość.",,,"Arma tradicional afiada muito
usada pelos Felynos. Tem
ponta forte de osso.","아이루족 사이에 널리 쓰여온
전통적인 참격 무기. 끝부분은
튼튼한 뼈로 만들어져 있다.","在艾路族間廣泛使用的
傳統斬擊武器。
前端部分是使用堅硬的骨製成。","艾露猫一族内广泛使用的
传统斩击武器。
前端部分使用了坚固的骨头。",,,,,,,,"سلاح حاد وتقليدي يستخدم على
نطاق واسع من قبل قطط فيلاين.
يتكون طرفه من عظمة متينة.",,,,,,,,,,,
a2f09e31-a767-428a-a47f-b4bbc137c256,3731093711,OtAirouWeapon_202_Explain,"アイルー族の間で広く使われる
伝統的な打撃武器。先端部には
頑丈な木が用いられている。","A customary blunt weapon
favored by Felynes. Sturdy
wood is used in the head.","Arme contondante prisée
des Felynes. La patte est
composée de bois solide.","Arma speciale dei Felyne,
la cui sommità è ricavata
da legno robusto.","Eine übliche, von Felynen
bevorzugte Hiebwaffe. Der
Kopf ist aus stabilem Holz.","Arma contundente tradicional
preferida por los Felyne.
Extremo de madera robusta.","Ударное оружие с прочной
деревяшкой, которое любят
Котты.","Zwykła broń obuchowa,
lubiana przez feliny.
W głowni użyto drewna.",,,"Arma de contusão comum usada
por Felyno. Usa-se madeira
maciça na cabeça.","아이루족 사이에 널리 쓰여온
전통적인 타격 무기. 끝부분은
튼튼한 나무로 만들어져 있다.","在艾路族間廣泛使用的
傳統打擊武器。
前端部分是使用堅硬的木頭。","艾露猫一族内广泛使用的
传统打击武器。
前端部分使用了坚固的木头。",,,,,,,,"سلاح غير حاد مألوف
مُفضل لدى قطط الفيلاين. خشب
متين يُستخدم في الرأس.",,,,,,,,,,,
f871adac-a65f-4f68-9381-cf2b2449b401,1766372872,OtAirouWeapon_203_Explain,"手軽に集めることができる骨を
用いて作られた、軽さと頑丈さ
を併せ持つハンマー。","A light yet durable hammer
slapped together from
easy-to-find bones.","Un marteau fabriqué en os
faciles à obtenir. Allie
légèreté et robustesse.","Realizzato con ossa di scarso
pregio, questo martello è molto
leggero eppure resistente.","Dieser Hammer, gefertigt aus
überall erhältlichen Knochen,
ist leicht, aber robust.","Hecho de hueso corriente,
este martillo es tan ligero
como contundente.","Этот легкий, но крепкий молот
изготовлен из обычных костей
животных.","Ten wykonany z pospolitych
kości młot jest lekki, a przy
tym wytrzymały.",,,"Feito de osso encontrado
com facilidade, este martelo
é leve, mas resistente.","모으기 쉬운 뼈를 사용해서
만들었다. 가벼움과 단단함을
겸비한 해머.","使用可以輕易蒐集到的骨頭
做成的錘子。
輕量與堅固並存。","使用能轻松收集到的
骨头制成的大锤。
轻便又坚固。",,,,,,,,"مطرقة مصنوعة من عظام يسهل
الحصول عليها، وهي خفيفة الوزن
ولكنها صلبة في الوقت نفسه.",,,,,,,,,,,
a20c00eb-8ac4-49fa-aa8a-d2d9b7ad9bc0,1781848323,OtAirouWeapon_204_Explain,"良質な鉱石を高熱で溶かし、
三日三晩鍛えることで完成する
大型の剣。斬れ味はお墨付き。","A large sword made by smelting
down fine ore and hammering it
for three days straight.
Certified lethal.","Façonnée à partir d'un minerai
fondu et battu trois jours
durant. Extrêmement robuste.","Spadone forgiato con minerali
fusi e lavorati per tre giorni
di seguito. Efficacia garantita.","Ein großes Schwert aus feinstem
Erz, das drei Tage lang gehäm-
mert wurde. Garantiert tödlich.","Espadón forjado durante tres
días con buenos minerales.
Letalidad certificada.","Чтобы изготовить его расплавьте
лучшую руду и стучите по ней
три дня подряд.
Смертоносность подтверждена.","Wielki miecz z metalu dobrej
jakości, kutego przez trzy dni
z rzędu. Ostrość gwarantowana.",,,"Espada grande feita ao derreter
minério fino e martelar
por três dias seguidos.
Autenticamente letal.","양질의 광석을 고열로 녹이고
사흘간 단조하여 완성하는
대형 검. 예리도는 보장한다.","以高熱將高品質礦石熔化後，
花三天三夜鍛造而成的大型劍。
其銳利度是有保證的。","在高温下熔化高品质矿石，
锻造三天三夜后制成的大型剑。
锋利度获权威认证。",,,,,,,,"سيف كبير يصنع بصهر المعدن
الخام وطرقه
لمدة ثلاثة أيام متتالية.
قاتل معتمد.",,,,,,,,,,,
00ea5a72-2b0b-4bcf-9783-8239e06b0d0d,558332071,OtAirouWeapon_205_Explain,"丸鳥の部位の中でも、味が一番
良いと言われるモモ肉を使った
ハンマー。オトモまっしぐら。","The juiciest part of the
bird. Perfect for ""drumming
up"" help from your Palicoes.","Le morceau le plus juteux !
Votre Palico rappliquera
en vitesse pour vous aider.","Succosa carne di volatile.
Ideale per invocare l'aiuto
dei compagni Felyne.","Das saftigste Vogelstück.
Perfekt, um Hilfe von deinen
Kameraden herbeizutrommeln.","Hecho con la parte más rica
de un ave. Ideal para que tu
camarada te eche un muslo.","Самая сочная часть птицы.
Идеален, чтобы запрашивать
помощь Палико.","Wszystko, co najlepsze z
ptaka. Idealny, by uzyskać
pomoc koleżkotów.",,,"A parte mais suculenta do
pássaro. Perfeita para atrair a
ajuda dos seus Amigatos.","환조의 부위 중에서도 가장
맛있다는 다리살로 만든 해머.
동반자들의 애호품.","使用據說是丸鳥部位中，
味道最佳的腿肉做的錘子。
隨從趨之若鶩。","使用了据说是丸鸟身体部位里
最好吃的大腿肉制成的大锤。
随从趋之若鹜。",,,,,,,,"ألين جزء في الطائر.
وهو مثالي ""لحشد""
مساعدة الباليكو.",,,,,,,,,,,
db3406a3-85f9-49c5-a7a7-e6054d88a0af,1724892655,OtAirouWeapon_206_Explain,"虫あみを武器に加工するという
アイデアが光る一品。虫に
とっては天敵のような存在。","A Bug Net cleverly reworked
for offense. Insects fear
the sight of it.","Ingénieusement repensé
pour l'attaque, ce filet est
redouté par les insectes.","Un retino ingegnosamente
adattato a scopo offensivo.
Molto temuto dagli insetti.","Ein Käfernetz, für den Angriff
umfunktioniert. Insekten
erzittern bei seinem Anblick.","Red astutamente alterada
para el ataque. Los insectos
se asustan con solo mirarla.","Сетка от комаров,
переделанная в оружие.
Насекомые ее боятся.","Siatka na owady przerobiona
do ataku. Insekty boją się
jej jak ognia.",,,"Rede de insetos reformulada
para o ataque. Insetos a
temem só de olhar.","채집망을 무기로 가공한
아이디어가 빛나는 명품.
벌레에겐 천적과도 같은 존재.","發揮創意，
將捕蟲網加工為武器的產品。
對蟲而言是有如天敵的存在。","这件武器中蕴含着
将捕虫网加工成武器的创意。
它对虫子而言有如天敌。",,,,,,,,"شبكة حشرات تم تجديدها بذكاء
للهجوم. تخشى الحشرات
رؤيتها.",,,,,,,,,,,
cdbb091c-7b18-4adf-b80c-9ad7221dbaa1,1263032193,OtAirouWeapon_207_Explain,"飛甲虫の端材を用いて作られた
華やかな羽模様の薄刃小型剣。
その鋭さは風をも切る。","A thin-bladed, vibrant knife
resembling a feather. Sharp
enough to cut the wind.","Joli couteau à fine lame
ressemblant à une plume.
Capable de trancher le vent.","Coltello sottile e simile a
una piuma. È tanto affilato
da tagliare il vento.","Eine Klinge, dünn wie eine
Feder, scharf genug, den
Wind zu schneiden.","Radiante daga de hoja fina,
similar a una pluma. Podría
incluso cortar el viento.","Тонкий и легкий нож, похожий
на перышко. Так остер,
что можно резать ветер.","Cienki nóż w kształcie
pióra. Ostry tak, że
mógłby ciąć powietrze.",,,"Faca de lâmina fina como
penas. Afiada o suficiente
pra cortar o vento.","비갑충의 편린으로 만든
화려한 깃털 모양의 소형 검.
바람도 벨 정도로 예리하다.","用飛甲蟲的餘料做的薄刃小型
劍，上面有華麗的翅膀紋樣，
那銳利度連風都能斬斷。","用飞甲虫的余料制成的
薄刃小型剑。有如一张
华丽羽翅，锐利得足以斩断风。",,,,,,,,"سكين إبداعي بطرف رفيع
يشبه الريشة. حاد
بما يكفي لشق الرياح.",,,,,,,,,,,
866d950e-f18e-4d44-aa99-9f2126e4bbc9,1685808545,OtAirouWeapon_208_Explain,"石を砕いて作った、原始的な
オトモ武器。先端のオサカナは
見た目以上に実用的。","A primitive-looking Palico
weapon made of stone. More
useful than it looks.","Arme primitive de Palico
en pierre. Plus utile
qu'elle n'en a l'air.","Arma di pietra per Felyne
dall'aria primitiva. È più
efficace di quanto sembri.","Diese Palicowaffe sieht
verführerisch aus, aber nimm
sie bloß nicht in den Mund!","Arma para camaradas hecha de
piedra. Parece primitiva,
pero es muy útil.","С виду примитивное каменное
орудие для Палико. Куда
полезней, чем кажется.","Kamienna broń koleżkota.
Bardzo skuteczna mimo
prymitywnego wyglądu.",,,"Arma de Amigato de aparência
primitiva feita de pedra.
Mais útil do que parece.","바위를 깎아 만든 원시적인
동반자 무기. 끝에 달린
생선은 보기보다 실용적이다.","將石頭打碎後製作而成的
原始隨從武器。
前端的魚比看起來更實用。","打碎石头制成的
原始随从武器。
前端的鱼比看起来实用。",,,,,,,,"سلاح باليكو بمظهر بدائي
مصنوع من الأحجار. مفيد
للغاية أكثر مما يبدو عليه.",,,,,,,,,,,
ac5db786-87fe-44db-9e5f-0c58806d9e6a,3491011575,OtAirouWeapon_209_Explain,"オトモが扱いやすいサイズの
鎌。軽い力で切れると好評で、
狩りにも草刈りにも大活躍！","A compact scythe perfect for
Buddies. Mows monsters and
lawns alike with ease.","Faux compacte idéale pour
les Pilpoils. Coupe herbe
et monstres indifféremment.","Una piccola falce, perfetta
per i compagni. Elimina ogni
tipo di mostro con facilità.","Kompakte Sense für Buddys.
Mäht Monster ebenso
mühelos wie den Rasen.","Pequeña hoz perfecta para
tu camarada. Corta monstruos
como si fueran césped.","Небольшая коса, хорошо
подходящая спутникам.
Косит монстров словно траву.","Składana kosa, idealna dla
kompanów. Dobra także do
koszenia trawników.",,,"Foice compacta perfeita para
Amigos. Corta monstros e
grama facilmente.","동반자의 사이즈에 맞춘 낫.
힘을 들이지 않고도 잘 잘려서
사냥과 제초 양면에서 대활약!","尺寸易於隨從使用的鐮刀。輕輕
揮動就能斬斷目標而廣受好評。
不管狩獵還是割草都相當好用！","便于随从使用的趁手镰刀。
能够轻松收割，广受好评，
无论狩猎还是割草都很有用。",,,,,,,,"منجل مضغوط مثالي
للأصدقاء. يقتل الوحوش ويجز
المروج بسهولة على حد سواء.",,,,,,,,,,,
