guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
3f2fd28a-eb49-44d4-8e2f-ce8fe533fa6b,4233978960,OtAirouWeapon_None_Name,（ソフト都合のID。翻訳対象外です。）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19860765-55d7-490c-9d24-d7e8cddacddc,1755533531,OtAirouWeapon_000_Name,カムラネコノ木刀,F Kamura Bokken,Bokken Kamura F,Bokken Kamura F,F Kamura-Bokken,Bokken Kamura F,Боккен Камуры К,F Bokken Kamury,,,Bokken de Kamura F,카무라고양이목도,神火貓之木刀,炎火猫木刀,,,,,,,,بوكين كامورا ف,,,,,,,,,,,
e0e8bf78-f24a-4c81-8a91-999b61ea69b5,398786980,OtAirouWeapon_001_Name,ボーンネコピック,F Bone Wedge,Maillet en os F,Cuneo d'osso F,F Knochenkeil,Cuña de hueso F,Костяной клин К,F Kościany klin,,,Cunha Óssea F,본고양이곡괭이,骨製貓鎬,骨制猫尖刃刀,,,,,,,,وتد عظمي ف,,,,,,,,,,,
d6d79ce6-857b-41c5-a711-486efb8a4969,3490476953,OtAirouWeapon_002_Name,肉球ネコぱんち,F Paw Punch,Patte martiale F,Pugno-zampa F,F Tatzenschlag,Puño de pata F,Удар лапой К,F Łapocios,,,Soco de Pata F,고양이발펀치,肉球貓拳,肉球猫拳,,,,,,,,لكمة المخلب ف,,,,,,,,,,,
95136a49-731d-46a3-8fe9-10eb46ffdedb,1949272261,OtAirouWeapon_003_Name,ボーンネコハンマー,F Bone Hammer,Marteau en os F,Martello d'osso F,F Knochenhammer,Martillo de hueso F,Костяной молот К,F Kościany młot,,,Martelo Ósseo F,본고양이해머,骨製貓錘,骨制猫锤,,,,,,,,المطرقة العظمية ف,,,,,,,,,,,
ad15a6f8-3085-440f-9748-88a87403976a,3887586002,OtAirouWeapon_004_Name,アイアンネコソード,F Iron Sword,Épée de fer F,Spada di ferro F,F Eisenschwert,Espada de hierro F,Железный меч К,F Żelazny miecz,,,Espada de Ferro F,아이언고양이소드,鐵製貓劍,铁制猫剑,,,,,,,,السيف الحديدي ف,,,,,,,,,,,
edcb8476-ea6b-4399-9dc7-093d4876b769,392378116,OtAirouWeapon_005_Name,グリルネコハンマー,F Grilled Hammer,Marteau rôti F,Martello grigliata F,F Grill-Hammer,Martillo asado F,Огненный молот К,F Grillomłot,,,Martelo Grelhado F,그릴고양이해머,炙燒貓錘,炙烧猫锤,,,,,,,,المطرقة الشبكية ف,,,,,,,,,,,
32f1b9b9-2537-4147-bd82-f672b088b866,2007790864,OtAirouWeapon_006_Name,オルタネコネット,F Alta Net,Filet Alta F,Retino Alta F,F Alta-Netz,Red Altaroth F,Сеть Альтар. К,F Sieć Alta,,,Rede Alta F,오르타고양이네트,變化貓捕蟲網,变化猫捕虫网,,,,,,,,شبكة ألتا ف,,,,,,,,,,,
137b16d0-f6f3-4385-b9a9-f22974834236,3933610431,OtAirouWeapon_007_Name,ブナハネコダガー,F Bnaha Dagger,Dague Bnahabra F,Pugnale Bnahabra F,F Bnahabra-Dolch,Daga Bnahabra F,Кинжал Бнах. К,F Sztylet Bnaha,,,Adaga de Bnaha F,브나하고양이대거,飛甲蟲貓短劍,飞甲虫猫短剑,,,,,,,,خنجر باناها ف,,,,,,,,,,,
f9c0b6c0-7ea1-413f-a592-caa62c17bfb9,1388006790,OtAirouWeapon_008_Name,オサカナネコピック,F Fish Stick,Pic Poisson F,Piccone pesce F,F Fischstäbchen,Pico de pescado F,Рыбья палка К,F Wędka,,,Espeto de Peixe F,생선고양이곡괭이,魚貓鎬,鱼猫尖刃刀,,,,,,,,قطع السمك ف,,,,,,,,,,,
14e8076b-05dd-459c-889e-74f684ef8f97,3747488659,OtAirouWeapon_009_Name,アシラネコトゲ棍棒,F Arzuros Mace,Masse Arzuros F,Mazza Arzuros F,F Arzuros-Keule,Maza Arzuros F,Палица Арзуроса К,F Buzdyg. z Arzurosa,,,Maça de Arzuros F,아시라고양이가시봉,青熊獸貓狼牙棒,青熊兽猫狼牙棒,,,,,,,,صولجان أرزوروس ف,,,,,,,,,,,
0438a129-9280-43cb-9670-561336fc5230,714504808,OtAirouWeapon_010_Name,バギィネコ警棒,F Baggi Cudgel,Gourdin Baggi F,Randello Baggi F,F Baggi-Knüppel,Porra Baggi F,Дубина Багги К,F Pałka z Baggiego,,,Porrete de Baggi F,바기고양이경봉,眠狗龍貓警棍,眠狗龙猫警棍,,,,,,,,هراوة باجي ف,,,,,,,,,,,
9e9277df-8949-4d42-893e-75c6f78c71fc,741992721,OtAirouWeapon_011_Name,ウルクネコステッキ,F Lagombi Staff,Bâton Lagombi F,Bastone Lagombi F,F Lagombi-Stab,Bastón Lagombi F,Посох Лагомби К,F Kost. z Lagombiego,,,Cajado de Lagombi F,울크고양이스틱,白兔獸貓棍,白兔兽猫棍,,,,,,,,عصا لاجومبي ف,,,,,,,,,,,
0637886b-cfc9-4325-b367-a4ce3200df9e,2028034310,OtAirouWeapon_012_Name,イズチネコシックル,F Izuchi Sickle,Faux Izuchi F,Falce Izuchi F,F Izuchi-Sichel,Hoz Izuchi F,Серп Идзути К,F Sierp Izuchi,,,Foice de Izuchi F,이즈치고양이낫,鐮鼬龍貓鐮,镰鼬龙猫镰,,,,,,,,منجل إيزوتشي ف,,,,,,,,,,,
e4d89426-ac02-4a3a-b520-abda55eeabb8,3943231905,OtAirouWeapon_013_Name,パラッシュネコロッド,F Shroom Rod,Tige Champi F,Bastone fungino F,F Pilzstab,Vara de seta F,Ножка гриба К,F Grzybiarz,,,Vara de Cogu F,팔라슈고양이로드,迷幻菇貓棒,迷幻菇猫棒,,,,,,,,عصا الفطر ف,,,,,,,,,,,
0e887142-6030-4fe6-90fe-ad08aeca9b82,1336608060,OtAirouWeapon_014_Name,エーデルネコロッド,F Edel Rod,Tige Edel F,Bastone Edel F,F Edelweiß-Stab,Vara Edel F,Жезл Эделя К,F Kij Edel,,,Vara de Edel F,에델고양이로드,高貴貓棒,雪绒花猫棒,,,,,,,,عصا إيدل ف,,,,,,,,,,,
0c224e40-2e2c-4491-b956-21ccbae942a1,2322394159,OtAirouWeapon_015_Name,ズワロネコリーフ,F Slagtoth Leaf,Feuille Slagtoth F,Foglia Slagtoth F,F Slagtoth-Blatt,Hoja Slagtoth F,Лист Слагтота К,F Liść Slagtoth,,,Folha de Slagtoth F,즈와로고양이리프,垂皮龍貓葉,垂皮龙猫叶,,,,,,,,ورقة سلاجتوث ف,,,,,,,,,,,
d87744e1-53d1-4eaf-a89f-17903e0744d7,4101654887,OtAirouWeapon_016_Name,ジャギィネコナイフ,F Jaggi Knife,Couteau Jaggi F,Coltello Jaggi F,F Jaggi-Messer,Cuchillo Jaggi F,Нож Джагги К,F Nóż z Jaggiego,,,Faca de Jaggi F,재기고양이나이프,狗龍貓匕首,狗龙猫匕首,,,,,,,,سكين جاجي ف,,,,,,,,,,,
a1d9f281-6adf-494c-9461-45704998b359,1230278746,OtAirouWeapon_017_Name,リノプロネコ金槌,F Rheno Hammer,Marteau Rhenoplos F,Mart. Rhenoplos F,F Rhenoplos-Hammer,Martillo Rhenoplos F,Молот Ренопл. К,F Młot z Rheno,,,Martelo de Rheno F,리노프로고양이금추,原角龍貓鐵錘,硬甲龙猫铁锤,,,,,,,,مطرقة رينو ف,,,,,,,,,,,
a1d30766-5a73-4cd1-abeb-4f51033199a8,1946779184,OtAirouWeapon_018_Name,ヨツミネコ水銃,F Tetra Water Shot,Tir aqua Tetra F,Fucile acqua Tetra F,F Tetra-Wasserschuss,D. Tetraacuático F,Брызгалка Тетран. К,F Wodny łuk Tetra,,,Tiro d'água Tetra F,요츠미고양이물총,河童蛙貓水槍,河童蛙猫水枪,,,,,,,,طلقة ماء تيترا ف,,,,,,,,,,,
154a573f-a159-432a-9cf8-bf2952efff07,223957100,OtAirouWeapon_019_Name,フルフルネコチクリ,F Khezu Whaccine,Seringue Khezu F,Ziringa Khezu F,F Khezu-Impfer,Vacunón Khezu F,Разрядник Кезу К,F Khezu Whaccine,,,Wacina de Khezu F,푸루고양이주사기,奇怪龍貓針筒,奇怪龙猫针筒,,,,,,,,صاعق خيزو ف,,,,,,,,,,,
757ffcd3-cb02-4a00-aac5-2727fb561af2,3860745204,OtAirouWeapon_020_Name,クルルネコウード,F Kulu Lute,Luth Kulu F,Liuto Kulu F,F Kulu-Mandoline,Banjo Kulu F,Лютня Кулу К,F Lutnia z Kulu,,,Alaúde de Kulu F,쿠루루고양이우드,搔鳥貓烏德琴,搔鸟猫乌德琴,,,,,,,,عود كولو ف,,,,,,,,,,,
77b2e0b6-3510-4df9-91a0-06cd7f22df80,3441679240,OtAirouWeapon_021_Name,ボロスネコメイス,F Barroth Mace,Masse Barroth F,Mazza Barroth F,F Barroth-Keule,Maza Barroth F,Палица Баррота К,F Maczuga z Barrotha,,,Bastão de Barroth F,보로스고양이메이스,土砂龍貓權杖,土砂龙猫权杖,,,,,,,,صولجان باروث ف,,,,,,,,,,,
28034747-c6c5-453a-8e50-66f811efede2,1846424481,OtAirouWeapon_022_Name,フロギィネコギター,F Wroggi Guitar,Guitare Wroggi F,Chitarra Wroggi F,F Wroggi-Gitarre,Guitarra Wroggi F,Гитара Врогги К,F Gitara z Wroggiego,,,Guitarra Wroggie F,프로기고양이기타,毒狗龍貓吉他,毒狗龙猫吉他,,,,,,,,جيتار روجي ف,,,,,,,,,,,
91f66aae-dd31-4239-b81d-04b4ade85dd8,856984751,OtAirouWeapon_023_Name,ルドロスネコネイル,F Ludroth Paw,Patte Ludroth F,Zampa Ludroth F,F Ludroth-Tatze,Zarpa Ludroth F,Лапа Лудрота К,F Łapa Ludrotha,,,Pata de Ludroth F,루드로스고양이네일,水獸貓爪,水兽猫爪,,,,,,,,مخلب لودروث ف,,,,,,,,,,,
1559fe70-7e0b-46c4-b319-bd029f0458d6,797868126,OtAirouWeapon_024_Name,アケノネコレイピア,F Aknosom Rapier,Rapière Aknosom F,Stocco Aknosom F,F Aknosom-Degen,Estoque Aknosom F,Рапира Акносома К,F Rapier z Aknosoma,,,Florete de Aknosom F,아케노고양이세검,傘鳥貓細劍,伞鸟猫细剑,,,,,,,,سيف مبارزة أكنوسوم ف,,,,,,,,,,,
