guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
2a5bf39d-9478-40f4-9af4-550f6ca6560e,2707168338,OtAirouWeapon_200_Name,カムラネコノ木刀・継,F Kamura Legacy Bokken,Bokken hérit Kamura F,Bokken lascito Kamura F,F Kamura-Erbe-Bokken,Bokken dote Kamura F,Боккэн зав. Кам. К,F Bokken dz. Kamury,,,Bokken Legado Kamura F,카무라고양이목도-계,神火貓之木刀･繼,炎火猫木刀・继,,,,,,,,بوكين تراث كامورا ف,,,,,,,,,,,
cc283625-272c-4c98-bd9c-be331c7f8d66,115465209,OtAirouWeapon_201_Name,ボーンＸネコピック,F Bone Wedge X,Maillet os F X,Cuneo d'osso F X,F Knochenkeil X,Cuña de hueso F X,Костяной клин К (X),F Kościany Klin X,,,Cunha Óssea F X,본X고양이곡괭이,骨製X貓鎬,骨制X猫尖刃刀,,,,,,,,وتد عظمي ف X,,,,,,,,,,,
b626fde5-b6a0-41c6-8e68-d43a213e1460,63159744,OtAirouWeapon_202_Name,肉球Ｘネコぱんち,F Paw Punch X,Patte martiale F X,Pugno-zampa F X,F Tatzenschlag X,Puño de pata F X,Удар лапой К (X),F Łapocios X,,,Soco de Pata F X,고양이발X펀치,肉球X貓拳,肉球X猫拳,,,,,,,,لكمة المخلب ف X,,,,,,,,,,,
da6c6ed8-6d6d-4d64-9480-faa6e0022e58,4266787340,OtAirouWeapon_203_Name,ボーンＸネコハンマー,F Bone Hammer X,Marteau en os F X,Martello d'osso F X,F Knochenhammer X,Martillo hueso F X,Костяной молот К (X),F Kościany młot X,,,Martelo Ósseo F X,본X고양이해머,骨製X貓錘,骨制X猫锤,,,,,,,,المطرقة العظمية ف X,,,,,,,,,,,
84ba1f24-dafe-4874-9159-618fcdf34547,974201033,OtAirouWeapon_204_Name,エルトラネコソード,F Eltalite Sword,Épée eltalite F,Spada di Eltalite F,F Eltalitschwert,Espada de eltalita F,Элталитовый меч К,F Eltalitowy miecz,,,Espada Eltalita F,엘트라고양이소드,緋鳶貓劍,绯鸢猫剑,,,,,,,,سيف إلتاليت ف,,,,,,,,,,,
d5d4b554-c528-4051-be67-34de115afe67,1040329629,OtAirouWeapon_205_Name,ネコノ満漢全席,F Smorgasbord,Festin F,Banchetto F,F Festmahl,Banquete F,Буфет К,F Stół szwedzki,,,Aperitivos F,고양이만한전석,貓貓的滿漢全席,猫猫的满汉全席,,,,,,,,سمورجاسبورد ف,,,,,,,,,,,
a95674c2-7f79-4050-9d88-b4e99abb281b,3600131704,OtAirouWeapon_206_Name,オルタＸネコネット,F Alta Net X,Filet Alta F X,Retino Alta F X,F Alta-Netz X,Red Altaroth F X,Сеть Алтар. К (X),F Sieć Alta X,,,Rede Alta F X,오르타X고양이네트,變化X貓捕蟲網,变化X猫捕虫网,,,,,,,,شبكة ألتا ف X,,,,,,,,,,,
7f16d08a-879d-4c6b-bbfa-2fdde4dcb946,4197964115,OtAirouWeapon_207_Name,ブナハＸネコダガー,F Bnaha Dagger X,Dague Bnaha F X,Pugnale Bnahabra F X,F Bnahabra-Dolch X,Daga Bnahabra F X,Кинжал Бнах. К (X),F Sztylet Bnaha X,,,Adaga de Bnaha F X,브나하X고양이대거,飛甲蟲X貓短劍,飞甲虫X猫短剑,,,,,,,,خنجر باناها ف X,,,,,,,,,,,
afc9236b-07cf-473b-8b64-6a131f5f7028,3433548417,OtAirouWeapon_208_Name,オサカナＸネコピック,F Fish Stick X,Pic Poisson F X,Piccone pesce F X,F Fischstäbchen X,Pico de pescado F X,Рыбья палка К (X),F Wędka X,,,Espeto de Peixe F X,생선X고양이곡괭이,魚X貓鎬,鱼X猫尖刃刀,,,,,,,,قطع السمك ف X,,,,,,,,,,,
17dcbe15-88a6-4fd7-84e9-49f74f14bb00,894229575,OtAirouWeapon_209_Name,イズチＸネコシックル,F Izuchi Sickle X,Faux Izuchi F X,Falce Izuchi F X,F Izuchi-Sichel X,Hoz de Izuchi F X,Серп Идзути К (X),F Sierp z Izuch. X,,,Foice de Izuchi F X,이즈치X고양이낫,鐮鼬龍X貓鐮,镰鼬龙X猫镰,,,,,,,,منجل إيزوتشي ف X,,,,,,,,,,,
