guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
a431392d-9a5f-47d1-8113-bf2db81b9a73,1626915577,OtDogArmor_Chest_200_Explain,"里で長年使われるガルクの鞍。
簡素ながら、ガルクにも乗り手
にも優しい造りになっている。","A common Kamura saddle.
Simple and accommodating
for both rider and Canyne.","Une selle de Kamura basique.
Simple et pratique pour
le Canyne et son cavalier.","Comune sella di Kamura.
Semplice e comoda
per cavaliere e Canyne.","Gewöhnlicher Kamura-Sattel.
Schlicht und bequem sowohl
für Reiter als auch Canynen.","Silla común de Kamura.
Sencilla y confortable para
el jinete y el Canyne.","Обычное седло Камуры.
Простое и удобное как для
ездока, так и для Cобакка.","Zwykłe siodło z Kamury.
Prosty fason i wygoda
dla jeźdźca i dla kynosa.",,,"Sela de Kamura comum.
Simples e confortável pro
usuário e pro Canyno.","마을에서 오랫동안 사용한
가루크 안장. 간소하면서도
타는 사람이 편하게 만들었다.","村莊內長年使用的加爾克鞍。
外觀雖然樸素，但在使用上
對加爾克和騎乘者都很舒適。","炎火村长年使用的鞍。
构造朴素，但对牙猎犬
和骑乘者来说都非常舒适。",,,,,,,,"سرج كامورا المشهور.
بسيط وملائم لكل
من الفارس والكناين.",,,,,,,,,,,
cebb48ec-e56b-4af3-8e4c-48a2ed9b5db7,371911079,OtDogArmor_Chest_201_Explain,"モンスターの骨を基に造られた
胴用装備。随所に飾られた
無数の骨は勇猛なる戦士の証。","Tough-looking torso armor.
The adorning bones are the
mark of a fearless warrior.","Une armure robuste.
Les os décoratifs reflètent
la férocité de son porteur.","Corazza da veri duri.
Le ossa che la decorano
danno un'aria impavida.","Robuster Oberkörperpanzer.
Die Knochen sind Zeichen
eines furchtlosen Kriegers.","Recia armadura pectoral. El
ornamento de huesos señala
a un guerrero sin miedo.","Прочный с виду доспех.
Украшения из костей —
знак храброго воина.","Solidny napierśnik.
Ozdoby z kości są oznaką
nieustraszonego wojownika.",,,"Armadura de torço forte.
Os ossos decorativos denotam
um guerreiro destemido.","몬스터의 뼈로 만들어진
몸통 방어구. 여기저기 장식한
무수한 뼈는 전사의 증거.","以魔物骨頭為基底製成的
身體裝備。上頭布滿了無數的
骨頭裝飾，為勇猛戰士的證明。","以怪物骨头为基础制成的
身体装备。铠甲上装饰着的
无数骨头是勇猛战士的证明。",,,,,,,,"درع جذع قوية المظهر.
وتُعد عظام التزيين
علامة للمحارب المقدام.",,,,,,,,,,,
5c32bd61-90bf-4540-803f-510a532bac4d,584889876,OtDogArmor_Chest_202_Explain,"良質な鉱石を用いて造られた
胴用装備。実用性を重視する
ため、一切の無駄を省いた設計。","Chest armor made of quality
ore, with an emphasis
on practicality above all.","Une cotte faite de minerai
de qualité, conçue pour être
pratique avant tout.","Creata da un minerale
di qualità, apprezzabile
per la sua praticità.","Brustschutz aus hochwertigem
Erz, der in erster Linie
praktisch ist.","Armadura pectoral de mineral
de calidad, práctica por
encima de todo.","Доспех из хорошей руды,
сделан с упором на
практичность.","Napierśnik z wysokiej
jakości rudy. Praktyczność
przede wszystkim.",,,"Peitoral feito com minério
bom, com ênfase na
praticidade acima de tudo.","양질의 광석으로 만들어진
몸통 방어구. 실용성을 중시해
군더더기 없는 설계가 특징.","使用品質優良的礦石製成的
身體裝備。由於著重實用性，
因此省去了一切多餘的設計。","使用上好矿石制成的身体装备。
设计上重视实用性，
舍弃了一切不必要的部分。",,,,,,,,"درع صدر مصنوعة من معدن خام
عالي الجودة، مع التركيز على
ميزته العملية فوق كل شيء.",,,,,,,,,,,
a6431777-ab6d-43f4-bffe-9d6e22a06d5b,2465955462,OtDogArmor_Chest_203_Explain,"鎌鼬竜の素材で造られた胴用
装備。狩場を軽やかに駆ける
姿はさながら一陣の風の如く。","Izuchi torso armor. Carries
the wearer through fields
like a gust of wind.","Une armure Izuchi.
Le top du top pour
passer en coup de vent.","Corazza Izuchi che
accompagna in battaglia
come un soffio di vento.","Izuchi-Oberkörperpanzer.
Trägt den Träger schnell wie
der Wind durch das Gelände.","Armadura pectoral de Izuchi.
Hace volar al portador por
el campo de batalla.","Доспех из Идзути.
Несёт владельца, словно
порыв ветра.","Napierśnik z Izuchiego.
Można w nim mknąć jak
na skrzydłach wiatru.",,,"Armadura de torso de Izuchi.
Veste o usuário como
um sopro de vento.","겸유룡의 소재로 만들어진
몸통 방어구. 사냥터를 누비는
그 모습은 바람과도 같다.","以鐮鼬龍王素材打造的
身體裝備。能夠宛如風一般
輕快地穿梭於獵場之中。","镰鼬龙素材制成的身体装备。
在猎场中轻盈奔跑的模样，
宛如一阵风。",,,,,,,,"درع الجسم لإيزوتشي. تنقل
مرتديها عبر الميادين
مثل هبة رياح.",,,,,,,,,,,
1b39ddfc-6546-4f79-a693-cfedd93ee2b1,981694267,OtDogArmor_Chest_204_Explain,"青熊の素材で作った胴用装備。
様々な地形での狩りを想定し、
動きやすさを重視した設計。","Arzuros-derived chest armor
with good range of motion
and fit for all terrains.","Une cotte à base d'Arzuros,
offrant une grande liberté
de mouvement et polyvalente.","Questo pettorale Arzuros
garantisce libertà di
movimento su ogni terreno.","Dieser Arzuros-Panzer bietet
viel Bewegungsfreiheit und
hält jedem Gelände stand.","Armadura pectoral de Arzuros
con gran movilidad y apta
para cualquier terreno.","Доспех из Арзуроса,
не стесняющий движений.
Достаточно универсален.","Napierśnik z Arzurosa
dający dużą swobodę ruchów.
Dobry na każdy teren.",,,"Peitoral derivado de Arzuros
com boa mobilidade
e para todos os terrenos.","청웅 소재를 쓴 몸통 방어구.
온갖 지형에서 사냥할 수 있게
활동성을 중시한 설계가 특징.","以青熊素材製成的身體裝備。
事先設想於各種地形上的狩獵，
為著重活動方便性的設計。","用青熊兽素材制成的身体装备。
设想到在各种地形中的狩猎，
拥有重视活动便利性的设计。",,,,,,,,"درع صدر مشتقة من أرزوروس،
ومزودة بنطاق مناسب للحركة،
وملائمة لجميع التضاريس.",,,,,,,,,,,
aa0155ed-b6de-404b-bf14-113083e42e78,2006181515,OtDogArmor_Chest_205_Explain,"廉潔の精神を宿した胴用装備。
非行を嗅ぎ取る嗅覚は、
秩序を乱す者を逃さない。","Armor made for the noble
Canyne that'll sniff out
injustice and bite it away.","Une armure pour les Canynes
raffinés pour détecter et
déchiqueter les injustices.","Armatura per Canyne che
fiutano l'ingiustizia
e la estirpano a morsi.","Rüstung für edle Canynen,
die Ungerechtigkeit wittern
und wegbeißen werden.","Armadura para nobles Canyne
que rastrean y combaten toda
injusticia.","Доспех для благородных
Собакков, не терпящих
несправедливости.","Pancerz dla szlachetnego
kynosa, który wywęszy
każdą niesprawiedliwość.",,,"Armadura feita para nobres
Canynos que farejam
injustiça e a mordem.","청렴한 정신이 깃든
몸통 방어구. 악행을 감지하는
후각으로 질서를 지킨다.","蘊藏著廉潔精神的身體裝備。
其嗅覺能夠發現不法行為，
絕不放過擾亂秩序的人。","寄宿着廉洁精神的身体装备。
能闻出恶行的嗅觉，
不会放过扰乱秩序之人。",,,,,,,,"درع مصنوعة للكناين النبيل
الذي يكشف الظلم
ويقضي عليه.",,,,,,,,,,,
f32e4903-bff2-4d8f-97aa-da95ec06fd97,3156271240,OtDogArmor_Chest_206_Explain,"オシャレな模様が施された、
胴用装備。全身を覆う毛皮は、
寒冷地での活動に向いている。","Looks cool, feels warm. Its
layered fur makes it suited
to cold climate activities.","Cette fourrure est parfaite
pour tenir chaud, mais elle
fait froid dans le dos.","Bello e caldo, con i suoi
strati di pelliccia è ideale
per i climi più freddi.","Sieht cool aus, hält warm.
Dank der Fellschichten gut
für kaltes Klima geeignet.","Muy calentita. Sus capas
de piel son idóneas para
actividades en climas fríos.","Эффектно выглядит, хорошо
согревает. Удобна в
холодном климате.","Wygląda równie dobrze, jak
grzeje. Warstwowe futro
chroni w mroźnych warunkach.",,,"Parece legal, é quentinha.
Suas camadas de pele
são ideias para o frio.","화려한 무늬의 몸통 방어구.
온몸을 감싸는 모피 덕분에
추운 곳에서 활동하기 좋다.","帶有時髦圖案的身體裝備。
覆蓋在全身上下的毛皮，
適合於寒冷地區活動時使用。","拥有时髦花纹的身体装备。
全身覆盖有毛皮，
适合在寒冷地区活动。",,,,,,,,"تبدو رائعة، ودافئة. يجعلها
فروها متعدد الطبقات مناسبة
لأنشطة المناخ البارد.",,,,,,,,,,,
2881061e-13ed-4724-b328-889c5f70f536,140781077,OtDogArmor_Chest_207_Explain,"傘鳥の素材を使った、頑丈かつ
美しい胴用装備。勲功を立てた
オトモのみ、作成を許される。","Tough as it is ornate, this
Aknosom mail is only for
Palamutes that've earned it.","Aussi robuste qu'élégante,
cette cotte en Aknosom est
pour les meilleurs Chumskys.","Bella e resistente, questa
cotta Aknosom è per il
Canyne che sa guadagnarsela.","Genauso hart wie kunstvoll
ist dieser Aknosom-Panzer
nur für würdige Palamutes.","Tan dura como ornamentada,
esta cota de Aknosom es solo
para buenos chicos.","Прочная и красивая кольчуга
из Акносома. Только для тех
Паламутов, кто ее заслужил.","Równie wytrzymała, co
ozdobna zbroja z Aknosoma.
Dla zasłużonego kumpsa.",,,"Dura e decorada, esta
armadura de Aknosom é só
pra Amicães que a merecem.","산조의 소재로 된 튼튼하고
아름다운 몸통 방어구. 공적을
쌓은 동반자만 만들 수 있다.","使用傘鳥素材，既堅固又美觀的
身體裝備。只有立下功勞的
隨從才有資格製作這項裝備。","使用伞鸟素材制成的
结实美丽的身体装备。
仅允许立下功勋的随从制作。",,,,,,,,"تخصص درع أكنوسوم هذه،
المميزة بصلابتها كزخرفتها،
لكلاب البالاموت التي ربحتها.",,,,,,,,,,,
1131def4-f239-4204-9cf1-e9e55e6c98fe,2392589939,OtDogArmor_Chest_208_Explain,"掻鳥の素材で造った胴用装備。
素材特有のしなやかさが、
ガルクの俊敏な動きを助ける。","Kulu chest armor known for
its pliability and support
of your Palamute's agility.","Une protection en Kulu dont
la souplesse va de pair avec
l'agilité d'un Chumsky.","Pettorale Kulu. La sua
rinomata flessibilità esalta
l'agilità di ogni Canyne.","Kulu-Brustpanzer mit enormer
Biegsamkeit. Fördert die
Beweglichkeit des Palamutes.","Armadura pectoral de Kulu
cuya flexibilidad apoyará la
agilidad de tu Canyne.","Нагрудная броня из Кулу.
Очень гибкая, не мешает
ловкости вашего Паламута.","Napierśnik z Kulu słynący z
elastyczności. Doskonały dla
gibkiego i zwinnego kumpsa.",,,"Peitoral de Kulu conhecido
por ser flexível e apoiar a
agilidade de seu Amicão.","소조의 소재로 만든
몸통 방어구. 부드러운 소재가
민첩한 움직임을 돕는다.","以搔鳥素材製成的身體裝備。
素材本身特有的柔軟度，
能使加爾克動作更加靈活。","搔鸟素材制成的身体装备。
素材特有的柔韧性使得
牙猎犬的动作更为敏捷。",,,,,,,,"درع صدر كولو معروفة
بمرونتها وزيادتها لخفة حركة
بالاموت لديك.",,,,,,,,,,,
db9711eb-9bf6-4ba2-b9a7-e528d025a486,2312995364,OtDogArmor_Chest_209_Explain,"河童蛙の素材で作った胴用装備。
全身が装甲に覆われてはいるが、
ぬめりがあるので動きやすい。","Protects the wearer with
undeniably slimy but tough
non-restrictive platings.","Protège le porteur grâce à
des plaques gluantes mais
offrant une bonne mobilité.","Protegge chi la indossa con
robuste placche, tanto
melmose quanto comode.","Schützt den Träger mit zwar
schleimigen, aber robusten
nicht einengenden Platten.","Protege al portador con
placas flexibles, viscosas
pero duras.","Защищает носителя склизкими,
но крепкими пластинами.","Wykonana z oślizgłych, ale
wytrzymałych płytek.
Zostawia swobodę ruchów.",,,"Protege o usuário com
placas pegajosas, porém
nada restritivas.","하동와의 소재로 만든
몸통 방어구. 중장갑이지만
점액이 있어 움직이기 편하다.","以河童蛙素材製成的身體裝備。
雖然全身都被裝甲包覆，
但其實相當滑溜，易於活動。","河童蛙素材制成的身体装备。
虽然全身都覆盖着装甲，
但很滑润，便于行动。",,,,,,,,"تحمي مرتديها بطلاء
رقيق إلا أنه قوي وغير
مقيد.",,,,,,,,,,,
