guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
f4a4f0bf-9c62-4467-8ebc-83525db9f3fc,3798257143,OtDogArmor_Chest_000_Name,カムラガルノ鞍,C Kamura Saddle,Selle de Kamura C,Sella Kamura C,C Kamura-Sattel,Silla Kamura C,Седло Камуры C,K Siodło Kamury,,,Sela Kamura C,카무라가루안장,神火犬鞍,炎火牙猎鞍,,,,,,,,سرج كامورا ك,,,,,,,,,,,
785ccadc-fee0-414d-a0d6-40369148ed49,867026584,OtDogArmor_Chest_001_Name,ボーンガルメイル,C Bone Mail,Cotte d'os C,Cotta d'osso C,C Knochen-Panzer,Cota de hueso C,Костяной доспех C,K Kościana zbroja,,,Armadura Óssea C,본가루메일,骨製犬鎧甲,骨制牙猎铠甲,,,,,,,,درع عظمية ك,,,,,,,,,,,
0a3e76ca-1cbb-4ec7-892d-99b1db86932e,2636991642,OtDogArmor_Chest_002_Name,アロイガルメイル,C Alloy Mail,Cotte en alliage C,Cotta in lega C,C Legierungs-Panzer,Cota aleación C,Литой доспех C,K Zbroja ze stopu,,,Arm. de Liga Leve C,얼로이가루메일,合金犬鎧甲,合金牙猎铠甲,,,,,,,,درع خليط معدني ك,,,,,,,,,,,
99dd6838-1268-4ca3-82ec-11eaeac70fb2,2131103638,OtDogArmor_Chest_003_Name,アシラガルメイル,C Arzuros Mail,Cotte Arzuros C,Cotta Arzuros C,C Arzuros-Panzer,Cota Arzuros C,Доспех Арзуроса C,K Zbroja z Arzurosa,,,Arm. de Arzuros C,아시라가루메일,青熊獸犬鎧甲,青熊兽牙猎铠甲,,,,,,,,درع أرزوروس ك,,,,,,,,,,,
213a345a-b810-4fd2-aa91-18f3419a9fe0,3913474865,OtDogArmor_Chest_004_Name,バギィガルメイル,C Baggi Mail,Cotte Baggi C,Cotta Baggi C,C Baggi-Panzer,Cota Baggi C,Доспех Багги C,K Zbroja z Baggiego,,,Arm. de Baggi C,바기가루메일,眠狗龍犬鎧甲,眠狗龙牙猎铠甲,,,,,,,,درع باجي ك,,,,,,,,,,,
a6e14609-de40-40bc-b13e-a3a842891879,664844228,OtDogArmor_Chest_005_Name,ウルクガルコート,C Lagombi Coat,Manteau Lagombi C,Fiancale Lagombi C,C Lagombi-Waffenrock,Cota Lagombi C,Одеяние Лагомби C,K Pł. z Lagombiego,,,Jaqueta Lagombi C,울크가루코트,白兔獸犬大衣,白兔兽牙猎大衣,,,,,,,,معطف لاجومبي ك,,,,,,,,,,,
8f795dbc-8af9-4624-8a9d-1742131990b7,2013709484,OtDogArmor_Chest_006_Name,イズチガルメイル,C Izuchi Mail,Cotte Izuchi C,Cotta Izuchi C,C Izuchi-Panzer,Cota Izuchi C,Доспех Идзути C,K Zbroja z Izuchiego,,,Armadura Izuchi C,이즈치가루메일,鐮鼬龍犬鎧甲,镰鼬龙牙猎铠甲,,,,,,,,درع إيزوتشي ك,,,,,,,,,,,
593eb759-684b-4d9b-b099-117688465bd5,160417370,OtDogArmor_Chest_007_Name,混沌のコウ,C Devil's Plate,Armure du diable C,Piastra diabolica C,C Teufels-Panzer,Coraza diabólica C,Дьяв. нагрудник C,K Diabelska płytka,,,Placa do Demônio C,혼돈의코우,混沌之甲,混沌的珂乌,,,,,,,,صفيحة الشّيطان ك,,,,,,,,,,,
ffc4b49a-2088-48bb-8fe5-b26d5edac24c,4113270441,OtDogArmor_Chest_008_Name,エーデルガルメイル,C Edel Mail,Cotte Edel C,Cotta Edel C,C Edel-Panzer,Cota Edel C,Доспех Эделя C,K Zbroja Edel,,,Armadura de Edel C,에델가루메일,高貴犬鎧甲,雪绒花牙猎铠甲,,,,,,,,درع إيدل ك,,,,,,,,,,,
9f3ccc90-a2f3-4a85-b79e-983017e2a816,3908155792,OtDogArmor_Chest_009_Name,ヨツミガルメイル,C Tetranadon Mail,Cotte Tetranadon C,Cotta Tetranadon C,C Tetranadon-Panzer,Cota Tetranadon C,Доспех Тетранадона C,K Zbr. z Tetranadona,,,Arm. de Tetranadon C,요츠미가루메일,河童蛙犬鎧甲,河童蛙牙猎铠甲,,,,,,,,درع تيترانادون ك,,,,,,,,,,,
b0e0b1c4-d155-4f50-93e1-3009f5ac8d9d,3466810274,OtDogArmor_Chest_010_Name,フルフルガルコート,C Khezu Coat,Manteau Khezu C,Fiancale Khezu C,C Khezu-Waffenrock,Cota Khezu C,Одеяние Кезу C,K Płaszcz z Khezu,,,Jaqueta Khezu C,푸루가루메일,奇怪龍犬大衣,奇怪龙牙猎大衣,,,,,,,,معطف خيزو ك,,,,,,,,,,,
9271a403-9386-45d4-a855-065962beff50,3036883887,OtDogArmor_Chest_011_Name,クルルガルショール,C Kulu-Ya-Ku Shawl,Foulard Kulu C,Scialle Kulu-Ya-Ku C,C Kulu-Ya-Ku-Schal,Manto Kulu-Ya-Ku C,Шаль Кулу-Йа-Ку C,K Chusta Kulu-Ya-Ku,,,Manto Kulu-Ya-Ku C,쿠루루가루숄,搔鳥犬披肩,搔鸟牙猎披风,,,,,,,,وشاح كولو-يا-كو C,,,,,,,,,,,
473fd0c5-9edb-4906-904d-d2297585b325,2248218382,OtDogArmor_Chest_012_Name,ボロスガルメイル,C Barroth Mail,Cotte Barroth C,Cotta Barroth C,C Barroth-Panzer,Cota Barroth C,Доспех Баррота C,K Zbroja z Barrotha,,,Arm. de Barroth C,보로스가루메일,土砂龍犬鎧甲,土砂龙牙猎铠甲,,,,,,,,درع باروث ك,,,,,,,,,,,
074c5091-43a4-4dab-8cff-ca2bf0277c2d,1989723148,OtDogArmor_Chest_013_Name,フロギィガルメイル,C Wroggi Mail,Cotte Wroggi C,Cotta Wroggi C,C Wroggi-Panzer,Cota Wroggi C,Доспех Врогги C,K Zbroja z Wroggiego,,,Arm. de Wroggi C,프로기가루메일,毒狗龍犬鎧甲,毒狗龙牙猎铠甲,,,,,,,,درع روجي ك,,,,,,,,,,,
b74336ad-dff0-419c-9a56-e371ce51e244,731221638,OtDogArmor_Chest_014_Name,ルドロスガルメイル,C Ludroth Mail,Cotte Ludroth C,Cotta Ludroth C,C Ludroth-Panzer,Cota Ludroth C,Доспех Лудрота C,K Zbroja z Ludrotha,,,Arm. de Ludroth C,루드로스가루메일,水獸犬鎧甲,水兽牙猎铠甲,,,,,,,,درع لودروث ك,,,,,,,,,,,
f9c87cb5-a4d6-47ca-af43-348c607fefd3,1577383494,OtDogArmor_Chest_015_Name,アケノガルメイル,C Aknosom Mail,Cotte Aknosom C,Cotta Aknosom C,C Aknosom-Panzer,Cota Aknosom C,Доспех Акносома C,K Zbroja z Aknosoma,,,Arm. de Aknosom C,아케노가루메일,傘鳥犬鎧甲,伞鸟牙猎铠甲,,,,,,,,درع أكنوسوم ك,,,,,,,,,,,
5014abf5-8cbc-4d43-8fc5-902b57c5c4d5,3930456509,OtDogArmor_Chest_016_Name,デスギアガルコート,C Death Stench Coat,Manteau putride C,Fiancale putrefatto C,CTodesgestankWffnrck,Abrigo pestilente C,Плащ злов. смерти C,K Płaszcz rozkładu,,,Casaco Putrefato C,데스기어가루코트,死神犬大衣,死神牙猎大衣,,,,,,,,معطف رائحة الموت ك,,,,,,,,,,,
a6bb9ce2-460b-47ff-89e8-786d26fb8e3d,3062736209,OtDogArmor_Chest_017_Name,マギュルガルコート,C Mosgharl Coat,Manteau Mosgharl C,Fiancale Mosgharl C,CMosgharl-Waffenrock,Abrigo Mosgharl C,Одеяние Мосгарла C,K Płaszcz Mosgharl,,,Jaqueta Mosgharl C,마기르가루코트,南瓜犬大衣,南瓜牙猎大衣,,,,,,,,معطف موزجارل ك,,,,,,,,,,,
02623f1d-346a-4b49-aa12-152d484709c7,3718508230,OtDogArmor_Chest_018_Name,イソネガルメイル,C Somnacanth Mail,Cotte Somnacanth C,Cotta Somnacanth C,C Somnacanth-Panzer,Cota Somnacanth C,Доспех Сомнаканта C,K Zbr. z Somnacantha,,,Arm. de Somnacanth C,이소네가루메일,人魚龍犬鎧甲,人鱼龙牙猎铠甲,,,,,,,,درع سومناكانث ك,,,,,,,,,,,
