guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
708675e0-5aa5-436a-b54c-2a866d028fbc,4670596,OtDogArmor_Chest_200_Name,カムラガルノ鞍・継,C Kamura Legacy Saddle,Selle Héritage Kamura C S,Sella lascito Kamura C,C Kamura-Erbe-Sattel,Silla dote de Kamura C,Седло насл. Кам. С,K Siodło dziedz. Kamury,,,Sela Legado Kamura C,카무라가루안장-계,神火犬鞍･繼,炎火牙猎鞍・继,,,,,,,,سرج تراث كامورا ك,,,,,,,,,,,
005bedda-0b14-46e2-9298-6b1362b003d2,146441912,OtDogArmor_Chest_201_Name,ボーンＸガルメイル,C Bone Mail X,Cotte d'os C X,Cotta d'osso C X,C Knochen-Panzer X,Cota de hueso C X,Костян. доспех C (X),K Kościana zbroja X,,,Armadura Óssea C X,본X가루메일,骨製X犬鎧甲,骨制X牙猎铠甲,,,,,,,,درع عظمية ك X,,,,,,,,,,,
0f8f2c49-89ce-4577-9dea-cc580bbc7384,270808226,OtDogArmor_Chest_202_Name,アロイＸガルメイル,C Alloy Mail X,Cotte en alliage C X,Cotta in lega C X,C Legierungs-Panzer X,Cota de aleación C X,Литой доспех C (X),K Zbroja ze stopu X,,,Arm. Liga Leve C X,얼로이X가루메일,合金X犬鎧甲,合金X牙猎铠甲,,,,,,,,درع خليط معدني ك X,,,,,,,,,,,
fb0526bf-344a-45eb-80a7-2eb9179c64ab,845808103,OtDogArmor_Chest_203_Name,イズチＸガルメイル,C Izuchi Mail X,Cotte Izuchi C X,Cotta Izuchi C X,C Izuchi-Panzer X,Cota de Izuchi C X,Доспех Идзути C (X),K Zbr. z Izuchiego X,,,Armadura Izuchi C X,이즈치X가루메일,鐮鼬龍X犬鎧甲,镰鼬龙X牙猎铠甲,,,,,,,,درع إيزوتشي ك X,,,,,,,,,,,
fc916ed9-6c09-4eea-8c8e-4590bc48795b,699750136,OtDogArmor_Chest_204_Name,アシラＸガルメイル,C Arzuros Mail X,Cotte Arzuros C X,Cotta Arzuros C X,C Arzuros-Panzer X,Cota de Arzuros C X,Дос. Арзуроса C (X),K Zbr. z Arzurosa X,,,Arm. de Arzuros C X,아시라X가루메일,青熊獸X犬鎧甲,青熊兽X牙猎铠甲,,,,,,,,درع أرزوروس ك X,,,,,,,,,,,
44f54d07-eb15-49cf-bca0-dd0385070cb3,1803162373,OtDogArmor_Chest_205_Name,バギィＸガルメイル,C Baggi Mail X,Cotte Baggi C X,Cotta Baggi C X,C Baggi-Panzer X,Cota de Baggi C X,Доспех Багги C (X),K Zbroja z Baggiego X,,,Arm. de Baggi C X,바기X가루메일,眠狗龍X犬鎧甲,眠狗龙X牙猎铠甲,,,,,,,,درع باجي ك X,,,,,,,,,,,
0ecece8f-aff9-4ad7-8e26-4a58dbb8fe57,919375413,OtDogArmor_Chest_206_Name,ウルクＸガルコート,C Lagombi Coat X,Manteau Lagombi C X,Fiancale Lagombi C X,C Lagombi-Waffenrock X,Abrigo Lagombi C X,Одеян. Лагомби C (X),K Płaszcz z Lagomb. X,,,Jaqueta Lagombi C X,울크X가루코트,白兔獸X犬大衣,白兔兽X牙猎大衣,,,,,,,,معطف لاجومبي ك X,,,,,,,,,,,
bb352d9c-ee63-435e-8e07-383c911e3f7c,1253895891,OtDogArmor_Chest_207_Name,アケノＸガルメイル,C Aknosom Mail X,Cotte Aknosom C X,Cotta Aknosom C X,C Aknosom-Panzer X,Cota Aknosom C X,Дос. Акносома C (X),K Zbroja z Aknosoma X,,,Arm. de Aknosom C X,아케노X가루메일,傘鳥X犬鎧甲,伞鸟X牙猎铠甲,,,,,,,,درع أكنوسوم ك X,,,,,,,,,,,
3d674399-c631-4983-9a79-01f8dad621d5,1928183696,OtDogArmor_Chest_208_Name,クルルＸガルショール,C Kulu-Ya-Ku Shawl X,Foulard Kulu C X,Scialle Kulu-Ya-Ku C X,C Kulu-Ya-Ku-Schal X,Manto Kulu-Ya-Ku C X,Шаль Кулу C (X),K Chusta z Kulu X,,,Manto Kulu-Ya-Ku C X,쿠루루X가루숄,搔鳥X犬披肩,搔鸟X牙猎披风,,,,,,,,وشاح كولو-ياكو ك X,,,,,,,,,,,
790342ba-598f-46d8-8143-e4c799091643,148606385,OtDogArmor_Chest_209_Name,ヨツミＸガルメイル,C Tetranadon Mail X,Cotte Tetranadon C X,Cotta Tetranadon C X,C Tetranadon-Panzer X,Cota Tetranadon C X,Доспех Тетран. C (X),K Zbr. z Tetranad. X,,,Arm. de Tetranadon C X,요츠미X가루메일,河童蛙X犬鎧甲,河童蛙X牙猎铠甲,,,,,,,,درع تيترانادون ك X,,,,,,,,,,,
f1e2e41d-a9de-4bf0-a94b-59f90ac9ff88,2350081552,OtDogArmor_Chest_210_Name,フロギィＸガルメイル,C Wroggi Mail X,Cotte Wroggi C X,Cotta Wroggi C X,C Wroggi-Panzer X,Cota de Wroggi C X,Доспех Врогги C (X),K Zbr. z Wroggiego X,,,Arm. de Wroggi C X,프로기X가루메일,毒狗龍X犬鎧甲,毒狗龙X牙猎铠甲,,,,,,,,درع روجي ك X,,,,,,,,,,,
04552571-001a-4242-8a3f-53453c5d8b80,2252582048,OtDogArmor_Chest_211_Name,フルフルＸガルコート,C Khezu Coat X,Manteau Khezu C X,Fiancale Khezu C X,C Khezu-Waffenrock X,Cota Khezu C X,Одеяние Кезу C (X),K Płaszcz z Khezu X,,,Jaqueta Khezu C X,푸루X가루코트,奇怪龍X犬大衣,奇怪龙X牙猎大衣,,,,,,,,معطف خيزو ك X,,,,,,,,,,,
b7d7e997-b8a0-4df5-a4af-9de552fe2ee3,7554763,OtDogArmor_Chest_212_Name,混沌のコウ・真,C True Devil's Plate,Vraie armure diable C,Vera piastra diabolica C,C Echter Teufels-Panzer,Cota demon. pura C,Ист. дьяв. нагруд. C,K Płytka praw. diabła,,,Placa do Demônio V C,혼돈의코우-진,混沌之甲･真,混沌的珂乌・真,,,,,,,,صفيحة الشيطان الحقيقي ك,,,,,,,,,,,
93a8673c-7b9e-44cb-a140-d66e74a79853,4001357131,OtDogArmor_Chest_213_Name,エーデルＸガルメイル,C Edel Mail X,Cotte Edel C X,Cotta Edel C X,C Edel-Panzer X,Cota de Edel C X,Доспех Эделя C (X),K Zbroja Edel X,,,Armadura de Edel C X,에델X가루메일,高貴X犬鎧甲,雪绒花X牙猎铠甲,,,,,,,,درع إيدل ك X,,,,,,,,,,,
78c9deb7-7aed-468f-9d3f-d4ebec575ef3,1067650607,OtDogArmor_Chest_214_Name,ルドロスＸガルメイル,C Ludroth Mail X,Cotte Ludroth C X,Cotta Ludroth C X,C Ludroth-Panzer X,Cota de Ludroth C X,Доспех Лудрота C (X),K Zbr. z Ludrotha X,,,Arm. de Ludroth C X,루드로스X가루메일,水獸X犬鎧甲,水兽X牙猎铠甲,,,,,,,,درع لودروث ك X,,,,,,,,,,,
6672c17d-31bd-497a-ba73-dbf6d53e42e8,2593629440,OtDogArmor_Chest_215_Name,ボロスＸガルメイル,C Barroth Mail X,Cotte Barroth C X,Cotta Barroth C X,C Barroth-Panzer X,Cota de Barroth C X,Доспех Баррота C (X),K Zbroja z Barrotha X,,,Arm. de Barroth C X,보로스X가루메일,土砂龍X犬鎧甲,土砂龙X牙猎铠甲,,,,,,,,درع باروث ك X,,,,,,,,,,,
2203ab59-aa6f-4cbd-baa3-855f6fdb68b4,687877327,OtDogArmor_Chest_216_Name,ラングロＸガルメイル,C Volvidon Mail X,Cotte Volvidon C X,Cotta Volvidon C X,C Volvidon-Panzer X,Cota de Volvidon C X,Доспех Вольв. C (X),K Zbr. z Volvidona X,,,Arm. de Volvidon C X,랑그로X가루메일,赤甲獸X犬鎧甲,赤甲兽X牙猎铠甲,,,,,,,,درع فولفيدون ك X,,,,,,,,,,,
f50f174d-2fcc-49b6-b53c-6447f4e1d96f,347933483,OtDogArmor_Chest_217_Name,テンゴＸガル装束,C Bishaten Garb X,Habit Bishaten C X,Veste Bishaten C X,C Bishaten-Gewand X,Ropa de Bishaten C X,Одеян. Бисят. C (X),K Szata z Bishatena X,,,Veste de Bishaten C X,텐고X가루옷,天狗獸X犬裝束,天狗兽X牙猎装束,,,,,,,,زي بيشاتن ك X,,,,,,,,,,,
30ba1e0b-4f2a-4f1a-8dd3-cc7759ca530c,806359909,OtDogArmor_Chest_218_Name,プケプケＸガルマント,C Pukei-Pukei Cape X,Cape Pukei-Pukei C X,Cappa Pukei-Pukei C X,C Pukei-Pukei-Umhang X,Capa Pukei-Pukei C X,Плащ Поки-Поки C (X),K Peleryna z Pukei X,,,Capa Pukei-Pukei C X,푸케푸케X가루망토,毒妖鳥X犬披風,毒妖鸟X牙猎披风,,,,,,,,رداء بوكي-بوكي ك X,,,,,,,,,,,
173478dd-f9ff-428a-9d0c-b85691003b08,1233084734,OtDogArmor_Chest_219_Name,バサルＸガルメイル,C Basarios Mail X,Cotte Basarios C X,Cotta Basarios C X,C Basarios-Panzer X,Cota de Basarios C X,Дос. Базариоса C (X),K Zbr. z Basariosa X,,,Arm. de Basarios C X,바살X가루메일,岩龍X犬鎧甲,岩龙X牙猎铠甲,,,,,,,,درع باساريوس ك X,,,,,,,,,,,
